metric_family,treatment_name,cell_name,scenario,case,metric,distance_kind,score,generated_n,human_n
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_wd,mean_wasserstein_1d,0.07333333333333333,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_pd_wd,wasserstein_1d,0.26,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_sh_wd,wasserstein_1d,0.03999999999999998,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_wd,mean_wasserstein_1d,0.15,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_earth_wd,wasserstein_1d,0.42,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_wd,mean_wasserstein_1d,0.42,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_offer_wd,wasserstein_1d,0.11999999999999997,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,inequality_tolerance_wd,wasserstein_1d,0.384,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_wd,mean_wasserstein_1d,0.252,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_send_wd,wasserstein_1d,0.12000000000000002,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_wd,mean_wasserstein_1d,0.12000000000000002,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_return_wd,wasserstein_1d,0.05666666666666668,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_wd,mean_wasserstein_1d,0.05666666666666668,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_pd_wd,wasserstein_1d,0.22,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_sh_wd,wasserstein_1d,0.01999999999999999,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_wd,mean_wasserstein_1d,0.12,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_earth_wd,wasserstein_1d,0.38,50,50
behavior_distribution_distance,TDU,TDU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_wd,mean_wasserstein_1d,0.38,50,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_offer_wd,wasserstein_1d,0.22331914893617022,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,inequality_tolerance_wd,wasserstein_1d,0.46680851063829787,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_wd,mean_wasserstein_1d,0.34506382978723404,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_send_wd,wasserstein_1d,0.021702127659574466,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_wd,mean_wasserstein_1d,0.021702127659574466,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_return_wd,wasserstein_1d,0.08943262411347519,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_wd,mean_wasserstein_1d,0.08943262411347519,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_pd_wd,wasserstein_1d,0.3485106382978724,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_sh_wd,wasserstein_1d,0.06468085106382981,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_wd,mean_wasserstein_1d,0.2065957446808511,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_earth_wd,wasserstein_1d,0.4187234042553192,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_wd,mean_wasserstein_1d,0.4187234042553192,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_offer_wd,wasserstein_1d,0.16851063829787233,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,inequality_tolerance_wd,wasserstein_1d,0.394468085106383,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_wd,mean_wasserstein_1d,0.2814893617021277,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_send_wd,wasserstein_1d,0.0923404255319149,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_wd,mean_wasserstein_1d,0.0923404255319149,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_return_wd,wasserstein_1d,0.08198581560283688,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_wd,mean_wasserstein_1d,0.08198581560283688,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_pd_wd,wasserstein_1d,0.3548936170212766,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_sh_wd,wasserstein_1d,0.05531914893617018,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_wd,mean_wasserstein_1d,0.20510638297872338,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_earth_wd,wasserstein_1d,0.22,47,50
behavior_distribution_distance,TRP,TRP__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_wd,mean_wasserstein_1d,0.22,47,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_offer_wd,wasserstein_1d,0.128,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,inequality_tolerance_wd,wasserstein_1d,0.4995555555555556,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,fairness_wd,mean_wasserstein_1d,0.3137777777777778,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_send_wd,wasserstein_1d,0.0022222222222222365,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trust_wd,mean_wasserstein_1d,0.0022222222222222365,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_return_wd,wasserstein_1d,0.07370370370370372,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,trustworthiness_wd,mean_wasserstein_1d,0.07370370370370372,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_pd_wd,wasserstein_1d,0.14222222222222225,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_sh_wd,wasserstein_1d,0.11555555555555558,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,cooperation_wd,mean_wasserstein_1d,0.12888888888888891,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_earth_wd,wasserstein_1d,0.3777777777777778,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstAI,NoAISupport,AgainstAI,coordination_wd,mean_wasserstein_1d,0.3777777777777778,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_offer_wd,wasserstein_1d,0.11822222222222223,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,inequality_tolerance_wd,wasserstein_1d,0.46622222222222226,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,fairness_wd,mean_wasserstein_1d,0.29222222222222227,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_send_wd,wasserstein_1d,0.1222222222222222,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trust_wd,mean_wasserstein_1d,0.1222222222222222,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_return_wd,wasserstein_1d,0.04037037037037035,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,trustworthiness_wd,mean_wasserstein_1d,0.04037037037037035,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_pd_wd,wasserstein_1d,0.3666666666666667,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_sh_wd,wasserstein_1d,0.015555555555555545,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,cooperation_wd,mean_wasserstein_1d,0.19111111111111112,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_earth_wd,wasserstein_1d,0.32,45,50
behavior_distribution_distance,TRU,TRU__NoAISupport__AgainstHuman,NoAISupport,AgainstHuman,coordination_wd,mean_wasserstein_1d,0.32,45,50
paper_index_distribution_distance,ODP,,,,delegation_index_wd,wasserstein_1d,0.09428571428571429,50,50
paper_index_distribution_distance,ODU,,,,delegation_index_wd,wasserstein_1d,0.3057142857142857,50,50
paper_index_distribution_distance,TDP,,,,delegation_index_wd,wasserstein_1d,0.13714285714285715,50,50
paper_index_distribution_distance,TDU,,,,delegation_index_wd,wasserstein_1d,0.17714285714285713,50,50
paper_index_distribution_distance,ODP,ODP__support,support,,payoff_index_wd,wasserstein_1d,0.07321646825396826,50,48
paper_index_distribution_distance,ODP,ODP__support,support,,prosociality_index_wd,wasserstein_1d,0.07273703703703706,50,48
paper_index_distribution_distance,ODP,ODP__support,support,,kindness_index_wd,wasserstein_1d,0.05925925925925926,50,45
paper_index_distribution_distance,ODP,ODP__support,support,,intentions_index_wd,wasserstein_1d,0.18741641337386014,47,35
paper_index_distribution_distance,ODP,ODP__support,support,,predictability_index_wd,wasserstein_1d,0.29411764705882354,26,34
paper_index_distribution_distance,ODP,ODP__support,support,,equality_index_wd,wasserstein_1d,0.07904411764705882,34,32
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,payoff_index_wd,wasserstein_1d,0.07028571428571427,50,50
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,prosociality_index_wd,wasserstein_1d,0.13555555555555557,50,50
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,kindness_index_wd,wasserstein_1d,0.14,50,50
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,intentions_index_wd,wasserstein_1d,0.19133333333333333,50,50
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,predictability_index_wd,wasserstein_1d,0.46,50,50
paper_index_distribution_distance,ODP,ODP__unknown,unknown,,equality_index_wd,wasserstein_1d,0.07999999999999999,50,50
paper_index_distribution_distance,ODU,ODU__support,support,,payoff_index_wd,wasserstein_1d,0.06157500922849761,50,43
paper_index_distribution_distance,ODU,ODU__support,support,,prosociality_index_wd,wasserstein_1d,0.09656825396825397,50,42
paper_index_distribution_distance,ODU,ODU__support,support,,kindness_index_wd,wasserstein_1d,0.08666666666666667,50,40
paper_index_distribution_distance,ODU,ODU__support,support,,intentions_index_wd,wasserstein_1d,0.16433333333333333,50,33
paper_index_distribution_distance,ODU,ODU__support,support,,predictability_index_wd,wasserstein_1d,0.22727272727272727,35,22
paper_index_distribution_distance,ODU,ODU__support,support,,equality_index_wd,wasserstein_1d,0.116415770609319,45,31
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,payoff_index_wd,wasserstein_1d,0.07561904761904761,50,50
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,prosociality_index_wd,wasserstein_1d,0.11511111111111115,50,50
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,kindness_index_wd,wasserstein_1d,0.14,50,50
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,intentions_index_wd,wasserstein_1d,0.1753333333333333,50,50
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,predictability_index_wd,wasserstein_1d,0.34,50,50
paper_index_distribution_distance,ODU,ODU__unknown,unknown,,equality_index_wd,wasserstein_1d,0.1,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,payoff_index_wd,wasserstein_1d,0.09523809523809523,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,prosociality_index_wd,wasserstein_1d,0.16511111111111113,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,kindness_index_wd,wasserstein_1d,0.22000000000000003,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,intentions_index_wd,wasserstein_1d,0.25866666666666666,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,predictability_index_wd,wasserstein_1d,0.42,50,50
paper_index_distribution_distance,TDP,TDP__AI,AI,,equality_index_wd,wasserstein_1d,0.152,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,payoff_index_wd,wasserstein_1d,0.09180952380952383,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,prosociality_index_wd,wasserstein_1d,0.1395555555555556,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,kindness_index_wd,wasserstein_1d,0.1866666666666667,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,intentions_index_wd,wasserstein_1d,0.23733333333333334,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,predictability_index_wd,wasserstein_1d,0.32,50,50
paper_index_distribution_distance,TDP,TDP__human,human,,equality_index_wd,wasserstein_1d,0.128,50,50
paper_index_distribution_distance,TDP,TDP__support,support,,payoff_index_wd,wasserstein_1d,0.0816885973436994,50,49
paper_index_distribution_distance,TDP,TDP__support,support,,prosociality_index_wd,wasserstein_1d,0.11403832199546485,50,49
paper_index_distribution_distance,TDP,TDP__support,support,,kindness_index_wd,wasserstein_1d,0.1640909090909091,50,44
paper_index_distribution_distance,TDP,TDP__support,support,,intentions_index_wd,wasserstein_1d,0.2528472222222222,48,40
paper_index_distribution_distance,TDP,TDP__support,support,,predictability_index_wd,wasserstein_1d,0.25,37,24
paper_index_distribution_distance,TDP,TDP__support,support,,equality_index_wd,wasserstein_1d,0.13247863247863248,39,36
paper_index_distribution_distance,TDU,TDU__AI,AI,,payoff_index_wd,wasserstein_1d,0.09085714285714284,50,50
paper_index_distribution_distance,TDU,TDU__AI,AI,,prosociality_index_wd,wasserstein_1d,0.15955555555555553,50,50
paper_index_distribution_distance,TDU,TDU__AI,AI,,kindness_index_wd,wasserstein_1d,0.17333333333333334,50,50
paper_index_distribution_distance,TDU,TDU__AI,AI,,intentions_index_wd,wasserstein_1d,0.15266666666666664,50,50
paper_index_distribution_distance,TDU,TDU__AI,AI,,predictability_index_wd,wasserstein_1d,0.42,50,50
paper_index_distribution_distance,TDU,TDU__AI,AI,,equality_index_wd,wasserstein_1d,0.14400000000000002,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,payoff_index_wd,wasserstein_1d,0.08009523809523811,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,prosociality_index_wd,wasserstein_1d,0.14300000000000002,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,kindness_index_wd,wasserstein_1d,0.14666666666666667,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,intentions_index_wd,wasserstein_1d,0.17033333333333334,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,predictability_index_wd,wasserstein_1d,0.38,50,50
paper_index_distribution_distance,TDU,TDU__human,human,,equality_index_wd,wasserstein_1d,0.11999999999999997,50,50
paper_index_distribution_distance,TDU,TDU__support,support,,payoff_index_wd,wasserstein_1d,0.06475617667356799,50,46
paper_index_distribution_distance,TDU,TDU__support,support,,prosociality_index_wd,wasserstein_1d,0.07326376811594204,50,46
paper_index_distribution_distance,TDU,TDU__support,support,,kindness_index_wd,wasserstein_1d,0.1237037037037037,50,45
paper_index_distribution_distance,TDU,TDU__support,support,,intentions_index_wd,wasserstein_1d,0.1894652305366591,49,36
paper_index_distribution_distance,TDU,TDU__support,support,,predictability_index_wd,wasserstein_1d,0.2692307692307692,33,26
paper_index_distribution_distance,TDU,TDU__support,support,,equality_index_wd,wasserstein_1d,0.13333333333333333,38,36
paper_index_distribution_distance,TRP,TRP__AI,AI,,payoff_index_wd,wasserstein_1d,0.040674772036474155,47,50
paper_index_distribution_distance,TRP,TRP__AI,AI,,prosociality_index_wd,wasserstein_1d,0.11469267139479905,47,50
paper_index_distribution_distance,TRP,TRP__AI,AI,,kindness_index_wd,wasserstein_1d,0.14978723404255317,47,50
paper_index_distribution_distance,TRP,TRP__AI,AI,,intentions_index_wd,wasserstein_1d,0.21939716312056737,47,50
paper_index_distribution_distance,TRP,TRP__AI,AI,,predictability_index_wd,wasserstein_1d,0.4187234042553192,47,50
paper_index_distribution_distance,TRP,TRP__AI,AI,,equality_index_wd,wasserstein_1d,0.22331914893617022,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,payoff_index_wd,wasserstein_1d,0.03453292806484297,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,prosociality_index_wd,wasserstein_1d,0.11630260047281325,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,kindness_index_wd,wasserstein_1d,0.14652482269503547,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,intentions_index_wd,wasserstein_1d,0.17826950354609927,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,predictability_index_wd,wasserstein_1d,0.22,47,50
paper_index_distribution_distance,TRP,TRP__human,human,,equality_index_wd,wasserstein_1d,0.16851063829787233,47,50
paper_index_distribution_distance,TRP,TRP__support,support,,payoff_index_wd,wasserstein_1d,0.05483485309017225,47,50
paper_index_distribution_distance,TRP,TRP__support,support,,prosociality_index_wd,wasserstein_1d,0.14682978723404258,47,50
paper_index_distribution_distance,TRP,TRP__support,support,,kindness_index_wd,wasserstein_1d,0.17531914893617023,47,50
paper_index_distribution_distance,TRP,TRP__support,support,,intentions_index_wd,wasserstein_1d,0.17579432624113472,47,50
paper_index_distribution_distance,TRP,TRP__support,support,,predictability_index_wd,wasserstein_1d,0.18,47,50
