unit_id,profile_id,summary,source_row_id,matching_age_bracket,matching_sex,matching_education
E1__A__1560,two_stage_trust_punishment_y2hgu_demo_profile_00017,"37-year-old, female.",two_stage_demo_source_08266,30-49,female,
E1__A__1571,two_stage_trust_punishment_y2hgu_demo_profile_00018,"47-year-old, female.",two_stage_demo_source_07107,30-49,female,
E1__A__1611,two_stage_trust_punishment_y2hgu_demo_profile_00019,"23-year-old, female.",two_stage_demo_source_07320,18-29,female,
E1__A__1621,two_stage_trust_punishment_y2hgu_demo_profile_00020,"67-year-old, female.",two_stage_demo_source_12225,65+,female,
E1__A__1625,two_stage_trust_punishment_y2hgu_demo_profile_00021,"36-year-old, female.",two_stage_demo_source_03626,30-49,female,
E1__A__1633,two_stage_trust_punishment_y2hgu_demo_profile_00022,"55-year-old, female.",two_stage_demo_source_10666,50-64,female,
E1__A__1700,two_stage_trust_punishment_y2hgu_demo_profile_00023,"22-year-old, male.",two_stage_demo_source_08771,18-29,male,
E1__A__1716,two_stage_trust_punishment_y2hgu_demo_profile_00024,"46-year-old, female.",two_stage_demo_source_00036,30-49,female,
E1__A__174,two_stage_trust_punishment_y2hgu_demo_profile_00025,"61-year-old, female.",two_stage_demo_source_05153,50-64,female,
E1__A__1744,two_stage_trust_punishment_y2hgu_demo_profile_00026,"32-year-old, male.",two_stage_demo_source_11209,30-49,male,
E1__A__1758,two_stage_trust_punishment_y2hgu_demo_profile_00027,"56-year-old, male.",two_stage_demo_source_07247,50-64,male,
E1__A__1759,two_stage_trust_punishment_y2hgu_demo_profile_00028,"27-year-old, female.",two_stage_demo_source_00440,18-29,female,
E1__A__1884,two_stage_trust_punishment_y2hgu_demo_profile_00029,"33-year-old, female.",two_stage_demo_source_10000,30-49,female,
E1__A__1893,two_stage_trust_punishment_y2hgu_demo_profile_00030,"34-year-old, male.",two_stage_demo_source_09539,30-49,male,
E1__A__1897,two_stage_trust_punishment_y2hgu_demo_profile_00031,"35-year-old, male.",two_stage_demo_source_11068,30-49,male,
E1__A__1901,two_stage_trust_punishment_y2hgu_demo_profile_00032,"44-year-old, female.",two_stage_demo_source_02297,30-49,female,
E1__A__1903,two_stage_trust_punishment_y2hgu_demo_profile_00033,"59-year-old, male.",two_stage_demo_source_01168,50-64,male,
E1__A__1905,two_stage_trust_punishment_y2hgu_demo_profile_00034,"32-year-old, male.",two_stage_demo_source_11285,30-49,male,
E1__A__198,two_stage_trust_punishment_y2hgu_demo_profile_00035,"44-year-old, female.",two_stage_demo_source_00289,30-49,female,
E1__A__1998,two_stage_trust_punishment_y2hgu_demo_profile_00036,"33-year-old, female.",two_stage_demo_source_07079,30-49,female,
E1__A__2050,two_stage_trust_punishment_y2hgu_demo_profile_00037,"58-year-old, male.",two_stage_demo_source_01052,50-64,male,
E1__A__2056,two_stage_trust_punishment_y2hgu_demo_profile_00038,"39-year-old, female.",two_stage_demo_source_03919,30-49,female,
E1__A__2066,two_stage_trust_punishment_y2hgu_demo_profile_00039,"54-year-old, male.",two_stage_demo_source_06289,50-64,male,
E1__A__2068,two_stage_trust_punishment_y2hgu_demo_profile_00040,"46-year-old, male.",two_stage_demo_source_05526,30-49,male,
E1__A__2089,two_stage_trust_punishment_y2hgu_demo_profile_00041,"65-year-old, male.",two_stage_demo_source_05272,65+,male,
E1__A__2095,two_stage_trust_punishment_y2hgu_demo_profile_00042,"20-year-old, male.",two_stage_demo_source_00371,18-29,male,
E1__A__2106,two_stage_trust_punishment_y2hgu_demo_profile_00043,"45-year-old, female.",two_stage_demo_source_00070,30-49,female,
E1__A__2177,two_stage_trust_punishment_y2hgu_demo_profile_00044,"48-year-old, male.",two_stage_demo_source_01625,30-49,male,
E1__A__2191,two_stage_trust_punishment_y2hgu_demo_profile_00045,"33-year-old, male.",two_stage_demo_source_00109,30-49,male,
E1__A__2195,two_stage_trust_punishment_y2hgu_demo_profile_00046,"22-year-old, female.",two_stage_demo_source_08768,18-29,female,
E1__A__2201,two_stage_trust_punishment_y2hgu_demo_profile_00047,"41-year-old, male.",two_stage_demo_source_06872,30-49,male,
E1__A__2214,two_stage_trust_punishment_y2hgu_demo_profile_00048,"67-year-old, female.",two_stage_demo_source_08461,65+,female,
E1__A__2243,two_stage_trust_punishment_y2hgu_demo_profile_00049,"35-year-old, female.",two_stage_demo_source_03364,30-49,female,
E1__A__2322,two_stage_trust_punishment_y2hgu_demo_profile_00050,"42-year-old, male.",two_stage_demo_source_08045,30-49,male,
E1__A__2331,two_stage_trust_punishment_y2hgu_demo_profile_00051,"43-year-old, male.",two_stage_demo_source_09989,30-49,male,
E1__A__2372,two_stage_trust_punishment_y2hgu_demo_profile_00052,"31-year-old, male.",two_stage_demo_source_05016,30-49,male,
E1__A__238,two_stage_trust_punishment_y2hgu_demo_profile_00053,"27-year-old, female.",two_stage_demo_source_06026,18-29,female,
E1__A__2411,two_stage_trust_punishment_y2hgu_demo_profile_00054,"50-year-old, male.",two_stage_demo_source_13037,50-64,male,
E1__A__2414,two_stage_trust_punishment_y2hgu_demo_profile_00055,"62-year-old, female.",two_stage_demo_source_10524,50-64,female,
E1__A__2417,two_stage_trust_punishment_y2hgu_demo_profile_00056,"30-year-old, female.",two_stage_demo_source_12823,30-49,female,
E1__A__2447,two_stage_trust_punishment_y2hgu_demo_profile_00057,"36-year-old, female.",two_stage_demo_source_04962,30-49,female,
E1__A__2448,two_stage_trust_punishment_y2hgu_demo_profile_00058,"21-year-old, female.",two_stage_demo_source_08963,18-29,female,
E1__A__2457,two_stage_trust_punishment_y2hgu_demo_profile_00059,"68-year-old, male.",two_stage_demo_source_12421,65+,male,
E1__A__2459,two_stage_trust_punishment_y2hgu_demo_profile_00060,"29-year-old, female.",two_stage_demo_source_08504,18-29,female,
E1__A__247,two_stage_trust_punishment_y2hgu_demo_profile_00061,"54-year-old, female.",two_stage_demo_source_10986,50-64,female,
E1__A__2476,two_stage_trust_punishment_y2hgu_demo_profile_00062,"40-year-old, male.",two_stage_demo_source_09001,30-49,male,
E1__A__2483,two_stage_trust_punishment_y2hgu_demo_profile_00063,"30-year-old, male.",two_stage_demo_source_09204,30-49,male,
E1__A__2503,two_stage_trust_punishment_y2hgu_demo_profile_00064,"42-year-old, male.",two_stage_demo_source_05085,30-49,male,
E1__A__2552,two_stage_trust_punishment_y2hgu_demo_profile_00065,"25-year-old, male.",two_stage_demo_source_11441,18-29,male,
E1__A__2558,two_stage_trust_punishment_y2hgu_demo_profile_00066,"31-year-old, female.",two_stage_demo_source_01767,30-49,female,
E1__A__2610,two_stage_trust_punishment_y2hgu_demo_profile_00067,"51-year-old, female.",two_stage_demo_source_07569,50-64,female,
E1__A__28,two_stage_trust_punishment_y2hgu_demo_profile_00068,"63-year-old, male.",two_stage_demo_source_09433,50-64,male,
E1__A__284,two_stage_trust_punishment_y2hgu_demo_profile_00069,"43-year-old, female.",two_stage_demo_source_11053,30-49,female,
E1__A__297,two_stage_trust_punishment_y2hgu_demo_profile_00070,"38-year-old, male.",two_stage_demo_source_06868,30-49,male,
E1__A__354,two_stage_trust_punishment_y2hgu_demo_profile_00071,"37-year-old, female.",two_stage_demo_source_04908,30-49,female,
E1__A__365,two_stage_trust_punishment_y2hgu_demo_profile_00072,"70-year-old, male.",two_stage_demo_source_04056,65+,male,
E1__A__379,two_stage_trust_punishment_y2hgu_demo_profile_00073,"32-year-old, male.",two_stage_demo_source_05530,30-49,male,
E1__A__394,two_stage_trust_punishment_y2hgu_demo_profile_00074,"32-year-old, female.",two_stage_demo_source_06352,30-49,female,
E1__A__397,two_stage_trust_punishment_y2hgu_demo_profile_00075,"41-year-old, female.",two_stage_demo_source_09398,30-49,female,
E1__A__421,two_stage_trust_punishment_y2hgu_demo_profile_00076,"37-year-old, male.",two_stage_demo_source_11629,30-49,male,
E1__A__428,two_stage_trust_punishment_y2hgu_demo_profile_00077,"40-year-old, male.",two_stage_demo_source_00954,30-49,male,
E1__A__501,two_stage_trust_punishment_y2hgu_demo_profile_00078,"22-year-old, male.",two_stage_demo_source_12211,18-29,male,
E1__A__537,two_stage_trust_punishment_y2hgu_demo_profile_00079,"23-year-old, female.",two_stage_demo_source_06947,18-29,female,
E1__A__543,two_stage_trust_punishment_y2hgu_demo_profile_00080,"58-year-old, male.",two_stage_demo_source_04678,50-64,male,
E1__A__548,two_stage_trust_punishment_y2hgu_demo_profile_00081,"44-year-old, female.",two_stage_demo_source_08795,30-49,female,
E1__A__56,two_stage_trust_punishment_y2hgu_demo_profile_00082,"57-year-old, female.",two_stage_demo_source_07472,50-64,female,
E1__A__562,two_stage_trust_punishment_y2hgu_demo_profile_00083,"34-year-old, female.",two_stage_demo_source_03329,30-49,female,
E1__A__582,two_stage_trust_punishment_y2hgu_demo_profile_00084,"68-year-old, male.",two_stage_demo_source_04208,65+,male,
E1__A__691,two_stage_trust_punishment_y2hgu_demo_profile_00085,"29-year-old, male.",two_stage_demo_source_09407,18-29,male,
E1__A__72,two_stage_trust_punishment_y2hgu_demo_profile_00086,"45-year-old, female.",two_stage_demo_source_07770,30-49,female,
E1__A__728,two_stage_trust_punishment_y2hgu_demo_profile_00087,"30-year-old, female.",two_stage_demo_source_06595,30-49,female,
E1__A__739,two_stage_trust_punishment_y2hgu_demo_profile_00088,"28-year-old, male.",two_stage_demo_source_04418,18-29,male,
E1__A__744,two_stage_trust_punishment_y2hgu_demo_profile_00089,"54-year-old, male.",two_stage_demo_source_09945,50-64,male,
E1__A__748,two_stage_trust_punishment_y2hgu_demo_profile_00090,"28-year-old, female.",two_stage_demo_source_05120,18-29,female,
E1__A__752,two_stage_trust_punishment_y2hgu_demo_profile_00091,"26-year-old, other.",two_stage_demo_source_04291,18-29,,
E1__A__884,two_stage_trust_punishment_y2hgu_demo_profile_00092,"37-year-old, female.",two_stage_demo_source_11639,30-49,female,
E1__A__909,two_stage_trust_punishment_y2hgu_demo_profile_00093,"50-year-old, male.",two_stage_demo_source_03451,50-64,male,
E1__A__913,two_stage_trust_punishment_y2hgu_demo_profile_00094,"27-year-old, male.",two_stage_demo_source_02970,18-29,male,
E1__A__92,two_stage_trust_punishment_y2hgu_demo_profile_00095,"21-year-old, male.",two_stage_demo_source_09337,18-29,male,
E1__A__935,two_stage_trust_punishment_y2hgu_demo_profile_00096,"45-year-old, female.",two_stage_demo_source_08147,30-49,female,
E1__A__971,two_stage_trust_punishment_y2hgu_demo_profile_00097,"24-year-old, male.",two_stage_demo_source_00635,18-29,male,
E1__A__983,two_stage_trust_punishment_y2hgu_demo_profile_00098,"47-year-old, female.",two_stage_demo_source_01099,30-49,female,
E1__A__985,two_stage_trust_punishment_y2hgu_demo_profile_00099,"28-year-old, female.",two_stage_demo_source_04931,18-29,female,
E1__A__986,two_stage_trust_punishment_y2hgu_demo_profile_00100,"78-year-old, female.",two_stage_demo_source_10886,65+,female,
E1__B__1049,two_stage_trust_punishment_y2hgu_demo_profile_00101,"26-year-old, male.",two_stage_demo_source_05241,18-29,male,
E1__B__1050,two_stage_trust_punishment_y2hgu_demo_profile_00102,"60-year-old, female.",two_stage_demo_source_10290,50-64,female,
E1__B__1174,two_stage_trust_punishment_y2hgu_demo_profile_00103,"32-year-old, female.",two_stage_demo_source_04138,30-49,female,
E1__B__1175,two_stage_trust_punishment_y2hgu_demo_profile_00104,"31-year-old, male.",two_stage_demo_source_03130,30-49,male,
E1__B__1220,two_stage_trust_punishment_y2hgu_demo_profile_00105,"26-year-old, female.",two_stage_demo_source_10350,18-29,female,
E1__B__1237,two_stage_trust_punishment_y2hgu_demo_profile_00106,"28-year-old, female.",two_stage_demo_source_11459,18-29,female,
E1__B__1265,two_stage_trust_punishment_y2hgu_demo_profile_00107,"31-year-old, female.",two_stage_demo_source_01037,30-49,female,
E1__B__1271,two_stage_trust_punishment_y2hgu_demo_profile_00108,"52-year-old, female.",two_stage_demo_source_00766,50-64,female,
E1__B__128,two_stage_trust_punishment_y2hgu_demo_profile_00109,"38-year-old, male.",two_stage_demo_source_08776,30-49,male,
E1__B__1288,two_stage_trust_punishment_y2hgu_demo_profile_00110,"48-year-old, male.",two_stage_demo_source_04395,30-49,male,
E1__B__1289,two_stage_trust_punishment_y2hgu_demo_profile_00111,"36-year-old, female.",two_stage_demo_source_07500,30-49,female,
E1__B__1298,two_stage_trust_punishment_y2hgu_demo_profile_00112,"34-year-old, female.",two_stage_demo_source_01965,30-49,female,
E1__B__1343,two_stage_trust_punishment_y2hgu_demo_profile_00113,"39-year-old, male.",two_stage_demo_source_11244,30-49,male,
E1__B__1369,two_stage_trust_punishment_y2hgu_demo_profile_00114,"32-year-old, female.",two_stage_demo_source_05888,30-49,female,
E1__B__1443,two_stage_trust_punishment_y2hgu_demo_profile_00115,"22-year-old, male.",two_stage_demo_source_11701,18-29,male,
E1__B__146,two_stage_trust_punishment_y2hgu_demo_profile_00116,"54-year-old, male.",two_stage_demo_source_10411,50-64,male,
E1__B__1551,two_stage_trust_punishment_y2hgu_demo_profile_00117,"55-year-old, female.",two_stage_demo_source_09221,50-64,female,
E1__B__1579,two_stage_trust_punishment_y2hgu_demo_profile_00118,"36-year-old, male.",two_stage_demo_source_03016,30-49,male,
E1__B__1607,two_stage_trust_punishment_y2hgu_demo_profile_00119,"23-year-old, male.",two_stage_demo_source_10028,18-29,male,
E1__B__1610,two_stage_trust_punishment_y2hgu_demo_profile_00120,"22-year-old, other.",two_stage_demo_source_00681,18-29,,
E1__B__1630,two_stage_trust_punishment_y2hgu_demo_profile_00121,"21-year-old, female.",two_stage_demo_source_07453,18-29,female,
E1__B__1631,two_stage_trust_punishment_y2hgu_demo_profile_00122,"20-year-old, male.",two_stage_demo_source_05289,18-29,male,
E1__B__1695,two_stage_trust_punishment_y2hgu_demo_profile_00123,"35-year-old, female.",two_stage_demo_source_13030,30-49,female,
E1__B__1698,two_stage_trust_punishment_y2hgu_demo_profile_00124,"43-year-old, female.",two_stage_demo_source_02596,30-49,female,
E1__B__1735,two_stage_trust_punishment_y2hgu_demo_profile_00125,"41-year-old, female.",two_stage_demo_source_12374,30-49,female,
E1__B__1736,two_stage_trust_punishment_y2hgu_demo_profile_00126,"34-year-old, male.",two_stage_demo_source_01187,30-49,male,
E1__B__1737,two_stage_trust_punishment_y2hgu_demo_profile_00127,"45-year-old, female.",two_stage_demo_source_08147,30-49,female,
E1__B__1739,two_stage_trust_punishment_y2hgu_demo_profile_00128,"63-year-old, female.",two_stage_demo_source_07587,50-64,female,
E1__B__189,two_stage_trust_punishment_y2hgu_demo_profile_00129,"25-year-old, female.",two_stage_demo_source_11752,18-29,female,
E1__B__1890,two_stage_trust_punishment_y2hgu_demo_profile_00130,"35-year-old, male.",two_stage_demo_source_03905,30-49,male,
E1__B__1895,two_stage_trust_punishment_y2hgu_demo_profile_00131,"32-year-old, male.",two_stage_demo_source_11793,30-49,male,
E1__B__1896,two_stage_trust_punishment_y2hgu_demo_profile_00132,"31-year-old, female.",two_stage_demo_source_08785,30-49,female,
E1__B__1899,two_stage_trust_punishment_y2hgu_demo_profile_00133,"24-year-old, male.",two_stage_demo_source_11641,18-29,male,
E1__B__190,two_stage_trust_punishment_y2hgu_demo_profile_00134,"40-year-old, male.",two_stage_demo_source_02609,30-49,male,
E1__B__2041,two_stage_trust_punishment_y2hgu_demo_profile_00135,"27-year-old, female.",two_stage_demo_source_09913,18-29,female,
E1__B__2065,two_stage_trust_punishment_y2hgu_demo_profile_00136,"30-year-old, male.",two_stage_demo_source_12317,30-49,male,
E1__B__2070,two_stage_trust_punishment_y2hgu_demo_profile_00137,"60-year-old, male.",two_stage_demo_source_00636,50-64,male,
E1__B__2083,two_stage_trust_punishment_y2hgu_demo_profile_00138,"34-year-old, female.",two_stage_demo_source_04774,30-49,female,
E1__B__2179,two_stage_trust_punishment_y2hgu_demo_profile_00139,"33-year-old, female.",two_stage_demo_source_08322,30-49,female,
E1__B__2187,two_stage_trust_punishment_y2hgu_demo_profile_00140,"53-year-old, female.",two_stage_demo_source_01380,50-64,female,
E1__B__2193,two_stage_trust_punishment_y2hgu_demo_profile_00141,"36-year-old, female.",two_stage_demo_source_06669,30-49,female,
E1__B__2197,two_stage_trust_punishment_y2hgu_demo_profile_00142,"36-year-old, female.",two_stage_demo_source_08225,30-49,female,
E1__B__2227,two_stage_trust_punishment_y2hgu_demo_profile_00143,"55-year-old, female.",two_stage_demo_source_09988,50-64,female,
E1__B__2231,two_stage_trust_punishment_y2hgu_demo_profile_00144,"55-year-old, female.",two_stage_demo_source_12121,50-64,female,
E1__B__2304,two_stage_trust_punishment_y2hgu_demo_profile_00145,"26-year-old, male.",two_stage_demo_source_05358,18-29,male,
E1__B__2318,two_stage_trust_punishment_y2hgu_demo_profile_00146,"31-year-old, female.",two_stage_demo_source_05758,30-49,female,
E1__B__2351,two_stage_trust_punishment_y2hgu_demo_profile_00147,"24-year-old, female.",two_stage_demo_source_06200,18-29,female,
E1__B__2360,two_stage_trust_punishment_y2hgu_demo_profile_00148,"35-year-old, male.",two_stage_demo_source_12480,30-49,male,
E1__B__239,two_stage_trust_punishment_y2hgu_demo_profile_00149,"34-year-old, female.",two_stage_demo_source_02560,30-49,female,
E1__B__2390,two_stage_trust_punishment_y2hgu_demo_profile_00150,"24-year-old, male.",two_stage_demo_source_06536,18-29,male,
E1__B__2405,two_stage_trust_punishment_y2hgu_demo_profile_00151,"55-year-old, male.",two_stage_demo_source_00652,50-64,male,
E1__B__2408,two_stage_trust_punishment_y2hgu_demo_profile_00152,"18-year-old, other.",two_stage_demo_source_05560,18-29,,
E1__B__2409,two_stage_trust_punishment_y2hgu_demo_profile_00153,"25-year-old, female.",two_stage_demo_source_12359,18-29,female,
E1__B__242,two_stage_trust_punishment_y2hgu_demo_profile_00154,"56-year-old, male.",two_stage_demo_source_08109,50-64,male,
E1__B__2429,two_stage_trust_punishment_y2hgu_demo_profile_00155,"53-year-old, female.",two_stage_demo_source_04571,50-64,female,
E1__B__2431,two_stage_trust_punishment_y2hgu_demo_profile_00156,"50-year-old, female.",two_stage_demo_source_13009,50-64,female,
E1__B__2437,two_stage_trust_punishment_y2hgu_demo_profile_00157,"38-year-old, male.",two_stage_demo_source_07893,30-49,male,
E1__B__2440,two_stage_trust_punishment_y2hgu_demo_profile_00158,"44-year-old, female.",two_stage_demo_source_12406,30-49,female,
E1__B__2449,two_stage_trust_punishment_y2hgu_demo_profile_00159,"72-year-old, male.",two_stage_demo_source_00214,65+,male,
E1__B__2461,two_stage_trust_punishment_y2hgu_demo_profile_00160,"31-year-old, male.",two_stage_demo_source_06015,30-49,male,
E1__B__2475,two_stage_trust_punishment_y2hgu_demo_profile_00161,"22-year-old, female.",two_stage_demo_source_10916,18-29,female,
E1__B__2482,two_stage_trust_punishment_y2hgu_demo_profile_00162,"40-year-old, female.",two_stage_demo_source_09906,30-49,female,
E1__B__2520,two_stage_trust_punishment_y2hgu_demo_profile_00163,"25-year-old, female.",two_stage_demo_source_05328,18-29,female,
E1__B__2530,two_stage_trust_punishment_y2hgu_demo_profile_00164,"35-year-old, female.",two_stage_demo_source_06503,30-49,female,
E1__B__2599,two_stage_trust_punishment_y2hgu_demo_profile_00165,"25-year-old, female.",two_stage_demo_source_05494,18-29,female,
E1__B__2601,two_stage_trust_punishment_y2hgu_demo_profile_00166,"25-year-old, female.",two_stage_demo_source_06920,18-29,female,
E1__B__2617,two_stage_trust_punishment_y2hgu_demo_profile_00167,"33-year-old, male.",two_stage_demo_source_03011,30-49,male,
E1__B__286,two_stage_trust_punishment_y2hgu_demo_profile_00168,"21-year-old, female.",two_stage_demo_source_10273,18-29,female,
E1__B__32,two_stage_trust_punishment_y2hgu_demo_profile_00169,"44-year-old, female.",two_stage_demo_source_01016,30-49,female,
E1__B__338,two_stage_trust_punishment_y2hgu_demo_profile_00170,"22-year-old, female.",two_stage_demo_source_05421,18-29,female,
E1__B__341,two_stage_trust_punishment_y2hgu_demo_profile_00171,"62-year-old, male.",two_stage_demo_source_03685,50-64,male,
E1__B__351,two_stage_trust_punishment_y2hgu_demo_profile_00172,"45-year-old, male.",two_stage_demo_source_09602,30-49,male,
E1__B__364,two_stage_trust_punishment_y2hgu_demo_profile_00173,"32-year-old, male.",two_stage_demo_source_09796,30-49,male,
E1__B__38,two_stage_trust_punishment_y2hgu_demo_profile_00174,"32-year-old, male.",two_stage_demo_source_09297,30-49,male,
E1__B__402,two_stage_trust_punishment_y2hgu_demo_profile_00175,"57-year-old, female.",two_stage_demo_source_12086,50-64,female,
E1__B__417,two_stage_trust_punishment_y2hgu_demo_profile_00176,"28-year-old, female.",two_stage_demo_source_12185,18-29,female,
E1__B__515,two_stage_trust_punishment_y2hgu_demo_profile_00177,"50-year-old, male.",two_stage_demo_source_02414,50-64,male,
E1__B__534,two_stage_trust_punishment_y2hgu_demo_profile_00178,"55-year-old, male.",two_stage_demo_source_01503,50-64,male,
E1__B__536,two_stage_trust_punishment_y2hgu_demo_profile_00179,"69-year-old, female.",two_stage_demo_source_01731,65+,female,
E1__B__559,two_stage_trust_punishment_y2hgu_demo_profile_00180,"41-year-old, female.",two_stage_demo_source_09531,30-49,female,
E1__B__571,two_stage_trust_punishment_y2hgu_demo_profile_00181,"44-year-old, female.",two_stage_demo_source_12686,30-49,female,
E1__B__590,two_stage_trust_punishment_y2hgu_demo_profile_00182,"29-year-old, female.",two_stage_demo_source_12125,18-29,female,
E1__B__707,two_stage_trust_punishment_y2hgu_demo_profile_00183,"22-year-old, female.",two_stage_demo_source_08736,18-29,female,
E1__B__727,two_stage_trust_punishment_y2hgu_demo_profile_00184,"52-year-old, female.",two_stage_demo_source_12654,50-64,female,
E1__B__747,two_stage_trust_punishment_y2hgu_demo_profile_00185,"45-year-old, female.",two_stage_demo_source_11391,30-49,female,
E1__B__75,two_stage_trust_punishment_y2hgu_demo_profile_00186,"27-year-old, female.",two_stage_demo_source_00193,18-29,female,
E1__B__754,two_stage_trust_punishment_y2hgu_demo_profile_00187,"25-year-old, female.",two_stage_demo_source_01559,18-29,female,
E1__B__756,two_stage_trust_punishment_y2hgu_demo_profile_00188,"47-year-old, female.",two_stage_demo_source_11291,30-49,female,
E1__B__759,two_stage_trust_punishment_y2hgu_demo_profile_00189,"53-year-old, male.",two_stage_demo_source_01077,50-64,male,
E1__B__76,two_stage_trust_punishment_y2hgu_demo_profile_00190,"22-year-old, female.",two_stage_demo_source_12828,18-29,female,
E1__B__88,two_stage_trust_punishment_y2hgu_demo_profile_00191,"43-year-old, male.",two_stage_demo_source_10817,30-49,male,
E1__B__889,two_stage_trust_punishment_y2hgu_demo_profile_00192,"37-year-old, female.",two_stage_demo_source_12514,30-49,female,
E1__B__93,two_stage_trust_punishment_y2hgu_demo_profile_00193,"61-year-old, male.",two_stage_demo_source_04711,50-64,male,
E1__B__930,two_stage_trust_punishment_y2hgu_demo_profile_00194,"29-year-old, male.",two_stage_demo_source_01945,18-29,male,
E1__B__970,two_stage_trust_punishment_y2hgu_demo_profile_00195,"68-year-old, male.",two_stage_demo_source_06757,65+,male,
E1__B__976,two_stage_trust_punishment_y2hgu_demo_profile_00196,"47-year-old, female.",two_stage_demo_source_12716,30-49,female,
E1__B__98,two_stage_trust_punishment_y2hgu_demo_profile_00197,"42-year-old, female.",two_stage_demo_source_04801,30-49,female,
E1__B__982,two_stage_trust_punishment_y2hgu_demo_profile_00198,"46-year-old, male.",two_stage_demo_source_11635,30-49,male,
E1__B__993,two_stage_trust_punishment_y2hgu_demo_profile_00199,"49-year-old, male.",two_stage_demo_source_05018,30-49,male,
E1__B__997,two_stage_trust_punishment_y2hgu_demo_profile_00200,"21-year-old, female.",two_stage_demo_source_10751,18-29,female,
E2__A__105,two_stage_trust_punishment_y2hgu_demo_profile_00201,"39-year-old, male.",two_stage_demo_source_03002,30-49,male,
E2__A__1050,two_stage_trust_punishment_y2hgu_demo_profile_00202,"56-year-old, male.",two_stage_demo_source_06275,50-64,male,
E2__A__1165,two_stage_trust_punishment_y2hgu_demo_profile_00203,"67-year-old, female.",two_stage_demo_source_04273,65+,female,
E2__A__1178,two_stage_trust_punishment_y2hgu_demo_profile_00204,"50-year-old, male.",two_stage_demo_source_03038,50-64,male,
E2__A__1217,two_stage_trust_punishment_y2hgu_demo_profile_00205,"37-year-old, female.",two_stage_demo_source_11671,30-49,female,
E2__A__1220,two_stage_trust_punishment_y2hgu_demo_profile_00206,"45-year-old, male.",two_stage_demo_source_10483,30-49,male,
E2__A__126,two_stage_trust_punishment_y2hgu_demo_profile_00207,"22-year-old, female.",two_stage_demo_source_01826,18-29,female,
E2__A__1263,two_stage_trust_punishment_y2hgu_demo_profile_00208,"62-year-old, female.",two_stage_demo_source_12074,50-64,female,
E2__A__1268,two_stage_trust_punishment_y2hgu_demo_profile_00209,"44-year-old, male.",two_stage_demo_source_12694,30-49,male,
E2__A__1275,two_stage_trust_punishment_y2hgu_demo_profile_00210,"35-year-old, male.",two_stage_demo_source_03480,30-49,male,
E2__A__1297,two_stage_trust_punishment_y2hgu_demo_profile_00211,"28-year-old, female.",two_stage_demo_source_05575,18-29,female,
E2__A__13,two_stage_trust_punishment_y2hgu_demo_profile_00212,"54-year-old, male.",two_stage_demo_source_07046,50-64,male,
E2__A__1351,two_stage_trust_punishment_y2hgu_demo_profile_00213,"20-year-old, female.",two_stage_demo_source_08591,18-29,female,
E2__A__1358,two_stage_trust_punishment_y2hgu_demo_profile_00214,"58-year-old, female.",two_stage_demo_source_05789,50-64,female,
E2__A__1443,two_stage_trust_punishment_y2hgu_demo_profile_00215,"29-year-old, male.",two_stage_demo_source_01945,18-29,male,
