custom_id,parse_success,parse_errors,validation_errors,text,parsed_target,record_id,unit_id,treatment_name,variant,model,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension,data_source,check,act,decision_time_bucket,return_pct,send_if_act_without_check,send_if_act_after_check,send_if_no_act_without_check,send_if_no_act_after_check,send_if_act_fast,send_if_no_act_fast,send_if_act_slow,send_if_no_act_slow,send_if_act,send_if_no_act,process_label,process_binary,act_binary,pattern_label,action_premium,action_premium_without_check,action_premium_after_check,action_premium_fast,action_premium_slow,process_premium_if_act,process_premium_if_no_act
two_stage_trust_punishment_y2hgu__e1_a_1625,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1625,E1__A__1625,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1700,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1700,E1__A__1700,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_174,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__174,E1__A__174,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1744,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1744,E1__A__1744,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1884,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1884,E1__A__1884,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1897,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1897,E1__A__1897,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1903,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1903,E1__A__1903,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_198,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__198,E1__A__198,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1998,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1998,E1__A__1998,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2056,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2056,E1__A__2056,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2066,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2066,E1__A__2066,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2089,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2089,E1__A__2089,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2095,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2095,E1__A__2095,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2106,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2106,E1__A__2106,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2177,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2177,E1__A__2177,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2195,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2195,E1__A__2195,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2214,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2214,E1__A__2214,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2331,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2331,E1__A__2331,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2372,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2372,E1__A__2372,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2414,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2414,E1__A__2414,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2448,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2448,E1__A__2448,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2459,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2459,E1__A__2459,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2476,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2476,E1__A__2476,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_2558,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__2558,E1__A__2558,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_28,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__28,E1__A__28,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_284,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__284,E1__A__284,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_379,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__379,E1__A__379,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_397,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__397,E1__A__397,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_428,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__428,E1__A__428,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_501,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__501,E1__A__501,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_543,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__543,E1__A__543,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_56,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__56,E1__A__56,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_582,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__582,E1__A__582,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_744,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__744,E1__A__744,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_748,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__748,E1__A__748,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_752,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__752,E1__A__752,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_909,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__909,E1__A__909,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_92,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__92,E1__A__92,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_971,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__971,E1__A__971,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_983,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__983,E1__A__983,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1044,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1044,E1__A__1044,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1189,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1189,E1__A__1189,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1223,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1223,E1__A__1223,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1270,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1270,E1__A__1270,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1295,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1295,E1__A__1295,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1309,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1309,E1__A__1309,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1386,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1386,E1__A__1386,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1459,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1459,E1__A__1459,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1560,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1560,E1__A__1560,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1621,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1621,E1__A__1621,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1633,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1633,E1__A__1633,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1716,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1716,E1__A__1716,E1_ROLE_A_OBSERVABLE,baseline,gpt-5.1,E1,A,observable,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
