sample_index,scenario_index,sample_within_scenario,custom_id,source_custom_id,response_id,extended_session_id,user_id,scenario_order,scenario_hash,global_count,left_action,right_action,option_a_screen_side,option_b_screen_side,option_a_action,option_b_action,gold_choice,gold_action,user_country3,user_country3_raw_full_file,review_age,review_education,review_gender,review_income,review_political,review_religious,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,temperature_included,wvs_wave,wvs_wave_years,wvs_donor_s007,wvs_match_key,wvs_donor_pool_size,wvs_profile_text,wvs_values_included
134,27,4,mm_individual_demo_027_04_ab_wvsw6_d1,mm_individual_demo_027_04_ab,tLJ2reCu7cRKfhwX2,-696884400_2808927424456440.0,2808927424456440,3,0205c1ee69c9f923c1b7a1e71b3e5963,14824,swerve,stay,left,right,swerve,stay,B,stay,DEU,DEU,35,graduate,female,25000,1,1,Gender,Gender,Male,1,1695,424,485,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 35
Gender: Female
Education: Graduate degree
Annual income: $25,001-$35,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 1.00 on a not religious (0) to very religious (1) scale
Country: DEU

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 3 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a month.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 5 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 large woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 large man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,2760620128,DEU|female|35-44|upper|medium|high|high,1,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 3 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a month.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 5 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F117|F123
135,27,5,mm_individual_demo_027_05_ab_wvsw6_d1,mm_individual_demo_027_05_ab,wbwP3JfWtzfReFWDw,-400969013_3781454661623122.0,3781454661623120,1,0205c1ee69c9f923c1b7a1e71b3e5963,14824,stay,swerve,left,right,stay,swerve,A,stay,USA,USA,26,college,male,35000,0.41,0.46,Gender,Gender,Male,1,1806,452,516,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 26
Gender: Male
Education: Attended college
Annual income: $35,001-$50,000
Political views: 0.41 on a conservative (0) to progressive (1) scale
Religiosity: 0.46 on a not religious (0) to very religious (1) scale
Country: USA

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 5 on a 1 left to 10 right scale.
Religion in life: rather important.
Religious service attendance: only on special holy days.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 7 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 4 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 3 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 3 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 large man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 large woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,8400621691,USA|male|25-34|middle|medium|mid|mid,10,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 5 on a 1 left to 10 right scale.
Religion in life: rather important.
Religious service attendance: only on special holy days.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 7 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 4 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 3 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 3 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F123
136,28,1,mm_individual_demo_028_01_ab_wvsw6_d1,mm_individual_demo_028_01_ab,2Xtv94sQDzbNeRvBN,-157566411_7960748349356137.0,7960748349356140,4,ea2b354634993cdac66fa6f859c0068e,14807,swerve,stay,left,right,swerve,stay,A,swerve,USA,USA,26,college,female,10000,0.5,0.87,Gender,Gender,Male,1,1802,451,515,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 26
Gender: Female
Education: Attended college
Annual income: $10,001-$15,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.87 on a not religious (0) to very religious (1) scale
Country: USA

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 6 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a week.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female executive.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male executive.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,8400621333,USA|female|25-34|middle|low|mid|high,5,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 6 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a week.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F123
137,28,2,mm_individual_demo_028_02_ab_wvsw6_d1,mm_individual_demo_028_02_ab,3o4ceP8D5fu6HbsRQ,1929312264_4559752888955086.0,4559752888955090,1,ea2b354634993cdac66fa6f859c0068e,14807,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,30,graduate,male,25000,1,0.78,Gender,Gender,Male,1,1862,466,532,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 30
Gender: Male
Education: Graduate degree
Annual income: $25,001-$35,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.78 on a not religious (0) to very religious (1) scale
Country: BRA

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 1 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: only on special holy days.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Euthanasia: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male executive.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female executive.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,760620025,BRA|male|25-34|upper|medium|high|high,2,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 1 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: only on special holy days.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Euthanasia: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F122|F123
140,28,5,mm_individual_demo_028_05_ab_wvsw6_d1,mm_individual_demo_028_05_ab,jWN4Rsp4ixL8XsCPg,-457624045_4334010992292907.0,4334010992292910,13,ea2b354634993cdac66fa6f859c0068e,14807,stay,swerve,left,right,stay,swerve,A,stay,URY,URY,23,college,male,5000,0.5,0.34,Gender,Gender,Male,1,1738,435,497,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Male
Education: Attended college
Annual income: $5,000-$10,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.34 on a not religious (0) to very religious (1) scale
Country: URY

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 7 on a 1 left to 10 right scale.
Religion in life: not very important.
Religious service attendance: never, practically never.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 3 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 3 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 3 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male executive.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female executive.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,8580620659,URY|male|15-24|middle|low|mid|mid,1,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 7 on a 1 left to 10 right scale.
Religion in life: not very important.
Religious service attendance: never, practically never.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 3 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 3 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 3 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117
141,29,1,mm_individual_demo_029_01_ab_wvsw6_d1,mm_individual_demo_029_01_ab,2sFkd9kCwd2RQRpCp,-1923514892_2543619245813511.0,2543619245813510,1,7c5eb9f0e9c6bb257050569d1264ea4a,14790,stay,swerve,left,right,stay,swerve,B,swerve,BRA,BRA,19,college,female,above100000,1,0.5,Gender,Gender,Female,1,1824,456,522,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 19
Gender: Female
Education: Attended college
Annual income: Over $100,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: BRA

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
Political self-placement: 1 on a 1 left to 10 right scale.
Religion in life: rather important.
Religious service attendance: once a month.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 5 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 7 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 5 on a 1 never justifiable to 10 always justifiable scale.
Euthanasia: 8 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 5 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,760620572,BRA|female|15-24|middle|high|high|mid,1,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
Political self-placement: 1 on a 1 left to 10 right scale.
Religion in life: rather important.
Religious service attendance: once a month.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 5 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 7 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 5 on a 1 never justifiable to 10 always justifiable scale.
Euthanasia: 8 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 5 on a 1 never justifiable to 10 always justifiable scale.",E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F122|F123
151,31,1,mm_individual_demo_031_01_ab_wvsw6_d1,mm_individual_demo_031_01_ab,3hXdk4Ptpno5dERNZ,1602200907_4175260135737535.0,4175260135737540,2,3b93b24d35338bb577169344973e079e,14760,stay,swerve,left,right,stay,swerve,A,stay,AUS,AUS,27,bachelor,male,above100000,0.8,0,Gender,Gender,Female,1,1791,448,512,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 27
Gender: Male
Education: Bachelor degree
Annual income: Over $100,000
Political views: 0.80 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: AUS

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 3 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 3 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 2 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 3 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 large woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 large man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,360621293,AUS|male|25-34|upper|high|high|low,2,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 3 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 3 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 2 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 3 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F123
152,31,2,mm_individual_demo_031_02_ab_wvsw6_d1,mm_individual_demo_031_02_ab,64juTuPNJbnAuCNGX,1876858657_8173119574061702.0,8173119574061700,6,3b93b24d35338bb577169344973e079e,14760,swerve,stay,left,right,swerve,stay,B,stay,TUR,TUR,23,bachelor,female,under5000,0.76,0.03,Gender,Gender,Female,1,1796,449,514,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Female
Education: Bachelor degree
Annual income: Under $5,000
Political views: 0.76 on a conservative (0) to progressive (1) scale
Religiosity: 0.03 on a not religious (0) to very religious (1) scale
Country: TUR

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 2 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: a convinced atheist.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 10 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 8 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 large man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 large woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,7920620468,TUR|female|15-24|upper|low|high|low,2,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 2 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: a convinced atheist.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: mentioned as important.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 10 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 8 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F123
154,31,4,mm_individual_demo_031_04_ab_wvsw6_d1,mm_individual_demo_031_04_ab,iQQamRh5M5r7ymwnK,-2050344306_5941576020066758.0,5941576020066760,3,3b93b24d35338bb577169344973e079e,14760,stay,swerve,left,right,stay,swerve,B,swerve,DEU,DEU,23,graduate,male,35000,0.5,0,Gender,Gender,Female,1,1721,431,492,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Male
Education: Graduate degree
Annual income: $35,001-$50,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: DEU

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 6 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 7 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 large woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 large man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,2760620575,DEU|male|15-24|upper|medium|mid|low,3,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: need to be very careful.
Political self-placement: 6 on a 1 left to 10 right scale.
Religion in life: not important at all.
Religious service attendance: never, practically never.
Self-description on religion: not a religious person.
Child quality, feeling of responsibility: mentioned as important.
Child quality, unselfishness: not mentioned.
Child quality, obedience: mentioned as important.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 7 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F117|F123
156,32,1,mm_individual_demo_032_01_ab_wvsw6_d1,mm_individual_demo_032_01_ab,2KCpT7wFEiB2BCR98,-1749553699_8011296422552461.0,8011296422552460,1,658ada3062c37295a6befb570d209548,14760,stay,swerve,left,right,stay,swerve,A,stay,USA,USA,34,bachelor,male,50000,0,0.7,Gender,Gender,Male,1,1767,442,505,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 34
Gender: Male
Education: Bachelor degree
Annual income: $50,001-$80,000
Political views: 0.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.70 on a not religious (0) to very religious (1) scale
Country: USA

Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 9 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a week.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: not mentioned.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,wvs_wave_one_donor_exact_polrel_v1,False,6,2010-2014,8400620228,USA|male|25-34|upper|medium|low|high,5,"Imputed WVS donor profile: Wave 6 (2010-2014).
This is one matched WVS respondent, used as plausible value context for the Moral Machine participant rather than as observed answers from that participant.
General trust: most people can be trusted.
Political self-placement: 9 on a 1 left to 10 right scale.
Religion in life: very important.
Religious service attendance: once a week.
Self-description on religion: a religious person.
Child quality, feeling of responsibility: not mentioned.
Child quality, unselfishness: not mentioned.
Child quality, obedience: not mentioned.
Avoiding a fare on public transport: 1 on a 1 never justifiable to 10 always justifiable scale.
Cheating on taxes: 1 on a 1 never justifiable to 10 always justifiable scale.
Accepting a bribe: 1 on a 1 never justifiable to 10 always justifiable scale.
Suicide: 1 on a 1 never justifiable to 10 always justifiable scale.",A165|E033|A006|F028|F034|A032|A041|A042|F115|F116|F117|F123
