record_id,unit_id,treatment_name,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension,gold_target_json
E1__A__2095,E1__A__2095,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 30}"
E1__A__2106,E1__A__2106,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2177,E1__A__2177,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2195,E1__A__2195,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2214,E1__A__2214,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2331,E1__A__2331,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 0}"
E1__A__2372,E1__A__2372,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 100}"
E1__A__2414,E1__A__2414,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 0}"
E1__A__2448,E1__A__2448,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 21}"
E1__A__2459,E1__A__2459,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 15}"
E1__A__2476,E1__A__2476,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2558,E1__A__2558,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__28,E1__A__28,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 20}"
E1__A__284,E1__A__284,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""NO"", ""return_pct"": 50}"
E1__A__379,E1__A__379,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__397,E1__A__397,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 20}"
E1__A__428,E1__A__428,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__501,E1__A__501,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__543,E1__A__543,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__56,E1__A__56,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__582,E1__A__582,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__744,E1__A__744,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__748,E1__A__748,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 10}"
E1__A__752,E1__A__752,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__909,E1__A__909,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__92,E1__A__92,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 100}"
E1__A__971,E1__A__971,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 40}"
E1__A__983,E1__A__983,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1044,E1__A__1044,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1189,E1__A__1189,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1223,E1__A__1223,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1270,E1__A__1270,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1295,E1__A__1295,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1309,E1__A__1309,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1386,E1__A__1386,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1459,E1__A__1459,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1560,E1__A__1560,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 18}"
E1__A__1621,E1__A__1621,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__1633,E1__A__1633,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1716,E1__A__1716,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1758,E1__A__1758,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__1759,E1__A__1759,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1893,E1__A__1893,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 19}"
E1__A__1901,E1__A__1901,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 40}"
E1__A__1905,E1__A__1905,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2050,E1__A__2050,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2068,E1__A__2068,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 70}"
E1__A__2191,E1__A__2191,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 20}"
E1__A__2201,E1__A__2201,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 30}"
E1__A__2243,E1__A__2243,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2322,E1__A__2322,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 20}"
E1__A__238,E1__A__238,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2411,E1__A__2411,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2417,E1__A__2417,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2447,E1__A__2447,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2457,E1__A__2457,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__247,E1__A__247,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2483,E1__A__2483,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2503,E1__A__2503,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2552,E1__A__2552,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2610,E1__A__2610,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__297,E1__A__297,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__354,E1__A__354,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 30}"
E1__A__365,E1__A__365,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__394,E1__A__394,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__421,E1__A__421,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__537,E1__A__537,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""NO"", ""return_pct"": 20}"
E1__A__548,E1__A__548,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__562,E1__A__562,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 40}"
E1__A__691,E1__A__691,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 30}"
E1__A__72,E1__A__72,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__728,E1__A__728,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__739,E1__A__739,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__884,E1__A__884,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__913,E1__A__913,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__935,E1__A__935,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__985,E1__A__985,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__986,E1__A__986,E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 0}"
E1__B__1049,E1__B__1049,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 8, ""send_if_no_act"": 0}"
E1__B__1174,E1__B__1174,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__1220,E1__B__1220,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__1265,E1__B__1265,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__1271,E1__B__1271,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 7, ""send_if_no_act"": 2}"
E1__B__1289,E1__B__1289,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 0}"
E1__B__1343,E1__B__1343,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__1443,E1__B__1443,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__1551,E1__B__1551,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 7, ""send_if_no_act"": 4}"
E1__B__1607,E1__B__1607,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__1630,E1__B__1630,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__1695,E1__B__1695,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 0}"
E1__B__1735,E1__B__1735,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__1739,E1__B__1739,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__1890,E1__B__1890,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 6, ""send_if_no_act"": 0}"
E1__B__1899,E1__B__1899,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__190,E1__B__190,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 10}"
E1__B__2065,E1__B__2065,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 1}"
E1__B__2083,E1__B__2083,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__2187,E1__B__2187,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__2193,E1__B__2193,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 3, ""send_if_no_act"": 2}"
E1__B__2227,E1__B__2227,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__2304,E1__B__2304,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__2351,E1__B__2351,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__239,E1__B__239,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 9, ""send_if_no_act"": 7}"
E1__B__2390,E1__B__2390,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 10}"
E1__B__2409,E1__B__2409,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__2429,E1__B__2429,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__2437,E1__B__2437,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 0}"
E1__B__2449,E1__B__2449,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 3}"
E1__B__2475,E1__B__2475,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__2520,E1__B__2520,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 0}"
E1__B__2599,E1__B__2599,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__2617,E1__B__2617,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__32,E1__B__32,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__341,E1__B__341,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 0}"
E1__B__364,E1__B__364,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 4, ""send_if_no_act"": 0}"
E1__B__402,E1__B__402,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 6, ""send_if_no_act"": 6}"
E1__B__515,E1__B__515,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 4, ""send_if_no_act"": 5}"
E1__B__534,E1__B__534,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__559,E1__B__559,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__707,E1__B__707,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 4, ""send_if_no_act"": 6}"
E1__B__747,E1__B__747,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__75,E1__B__75,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__754,E1__B__754,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 7, ""send_if_no_act"": 5}"
E1__B__88,E1__B__88,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 10}"
E1__B__930,E1__B__930,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 10, ""send_if_no_act"": 0}"
E1__B__970,E1__B__970,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 8, ""send_if_no_act"": 2}"
E1__B__976,E1__B__976,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 5, ""send_if_no_act"": 5}"
E1__B__993,E1__B__993,E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,help,cost,"{""send_if_act"": 0, ""send_if_no_act"": 0}"
E1__B__1050,E1__B__1050,E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,help,cost,"{""send_if_act_without_check"": 5, ""send_if_act_after_check"": 5, ""send_if_no_act_without_check"": 3, ""send_if_no_act_after_check"": 1}"
E1__B__1175,E1__B__1175,E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,help,cost,"{""send_if_act_without_check"": 10, ""send_if_act_after_check"": 10, ""send_if_no_act_without_check"": 10, ""send_if_no_act_after_check"": 10}"
E1__B__1237,E1__B__1237,E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,help,cost,"{""send_if_act_without_check"": 6, ""send_if_act_after_check"": 8, ""send_if_no_act_without_check"": 0, ""send_if_no_act_after_check"": 0}"
E1__B__128,E1__B__128,E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,help,cost,"{""send_if_act_without_check"": 8, ""send_if_act_after_check"": 6, ""send_if_no_act_without_check"": 2, ""send_if_no_act_after_check"": 2}"
E1__B__1288,E1__B__1288,E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,help,cost,"{""send_if_act_without_check"": 10, ""send_if_act_after_check"": 4, ""send_if_no_act_without_check"": 0, ""send_if_no_act_after_check"": 0}"
