tag,cluster_id,cluster_title,CONFIG_MPCR,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_endowment,CONFIG_numRounds,CONFIG_playerCount,CONFIG_punishmentCost,CONFIG_punishmentExists,CONFIG_punishmentMagnitude,CONFIG_rewardCost,CONFIG_rewardExists,CONFIG_rewardMagnitude,CONFIG_showNRounds,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId
COMMUNICATION,10,Minimal Communicators in Group Dynamics,0.46 (9.3%),True (61.6%),True (100.0%),1 (53.5%),20 (100.0%),14 (9.3%),17 (16.3%),2 (33.7%),True (61.6%),4.0 (18.6%),2 (33.7%),True (61.6%),3.0 (27.9%),True (58.1%),True (66.3%),True (52.3%),True (52.3%)
COMMUNICATION,11,Low-Engagement Cooperative Players,0.38 (12.4%),False (61.2%),True (100.0%),0 (51.2%),20 (100.0%),1 (9.9%),14 (12.4%),2 (34.7%),False (64.5%),3.0 (13.2%),2 (34.7%),False (58.7%),2.0 (33.9%),True (51.2%),False (62.0%),False (58.7%),False (58.7%)
COMMUNICATION,12,Silent Observers in Social Dynamics,0.23 (8.2%),True (50.8%),True (100.0%),1 (61.5%),20 (100.0%),10 (13.9%),17 (11.5%),2 (27.9%),True (61.5%),11.0 (18.9%),2 (27.9%),True (67.2%),1.0 (27.0%),True (69.7%),True (63.1%),False (51.6%),False (51.6%)
COMMUNICATION,13,Silent Cooperators in Group Dynamics,0.63 (12.5%),False (59.0%),True (100.0%),0 (56.2%),20 (100.0%),10 (9.0%),12 (12.5%),2 (33.3%),False (59.0%),4.0 (21.5%),2 (33.3%),False (66.0%),1.0 (32.6%),True (59.0%),False (61.1%),False (59.7%),False (59.7%)
COMMUNICATION,14,Silent Observers in Communication Dynamics,0.38 (15.1%),True (50.8%),True (100.0%),0 (51.6%),20 (100.0%),1 (9.5%),20 (13.5%),2 (38.1%),False (59.5%),5.0 (20.6%),2 (38.1%),False (52.4%),1.0 (38.1%),True (73.0%),False (50.8%),False (59.5%),False (59.5%)
CONTRIBUTION,0,Moderate Contributors in Cooperative Settings,0.18 (6.6%),False (100.0%),False (74.6%),0 (61.8%),20 (100.0%),2 (12.7%),19 (11.4%),2 (34.2%),True (55.3%),3.0 (19.3%),2 (34.2%),False (51.3%),1.0 (36.4%),True (55.3%),False (51.3%),True (56.1%),True (56.1%)
CONTRIBUTION,1,Volatile Contributors: Patterns of Cooperation,0.13 (7.6%),False (78.6%),False (76.3%),0 (56.6%),20 (100.0%),25 (12.5%),19 (11.8%),3 (33.9%),False (60.5%),3.0 (18.8%),3 (33.9%),False (54.9%),3.0 (30.3%),True (56.9%),True (57.6%),True (55.9%),True (55.9%)
CONTRIBUTION,2,Patterns of Opportunistic Contribution Behavior,0.4 (6.4%),True (61.1%),False (62.0%),0 (50.0%),20 (100.0%),24 (7.7%),9 (9.4%),3 (32.1%),False (65.4%),5.0 (15.0%),3 (32.1%),False (59.4%),3.0 (27.8%),True (55.1%),True (54.3%),True (50.9%),True (50.9%)
CONTRIBUTION,3,Patterns of Unconditional Free-Riding Behavior,0.36 (7.0%),True (75.4%),False (57.0%),1 (57.0%),20 (100.0%),4 (9.9%),18 (9.9%),2 (38.0%),False (62.0%),5.0 (18.3%),2 (38.0%),False (52.8%),3.0 (29.6%),True (56.3%),False (51.4%),False (50.7%),False (50.7%)
CONTRIBUTION,4,High Contributors with Conditional Flexibility,0.3 (6.2%),False (91.1%),False (67.8%),0 (58.2%),20 (100.0%),8 (11.0%),15 (12.3%),3 (32.9%),True (56.2%),3.0 (15.8%),3 (32.9%),True (60.3%),1.0 (26.4%),False (51.7%),True (51.7%),True (52.1%),True (52.1%)
CONTRIBUTION,5,Dynamic Contributors in Cooperative Settings,0.19 (7.2%),True (71.9%),False (52.7%),0 (54.5%),20 (100.0%),5 (9.9%),17 (12.3%),2 (33.6%),False (67.1%),3.0 (15.8%),2 (33.6%),False (58.2%),3.0 (27.4%),True (55.8%),True (57.5%),False (55.5%),False (55.5%)
CONTRIBUTION,6,Cooperative Contributors with Occasional Deviations,0.63 (5.3%),True (68.4%),True (60.2%),0 (53.0%),20 (100.0%),4 (6.8%),17 (11.7%),2 (32.0%),False (53.0%),5.0 (13.2%),2 (32.0%),False (50.0%),1.0 (27.4%),True (53.0%),False (50.4%),False (54.1%),False (54.1%)
CONTRIBUTION,7,High Contributors in Cooperative Settings,0.24 (5.9%),False (81.0%),True (62.0%),1 (51.9%),20 (100.0%),12 (9.3%),14 (12.2%),3 (31.2%),True (56.1%),6.0 (13.1%),3 (31.2%),True (62.4%),1.0 (27.4%),False (52.7%),False (51.5%),False (50.6%),False (50.6%)
CONTRIBUTION,8,High Contributors with Strategic Defections,0.34 (5.8%),True (67.0%),True (60.7%),0 (56.3%),20 (100.0%),9 (8.3%),16 (13.1%),3 (35.0%),False (53.9%),6.0 (13.6%),3 (35.0%),False (64.6%),2.0 (36.9%),False (53.4%),False (53.9%),False (51.0%),False (51.0%)
CONTRIBUTION,9,Unconditional High Contributors in Group Settings,0.46 (6.5%),False (55.7%),True (67.2%),1 (53.1%),20 (100.0%),2 (8.8%),19 (14.9%),3 (31.7%),True (60.3%),6.0 (12.6%),3 (31.7%),True (70.6%),2.0 (29.4%),True (56.5%),True (56.1%),True (52.7%),True (52.7%)
CONTRIBUTION,10,Unconditional High Contributors in Cooperative Settings,0.42 (4.7%),True (51.0%),True (59.6%),0 (51.8%),20 (100.0%),29 (9.4%),17 (12.2%),2 (35.3%),True (57.3%),6.0 (13.7%),2 (35.3%),False (58.0%),2.0 (40.4%),False (50.6%),False (52.2%),False (53.7%),False (53.7%)
CONTRIBUTION,11,Unwavering Commitment to Group Contribution,0.63 (6.1%),True (51.3%),True (57.0%),1 (50.4%),20 (100.0%),9 (7.5%),16 (13.6%),2 (35.1%),True (58.8%),2.0 (16.2%),2 (35.1%),False (53.1%),2.0 (32.0%),False (61.0%),False (61.8%),False (50.4%),False (50.4%)
CONTRIBUTION,12,Unwavering Full Cooperation in Groups,0.19 (8.8%),True (72.6%),True (80.0%),0 (54.0%),20 (100.0%),30 (11.6%),19 (14.4%),2 (38.1%),False (58.1%),3.0 (17.2%),2 (38.1%),False (67.0%),2.0 (31.6%),False (59.1%),False (62.3%),False (54.9%),False (54.9%)
CONTRIBUTION,13,Unwavering Full Cooperation in Groups,0.4 (9.0%),True (70.9%),False (54.7%),1 (52.5%),20 (100.0%),20 (9.9%),18 (12.1%),2 (40.4%),True (51.1%),2.0 (15.7%),2 (40.4%),True (50.2%),2.0 (32.3%),False (51.6%),False (58.3%),False (57.4%),False (57.4%)
CONTRIBUTION,14,Unconditional Full Cooperation in Group Settings,0.36 (6.2%),True (77.2%),True (63.5%),0 (58.0%),20 (100.0%),5 (9.4%),19 (10.7%),2 (33.9%),True (62.2%),3.0 (13.7%),2 (33.9%),True (56.0%),2.0 (28.3%),True (54.4%),False (50.5%),True (55.7%),True (55.7%)
PUNISHMENT,0,The Reluctance to Punish in Groups,0.63 (8.5%),True (50.4%),True (78.3%),0 (55.8%),20 (100.0%),22 (9.3%),17 (14.7%),3 (35.7%),True (100.0%),3.0 (16.3%),3 (35.7%),False (62.0%),2.0 (28.7%),False (58.1%),True (65.1%),False (51.9%),False (51.9%)
PUNISHMENT,1,The Reluctant Non-Punisher,0.38 (5.5%),False (55.5%),False (63.6%),0 (56.4%),20 (100.0%),8 (10.9%),20 (9.1%),2 (35.5%),True (100.0%),5.0 (20.9%),2 (35.5%),False (59.1%),1.0 (30.0%),True (51.8%),False (57.3%),False (61.8%),False (61.8%)
PUNISHMENT,2,Non-Punitive Behavior in Group Dynamics,0.56 (8.5%),False (59.9%),False (81.0%),0 (53.5%),20 (100.0%),4 (8.5%),16 (12.7%),3 (35.2%),True (100.0%),2.0 (21.1%),3 (35.2%),False (53.5%),1.0 (27.5%),False (69.0%),False (54.2%),False (58.5%),False (58.5%)
PUNISHMENT,3,The Reluctant Non-Punisher Profile,0.19 (8.0%),True (54.9%),True (57.5%),0 (57.5%),20 (100.0%),1 (8.0%),19 (10.6%),3 (34.5%),True (100.0%),3.0 (16.8%),3 (34.5%),False (56.6%),2.0 (32.7%),True (54.0%),False (68.1%),False (62.8%),False (62.8%)
PUNISHMENT,4,Reluctance to Use Punishment Mechanisms,0.24 (5.6%),True (50.8%),True (74.3%),0 (52.5%),20 (100.0%),10 (8.9%),13 (10.1%),2 (35.8%),True (100.0%),4.0 (14.5%),2 (35.8%),True (57.5%),3.0 (27.9%),True (54.2%),True (55.3%),True (57.0%),True (57.0%)
PUNISHMENT,5,Reluctance to Use Punishment in Groups,0.46 (10.8%),False (51.2%),True (71.7%),1 (51.2%),20 (100.0%),14 (10.2%),16 (15.7%),2 (31.9%),True (100.0%),6.0 (21.7%),2 (31.9%),True (75.9%),1.0 (27.1%),True (60.2%),False (58.4%),True (62.7%),True (62.7%)
PUNISHMENT,6,Selective Punishment in Cooperative Settings,0.24 (7.1%),True (54.8%),True (82.1%),0 (56.0%),20 (100.0%),30 (8.3%),15 (14.3%),2 (34.5%),True (100.0%),7.0 (16.7%),2 (34.5%),True (52.4%),2.0 (32.1%),False (56.0%),True (52.4%),True (57.1%),True (57.1%)
PUNISHMENT,7,Selective Punishment in Group Dynamics,0.19 (10.7%),True (60.2%),True (73.8%),1 (61.2%),20 (100.0%),30 (10.7%),18 (19.4%),2 (41.7%),True (100.0%),3.0 (22.3%),2 (41.7%),False (72.8%),2.0 (42.7%),True (53.4%),True (60.2%),False (50.5%),False (50.5%)
PUNISHMENT,8,Selective Punishment in Cooperative Settings,0.56 (8.5%),False (55.3%),False (78.7%),0 (56.4%),20 (100.0%),11 (8.5%),13 (11.7%),2 (30.9%),True (100.0%),6.0 (17.0%),2 (30.9%),False (54.3%),2.0 (30.9%),False (59.6%),False (57.4%),True (58.5%),True (58.5%)
PUNISHMENT,9,Selective Punishment in Cooperative Settings,0.4 (9.9%),True (52.1%),False (72.7%),0 (52.9%),20 (100.0%),9 (8.3%),16 (11.6%),3 (42.1%),True (100.0%),2.0 (15.7%),3 (42.1%),True (52.9%),2.0 (28.9%),True (57.9%),True (51.2%),False (50.4%),False (50.4%)
PUNISHMENT,10,Selective Punishment in Cooperative Groups,0.23 (6.5%),True (55.4%),True (88.0%),0 (54.3%),20 (100.0%),10 (8.7%),19 (16.3%),2 (32.6%),True (100.0%),4.0 (17.4%),2 (32.6%),True (56.5%),2.0 (33.7%),True (59.8%),True (63.0%),False (51.1%),False (51.1%)
PUNISHMENT,11,Selective Punishment in Group Dynamics,0.17 (6.5%),False (50.9%),False (83.3%),0 (56.5%),20 (100.0%),11 (11.1%),15 (13.0%),3 (32.4%),True (100.0%),4.0 (14.8%),3 (32.4%),False (59.3%),3.0 (32.4%),False (60.2%),True (51.9%),True (51.9%),True (51.9%)
PUNISHMENT,12,The Dynamics of Costly Punishment,0.2 (5.9%),True (53.5%),True (70.3%),0 (50.5%),20 (100.0%),14 (8.9%),19 (19.8%),2 (35.6%),True (100.0%),11.0 (14.9%),2 (35.6%),True (61.4%),2.0 (29.7%),True (67.3%),True (59.4%),True (50.5%),True (50.5%)
PUNISHMENT,13,Costly Punishers: Enforcing Contribution Norms,0.4 (6.6%),True (53.9%),False (73.0%),0 (58.6%),20 (100.0%),17 (8.6%),16 (10.5%),3 (38.2%),True (100.0%),3.0 (12.5%),3 (38.2%),True (57.2%),2.0 (30.3%),False (55.3%),False (57.9%),True (52.0%),True (52.0%)
PUNISHMENT,14,The Dynamics of Costly Punishment,0.32 (8.5%),False (52.5%),False (77.1%),0 (52.5%),20 (100.0%),25 (10.2%),18 (10.2%),2 (38.1%),True (100.0%),3.0 (19.5%),2 (38.1%),False (74.6%),3.0 (27.1%),True (61.9%),False (53.4%),False (50.8%),False (50.8%)
RESPONSE_TO_END_GAME,0,Consistent Cooperation Until the End,0.48 (7.4%),True (57.4%),True (62.0%),1 (52.8%),20 (100.0%),14 (11.1%),14 (17.6%),2 (35.2%),False (73.1%),6.0 (21.3%),2 (35.2%),False (66.7%),2.0 (32.4%),True (100.0%),False (64.8%),False (50.9%),False (50.9%)
RESPONSE_TO_END_GAME,1,Consistent Cooperation in Final Game Rounds,0.32 (10.7%),False (55.7%),False (60.3%),1 (55.0%),20 (100.0%),28 (9.9%),10 (10.7%),3 (38.9%),False (55.7%),7.0 (13.7%),3 (38.9%),False (58.8%),1.0 (25.2%),True (100.0%),False (64.9%),True (56.5%),True (56.5%)
RESPONSE_TO_END_GAME,2,Consistent Cooperation Through Final Rounds,0.38 (9.1%),True (58.8%),False (56.4%),0 (55.2%),20 (100.0%),1 (9.7%),18 (14.5%),2 (41.2%),False (60.6%),6.0 (15.8%),2 (41.2%),False (56.4%),2.0 (34.5%),True (100.0%),False (57.0%),False (54.5%),False (54.5%)
RESPONSE_TO_END_GAME,3,Cooperative Strategies in Late Game Rounds,0.4 (9.7%),False (70.2%),False (79.8%),0 (62.9%),20 (100.0%),17 (12.1%),18 (12.1%),3 (31.5%),False (66.1%),3.0 (21.0%),3 (31.5%),False (61.3%),1.0 (37.9%),True (100.0%),False (57.3%),False (57.3%),False (57.3%)
RESPONSE_TO_END_GAME,4,End-Game Cooperation Patterns in Players,0.13 (7.3%),False (60.2%),False (57.7%),0 (61.0%),20 (100.0%),8 (8.9%),14 (8.9%),2 (35.0%),True (50.4%),3.0 (18.7%),2 (35.0%),False (53.7%),3.0 (32.5%),True (100.0%),False (51.2%),False (54.5%),False (54.5%)
RESPONSE_TO_END_GAME,5,Consistent Cooperation Until the Final Round,0.4 (6.6%),True (56.2%),True (77.4%),1 (51.1%),20 (100.0%),17 (10.9%),16 (14.6%),2 (35.8%),True (50.4%),6.0 (19.7%),2 (35.8%),True (68.6%),1.0 (26.3%),True (100.0%),True (51.8%),False (55.5%),False (55.5%)
RESPONSE_TO_END_GAME,6,Consistent Cooperation in Final Rounds,0.63 (10.2%),False (54.0%),True (73.0%),0 (51.1%),20 (100.0%),14 (12.4%),16 (14.6%),2 (32.8%),True (51.8%),6.0 (18.2%),2 (32.8%),True (54.0%),2.0 (27.0%),True (100.0%),False (62.0%),True (51.8%),True (51.8%)
RESPONSE_TO_END_GAME,7,End-Game Behavior in Finite Games,0.13 (7.8%),False (59.4%),False (60.9%),0 (56.2%),20 (100.0%),25 (10.9%),12 (11.7%),3 (32.8%),False (74.2%),3.0 (19.5%),3 (32.8%),False (65.6%),3.0 (25.8%),True (100.0%),False (50.0%),True (53.1%),True (53.1%)
RESPONSE_TO_END_GAME,8,Consistent Cooperation Until the Final Round,0.2 (9.4%),True (59.4%),True (78.1%),0 (56.2%),20 (100.0%),14 (13.5%),19 (15.6%),3 (33.3%),True (84.4%),4.0 (21.9%),3 (33.3%),True (60.4%),2.0 (29.2%),True (100.0%),True (69.8%),True (59.4%),True (59.4%)
RESPONSE_TO_END_GAME,9,Cooperative Behavior Near Game End,0.24 (7.8%),False (60.1%),True (61.4%),1 (52.3%),20 (100.0%),12 (11.8%),17 (13.1%),3 (30.7%),False (54.9%),3.0 (16.3%),3 (30.7%),True (55.6%),1.0 (26.1%),True (100.0%),True (61.4%),True (57.5%),True (57.5%)
RESPONSE_TO_END_GAME,10,Consistent Cooperation Until the Final Round,0.4 (10.4%),False (50.7%),False (55.2%),0 (53.0%),20 (100.0%),10 (15.7%),15 (14.2%),2 (38.1%),True (56.7%),4.0 (15.7%),2 (38.1%),True (70.9%),2.0 (37.3%),True (100.0%),True (51.5%),True (61.2%),True (61.2%)
RESPONSE_TO_END_GAME,11,End-Game Defection Patterns in Players,0.6 (6.9%),True (56.9%),False (56.9%),0 (58.5%),20 (100.0%),23 (8.5%),12 (16.2%),3 (33.8%),False (76.9%),3.0 (17.7%),3 (33.8%),False (72.3%),3.0 (31.5%),True (100.0%),True (53.1%),False (51.5%),False (51.5%)
RESPONSE_TO_END_GAME,12,End-Game Behavior in Contribution Dynamics,0.47 (8.3%),True (53.1%),False (69.8%),0 (56.2%),20 (100.0%),17 (9.4%),18 (16.7%),3 (31.2%),True (84.4%),2.0 (14.6%),3 (31.2%),True (55.2%),1.0 (33.3%),True (100.0%),True (60.4%),True (54.2%),True (54.2%)
RESPONSE_TO_END_GAME,13,End-Game Behavior in Cooperative Games,0.38 (13.0%),True (53.0%),True (68.0%),0 (52.0%),20 (100.0%),1 (12.0%),20 (18.0%),2 (42.0%),False (59.0%),5.0 (19.0%),2 (42.0%),False (60.0%),1.0 (36.0%),True (100.0%),True (55.0%),False (57.0%),False (57.0%)
RESPONSE_TO_END_GAME,14,Consistent Cooperation Through Final Rounds,0.52 (7.3%),True (55.6%),True (57.3%),1 (60.5%),20 (100.0%),10 (12.1%),14 (13.7%),3 (34.7%),True (100.0%),11.0 (14.5%),3 (34.7%),True (54.8%),2.0 (41.1%),True (100.0%),True (61.3%),True (54.0%),True (54.0%)
RESPONSE_TO_OTHERS_OUTCOME,0,Monitoring Contributions and Enforcing Fairness,0.59 (8.7%),False (53.0%),False (53.9%),1 (50.4%),20 (100.0%),12 (9.6%),18 (9.6%),2 (33.9%),True (100.0%),5.0 (18.3%),2 (33.9%),True (56.5%),3.0 (29.6%),True (67.8%),True (100.0%),True (53.9%),True (53.9%)
RESPONSE_TO_OTHERS_OUTCOME,1,Behavioral Patterns in Contribution and Punishment,0.34 (9.4%),True (52.0%),False (86.6%),0 (57.5%),20 (100.0%),4 (11.0%),16 (13.4%),2 (38.6%),True (100.0%),5.0 (15.7%),2 (38.6%),False (52.0%),2.0 (29.1%),False (57.5%),True (100.0%),False (59.1%),False (59.1%)
RESPONSE_TO_OTHERS_OUTCOME,2,Observant Players in Cooperative Dynamics,0.07 (13.1%),False (57.9%),True (99.1%),0 (70.1%),20 (100.0%),22 (11.2%),17 (21.5%),3 (33.6%),True (95.3%),3.0 (16.8%),3 (33.6%),False (59.8%),1.0 (41.1%),False (56.1%),True (100.0%),True (55.1%),True (55.1%)
RESPONSE_TO_OTHERS_OUTCOME,3,Observing Contributions and Group Dynamics,0.47 (7.5%),False (52.8%),True (63.2%),1 (51.9%),20 (100.0%),14 (9.4%),19 (17.9%),2 (29.2%),True (100.0%),3.0 (17.0%),2 (29.2%),True (54.7%),1.0 (35.8%),True (60.4%),True (100.0%),True (55.7%),True (55.7%)
RESPONSE_TO_OTHERS_OUTCOME,4,Monitoring Contributions for Group Success,0.66 (9.5%),True (52.4%),True (100.0%),0 (53.2%),20 (100.0%),19 (11.1%),19 (13.5%),2 (31.7%),False (83.3%),3.0 (15.9%),2 (31.7%),False (50.8%),1.0 (33.3%),False (60.3%),True (100.0%),False (51.6%),False (51.6%)
RESPONSE_TO_OTHERS_OUTCOME,5,Behavioral Patterns in Cooperative Groups,0.52 (8.4%),False (64.5%),False (83.2%),0 (57.0%),20 (100.0%),12 (13.1%),18 (14.0%),3 (31.8%),True (100.0%),4.0 (15.0%),3 (31.8%),False (55.1%),2.0 (29.9%),False (57.0%),True (100.0%),True (54.2%),True (54.2%)
RESPONSE_TO_OTHERS_OUTCOME,6,Passive Observers in Cooperative Environments,0.6 (11.3%),False (51.1%),True (97.9%),0 (59.6%),20 (100.0%),6 (10.6%),17 (14.2%),3 (34.8%),False (78.7%),3.0 (16.3%),3 (34.8%),False (57.4%),3.0 (28.4%),True (61.0%),True (100.0%),True (51.8%),True (51.8%)
RESPONSE_TO_OTHERS_OUTCOME,7,Behavioral Detachment in Cooperative Dynamics,0.6 (6.9%),True (58.6%),True (66.9%),1 (57.2%),20 (100.0%),5 (9.0%),17 (12.4%),3 (34.5%),True (100.0%),3.0 (20.0%),3 (34.5%),False (51.0%),3.0 (26.9%),True (52.4%),True (100.0%),True (53.1%),True (53.1%)
RESPONSE_TO_OTHERS_OUTCOME,8,Cooperative Players and Reward Dynamics,0.34 (10.5%),False (75.9%),False (80.5%),0 (58.6%),20 (100.0%),12 (17.3%),13 (10.5%),3 (30.1%),False (94.7%),3.0 (16.5%),3 (30.1%),True (77.4%),3.0 (31.6%),False (61.7%),True (100.0%),False (53.4%),False (53.4%)
RESPONSE_TO_OTHERS_OUTCOME,9,Indifferent Players in Cooperative Settings,0.52 (6.8%),False (50.8%),False (67.8%),0 (53.4%),20 (100.0%),2 (9.3%),16 (16.1%),3 (30.5%),True (100.0%),3.0 (19.5%),3 (30.5%),True (51.7%),1.0 (35.6%),True (55.1%),True (100.0%),False (57.6%),False (57.6%)
RESPONSE_TO_OTHERS_OUTCOME,10,Adaptive Players in Cooperative Environments,0.42 (8.7%),False (52.2%),False (56.5%),0 (50.0%),20 (100.0%),11 (8.7%),19 (13.8%),2 (31.9%),False (96.4%),3.0 (17.4%),2 (31.9%),False (79.7%),1.0 (31.9%),True (52.2%),True (100.0%),False (54.3%),False (54.3%)
RESPONSE_TO_OTHERS_OUTCOME,11,Observing Without Reacting: A Behavioral Analysis,0.25 (7.0%),True (57.0%),True (58.6%),0 (50.8%),20 (100.0%),12 (12.5%),16 (10.2%),2 (30.5%),False (93.0%),3.0 (14.8%),2 (30.5%),True (68.8%),2.0 (28.9%),True (67.2%),True (100.0%),True (52.3%),True (52.3%)
RESPONSE_TO_OTHERS_OUTCOME,12,Stable Cooperation Amid Payoff Disparities,0.52 (10.1%),True (66.7%),False (68.7%),0 (60.6%),20 (100.0%),4 (12.1%),18 (16.2%),2 (38.4%),False (88.9%),4.0 (20.2%),2 (38.4%),False (59.6%),1.0 (29.3%),True (53.5%),True (100.0%),False (57.6%),False (57.6%)
RESPONSE_TO_OTHERS_OUTCOME,13,Opportunistic Players in Contribution Dynamics,0.52 (10.9%),True (57.1%),False (81.5%),0 (54.6%),20 (100.0%),28 (10.1%),9 (14.3%),3 (35.3%),False (95.0%),5.0 (24.4%),3 (35.3%),False (78.2%),3.0 (25.2%),False (50.4%),True (100.0%),True (54.6%),True (54.6%)
RESPONSE_TO_OTHERS_OUTCOME,14,Indifferent Players in Reward Dynamics,0.3 (9.5%),False (60.3%),False (76.7%),0 (53.4%),20 (100.0%),12 (17.2%),18 (12.9%),2 (36.2%),False (98.3%),3.0 (19.0%),2 (36.2%),True (80.2%),3.0 (31.0%),False (51.7%),True (100.0%),False (55.2%),False (55.2%)
RESPONSE_TO_PUNISHER,0,Understanding Responses to Punishment,0.6 (12.5%),False (58.9%),True (82.1%),1 (62.5%),20 (100.0%),2 (12.5%),15 (16.1%),2 (41.1%),True (100.0%),7.0 (21.4%),2 (41.1%),False (50.0%),2.0 (35.7%),True (64.3%),True (58.9%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,1,Understanding Responses to Punishment,0.62 (9.4%),True (56.2%),True (68.8%),1 (53.1%),20 (100.0%),2 (10.9%),16 (14.1%),2 (40.6%),True (100.0%),4.0 (25.0%),2 (40.6%),True (64.1%),2.0 (43.8%),True (65.6%),True (59.4%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,2,Understanding Unpunished Behavior Patterns,0.66 (12.8%),False (51.1%),True (70.2%),1 (61.7%),20 (100.0%),2 (12.8%),16 (23.4%),2 (44.7%),True (100.0%),2.0 (25.5%),2 (44.7%),True (63.8%),2.0 (44.7%),False (63.8%),True (59.6%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,3,Responses to Punishment Remain Unexplored,0.12 (9.8%),False (61.0%),False (58.5%),1 (53.7%),20 (100.0%),2 (14.6%),15 (14.6%),2 (34.1%),True (100.0%),2.0 (24.4%),2 (34.1%),True (58.5%),2.0 (46.3%),True (56.1%),False (53.7%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,4,Understanding Responses to Punishment Dynamics,0.24 (22.2%),True (53.7%),True (94.4%),0 (51.9%),20 (100.0%),12 (18.5%),19 (24.1%),2 (35.2%),True (100.0%),11.0 (18.5%),2 (35.2%),False (75.9%),2.0 (46.3%),True (59.3%),True (59.3%),True (100.0%),True (100.0%)
