split,factor,direction,eval_granularity,model,oracle_best_delta_r2,synthetic_best_delta_r2,oracle_best_delta_rmse,synthetic_best_delta_rmse,synthetic_beats_oracle_on_r2_gain,synthetic_beats_oracle_on_rmse_drop
num_rounds/high_to_low,num_rounds,high_to_low,game,ridge,-0.004098817006771727,-0.008085157264004383,0.00048316219148597517,0.0009522401711229977,False,False
num_rounds/high_to_low,num_rounds,high_to_low,game,linear,-0.0054575034041377535,-0.03065963117401993,0.0006347542176446397,0.0035471360974778654,False,False
num_rounds/high_to_low,num_rounds,high_to_low,config_treatment,ridge,0.2959444493138308,-0.08560983795263066,-0.00980296075074652,0.002710539696612113,False,False
num_rounds/high_to_low,num_rounds,high_to_low,config_treatment,linear,0.5084352754164752,-0.2070165846597174,-0.0165570870308486,0.006226532111362343,False,False
num_rounds/low_to_high,num_rounds,low_to_high,game,ridge,0.43731118988105666,-0.6353076882412969,-0.054576782416189795,0.06572173203724135,False,False
num_rounds/low_to_high,num_rounds,low_to_high,game,linear,0.26847864350512984,-0.8388075932131049,-0.03255616230088626,0.08504264830965186,False,False
num_rounds/low_to_high,num_rounds,low_to_high,config_treatment,ridge,1.3184130177340572,-1.5201124707341784,-0.06810220262100689,0.05930638518979617,False,False
num_rounds/low_to_high,num_rounds,low_to_high,config_treatment,linear,0.9163364216430472,-2.4299456662493477,-0.04672114066647115,0.09191229098834425,False,False
player_count/high_to_low,player_count,high_to_low,game,ridge,0.019747053967541284,0.0070117478696583024,-0.002792613470608163,-0.0009885476623779366,False,False
player_count/high_to_low,player_count,high_to_low,game,linear,-0.0006532929121856323,0.024087230767293688,9.012093652471798e-05,-0.003341927541496481,True,True
player_count/high_to_low,player_count,high_to_low,config_treatment,ridge,0.061822163357834636,0.035613746486507836,-0.0033623471015747086,-0.0019264132602089534,False,False
player_count/high_to_low,player_count,high_to_low,config_treatment,linear,-0.08400118148238378,0.14505353895400308,0.004018397201111329,-0.007209937289985702,True,True
player_count/low_to_high,player_count,low_to_high,game,ridge,0.4135493859093111,0.05755842838802283,-0.03621619877291771,-0.0046541979853249316,False,False
player_count/low_to_high,player_count,low_to_high,game,linear,0.9314352851613278,-0.29255834976225903,-0.07178401736560147,0.018643939478406202,False,False
player_count/low_to_high,player_count,low_to_high,config_treatment,ridge,0.9384111014578147,0.1407455791063077,-0.0464620260944448,-0.006185836947068091,False,False
player_count/low_to_high,player_count,low_to_high,config_treatment,linear,2.2582465554262825,-1.4723907204003437,-0.08990860464245004,0.04381850238458776,False,False
reward_exists/false_to_true,reward_exists,false_to_true,game,ridge,0.04882590735192727,-0.003052016221726239,-0.006119151140993595,0.0003777654552949983,False,False
reward_exists/false_to_true,reward_exists,false_to_true,game,linear,0.07406539624679342,-0.022471373949086715,-0.00918519117471428,0.0027248718787497572,False,False
reward_exists/false_to_true,reward_exists,false_to_true,config_treatment,ridge,-0.3785164506182028,0.2935980652876484,0.016011295207194326,-0.013684084559385967,True,True
reward_exists/false_to_true,reward_exists,false_to_true,config_treatment,linear,-0.41341058595016955,0.24199770216517535,0.01697279330483978,-0.01084699287034413,True,True
reward_exists/true_to_false,reward_exists,true_to_false,game,ridge,0.246460534215321,0.02713523977243959,-0.03600147993662778,-0.0037224969597711155,False,False
reward_exists/true_to_false,reward_exists,true_to_false,game,linear,0.260607120022469,0.027671193156007523,-0.037639107880439726,-0.00374454865430468,False,False
reward_exists/true_to_false,reward_exists,true_to_false,config_treatment,ridge,0.39066495172584403,-0.026250196581471652,-0.02843287977815666,0.0017138937663080667,False,False
reward_exists/true_to_false,reward_exists,true_to_false,config_treatment,linear,0.4265061921039154,-0.04317002305335049,-0.03076154673420292,0.002764155968034754,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,game,ridge,0.21083470417157024,-0.01869748262038673,-0.02967748095733186,0.002492346702388959,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,game,linear,0.2629849009854053,-0.10488033312753653,-0.03657454533088378,0.013431262489626727,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,config_treatment,ridge,0.22670828271926302,-0.014325078082643383,-0.014308037620977238,0.0008592743238126088,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,config_treatment,linear,0.377589897202953,-0.27504060829210286,-0.02285779289599349,0.014810036985133251,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,game,ridge,0.10005936986197128,0.020112903447912278,-0.009415728314905808,-0.0018524344067808451,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,game,linear,0.1066284567058059,-0.017752507823486807,-0.009756312889242613,0.0015745262738378618,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,config_treatment,ridge,0.1443179047418901,0.049984834857486726,-0.006027234394150732,-0.0020553133292124104,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,config_treatment,linear,0.23980036130673588,-0.06312466037924835,-0.008785818876885926,0.0022277767633196166,False,False
show_other_summaries/false_to_true,show_other_summaries,false_to_true,game,ridge,-0.014032216245211337,0.0364627380355349,0.00184953674666416,-0.004862444556632206,True,True
show_other_summaries/false_to_true,show_other_summaries,false_to_true,game,linear,-0.026929708421961518,0.018669687949840474,0.003532326031032873,-0.0024744431105231945,True,True
show_other_summaries/false_to_true,show_other_summaries,false_to_true,config_treatment,ridge,-0.4628080920928661,0.1574940314699338,0.018399560084987554,-0.006707488612969659,True,True
show_other_summaries/false_to_true,show_other_summaries,false_to_true,config_treatment,linear,-0.6404889528950459,-0.1349608259507673,0.024328789565566583,0.005384621196704409,True,True
show_other_summaries/true_to_false,show_other_summaries,true_to_false,game,ridge,0.1676293645098551,0.000849809399535939,-0.01886011108973812,-9.169767391281614e-05,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,game,linear,0.14092310462761892,0.006591594282266078,-0.015326254624304397,-0.000694530541246352,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,config_treatment,ridge,0.290581728080501,0.019878398612553472,-0.015692694969902,-0.001020135526520971,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,config_treatment,linear,0.3565739150227536,0.09565242494963577,-0.018279549317114202,-0.004687842457575475,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,game,ridge,0.0829852609641124,0.0022328166106619918,-0.007796062545428972,-0.00020560723772100609,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,game,linear,0.10846655149599704,0.017531041961066363,-0.009978425158260112,-0.0015782119799837568,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,config_treatment,ridge,-0.007345649675525312,-0.057805970046862276,0.00034164493583008215,0.0026649035272002797,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,config_treatment,linear,0.034695326812755445,-0.0031447504684232186,-0.001597408351933144,0.00014384073350762194,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,game,ridge,0.02248534219507603,0.007449580207567252,-0.003567935030587832,-0.0011775518464050005,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,game,linear,0.015366351221944297,0.00261969636437287,-0.0024291522456961756,-0.0004127924765470192,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,config_treatment,ridge,-0.3224392770153335,0.054360694549950406,0.01728473317127288,-0.003149743578636302,True,True
show_punishment_id/true_to_false,show_punishment_id,true_to_false,config_treatment,linear,-0.32748103232082393,0.007352823077173332,0.017291798395120156,-0.00041473302933653367,True,True
