sample_index,scenario_index,sample_within_scenario,custom_id,source_custom_id,response_id,extended_session_id,user_id,scenario_order,scenario_hash,global_count,left_action,right_action,option_a_screen_side,option_b_screen_side,option_a_action,option_b_action,gold_choice,gold_action,user_country3,user_country3_raw_full_file,review_age,review_education,review_gender,review_income,review_political,review_religious,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,temperature_included
33,7,3,mm_individual_demo_007_03_ab_wvsw6covered168,mm_individual_demo_007_03_ab,grMy2hsEipB2D9kwD,1529051809_7899856932916172.0,7899856932916170,4,2ea9bc96836b52b20015d5aa83de37ad,25427,stay,swerve,left,right,stay,swerve,A,stay,USA,USA,29,bachelor,male,25000,0.69,0.24,Random,Fitness,Rand,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 29
Gender: Male
Education: Bachelor degree
Annual income: $25,001-$35,000
Political views: 0.69 on a conservative (0) to progressive (1) scale
Religiosity: 0.24 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
35,7,5,mm_individual_demo_007_05_ab_wvsw6covered168,mm_individual_demo_007_05_ab,vybo7mZ8ZSi5rgGec,-122261926_4701811138012497.0,4701811138012500,11,2ea9bc96836b52b20015d5aa83de37ad,25427,swerve,stay,left,right,swerve,stay,B,stay,RUS,RUS,34,bachelor,male,50000,0,0,Random,Fitness,Rand,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 34
Gender: Male
Education: Bachelor degree
Annual income: $50,001-$80,000
Political views: 0.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: RUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
37,8,2,mm_individual_demo_008_02_ab_wvsw6covered168,mm_individual_demo_008_02_ab,3pqC59cuHsYNKHeCY,-576161823_1355510188447943.0,1355510188447940,11,b3b0b55b248b225bc05f8005c215cca6,25307,swerve,stay,left,right,swerve,stay,B,stay,DEU,DEU,22,high,male,5000,1,0,Age,Age,Old,1,804,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: $5,000-$10,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
40,8,5,mm_individual_demo_008_05_ab_wvsw6covered168,mm_individual_demo_008_05_ab,wXkBaemzxMf9QBtd3,-875543041_8408712327384674.0,8408712327384680,5,b3b0b55b248b225bc05f8005c215cca6,25307,stay,swerve,left,right,stay,swerve,B,swerve,TUR,TUR,23,bachelor,male,15000,0.5,0.5,Age,Age,Old,1,801,201,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Male
Education: Bachelor degree
Annual income: $15,001-$25,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: TUR

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
44,9,4,mm_individual_demo_009_04_ab_wvsw6covered168,mm_individual_demo_009_04_ab,tvjnRT28XZrRfXCs6,-1575079098_1108319442882672.0,1108319442882670,5,c990d2973cbe75633f5630689d16b050,17621,swerve,stay,left,right,swerve,stay,B,stay,BRA,BRA,21,college,male,under5000,0.37,0.73,Age,Age,Old,1,845,212,242,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.37 on a conservative (0) to progressive (1) scale
Religiosity: 0.73 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 man crossing on a green light.
(B) Continue ahead through the crossing. The following pedestrians die: 1 elderly man crossing on a red light.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
49,10,4,mm_individual_demo_010_04_ab_wvsw6covered168,mm_individual_demo_010_04_ab,wZyrSGy2fz846rpiv,1337741164_6675354338149333.0,6675354338149330,6,ae539fd4158c5cbf5e5635085930d412,17316,stay,swerve,left,right,stay,swerve,A,stay,JPN,JPN,27,graduate,male,50000,0.5,0,Fitness,Fitness,Fat,1,852,213,244,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 27
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete crossing on a green light.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
53,11,3,mm_individual_demo_011_03_ab_wvsw6covered168,mm_individual_demo_011_03_ab,j3gZYcbQ48eYBCGba,-755180421_8805592459733138.0,8805592459733140,9,8438349e35ea65069625edddd52af96a,17282,swerve,stay,left,right,swerve,stay,B,stay,USA,USA,28,graduate,male,50000,0.31,0,Random,Fitness,Rand,0,793,199,227,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 28
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.31 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve into a concrete barrier. The following passengers die: 1 woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
54,11,4,mm_individual_demo_011_04_ab_wvsw6covered168,mm_individual_demo_011_04_ab,tE5atm3r98BwuhuFR,187987419_1754138059251100.0,1754138059251100,6,8438349e35ea65069625edddd52af96a,17282,stay,swerve,left,right,stay,swerve,B,swerve,POL,POL,40,high,male,5000,0.5,0.76,Random,Fitness,Rand,0,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 40
Gender: Male
Education: High school diploma
Annual income: $5,000-$10,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.76 on a not religious (0) to very religious (1) scale
Country: POL

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.
(B) Swerve into a concrete barrier. The following passengers die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
55,11,5,mm_individual_demo_011_05_ab_wvsw6covered168,mm_individual_demo_011_05_ab,umKejjda6PfhRvxEb,-621494516_8085540563003372.0,8085540563003370,12,8438349e35ea65069625edddd52af96a,17282,swerve,stay,left,right,swerve,stay,B,stay,NLD,NLD,37,graduate,male,50000,1,0,Random,Fitness,Rand,0,793,199,227,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 37
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: NLD

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve into a concrete barrier. The following passengers die: 1 woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
59,12,4,mm_individual_demo_012_04_ab_wvsw6covered168,mm_individual_demo_012_04_ab,j58RSioaPTMuTgNfJ,1626300311_2552588905996735.0,2552588905996740,1,fa5312d6d4d9ab53fe9f933029c58b67,17226,stay,swerve,left,right,stay,swerve,A,stay,DEU,DEU,23,high,male,10000,0.71,0,Age,Age,Old,0,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Male
Education: High school diploma
Annual income: $10,001-$15,000
Political views: 0.71 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
61,13,1,mm_individual_demo_013_01_ab_wvsw6covered168,mm_individual_demo_013_01_ab,aLn4dj45uxRhtqKxL,-1970618501_9280917572323232.0,9280917572323230,4,68f34fdd904338799cc82431fcf5c4ad,17224,swerve,stay,left,right,swerve,stay,A,swerve,DEU,DEU,21,college,male,5000,1,0,Age,Age,Young,0,788,197,226,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Male
Education: Attended college
Annual income: $5,000-$10,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve into a concrete barrier. The following passengers die: 1 elderly man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
64,13,4,mm_individual_demo_013_04_ab_wvsw6covered168,mm_individual_demo_013_04_ab,uJWSRCKcKRnozGcBH,1145050232_9056772132121996.0,9056772132122000,1,68f34fdd904338799cc82431fcf5c4ad,17224,stay,swerve,left,right,stay,swerve,A,stay,DEU,DEU,21,college,male,10000,0.93,0.11,Age,Age,Young,0,789,198,226,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Male
Education: Attended college
Annual income: $10,001-$15,000
Political views: 0.93 on a conservative (0) to progressive (1) scale
Religiosity: 0.11 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve into a concrete barrier. The following passengers die: 1 elderly man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
66,14,1,mm_individual_demo_014_01_ab_wvsw6covered168,mm_individual_demo_014_01_ab,9FkgHyoR4o8vAsh4c,2086747100_4306049931081599.0,4306049931081600,4,178a4ad0eb24ebd1b5a266880d24c47d,17210,stay,swerve,left,right,stay,swerve,B,swerve,JPN,JPN,22,high,male,under5000,0.38,0.17,Fitness,Fitness,Fat,0,794,199,227,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: Under $5,000
Political views: 0.38 on a conservative (0) to progressive (1) scale
Religiosity: 0.17 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
69,14,4,mm_individual_demo_014_04_ab_wvsw6covered168,mm_individual_demo_014_04_ab,hN2zXfdSc2sMRSvTA,-986666675_2905587812670463.0,2905587812670460,7,178a4ad0eb24ebd1b5a266880d24c47d,17210,stay,swerve,left,right,stay,swerve,B,swerve,RUS,RUS,28,graduate,male,10000,0.6,0.06,Fitness,Fitness,Fat,0,793,199,227,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 28
Gender: Male
Education: Graduate degree
Annual income: $10,001-$15,000
Political views: 0.60 on a conservative (0) to progressive (1) scale
Religiosity: 0.06 on a not religious (0) to very religious (1) scale
Country: RUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
71,15,1,mm_individual_demo_015_01_ab_wvsw6covered168,mm_individual_demo_015_01_ab,D2RBRTtuaWKd93JCe,-326749896_394522470078217.0,394522470078217,4,c5bcd476c5b67c94730a4ac29600565b,17199,swerve,stay,left,right,swerve,stay,B,stay,RUS,RUS,27,graduate,male,35000,0.79,0.11,Random,Fitness,Rand,0,789,198,226,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 27
Gender: Male
Education: Graduate degree
Annual income: $35,001-$50,000
Political views: 0.79 on a conservative (0) to progressive (1) scale
Religiosity: 0.11 on a not religious (0) to very religious (1) scale
Country: RUS

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve into a concrete barrier. The following passengers die: 1 man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
73,15,3,mm_individual_demo_015_03_ab_wvsw6covered168,mm_individual_demo_015_03_ab,DnKEFshxv6cBSKoeh,1263885052_8144646721039170.0,8144646721039170,10,c5bcd476c5b67c94730a4ac29600565b,17199,swerve,stay,left,right,swerve,stay,A,swerve,DEU,DEU,47,graduate,female,above100000,0.5,0.5,Random,Fitness,Rand,0,789,198,226,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 47
Gender: Female
Education: Graduate degree
Annual income: Over $100,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve into a concrete barrier. The following passengers die: 1 man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
