split,factor,direction,eval_granularity,model,oracle_best_delta_r2,synthetic_best_delta_r2,oracle_best_delta_r2_oos_train_mean,synthetic_best_delta_r2_oos_train_mean,oracle_best_delta_rmse,synthetic_best_delta_rmse,synthetic_beats_oracle_on_r2_gain,synthetic_beats_oracle_on_r2_oos_gain,synthetic_beats_oracle_on_rmse_drop
show_n_rounds/true_to_false,show_n_rounds,true_to_false,game,linear,0.22751899972826506,0.04192306943846147,0.22713560497988716,0.041852424416824685,-0.016157089954269774,-0.0028147941617592542,False,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,game,ridge,0.22989843762012985,0.03942816797258142,0.22951103325500377,0.039361727136620894,-0.01624019946627582,-0.0026312610478626958,False,False,False
show_other_summaries/false_to_true,show_other_summaries,false_to_true,config_treatment,linear,0.2523086277053246,0.06340577089582089,0.18997487964202464,0.047741148624578456,-0.009928543303839188,-0.0023846245450774572,False,False,False
show_other_summaries/false_to_true,show_other_summaries,false_to_true,config_treatment,ridge,0.24859271955192686,0.025118529152634128,0.18717699987618863,0.018912906768013826,-0.009705880397557654,-0.0009309500669450049,False,False,False
show_other_summaries/false_to_true,show_other_summaries,false_to_true,game,linear,0.16722320972120708,0.006055732839944428,0.16034556723840798,0.005806669533996001,-0.012542169179553253,-0.0004361305469552379,False,False,False
show_other_summaries/false_to_true,show_other_summaries,false_to_true,game,ridge,0.16278729271659242,0.015157272737834182,0.15609209291798765,0.014533876601144469,-0.012195328176603432,-0.0010940120541082232,False,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,config_treatment,linear,0.2590744771569402,0.1980179074181918,0.2089825324092709,0.159731225587189,-0.006385176775290463,-0.0048451897805699,False,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,config_treatment,ridge,0.17807214020738926,0.0768645150908085,0.14364196435118415,0.06200279237216022,-0.0045835559147651,-0.0019531852769262836,False,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,game,linear,0.2329177713629873,0.0064362852144235205,0.2100284566909616,0.00580377805651211,-0.012052556949566806,-0.0003183272026876238,False,False,False
show_other_summaries/true_to_false,show_other_summaries,true_to_false,game,ridge,0.23249082540685073,0.013599168534112582,0.2096434676034692,0.012262749908630965,-0.012360859792733284,-0.0006903943280717473,False,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,config_treatment,linear,0.3163824706350854,-0.08028149882542435,0.3123474205002992,-0.07925761190777658,-0.011692384224871379,0.002673164154864127,False,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,config_treatment,ridge,0.24176458946996693,0.08605120445769121,0.23868119411823008,0.08495373239026449,-0.008927497374209094,-0.0030407435427356744,False,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,game,linear,0.23742446212266166,-0.019940087968273623,0.2372145962941279,-0.019922462391511075,-0.014338788445312112,0.0011298062595290065,False,False,False
show_punishment_id/false_to_true,show_punishment_id,false_to_true,game,ridge,0.21446849652888944,0.03351777133548772,0.21427892209196742,0.03348814408145895,-0.013149780459001156,-0.001960240179565101,False,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,config_treatment,linear,0.17429705309639465,-0.08671341427754164,0.15436247434235217,-0.07679588925208092,-0.007315721763639635,0.003424118186899708,False,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,config_treatment,ridge,0.2374599926880845,-0.040835589421068574,0.2103013870715168,-0.03616517039320444,-0.010174099139035067,0.001634199819415566,False,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,game,linear,0.01843593584502623,-0.04956959928016191,0.01838475742059198,-0.04943199335593196,-0.0014467435233311288,0.0038259209502618796,False,False,False
show_punishment_id/true_to_false,show_punishment_id,true_to_false,game,ridge,0.05018585187188418,-0.036444090749093494,0.05004653522155056,-0.03634292142630158,-0.003963767998862111,0.0028174053173944114,False,False,False
