custom_id,player_id,player_mean_contribution_rate,player_mean_normalized_payoff,player_contribution_volatility,player_punish_round_rate,player_reward_round_rate,observed_rounds,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_rounds,twin_pid,seat_index,message_count,player_message_rate,behavioral_stability,communication_coordination,conditional_cooperation,cooperation_orientation,exploitation_caution,generosity_without_return,norm_enforcement,model_name
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,JmnJh6vdX28tq4NNe,0.0,0.3573717948717949,0.0,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,72,4,0,0.0,0.9,0.68,0.32,0.54,0.58,0.43,0.26,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,NAFteJbkN44eBBJr8,0.8333333333333334,0.19711538461538455,0.37267799624996495,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,1820,5,6,1.0,0.69,0.74,0.46,0.6,0.49,0.58,0.38,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,S48gTjabL2BSJCSbr,0.16666666666666666,0.32532051282051283,0.372677996249965,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,505,6,3,0.5,0.67,0.6,0.41,0.57,0.45,0.55,0.38,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,h7JgdBhPEWz342nRQ,0.0,0.3573717948717949,0.0,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,1710,7,1,0.16666666666666666,0.48,0.45,0.43,0.43,0.51,0.36,0.27,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,q3J2s9YPAYAQZrgP2,1.0,0.16506410256410253,0.0,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,1060,8,10,1.6666666666666667,1.0,0.69,0.72,0.87,0.28,0.8,0.51,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,tR4YBZ4Krjmw7EXSf,0.0,0.3573717948717949,0.0,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,129,9,0,0.0,0.6,0.31,0.41,0.48,0.6,0.45,0.22,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,y4SGSWX6shjW8RiJo,0.5,0.2612179487179487,0.5,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,1366,10,2,0.3333333333333333,0.78,0.61,0.4,0.7,0.34,0.68,0.32,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,8xhshYWv4p2ka88sP,0.5,0.4391025641025641,0.5,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,810,1,2,0.3333333333333333,0.74,0.65,0.57,0.62,0.57,0.59,0.63,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,9qiE6iETFCRNmWhC2,0.5,0.4391025641025641,0.5,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1051,2,2,0.3333333333333333,0.3,0.43,0.57,0.64,0.58,0.53,0.56,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,H2Nb8HAr2zjZjSdgE,1.0,0.3429487179487179,0.0,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1118,3,4,0.6666666666666666,0.67,0.53,0.33,0.67,0.22,0.66,0.1,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,JMaSnCLakEvSwfPgn,1.0,0.3429487179487179,0.0,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1198,4,3,0.5,0.94,0.55,0.56,0.73,0.7,0.59,0.52,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,M3JijzyKGCaaerntr,0.3333333333333333,0.4711538461538462,0.47140452079103173,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1472,5,1,0.16666666666666666,0.61,0.67,0.43,0.66,0.45,0.62,0.34,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,M8B4KKQeAeDX5sYJE,0.16666666666666666,0.5032051282051282,0.372677996249965,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1134,6,1,0.16666666666666666,0.51,0.48,0.41,0.5,0.6,0.47,0.32,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,PZ97BKad6DTLyzavq,0.0,0.5352564102564102,0.0,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,892,7,1,0.16666666666666666,0.43,0.48,0.36,0.43,0.53,0.38,0.17,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,ZzgMq9h35MG4kHJnm,0.16666666666666666,0.5032051282051282,0.372677996249965,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,212,8,1,0.16666666666666666,0.48,0.44,0.5,0.6,0.55,0.5,0.24,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,uhFEFyzW46aqcYSgi,0.8333333333333334,0.375,0.37267799624996495,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,1333,9,2,0.3333333333333333,0.81,0.61,0.51,0.67,0.55,0.64,0.33,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,zS9dvusNJmxuECXcT,0.0,0.5352564102564102,0.0,0.0,0.0,6,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,6,542,10,1,0.16666666666666666,0.71,0.6,0.37,0.35,0.75,0.21,0.39,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,AeuQLuaH695AtRpyq,1.0,0.3221153846153846,0.0,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,452,1,4,0.6666666666666666,0.97,0.76,0.63,0.88,0.36,0.8,0.52,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,HxNZpQBgxWX6t76wx,0.0,0.514423076923077,0.0,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,1615,2,2,0.3333333333333333,0.92,0.62,0.3,0.56,0.45,0.5,0.05,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,KukufsTgsiBFEypN6,0.5,0.4182692307692308,0.5,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,1253,3,3,0.5,0.88,0.6,0.61,0.68,0.67,0.57,0.59,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,Ny3hEnArTYRgwG85o,0.8333333333333334,0.3541666666666667,0.37267799624996495,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,425,4,2,0.3333333333333333,0.67,0.54,0.45,0.7,0.35,0.62,0.45,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,e3eiStdMvMzouEbf8,0.0,0.514423076923077,0.0,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,1547,5,0,0.0,0.48,0.45,0.33,0.48,0.31,0.51,0.22,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,iv3L9c5sfjhA6WD7y,0.5,0.4182692307692308,0.5,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,1562,6,4,0.6666666666666666,0.57,0.54,0.4,0.59,0.47,0.53,0.24,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,jeCELNgcumNRCDi57,0.8333333333333334,0.3541666666666667,0.37267799624996495,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,1774,7,6,1.0,0.58,0.71,0.54,0.61,0.5,0.56,0.37,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,kuFzT4LJyWCZySkPv,0.0,0.514423076923077,0.0,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,256,8,2,0.3333333333333333,0.55,0.72,0.46,0.55,0.79,0.39,0.48,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,qW59LxqoEKSG8Tni6,0.6666666666666666,0.3862179487179487,0.4714045207910317,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,31,9,0,0.0,0.44,0.55,0.45,0.53,0.6,0.48,0.26,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,yhFzemiLfweT4jBSY,0.0,0.514423076923077,0.0,0.0,0.0,6,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,6,764,10,1,0.16666666666666666,0.69,0.66,0.35,0.32,0.73,0.19,0.46,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,3JcJ5bt9WWmDujBwS,0.3333333333333333,0.671474358974359,0.47140452079103173,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,146,1,6,1.0,0.5,0.7,0.4,0.6,0.47,0.52,0.27,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,BJnZsMhYyPPQZBvtn,0.0,0.735576923076923,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,25,2,3,0.5,0.89,0.77,0.41,0.66,0.58,0.45,0.36,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,G76mSCtznWvKuq6Rx,0.3333333333333333,0.671474358974359,0.47140452079103173,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,1593,3,1,0.16666666666666666,0.26,0.71,0.55,0.58,0.58,0.49,0.37,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,Wir4wywyNanXprJmL,0.8333333333333334,0.5753205128205129,0.37267799624996495,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,1800,4,1,0.16666666666666666,0.53,0.73,0.36,0.62,0.52,0.54,0.24,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,bXvrq7iCpSL2cEaaq,0.0,0.735576923076923,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,788,5,3,0.5,0.71,0.68,0.3,0.44,0.69,0.27,0.38,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,nCgCrdA59wd78jFCS,1.0,0.5432692307692307,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,1596,6,10,1.6666666666666667,0.46,0.53,0.34,0.78,0.34,0.84,0.22,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,nbaBxmdi5tF5Ko4Wp,1.0,0.5432692307692307,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,1581,7,2,0.3333333333333333,0.78,0.7,0.42,0.63,0.54,0.58,0.25,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,nwQGmsxjhKfx8FACX,0.6666666666666666,0.6073717948717948,0.4714045207910317,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,1849,8,1,0.16666666666666666,0.65,0.54,0.48,0.63,0.54,0.57,0.36,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,vdkPnZKDAgSKf3K9m,1.0,0.5432692307692307,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,226,9,1,0.16666666666666666,0.79,0.79,0.54,0.68,0.67,0.6,0.42,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,yyXj2eFQmX6CE8v3r,1.0,0.5432692307692307,0.0,0.0,0.0,6,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,6,749,10,1,0.16666666666666666,0.9,0.77,0.51,0.78,0.53,0.63,0.44,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,2ToYRzaqeBm9fwsJb,0.8333333333333334,0.9134615384615383,0.372677996249965,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,353,1,2,0.3333333333333333,0.8,0.63,0.55,0.54,0.79,0.41,0.72,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,2mW6XHDupaAD2FAsg,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,735,2,6,1.0,0.92,0.76,0.39,0.84,0.17,0.84,0.36,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,JifBak52aqrxw9qdM,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,782,3,1,0.16666666666666666,0.81,0.76,0.45,0.62,0.6,0.52,0.41,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,JncQenJoxMfCAXxT3,0.6666666666666666,0.9455128205128204,0.4714045207910317,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,1844,4,3,0.5,0.48,0.48,0.4,0.65,0.48,0.62,0.34,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,Tz98rEeEXzkeKA6tH,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,674,5,0,0.0,0.4,0.53,0.51,0.6,0.51,0.55,0.29,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,beK9ibhMMsuqjn5Se,0.5,0.9775641025641025,0.5,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,556,6,4,0.6666666666666666,0.45,0.47,0.46,0.48,0.69,0.44,0.49,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,sGtp58m9zz5g8xYNK,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,885,7,0,0.0,0.59,0.49,0.39,0.61,0.33,0.63,0.3,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,uikSFHgT23JL9vfgi,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,1767,8,2,0.3333333333333333,0.52,0.7,0.44,0.74,0.41,0.64,0.32,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,x2uGF97BBoaEvT9Mj,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,138,9,0,0.0,0.69,0.63,0.45,0.5,0.57,0.47,0.47,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,xJzywaPpadXmiHf6f,1.0,0.8814102564102564,0.0,0.0,0.0,6,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,6,1274,10,0,0.0,0.63,0.61,0.45,0.64,0.5,0.56,0.2,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,7DdkSwjdPkjJiqGsK,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,1777,1,3,0.5,0.66,0.6,0.4,0.68,0.23,0.7,0.19,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,BB3sw9fQvJTpAawuk,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,884,2,2,0.3333333333333333,0.77,0.71,0.38,0.61,0.49,0.54,0.13,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,J3AcQR2e2YGvD2ye6,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,1457,3,0,0.0,0.66,0.91,0.45,0.66,0.52,0.57,0.15,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,WEn2J7ZnsPbexq6sc,0.0,0.9134615384615383,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,994,4,1,0.16666666666666666,0.53,0.56,0.51,0.62,0.76,0.47,0.52,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eFkJMw4WqtHBdcmwK,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,1113,5,1,0.16666666666666666,0.95,0.73,0.33,0.81,0.35,0.77,0.39,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,gYBp6Xc2RWTkxWgiq,0.6666666666666666,0.7852564102564102,0.4714045207910317,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,490,6,4,0.6666666666666666,0.3,0.6,0.48,0.72,0.43,0.71,0.29,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,jsSAa8K5ggq5miKwy,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,1454,7,1,0.16666666666666666,0.62,0.82,0.55,0.63,0.52,0.58,0.42,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,mkaMqwMi7az7bWj8W,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,112,8,1,0.16666666666666666,0.88,0.64,0.46,0.68,0.6,0.55,0.29,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,s68LQ8BySomDoMKqq,1.0,0.7211538461538461,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,410,9,1,0.16666666666666666,0.8,0.72,0.44,0.71,0.49,0.64,0.42,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,zvnM7SZ6oYdiFa8xD,0.0,0.9134615384615383,0.0,0.0,0.0,6,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,6,908,10,1,0.16666666666666666,0.47,0.51,0.44,0.54,0.72,0.46,0.49,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,FekZBDSQTLLPaSuqJ,1.0,0.24519230769230763,0.0,0.0,0.0,6,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,6,437,1,8,1.3333333333333333,0.78,0.62,0.38,0.58,0.39,0.58,0.31,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,FjPzZbeRTe8jCoKT3,0.8333333333333334,0.2772435897435897,0.37267799624996495,0.0,0.0,6,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,6,1937,2,8,1.3333333333333333,0.57,0.78,0.5,0.73,0.42,0.67,0.25,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,QbvgyGcRJJFddsG4u,0.0,0.4375,0.0,0.0,0.0,6,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,6,314,3,0,0.0,0.7,0.41,0.48,0.56,0.66,0.49,0.31,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,f2W7eatt7aomkWQqw,0.0,0.4375,0.0,0.0,0.0,6,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,6,1499,4,0,0.0,0.68,0.83,0.38,0.5,0.52,0.38,0.29,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,ib5QbPuQqAi6E3XNN,0.0,0.4375,0.0,0.0,0.0,6,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,6,1107,5,0,0.0,0.72,0.61,0.28,0.28,0.7,0.18,0.28,gpt-5-mini twin
