custom_id,scenario_hash,global_count,option_a_action,option_b_action,observed_a_share,observed_b_share,scenario_type,scenario_type_strict,attribute_level,pedped,parse_success,parse_error,raw_content,raw_a_percent,raw_b_percent,raw_percent_sum,contract_sum_100,model_a_prob,model_b_prob,tvd,uniform_tvd
mm_global_distribution_0021_vprob,dc392be2ef2f0e0306cf39324f2f372f,17062,stay,swerve,0.9059313093423983,0.09406869065760169,Age,Age,Old,1,True,,"{""A"":70,""B"":30}",70.0,30.0,100.0,True,0.7,0.3,0.20593130934239834,0.4059313093423983
mm_global_distribution_0022_vprob,2f2c7f336ec11a8cefc39f15069c4fd5,17047,stay,swerve,0.8588607966211064,0.14113920337889366,Fitness,Fitness,Fat,1,True,,"{""A"":80,""B"":20}",80.0,20.0,100.0,True,0.8,0.2,0.058860796621106326,0.35886079662110637
mm_global_distribution_0023_vprob,0ca24cd58cdf0faeec82c043821094dc,17011,stay,swerve,0.8085356534007407,0.19146434659925932,Random,Fitness,Rand,1,True,,"{""A"":80,""B"":20}",80.0,20.0,100.0,True,0.8,0.2,0.008535653400740695,0.30853565340074074
mm_global_distribution_0024_vprob,a6d1ea9ffa14fb945cbfb1987b9ea8ca,16962,stay,swerve,0.24643320363164722,0.7535667963683528,Age,Age,Young,0,True,,"{""A"":25,""B"":75}",25.0,75.0,100.0,True,0.25,0.75,0.003566796368352776,0.2535667963683528
mm_global_distribution_0025_vprob,290aaba99e16d4041861909647e6ff4e,14995,stay,swerve,0.7706568856285428,0.22934311437145716,Gender,Gender,Male,1,True,,"{""A"":60,""B"":40}",60.0,40.0,100.0,True,0.6,0.4,0.17065688562854286,0.27065688562854284
mm_global_distribution_0026_vprob,57f2f3f1620ea7cadb3a45a62c948db0,14983,stay,swerve,0.5053060134819463,0.4946939865180538,Gender,Gender,Female,1,True,,"{""A"":40,""B"":60}",40.0,60.0,100.0,True,0.4,0.6,0.10530601348194624,0.005306013481946259
mm_global_distribution_0027_vprob,0205c1ee69c9f923c1b7a1e71b3e5963,14824,stay,swerve,0.8074743658931463,0.19252563410685375,Gender,Gender,Male,1,True,,"{""A"":65,""B"":35}",65.0,35.0,100.0,True,0.65,0.35,0.15747436589314623,0.30747436589314625
mm_global_distribution_0028_vprob,ea2b354634993cdac66fa6f859c0068e,14807,stay,swerve,0.7860471398662795,0.21395286013372053,Gender,Gender,Male,1,True,,"{""A"":60,""B"":40}",60.0,40.0,100.0,True,0.6,0.4,0.18604713986627952,0.2860471398662795
mm_global_distribution_0029_vprob,7c5eb9f0e9c6bb257050569d1264ea4a,14790,stay,swerve,0.5655172413793104,0.43448275862068964,Gender,Gender,Female,1,True,,"{""A"":40,""B"":60}",40.0,60.0,100.0,True,0.4,0.6,0.16551724137931034,0.06551724137931036
mm_global_distribution_0030_vprob,0b95430cf4c222adf9f5a842d0a6546f,14769,stay,swerve,0.7607150111720495,0.23928498882795043,Gender,Gender,Male,1,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.06071501117204958,0.26071501117204954
mm_global_distribution_0031_vprob,3b93b24d35338bb577169344973e079e,14760,stay,swerve,0.49153116531165314,0.5084688346883469,Gender,Gender,Female,1,True,,"{""A"":35,""B"":65}",35.0,65.0,100.0,True,0.35,0.65,0.14153116531165316,0.00846883468834686
mm_global_distribution_0032_vprob,658ada3062c37295a6befb570d209548,14760,stay,swerve,0.7983739837398374,0.2016260162601626,Gender,Gender,Male,1,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.09837398373983741,0.29837398373983737
mm_global_distribution_0033_vprob,1de59853b82d8b8ffeb21679ff2e677d,14644,stay,swerve,0.5086724938541383,0.4913275061458618,Gender,Gender,Female,1,True,,"{""A"":45,""B"":55}",45.0,55.0,100.0,True,0.45,0.55,0.05867249385413825,0.008672493854138263
mm_global_distribution_0034_vprob,1f19e7f9ae9fcb941276e4822b3b3a68,14631,stay,swerve,0.763174082427722,0.23682591757227803,Gender,Gender,Male,1,True,,"{""A"":60,""B"":40}",60.0,40.0,100.0,True,0.6,0.4,0.16317408242772202,0.263174082427722
mm_global_distribution_0035_vprob,bb91b89f765765ce0982a3c621ee1d99,14626,stay,swerve,0.8079447559141255,0.19205524408587446,Gender,Gender,Male,1,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.10794475591412556,0.3079447559141255
mm_global_distribution_0036_vprob,adc5741ef7d135c4bdabe548792ec703,14570,stay,swerve,0.5467398764584763,0.4532601235415237,Gender,Gender,Female,1,True,,"{""A"":45,""B"":55}",45.0,55.0,100.0,True,0.45,0.55,0.09673987645847631,0.046739876458476326
mm_global_distribution_0037_vprob,f2d3245b01c063e4d1096b26d9921826,14557,stay,swerve,0.5646080923267157,0.43539190767328434,Gender,Gender,Female,1,True,,"{""A"":35,""B"":65}",35.0,65.0,100.0,True,0.35,0.65,0.21460809232671574,0.06460809232671572
mm_global_distribution_0038_vprob,5c8c7479a5ebc4a2d9b524be2e1451eb,14526,stay,swerve,0.5336637752994631,0.466336224700537,Gender,Gender,Female,1,True,,"{""A"":40,""B"":60}",40.0,60.0,100.0,True,0.4,0.6,0.13366377529946305,0.03366377529946307
mm_global_distribution_0039_vprob,d881db7ecaca8f1cf95ccf54ca82d3e2,13680,stay,swerve,0.629312865497076,0.37068713450292395,Random,Fitness,Rand,1,True,,"{""A"":30,""B"":70}",30.0,70.0,100.0,True,0.3,0.7,0.329312865497076,0.129312865497076
mm_global_distribution_0040_vprob,38049abc7d37e2cacb0bd5946e956cce,13357,stay,swerve,0.8549824062289436,0.14501759377105639,Age,Age,Old,1,True,,"{""A"": 75, ""B"": 25}",75.0,25.0,100.0,True,0.75,0.25,0.10498240622894361,0.3549824062289436
mm_global_distribution_0041_vprob,cf74956998927190759a19a9f27cca1c,13006,stay,swerve,0.9280332154390282,0.07196678456097186,Age,Age,Old,1,True,,"{""A"":80,""B"":20}",80.0,20.0,100.0,True,0.8,0.2,0.12803321543902813,0.42803321543902817
mm_global_distribution_0042_vprob,177b0905a5980959cf38d569e4f9c7fe,12951,stay,swerve,0.8242606748513628,0.17573932514863716,Fitness,Fitness,Fat,1,True,,"{""A"":60,""B"":40}",60.0,40.0,100.0,True,0.6,0.4,0.2242606748513628,0.3242606748513628
mm_global_distribution_0043_vprob,29491ff886e46d484657ddcea7f72297,12946,stay,swerve,0.2563726247489572,0.7436273752510428,Random,Age,Rand,1,True,,"{""A"":15,""B"":85}",15.0,85.0,100.0,True,0.15,0.85,0.10637262474895723,0.24362737525104278
mm_global_distribution_0044_vprob,60298a3a0af4e1efe84b4646e5214fcd,12918,stay,swerve,0.4521597770552717,0.5478402229447283,Fitness,Fitness,Fit,1,True,,"{""A"":25,""B"":75}",25.0,75.0,100.0,True,0.25,0.75,0.20215977705527172,0.04784022294472828
mm_global_distribution_0045_vprob,c206763910365d41d0fc71c7580c6043,12888,stay,swerve,0.8154872749844817,0.18451272501551833,Fitness,Fitness,Fat,1,True,,"{""A"":75,""B"":25}",75.0,25.0,100.0,True,0.75,0.25,0.0654872749844817,0.3154872749844817
mm_global_distribution_0046_vprob,21e60cb66fb9cc874a033c56cf158a9b,12872,stay,swerve,0.8297855811062772,0.1702144188937228,Social Status,Social Status,Low,1,True,,"{""A"":75,""B"":25}",75.0,25.0,100.0,True,0.75,0.25,0.0797855811062772,0.3297855811062772
mm_global_distribution_0047_vprob,79c59073a50d6348bdf97d0b34f214ea,12863,stay,swerve,0.9309647827100987,0.06903521728990127,Age,Age,Old,1,True,,"{""A"": 80, ""B"": 20}",80.0,20.0,100.0,True,0.8,0.2,0.1309647827100987,0.43096478271009875
mm_global_distribution_0048_vprob,697927bab188ef452432817a12f11728,12860,stay,swerve,0.7983670295489891,0.2016329704510109,Fitness,Fitness,Fat,1,True,,"{""A"": 80, ""B"": 20}",80.0,20.0,100.0,True,0.8,0.2,0.0016329704510109622,0.2983670295489891
mm_global_distribution_0049_vprob,8aa4bb7e1b24ee37fc401c9a01c1cf25,12840,stay,swerve,0.7965732087227414,0.20342679127725857,Fitness,Fitness,Fat,1,True,,"{""A"": 72, ""B"": 28}",72.0,28.0,100.0,True,0.72,0.28,0.07657320872274143,0.2965732087227414
mm_global_distribution_0050_vprob,600c89522f1f7167052322cc016b4f97,12830,stay,swerve,0.46734216679657054,0.5326578332034294,Fitness,Fitness,Fit,1,True,,"{""A"": 40, ""B"": 60}",40.0,60.0,100.0,True,0.4,0.6,0.06734216679657051,0.032657833203429465
mm_global_distribution_0051_vprob,11dd9a53601cabacd4eec0668053e515,12821,stay,swerve,0.8762187036892598,0.1237812963107402,Age,Age,Old,1,True,,"{""A"":80,""B"":20}",80.0,20.0,100.0,True,0.8,0.2,0.07621870368925976,0.3762187036892598
mm_global_distribution_0052_vprob,8ad21c0d2b73621870c049ce8961a6d6,12819,stay,swerve,0.42912863717918714,0.5708713628208129,Social Status,Social Status,High,1,True,,"{""A"":35,""B"":65}",35.0,65.0,100.0,True,0.35,0.65,0.07912863717918717,0.07087136282081286
mm_global_distribution_0053_vprob,15a88991e22d59dbb6d745694d5a522f,12803,stay,swerve,0.36632039365773644,0.6336796063422635,Social Status,Social Status,High,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.16632039365773643,0.13367960634226356
mm_global_distribution_0054_vprob,d1949bd05782cf154d2f7a9a4ac8841a,12801,stay,swerve,0.5114444184048121,0.48855558159518786,Fitness,Fitness,Fit,1,True,,"{""A"": 65, ""B"": 35}",65.0,35.0,100.0,True,0.65,0.35,0.13855558159518788,0.01144441840481214
mm_global_distribution_0055_vprob,9d8468cc906db2cb7c6a2365ced65bcc,12798,stay,swerve,0.8524769495233631,0.14752305047663697,Social Status,Social Status,Low,1,True,,"{""A"": 75, ""B"": 25}",75.0,25.0,100.0,True,0.75,0.25,0.10247694952336306,0.35247694952336306
mm_global_distribution_0056_vprob,5a5f61daf68d6fb6c41d66b5b4ac76d2,12796,stay,swerve,0.4497499218505783,0.5502500781494217,Fitness,Fitness,Fit,1,True,,"{""A"": 30, ""B"": 70}",30.0,70.0,100.0,True,0.3,0.7,0.14974992185057834,0.05025007814942167
mm_global_distribution_0057_vprob,ac6d88a9168648a2f7afc3aad00c7b56,12786,stay,swerve,0.8712654465821993,0.1287345534178007,Age,Age,Old,1,True,,"{""A"":80,""B"":20}",80.0,20.0,100.0,True,0.8,0.2,0.07126544658219924,0.3712654465821993
mm_global_distribution_0058_vprob,e8bcad3ad064da201e0804c259112303,12740,stay,swerve,0.15792778649921507,0.842072213500785,Age,Age,Young,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.04207221350078494,0.3420722135007849
mm_global_distribution_0059_vprob,f85361318cebd5d73c6d046c6a64ffe1,12740,stay,swerve,0.6987441130298273,0.3012558869701727,Fitness,Fitness,Fat,1,True,,"{""A"": 75, ""B"": 25}",75.0,25.0,100.0,True,0.75,0.25,0.05125588697017269,0.1987441130298273
mm_global_distribution_0060_vprob,46cec61da948a5798024bcfc7ab7737d,12708,stay,swerve,0.24283915643689014,0.7571608435631099,Age,Age,Young,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.042839156436890125,0.25716084356310986
mm_global_distribution_0061_vprob,2833e281fb9c21f930a613e3d21906ad,12696,stay,swerve,0.17170762444864524,0.8282923755513547,Age,Age,Young,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.028292375551354776,0.32829237555135476
mm_global_distribution_0062_vprob,ffaf426a31ff53d4d7698292978d817f,12653,stay,swerve,0.2573302774045681,0.742669722595432,Random,Age,Rand,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.057330277404568086,0.2426697225954319
mm_global_distribution_0063_vprob,57b635852ad54f8541552a5f6e71dbb0,11597,stay,swerve,0.6800034491678882,0.31999655083211176,Fitness,Fitness,Fat,0,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.019996550832111715,0.18000344916788824
mm_global_distribution_0064_vprob,44fe3937250ade7da89b139ad5d4568c,11511,stay,swerve,0.4885761445573799,0.5114238554426201,Age,Age,Young,0,True,,"{""A"":70,""B"":30}",70.0,30.0,100.0,True,0.7,0.3,0.21142385544262005,0.01142385544262009
mm_global_distribution_0065_vprob,3e0c5465a62a205260ee74a0071a1b5a,11444,stay,swerve,0.7446696959105208,0.2553303040894792,Age,Age,Old,0,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.044669695910520835,0.2446696959105208
mm_global_distribution_0066_vprob,6f3de36a8dca725f5e5c7c821a25c2e3,11438,stay,swerve,0.5598880923238329,0.44011190767616715,Age,Age,Young,0,True,,"{""A"":35,""B"":65}",35.0,65.0,100.0,True,0.35,0.65,0.20988809232383288,0.05988809232383285
mm_global_distribution_0067_vprob,af1ecc4748b89e799b89b9fc4f035175,11403,stay,swerve,0.6856967464702272,0.31430325352977284,Fitness,Fitness,Fat,0,True,,"{""A"": 80, ""B"": 20}",80.0,20.0,100.0,True,0.8,0.2,0.11430325352977289,0.18569674647022716
mm_global_distribution_0068_vprob,e4cf7ee350c9036203166165fca9f95d,11393,stay,swerve,0.6704116562801721,0.329588343719828,Random,Fitness,Rand,0,True,,"{""A"": 80, ""B"": 20}",80.0,20.0,100.0,True,0.8,0.2,0.12958834371982797,0.17041165628017207
mm_global_distribution_0069_vprob,df3b5a305483e45022f39329245535fc,11342,stay,swerve,0.743519661435373,0.25648033856462704,Age,Age,Old,0,True,,"{""A"":75,""B"":25}",75.0,25.0,100.0,True,0.75,0.25,0.006480338564627042,0.24351966143537296
mm_global_distribution_0070_vprob,42da6f052586a1bb2343fd93c2cfd098,11238,stay,swerve,0.6686243103755116,0.3313756896244883,Random,Fitness,Rand,0,True,,"{""A"": 70, ""B"": 30}",70.0,30.0,100.0,True,0.7,0.3,0.031375689624488334,0.16862431037551162
mm_global_distribution_0071_vprob,a3d54dd408bcbde97398ad443aee2d6d,10789,stay,swerve,0.4115302623041987,0.5884697376958012,Age,Age,Young,0,True,,"{""A"": 30, ""B"": 70}",30.0,70.0,100.0,True,0.3,0.7,0.11153026230419871,0.0884697376958013
mm_global_distribution_0072_vprob,0d7d635efcf87f111b3aedc7ae87090d,10774,stay,swerve,0.2571004269537776,0.7428995730462223,Random,Fitness,Rand,1,True,,"{""A"": 20, ""B"": 80}",20.0,80.0,100.0,True,0.2,0.8,0.057100426953777594,0.2428995730462224
mm_global_distribution_0073_vprob,47ff10003e1cf5ae5bc5187cf16a53bb,10769,stay,swerve,0.17578233819296127,0.8242176618070387,Age,Age,Young,1,True,,"{""A"":30,""B"":70}",30.0,70.0,100.0,True,0.3,0.7,0.12421766180703872,0.3242176618070387
mm_global_distribution_0074_vprob,d770fde4f23ba47b8f738a410622b44e,10748,stay,swerve,0.15658727205061407,0.8434127279493859,Age,Age,Young,1,True,,"{""A"": 10, ""B"": 90}",10.0,90.0,100.0,True,0.1,0.9,0.05658727205061406,0.34341272794938593
mm_global_distribution_0075_vprob,da0f242ac407177b23c2f03477707383,10722,stay,swerve,0.608282036933408,0.39171796306659207,Random,Fitness,Rand,0,True,,"{""A"": 65, ""B"": 35}",65.0,35.0,100.0,True,0.65,0.35,0.041717963066592034,0.10828203693340799
mm_global_distribution_0076_vprob,6dfd2a42768065eb9eca222c2ec78fb5,10712,stay,swerve,0.2703510082150859,0.7296489917849142,Fitness,Fitness,Fat,1,True,,"{""A"":25,""B"":75}",25.0,75.0,100.0,True,0.25,0.75,0.020351008215085897,0.2296489917849141
mm_global_distribution_0077_vprob,ab459e8ad43c894a308a1d6f7c02f3bd,10686,stay,swerve,0.43318360471645145,0.5668163952835485,Age,Age,Young,0,True,,"{""A"": 30, ""B"": 70}",30.0,70.0,100.0,True,0.3,0.7,0.13318360471645146,0.06681639528354855
mm_global_distribution_0078_vprob,6a735cb05a4f2ec78bdc8b4e7b01e498,10668,stay,swerve,0.7511248593925759,0.24887514060742408,Age,Age,Old,0,True,,"{""A"":65,""B"":35}",65.0,35.0,100.0,True,0.65,0.35,0.10112485939257587,0.2511248593925759
mm_global_distribution_0079_vprob,f31aa671c54164721a10f47b954eb64c,10658,stay,swerve,0.29789829236254456,0.7021017076374554,Fitness,Fitness,Fat,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.09789829236254455,0.20210170763745544
mm_global_distribution_0080_vprob,00c9d606a39e1c48b8ec9c414379b769,10648,stay,swerve,0.484504132231405,0.515495867768595,Age,Age,Old,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.28450413223140497,0.015495867768595017
mm_global_distribution_0081_vprob,7a5fc84e4231ff78a0db5cdc5654ba3c,10644,stay,swerve,0.6695791055993987,0.3304208944006013,Fitness,Fitness,Fat,0,True,,"{""A"":65,""B"":35}",65.0,35.0,100.0,True,0.65,0.35,0.019579105599398683,0.1695791055993987
mm_global_distribution_0082_vprob,7b098f9e80b9ec88bbdb8f82acb29856,10631,stay,swerve,0.5170727118803499,0.4829272881196501,Age,Age,Old,1,True,,"{""A"":35,""B"":65}",35.0,65.0,100.0,True,0.35,0.65,0.1670727118803499,0.017072711880349867
mm_global_distribution_0083_vprob,331172c6ff413e6093566be253c90f07,10602,stay,swerve,0.6206376155442369,0.3793623844557631,Random,Fitness,Rand,0,True,,"{""A"": 60, ""B"": 40}",60.0,40.0,100.0,True,0.6,0.4,0.02063761554423693,0.12063761554423691
mm_global_distribution_0084_vprob,7895fe3e515a5e8039638505065b2da9,10599,stay,swerve,0.8020567978111143,0.19794320218888575,Age,Age,Old,0,True,,"{""A"":65, ""B"":35}",65.0,35.0,100.0,True,0.65,0.35,0.15205679781111425,0.3020567978111143
mm_global_distribution_0085_vprob,787f9b6cf19df72165738c9c7ac9155a,10598,stay,swerve,0.24381958860162295,0.7561804113983771,Random,Fitness,Rand,1,True,,"{""A"":20,""B"":80}",20.0,80.0,100.0,True,0.2,0.8,0.04381958860162294,0.25618041139837705
mm_global_distribution_0086_vprob,332ed3412c6dde783cfc00def8484ea0,10560,stay,swerve,0.6512310606060606,0.3487689393939394,Fitness,Fitness,Fat,0,True,,"{""A"":65,""B"":35}",65.0,35.0,100.0,True,0.65,0.35,0.0012310606060605966,0.15123106060606062
mm_global_distribution_0087_vprob,3077bec3306bbea342f1a5d836156aea,10195,stay,swerve,0.4271701814615007,0.5728298185384992,Gender,Gender,Female,0,True,,"{""A"": 30, ""B"": 70}",30.0,70.0,100.0,True,0.3,0.7,0.12717018146150072,0.07282981853849929
mm_global_distribution_0088_vprob,5a29c560a249d39a2c0b6af8bbe9bdca,10033,stay,swerve,0.43496461676467657,0.5650353832353234,Gender,Gender,Male,0,True,,"{""A"":70,""B"":30}",70.0,30.0,100.0,True,0.7,0.3,0.2650353832353234,0.06503538323532343
