custom_id,record_id,unit_id,treatment_name,TreatmentCode,Treatment,PersonalizedTreatment,scenario,case,scenario_order,cell_name,data_source,UGProposer_delegated,UGResponder_delegated,TGSender_delegated,TGReceiver_delegated,PD_delegated,SH_delegated,C_delegated,UGProposer_decision,UGProposer_decision_nonnull,UGProposer_decision_state,UGResponder_decision,UGResponder_decision_nonnull,UGResponder_decision_state,TGSender_decision,TGSender_decision_nonnull,TGSender_decision_state,TGReceiver_decision,TGReceiver_decision_nonnull,TGReceiver_decision_state,PD_decision,PD_decision_nonnull,PD_decision_state,SH_decision,SH_decision_nonnull,SH_decision_state,C_decision,C_decision_nonnull,C_decision_state
multi_game_llm_fvk2c__1608,1608,1608,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1661,1661,1661,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,Earth,1,Earth
multi_game_llm_fvk2c__1661,1661,1661,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1817,1817,1817,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1817,1817,1817,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1820,1820,1820,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1820,1820,1820,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__185,185,185,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__185,185,185,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1888,1888,1888,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1888,1888,1888,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1910,1910,1910,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1910,1910,1910,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1980,1980,1980,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1980,1980,1980,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2050,2050,2050,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2050,2050,2050,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2089,2089,2089,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2089,2089,2089,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,B,1,B,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2108,2108,2108,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2108,2108,2108,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2123,2123,2123,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2123,2123,2123,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2183,2183,2183,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2183,2183,2183,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,B,1,B,Y,1,Y,Earth,1,Earth
multi_game_llm_fvk2c__2202,2202,2202,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2202,2202,2202,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2219,2219,2219,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2219,2219,2219,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2234,2234,2234,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2234,2234,2234,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__231,231,231,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__231,231,231,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,B,1,B,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2317,2317,2317,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2317,2317,2317,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2336,2336,2336,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2336,2336,2336,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2404,2404,2404,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2404,2404,2404,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2436,2436,2436,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2436,2436,2436,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2546,2546,2546,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2546,2546,2546,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,B,1,B,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2549,2549,2549,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2549,2549,2549,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__258,258,258,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__258,258,258,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2580,2580,2580,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2580,2580,2580,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2846,2846,2846,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2846,2846,2846,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__2867,2867,2867,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__2867,2867,2867,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__403,403,403,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__403,403,403,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__439,439,439,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__439,439,439,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__509,509,509,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__509,509,509,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__533,533,533,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__533,533,533,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__660,660,660,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__660,660,660,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__679,679,679,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
