custom_id,record_id,unit_id,treatment_name,variant,model,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players_json,chip_definitions_json,participant_chip_values_json,initial_chip_holdings_json,turn_order_json
chip_bargain__chip2_cohort_06_m8ag8i_game_1,chip2__cohort_06_m8ag8i__game_1,chip2__cohort_06_m8ag8i__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 06-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""pig-green-5746"", ""bear-pink-9082"", ""hamster-pink-796""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""pig-green-5746"": {""RED"": 0.3, ""GREEN"": 0.5}, ""hamster-pink-796"": {""RED"": 1.0, ""GREEN"": 0.5}, ""bear-pink-9082"": {""GREEN"": 0.5, ""RED"": 0.6}}","{""pig-green-5746"": {""RED"": 10, ""GREEN"": 10}, ""bear-pink-9082"": {""RED"": 10, ""GREEN"": 10}, ""hamster-pink-796"": {""RED"": 10, ""GREEN"": 10}}","[""pig-green-5746"", ""bear-pink-9082"", ""hamster-pink-796""]"
chip_bargain__chip2_cohort_07_m8ag8i_game_1,chip2__cohort_07_m8ag8i__game_1,chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 07-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""whale-green-1798"", ""swan-pink-1424"", ""turtle-yellow-7601""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""whale-green-1798"": {""RED"": 0.8, ""GREEN"": 0.5}, ""swan-pink-1424"": {""RED"": 0.1, ""GREEN"": 0.5}, ""turtle-yellow-7601"": {""GREEN"": 0.5, ""RED"": 0.2}}","{""whale-green-1798"": {""RED"": 10, ""GREEN"": 10}, ""swan-pink-1424"": {""RED"": 10, ""GREEN"": 10}, ""turtle-yellow-7601"": {""RED"": 10, ""GREEN"": 10}}","[""whale-green-1798"", ""swan-pink-1424"", ""turtle-yellow-7601""]"
chip_bargain__chip2_cohort_08_m8ag8i_game_1,chip2__cohort_08_m8ag8i__game_1,chip2__cohort_08_m8ag8i__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 08-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""frog-orange-3732"", ""hedgehog-purple-9301"", ""badger-purple-9216""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""hedgehog-purple-9301"": {""RED"": 0.2, ""GREEN"": 0.5}, ""frog-orange-3732"": {""GREEN"": 0.5, ""RED"": 0.6}, ""badger-purple-9216"": {""GREEN"": 0.5, ""RED"": 0.5}}","{""frog-orange-3732"": {""RED"": 10, ""GREEN"": 10}, ""hedgehog-purple-9301"": {""RED"": 10, ""GREEN"": 10}, ""badger-purple-9216"": {""RED"": 10, ""GREEN"": 10}}","[""frog-orange-3732"", ""hedgehog-purple-9301"", ""badger-purple-9216""]"
chip_bargain__chip2_cohort_09_m8ag8i_game_1,chip2__cohort_09_m8ag8i__game_1,chip2__cohort_09_m8ag8i__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 09-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""tiger-red-2074"", ""mouse-blue-9609"", ""unicorn-red-4526""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""tiger-red-2074"": {""GREEN"": 0.5, ""RED"": 0.1}, ""mouse-blue-9609"": {""GREEN"": 0.5, ""RED"": 0.3}, ""unicorn-red-4526"": {""GREEN"": 0.5, ""RED"": 0.2}}","{""tiger-red-2074"": {""RED"": 10, ""GREEN"": 10}, ""mouse-blue-9609"": {""RED"": 10, ""GREEN"": 10}, ""unicorn-red-4526"": {""RED"": 10, ""GREEN"": 10}}","[""tiger-red-2074"", ""mouse-blue-9609"", ""unicorn-red-4526""]"
chip_bargain__chip2_cohort_11_m8agmu_game_1,chip2__cohort_11_m8agmu__game_1,chip2__cohort_11_m8agmu__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 11-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""parrot-blue-2249"", ""fox-orange-371"", ""bear-orange-314""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""bear-orange-314"": {""GREEN"": 0.5, ""RED"": 0.5}, ""fox-orange-371"": {""RED"": 0.7, ""GREEN"": 0.5}, ""parrot-blue-2249"": {""GREEN"": 0.5, ""RED"": 0.1}}","{""parrot-blue-2249"": {""RED"": 10, ""GREEN"": 10}, ""fox-orange-371"": {""RED"": 10, ""GREEN"": 10}, ""bear-orange-314"": {""RED"": 10, ""GREEN"": 10}}","[""parrot-blue-2249"", ""fox-orange-371"", ""bear-orange-314""]"
chip_bargain__chip2_cohort_12_m8agmu_game_1,chip2__cohort_12_m8agmu__game_1,chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 12-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""monkey-pink-6874"", ""buffalo-orange-6610"", ""goose-purple-9985""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""goose-purple-9985"": {""RED"": 0.7, ""GREEN"": 0.5}, ""monkey-pink-6874"": {""GREEN"": 0.5, ""RED"": 0.8}, ""buffalo-orange-6610"": {""GREEN"": 0.5, ""RED"": 0.7}}","{""monkey-pink-6874"": {""RED"": 10, ""GREEN"": 10}, ""buffalo-orange-6610"": {""RED"": 10, ""GREEN"": 10}, ""goose-purple-9985"": {""RED"": 10, ""GREEN"": 10}}","[""monkey-pink-6874"", ""buffalo-orange-6610"", ""goose-purple-9985""]"
chip_bargain__chip2_cohort_13_m8agmu_game_1,chip2__cohort_13_m8agmu__game_1,chip2__cohort_13_m8agmu__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 13-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-blue-7632"", ""cat-purple-384"", ""rabbit-blue-2391""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""dog-blue-7632"": {""GREEN"": 0.5, ""RED"": 0.3}, ""cat-purple-384"": {""RED"": 0.7, ""GREEN"": 0.5}, ""rabbit-blue-2391"": {""RED"": 0.5, ""GREEN"": 0.5}}","{""dog-blue-7632"": {""RED"": 10, ""GREEN"": 10}, ""cat-purple-384"": {""RED"": 10, ""GREEN"": 10}, ""rabbit-blue-2391"": {""RED"": 10, ""GREEN"": 10}}","[""dog-blue-7632"", ""cat-purple-384"", ""rabbit-blue-2391""]"
chip_bargain__chip2_cohort_14_m8agmu_game_1,chip2__cohort_14_m8agmu__game_1,chip2__cohort_14_m8agmu__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 14-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""ram-pink-8623"", ""squid-yellow-4597"", ""otter-pink-5988""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""squid-yellow-4597"": {""RED"": 0.4, ""GREEN"": 0.5}, ""ram-pink-8623"": {""GREEN"": 0.5, ""RED"": 0.5}, ""otter-pink-5988"": {""GREEN"": 0.5, ""RED"": 0.4}}","{""ram-pink-8623"": {""RED"": 10, ""GREEN"": 10}, ""squid-yellow-4597"": {""RED"": 10, ""GREEN"": 10}, ""otter-pink-5988"": {""RED"": 10, ""GREEN"": 10}}","[""ram-pink-8623"", ""squid-yellow-4597"", ""otter-pink-5988""]"
chip_bargain__chip2_cohort_15_m8agmu_game_1,chip2__cohort_15_m8agmu__game_1,chip2__cohort_15_m8agmu__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 15-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""camel-pink-767"": {""GREEN"": 0.5, ""RED"": 1.0}, ""alligator-orange-9612"": {""GREEN"": 0.5, ""RED"": 0.3}, ""butterfly-yellow-2139"": {""GREEN"": 0.5, ""RED"": 0.6}}","{""camel-pink-767"": {""RED"": 10, ""GREEN"": 10}, ""butterfly-yellow-2139"": {""RED"": 10, ""GREEN"": 10}, ""alligator-orange-9612"": {""RED"": 10, ""GREEN"": 10}}","[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]"
chip_bargain__chip2_cohort_16_m8agzl_game_1,chip2__cohort_16_m8agzl__game_1,chip2__cohort_16_m8agzl__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 16-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""owl-blue-3422"", ""dolphin-red-8512"", ""iguana-yellow-5193""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""dolphin-red-8512"": {""GREEN"": 0.5, ""RED"": 0.6}, ""owl-blue-3422"": {""GREEN"": 0.5, ""RED"": 0.3}, ""iguana-yellow-5193"": {""GREEN"": 0.5, ""RED"": 0.6}}","{""owl-blue-3422"": {""RED"": 10, ""GREEN"": 10}, ""dolphin-red-8512"": {""RED"": 10, ""GREEN"": 10}, ""iguana-yellow-5193"": {""RED"": 10, ""GREEN"": 10}}","[""owl-blue-3422"", ""dolphin-red-8512"", ""iguana-yellow-5193""]"
chip_bargain__chip2_cohort_17_m8agzl_game_1,chip2__cohort_17_m8agzl__game_1,chip2__cohort_17_m8agzl__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 17-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""whale-orange-8655"", ""zebra-pink-5323"", ""swan-blue-3036""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""whale-orange-8655"": {""GREEN"": 0.5, ""RED"": 0.8}, ""swan-blue-3036"": {""GREEN"": 0.5, ""RED"": 0.8}, ""zebra-pink-5323"": {""RED"": 0.1, ""GREEN"": 0.5}}","{""whale-orange-8655"": {""RED"": 10, ""GREEN"": 10}, ""zebra-pink-5323"": {""RED"": 10, ""GREEN"": 10}, ""swan-blue-3036"": {""RED"": 10, ""GREEN"": 10}}","[""whale-orange-8655"", ""zebra-pink-5323"", ""swan-blue-3036""]"
chip_bargain__chip2_cohort_18_m8agzl_game_1,chip2__cohort_18_m8agzl__game_1,chip2__cohort_18_m8agzl__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 18-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""turtle-yellow-3106"", ""elephant-yellow-5788"", ""pig-blue-1277""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""turtle-yellow-3106"": {""GREEN"": 0.5, ""RED"": 1.0}, ""elephant-yellow-5788"": {""GREEN"": 0.5, ""RED"": 0.6}, ""pig-blue-1277"": {""RED"": 0.9, ""GREEN"": 0.5}}","{""turtle-yellow-3106"": {""RED"": 10, ""GREEN"": 10}, ""elephant-yellow-5788"": {""RED"": 10, ""GREEN"": 10}, ""pig-blue-1277"": {""RED"": 10, ""GREEN"": 10}}","[""turtle-yellow-3106"", ""elephant-yellow-5788"", ""pig-blue-1277""]"
