StatementID,TreatmentCode,SubjectID,ID,UGProposer,UGProposer_JUS,AI_UGProposer,AI_UGProposer_JUS,StatementID2,SubjectID2,ID2,UGResponder,UGResponder_JUS,AI_UGResponder,AI_UGResponder_JUS
12,ODU,111,48,5,It's fair and likely to be accepted.,5,"I believe that a fair division of the endowment would be for both parties to receive half, so I'm offering 5 ECU to the responder.",12,194,7,5,Half of the 10.,1,Any positive amount is better than nothing.
13,ODU,134,55,5,"Splitting the amount in half is fair to both of us, and hopefully, the other person will hold the same view.",5,I'm offering half of my endowment because I believe it's a fair compromise that balances the need to be generous with the need to keep some ECU for myself. I hope the responder will see it this way and accept my offer.,13,242,41,5,Otherwise it is an unequal split.,1,"I believe that any positive amount is better than nothing, so I would accept any offer of 1 ECU or more."
14,ODU,139,40,5,I think this is the most equitable thing to do.,5,"I think it's a fair offer to both parties, leaving some for me and giving some to the responder.",14,265,50,5,This is the fairest amount so everyone gets the same.,1,"I'd like to receive at least some compensation for participating in this exchange, and 1 ECU is a small but non-zero amount."
15,ODU,160,15,0,I want it all for myself.,5,"I believe this is a fair offer for both parties and increases the chance that the responder will accept it, leading to a positive outcome for both of us.",15,298,62,5,I wouldn't want to get less than half of the money. If the other person wants to be unfair then we would both get nothing and I would accept that.,1,"I believe in fairness and equity, even a small amount is better than nothing."
16,ODU,163,60,4,It is a fair enough offer that avoids the proposer rejecting.,5,I'm trying to maximize my own payout while still making an offer that the responder is likely to accept. Offering 5 ECU strikes a balance between those two goals.,16,303,64,5,We both get half so it's fair.,1,I'm not willing to accept any less than 1 ECU.
17,ODU,174,54,1,I want to be as frugal as possible.,5,"I'm offering half of my endowment because I think it's a fair and reasonable offer. This way, both the responder and I receive some money, and I am still left with a decent amount for myself.",17,326,45,1,I would accept anything over 0.,1,It is better to have something than nothing.
18,ODU,177,45,5,I believe most people would go this way in this scenario (and have taken part in previous studies on it).,5,"I think a fair offer would be to give half of my endowment to the responder, which would result in both of us having 5 ECU.",18,333,35,4,I think half is fair but I have gone a little lower than half to mitigate the risk of the proposer not being generous.,1,Any amount is better than nothing.
19,ODU,194,61,5,"It's half, so a good deal.",5,"I think that a fair offer would be to split the endowment down the middle, giving both of us 5 ECU each. This ensures that both parties receive a fair share of the endowment and there is a higher likelihood that the responder will accept the offer.",19,334,19,5,That's the middle ground.,1,Getting something is better than nothing.
20,ODU,206,37,1,I think the other person will accept at least 1 as it will be better than nothing.,5,"I'm trying to be fair and give the responder half of the endowment so that we both end up with 5 ECU each. This way, both of us stand to gain something and there's a good chance the responder will accept the offer.",20,344,54,3,Seems a fair amount of an offer of at least 30%.,1,"I'll take any amount offered, as long as it's positive and I receive something."
21,ODU,236,9,0,Time for a change.,5,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.",21,348,32,4,"It still gives me a profit, but the proposer gets slightly more.",1,Accepting any amount is better than receiving nothing.
22,ODU,265,52,5,I believe the responder will deem this as a fair amount.,5,"I am dividing the money equally, which is a fair offer.",22,362,45,2,I would prefer split halfway but will accept lower.,1,It is better to have something than nothing.
23,ODU,269,10,5,To split it equally.,5,"I want to offer the responder 5 ECU because it is a fair and balanced split of the total endowment, and it increases the chances that the responder will accept the offer and both parties will receive some money.",23,368,31,2,I would be happy to get at least something.,1,Any amount is better than none.
24,ODU,276,25,4,Think that will be their minimum.,5,To maximize total payout for both parties and increase likelihood of acceptance.,24,369,31,4,It's nearly half and so only fair.,1,Any amount is better than none.
25,ODU,288,12,4,I am going to test the water.,5,"I want to split the endowment in half, so 5 ECU for the responder and 5 ECU for myself. This seems like a fair and reasonable offer.",25,373,15,5,Would be hopeful to share equally.,1,"I believe that receiving any amount is better than receiving nothing, so I would be willing to accept any positive offer."
26,ODU,298,33,5,I think 5 would be a fair offer to both of us.,5,I would like to keep half of my endowment and offer the other half to the responder because I believe this is a fair and reasonable compromise that would maximize the chances of the offer being accepted.,26,383,62,7,I don't want the other to reject.,1,"I believe in fairness and equity, even a small amount is better than nothing."
27,ODU,303,46,5,We both get half and win in this situation.,5,"I'm offering 5 ECU to the responder as a fair compromise, hoping they will accept the offer and we both receive some money.",27,386,37,3,"If I go too high, there is a higher chance of 0.",1,I would accept a minimum of 1 ECU as it is better to receive something than nothing.
28,ODU,321,2,5,"Even split, fair so they will accept.",5,"I want to maximize my own payout while also increasing the likelihood that the responder will accept my offer, so I'm offering half of my endowment.",28,387,31,2,Not taking a risk for a higher bet.,1,Any amount is better than none.
29,ODU,333,46,5,Half seems like a fair offer nobody could refuse.,5,"I'm offering 5 ECU to the responder as a fair compromise, hoping they will accept the offer and we both receive some money.",29,417,53,1,"Although unfair, it's better than getting 0.",1,"I want to receive at least some amount of money, so I set the minimum offer to be 1 ECU."
30,ODU,334,14,5,That's the middle ground.,5,"I think it's fair to offer half of the endowment to the responder, since it's a one-time opportunity and splitting it equally gives both of us something instead of risking getting nothing if the responder sets their minimum too high or rejects the offer.",30,429,60,5,This seems like a fair amount.,1,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer."
31,ODU,337,5,5,Being fair and hoping the other is just as honest.,5,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,31,448,51,2,I’d hope they’d send more and be generous.,1,Accepting an offer of 1 ECU is better than receiving 0 ECU.
32,ODU,344,59,5,Fair share of the funds.,5,"I chose to offer 5 ECU because it seems like a fair and equal split between myself and the responder. It also gives the responder a decent amount of money, which may increase the likelihood of them accepting the offer. However, I still keep half of my endowment, which is important to me as well.",32,449,18,5,We both have the same then.,1,"I want at least some money, so I would accept any positive offer."
33,ODU,362,19,5,I would like it to be fair and split it evenly.,5,"I aim to maximize my own ECU, but also need to consider the minimum acceptance level of the responder. Offering 5 ECU strikes a balance between these goals.",33,451,57,4,If the proposer is too greedy we'll both loose money.,1,"I would like to receive at least some amount of money, so I would accept an offer of 1 ECU or more."
34,ODU,368,51,5,50% each seems fair.,5,"I think it's a fair and reasonable offer, giving the responder half of my endowment while still allowing me to keep a portion of the money.",34,478,20,6,Almost midway and good probability.,1,"I want to receive some money, so I accept any positive offer."
35,ODU,369,24,5,I like to split it in half and share equally.,5,I want to split the endowment equally and offer 5 ECU to the responder.,35,493,19,4,I'm expecting them to offer an amount which they deem fair and not greedy.,1,Getting something is better than nothing.
36,ODU,370,62,5,We are both equally involved in the process so it's fair to share equally.,5,I believe this offer is fair and gives the responder a reasonable amount of the endowment while also allowing me to keep a significant portion for myself.,36,531,20,5,I deserve half of it.,1,"I want to receive some money, so I accept any positive offer."
37,ODU,383,18,5,I want the receiver to get some ECU.,2,I want to keep 8 ECU and offer 2 ECU to the responder to increase the likelihood of the offer being accepted.,37,536,36,1,Better than nothing!,1,"I would accept any offer that is greater than 0 ECU. This is because I am currently endowed with 0 ECU, so any positive amount of ECU would be an improvement."
38,ODU,417,36,5,"It is an equal amount, any fair responder will accept.",5,I want to keep half of the endowment for myself and offer the other half to the responder. This seems like a fair and reasonable offer to make.,38,551,20,1,I recognise that the other person may have lots of reasons to pick any amount. I don't want them or myself to lose out as long as they offer at least a small amount.,1,"I want to receive some money, so I accept any positive offer."
39,ODU,429,15,5,Seems like a fair amount to offer and the likely minimum the other would accept.,5,"I believe this is a fair offer for both parties and increases the chance that the responder will accept it, leading to a positive outcome for both of us.",39,556,36,3,Not too large/not too small.,1,"I would accept any offer that is greater than 0 ECU. This is because I am currently endowed with 0 ECU, so any positive amount of ECU would be an improvement."
40,ODU,448,60,5,It’s nice to share.,5,I'm trying to maximize my own payout while still making an offer that the responder is likely to accept. Offering 5 ECU strikes a balance between those two goals.,40,558,4,7,I want to see if the proposer is generous enough.,1,I want at least something.
41,ODU,471,53,5,"It is fair this way, hopefully it will be accepted.",5,"I believe it's fair to offer the responder half of my endowment, as this way we both get something rather than both getting nothing.",41,566,22,3,I would usually expect it to be fairly split but wouldn’t make a fuss if it wasn't.,1,Getting something is better than getting nothing.
42,ODU,478,63,6,Hopefully accepts it as safe offer.,5,"I'm trying to split the endowment fairly and avoid a situation where the responder rejects the offer and we both get nothing. By offering 5 ECU, I'm giving the responder half of the endowment which I believe is a fair deal.",42,574,50,5,I think half is fair.,1,"I'd like to receive at least some compensation for participating in this exchange, and 1 ECU is a small but non-zero amount."
43,ODU,481,5,5,I wanted to make that decision myself.,5,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,43,602,10,5,Even split gets me the most money while providing good chance of acceptance.,1,"I would accept any offer above 0 ECU, as receiving any amount is better than receiving nothing."
44,ODU,493,30,5,"I’m sharing fairly, so I expect them to accept.",4,"I chose to offer the responder 4 ECU because it's a fair split that gives them a decent amount while also keeping the majority of the endowment for myself. It's not too little to make them reject the offer, but it's not too much to give away either.",44,604,60,3,"If they offer less, I will refuse and make sure we both get nothing.",1,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer."
45,ODU,536,53,4,"As I am the one with the ECU, I feel that I should keep more than half. However, I do not feel that the responder would accept less than 40%.",5,"I believe it's fair to offer the responder half of my endowment, as this way we both get something rather than both getting nothing.",45,619,22,0,I will accept any amount or I will get nothing.,1,Getting something is better than getting nothing.
46,ODU,551,63,5,We're both taking part on an equal basis and I would like to share accordingly.,5,"I'm trying to split the endowment fairly and avoid a situation where the responder rejects the offer and we both get nothing. By offering 5 ECU, I'm giving the responder half of the endowment which I believe is a fair deal.",46,633,12,4,"Close to even, anything less is unfair.",1,"1 ECU is the minimum amount of money, so accepting anything less than that wouldn't make sense."
47,ODU,555,62,5,Half each is fair.,5,I believe this offer is fair and gives the responder a reasonable amount of the endowment while also allowing me to keep a significant portion for myself.,47,636,19,1,It is up to them how they will split it.,1,Getting something is better than nothing.
48,ODU,558,12,7,Just wanted to be generous.,5,"I want to split the endowment in half, so 5 ECU for the responder and 5 ECU for myself. This seems like a fair and reasonable offer.",48,644,9,4,"It's a fair amount. I get slightly less and they get slightly more. It's not my ECU to give to begin with, so I can settle for less.",1,"I want to receive something, so I will accept any positive offer."
49,ODU,574,18,4,I want to see the minimum they'd accept.,2,I want to keep 8 ECU and offer 2 ECU to the responder to increase the likelihood of the offer being accepted.,49,645,64,5,I think we should keep it fair.,1,I'm not willing to accept any less than 1 ECU.
50,ODU,590,42,5,"Being fair, so it is half the amount.",5,"I think it's a fair offer that balances my self-interest with the responder's potential acceptance. By offering 5 ECU, I get to keep half of the endowment while also increasing the likelihood that the responder will accept the offer and we'll both end up with some money.",50,671,14,4,"Should be shared equally, but happy to accept 4.",1,"I want to receive at least some ECU, so even a small amount is better than nothing."
51,ODU,602,14,5,Even split gets me the most money while providing good chance of acceptance.,5,"I think it's fair to offer half of the endowment to the responder, since it's a one-time opportunity and splitting it equally gives both of us something instead of risking getting nothing if the responder sets their minimum too high or rejects the offer.",51,682,47,4,Seems a reasonable number.,1,"Sure! I'd like to receive at least 1 ECU, so that I end up with some money and don't walk away empty-handed."
52,ODU,604,12,5,We'd each have half.,5,"I want to split the endowment in half, so 5 ECU for the responder and 5 ECU for myself. This seems like a fair and reasonable offer.",52,693,42,4,Almost fair and equal.,1,I'll accept any positive amount because it's better than getting nothing.
53,ODU,619,64,10,"To maximise return for both of us, in the hope the other person sees it the same way as me.",5,"I believe that offering half of my endowment to the responder is a fair and reasonable offer, and will increase the likelihood that the responder will accept it.",53,698,52,4,It's not half but it is a fair offer.,1,I would accept any offer above 0 ECU because it's better than receiving nothing.
54,ODU,634,25,5,Better to share the amount.,5,To maximize total payout for both parties and increase likelihood of acceptance.,54,703,18,4,It is the lowest I would accept.,1,"I want at least some money, so I would accept any positive offer."
55,ODU,636,16,5,Only fair as I didn't have it to start with.,5,I think it's a fair offer that benefits both parties.,55,733,32,1,Because I will get nothing if I reject.,1,Accepting any amount is better than receiving nothing.
56,ODU,644,30,4,It seems to be a fair amount. I agree that it is slightly fewer than the middle value (5 ECU) but this is what I've chosen and deem to be adequate.,4,"I chose to offer the responder 4 ECU because it's a fair split that gives them a decent amount while also keeping the majority of the endowment for myself. It's not too little to make them reject the offer, but it's not too much to give away either.",56,739,60,1,"I have nothing, so anything would be a bonus.",1,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer."
57,ODU,645,64,5,Want to be fair.,5,"I believe that offering half of my endowment to the responder is a fair and reasonable offer, and will increase the likelihood that the responder will accept it.",57,754,33,5,"So it’s a fair split, the same as I would offer.",1,Accepting 1 ECU is better than getting 0 ECU.
58,ODU,656,64,4,Just enough for myself and the responder.,5,"I believe that offering half of my endowment to the responder is a fair and reasonable offer, and will increase the likelihood that the responder will accept it.",58,755,35,3,"While I do not think anything else than 50/50 split is fair, I would accept this as a minimum to ensure there was some gain.",1,Any amount is better than nothing.
59,ODU,671,60,5,Less likely to reject.,5,I'm trying to maximize my own payout while still making an offer that the responder is likely to accept. Offering 5 ECU strikes a balance between those two goals.,59,776,12,5,It is only fair.,1,"1 ECU is the minimum amount of money, so accepting anything less than that wouldn't make sense."
60,ODU,682,40,5,Likely to be accepted.,5,"I think it's a fair offer to both parties, leaving some for me and giving some to the responder.",60,793,12,4,I think it's a far amount!,1,"1 ECU is the minimum amount of money, so accepting anything less than that wouldn't make sense."
61,ODU,685,51,5,Least chance of rejection.,5,"I think it's a fair and reasonable offer, giving the responder half of my endowment while still allowing me to keep a portion of the money.",61,803,46,5,We both should get the same amount.,1,I would accept a minimum of 1 ECU because it is better than nothing.
62,ODU,706,39,5,"Seems likely they will accept a 50/50 offer, want to be fair to ensure we avoid losing it all.",5,"I believe it's a fair offer to give half of my endowment to the responder. This way, we both benefit from the transaction and neither of us will be left with nothing.",62,812,40,1,In that situation even though I am not getting much I am at least getting something.,1,I would accept any positive offer as it's better than receiving nothing.
63,ODU,754,5,5,50/50 split is fair.,5,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,63,828,10,5,To balance the ECU.,1,"I would accept any offer above 0 ECU, as receiving any amount is better than receiving nothing."
64,ODU,755,58,5,"I think that we are working in this together, so we should split the ECU equally.",5,"I think it's a fair offer that benefits both of us. By offering 5 ECU, I am still able to keep a significant amount for myself while also giving the responder a chance to earn some money.",64,832,6,4,"They may try to underbid me (i.e. offer me less than equal), and I am willing to accept this amount.",1,Because getting something is better than getting nothing.
65,ODU,770,16,4,I still hold the lion's share but hedging my bets that the responder will accept.,5,I think it's a fair offer that benefits both parties.,65,855,2,1,"Because then I would definitely get something, hopefully more if the offer is higher.",1,"I want to earn something, so I'll accept any amount offered."
66,ODU,776,57,5,It seems fairer.,5,"I'm offering half of my endowment because I think it's a fair compromise, and the responder is likely to accept it, resulting in both of us receiving something rather than nothing.",66,856,48,5,Offering half would be fair.,1,"I want to receive at least some amount, even if it's just a small one."
67,ODU,783,36,5,I think it's fair to split it in half.,5,I want to keep half of the endowment for myself and offer the other half to the responder. This seems like a fair and reasonable offer to make.,67,882,62,4,Feel just under half is fair.,1,"I believe in fairness and equity, even a small amount is better than nothing."
68,ODU,793,47,5,Half each seems fair.,5,"I am offering 5 ECU because I think it's a fair and reasonable amount for both parties, and it has a good chance of being accepted by the responder.",68,917,40,0,One of us should get some money.,1,I would accept any positive offer as it's better than receiving nothing.
69,ODU,798,6,5,I think it’s fair to divide it equally.,5,I'm following a fair and rational strategy.,69,940,45,5,If he/she is greedy I am happy that we both get zero.,1,It is better to have something than nothing.
70,ODU,803,31,5,We both get the same amount.,5,"I'd like to offer half of my endowment, 5 ECU, to maximize the chances of the responder accepting the offer and both of us receiving some money.",70,946,59,4,I feel this is a fair amount.,1,"I believe it's fair to receive at least 1 ECU since the proposer is receiving 9 ECU. I wouldn't want to reject the offer and receive nothing, so I would accept any offer above 0 ECU."
71,ODU,809,32,5,This gives us the same if they accept.,5,"I want to offer 5 ECU because I believe it is a fair and reasonable amount for both parties, and increases the chances of the offer being accepted.",71,984,6,3,I am ensuring that I receive a reasonable portion of the total endowment.,1,Because getting something is better than getting nothing.
72,ODU,812,62,5,So it is an even split.,5,I believe this offer is fair and gives the responder a reasonable amount of the endowment while also allowing me to keep a significant portion for myself.,72,994,33,5,Half is fair enough to both parties and is realistic.,1,Accepting 1 ECU is better than getting 0 ECU.
73,ODU,832,9,5,I believe in fairness.,5,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.",73,998,24,5,I’m hoping for a fair opponent.,1,Even 1 ECU is better than nothing.
74,ODU,855,10,5,Because I think it is likely that the other person has said they won't accept any less than half of the 10 ECU endowment (and it's fair).,5,"I want to offer the responder 5 ECU because it is a fair and balanced split of the total endowment, and it increases the chances that the responder will accept the offer and both parties will receive some money.",74,1025,55,4,"I don't think they will give me less than 4, as it would risk both of us losing.",1,"I always strive to maximize my own benefit and in this scenario, getting at least one ECU is better than getting nothing."
75,ODU,856,52,5,They are likely to accept half.,5,"I am dividing the money equally, which is a fair offer.",75,1043,19,4,I would rather take less with less risk than none at all.,1,Getting something is better than nothing.
76,ODU,882,30,5,Feel half and half is fair and they are likely to accept this.,4,"I chose to offer the responder 4 ECU because it's a fair split that gives them a decent amount while also keeping the majority of the endowment for myself. It's not too little to make them reject the offer, but it's not too much to give away either.",76,1059,39,5,Think it should be split fairly.,1,I would accept any positive amount as receiving something is better than receiving nothing.
77,ODU,916,31,5,Because this to me is fair and I would believe the other person should realise this and think this is the logical amount to send.,5,"I'd like to offer half of my endowment, 5 ECU, to maximize the chances of the responder accepting the offer and both of us receiving some money.",77,1070,60,5,Split it in half so it is fair.,1,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer."
78,ODU,917,50,4,This is almost half the money.,5,"I'm feeling generous and fair, so I'll offer the responder half of my endowment.",78,1084,34,2,It seems reasonable to ask for a small amount.,1,Accepting any positive amount is better than getting 0 ECU.
79,ODU,940,33,5,Seems fair and unlikely to be refused.,5,I would like to keep half of my endowment and offer the other half to the responder because I believe this is a fair and reasonable compromise that would maximize the chances of the offer being accepted.,79,1088,54,4,"Hopefully, other party will go higher.",1,"I'll take any amount offered, as long as it's positive and I receive something."
80,ODU,946,14,5,I want to be in control of this decision.,5,"I think it's fair to offer half of the endowment to the responder, since it's a one-time opportunity and splitting it equally gives both of us something instead of risking getting nothing if the responder sets their minimum too high or rejects the offer.",80,1097,31,3,"Anything above this I would be happy with, but any less I believe the other person is trying to be too greedy.",1,Any amount is better than none.
81,ODU,960,48,5,Seems like a fair offer.,5,"I believe that a fair division of the endowment would be for both parties to receive half, so I'm offering 5 ECU to the responder.",81,1105,15,4,Needs to be fair.,1,"I believe that receiving any amount is better than receiving nothing, so I would be willing to accept any positive offer."
82,ODU,968,45,5,It's a fair offer.,5,"I think a fair offer would be to give half of my endowment to the responder, which would result in both of us having 5 ECU.",82,1109,7,1,Even 1 is better than rejecting and receiving nothing.,1,Any positive amount is better than nothing.
83,ODU,971,52,5,I think a fair split is one that cannot be denied.,5,"I am dividing the money equally, which is a fair offer.",83,1110,16,5,So that we both get an equal share of the ECU.,1,"I just want to receive some ECU, even if it's just a little bit."
84,ODU,975,55,5,Equally share the ECU.,5,I'm offering half of my endowment because I believe it's a fair compromise that balances the need to be generous with the need to keep some ECU for myself. I hope the responder will see it this way and accept my offer.,84,1122,52,3,Any less would be unfair.,1,I would accept any offer above 0 ECU because it's better than receiving nothing.
85,ODU,979,19,5,So we can split it and I assume the other person would put 5 as minimum offer to accept.,5,"I aim to maximize my own ECU, but also need to consider the minimum acceptance level of the responder. Offering 5 ECU strikes a balance between these goals.",85,1130,31,5,"Half would be best, even though they may go lower knowing that you have to accept or go lower.",1,Any amount is better than none.
86,ODU,987,19,5,Keeping it even increases the chances of us both getting money.,5,"I aim to maximize my own ECU, but also need to consider the minimum acceptance level of the responder. Offering 5 ECU strikes a balance between these goals.",86,1141,41,5,"5 is fair and equal, so this is the minimum I would accept.",1,"I believe that any positive amount is better than nothing, so I would accept any offer of 1 ECU or more."
87,ODU,994,22,5,Half is fair enough to both parties and is realistic.,5,I want to be fair and keep the possibility of a mutually beneficial outcome alive.,87,1143,20,4,It’s a reasonable amount I’d take and I’d rather decide myself.,1,"I want to receive some money, so I accept any positive offer."
88,ODU,998,5,5,I’m going for fair play.,5,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,88,1149,60,3,This is the amount that comes to mind.,1,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer."
89,ODU,1025,19,5,Requesting more than 5 would be irrational.,5,"I aim to maximize my own ECU, but also need to consider the minimum acceptance level of the responder. Offering 5 ECU strikes a balance between these goals.",89,1151,33,5,Be fair or leave with nothing.,1,Accepting 1 ECU is better than getting 0 ECU.
90,ODU,1043,33,5,It's the most fair.,5,I would like to keep half of my endowment and offer the other half to the responder because I believe this is a fair and reasonable compromise that would maximize the chances of the offer being accepted.,90,1161,25,5,It's a fair split and it penalises the other person for being unfair.,1,It's better to receive something than nothing.
91,ODU,1055,31,0,I want to make as much profit as possible.,5,"I'd like to offer half of my endowment, 5 ECU, to maximize the chances of the responder accepting the offer and both of us receiving some money.",91,1167,41,5,Just hoping the other person is playing fair for this question.,1,"I believe that any positive amount is better than nothing, so I would accept any offer of 1 ECU or more."
92,ODU,1059,35,5,Think it is fairly divided.,5,"It's a fair split, giving the responder half of my endowment.",92,1180,51,4,Just below half to be on the safe side.,1,Accepting an offer of 1 ECU is better than receiving 0 ECU.
93,ODU,1070,2,5,Split it in half so it is fair.,5,"I want to maximize my own payout while also increasing the likelihood that the responder will accept my offer, so I'm offering half of my endowment.",93,1187,41,5,Need at least half of the amount available.,1,"I believe that any positive amount is better than nothing, so I would accept any offer of 1 ECU or more."
94,ODU,1084,47,5,I can't predict what the responder will do so I feel right about splitting the amount in half.,5,"I am offering 5 ECU because I think it's a fair and reasonable amount for both parties, and it has a good chance of being accepted by the responder.",94,1212,30,3,I’m not greedy.,1,"It is reasonable to assume that people tend to act in their own self-interest, and therefore if given the opportunity to earn even a small amount of money, they will usually take it."
95,ODU,1088,16,5,Both will benefit equally.,5,I think it's a fair offer that benefits both parties.,95,1218,40,2,"I have 0, 2 is better than 0.",1,I would accept any positive offer as it's better than receiving nothing.
96,ODU,1097,27,5,This seems fair to offer half of the fund to them and I'd hope their minimum is a little below this at least.,5,"I want to offer the responder a fair and equal split of the endowment, to increase the likelihood of them accepting my offer.",96,1221,48,5,This is the fairest option.,1,"I want to receive at least some amount, even if it's just a small one."
97,ODU,1109,36,5,Splitting it 50/50 seems the fairest way.,5,I want to keep half of the endowment for myself and offer the other half to the responder. This seems like a fair and reasonable offer to make.,97,1223,59,5,It's fair to split equally.,1,"I believe it's fair to receive at least 1 ECU since the proposer is receiving 9 ECU. I wouldn't want to reject the offer and receive nothing, so I would accept any offer above 0 ECU."
98,ODU,1110,37,5,Equal share of the ECU.,5,"I'm trying to be fair and give the responder half of the endowment so that we both end up with 5 ECU each. This way, both of us stand to gain something and there's a good chance the responder will accept the offer.",98,1232,53,5,Split 50/50 is fair.,1,"I want to receive at least some amount of money, so I set the minimum offer to be 1 ECU."
99,ODU,1122,5,4,Think it's a reasonable proposal.,5,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,99,1239,22,3,Should be less than 5 since I wouldn't bet that the person is fair.,1,Getting something is better than getting nothing.
100,ODU,1128,35,5,Best chance of fair outcome.,5,"It's a fair split, giving the responder half of my endowment.",100,1246,47,1,I would rather get something than nothing.,1,"Sure! I'd like to receive at least 1 ECU, so that I end up with some money and don't walk away empty-handed."
101,ODU,1130,18,5,Should accept half or we all get nothing.,2,I want to keep 8 ECU and offer 2 ECU to the responder to increase the likelihood of the offer being accepted.,101,1249,48,3,"If I accept 3, then I'm still better off than how I started out. Any less than 3 is just being greedy and I'd be happy to see the sender walk away with 0.",1,"I want to receive at least some amount, even if it's just a small one."
