StatementID,TreatmentCode,SubjectID,ID,C,C_JUS,AI_C,AI_C_JUS
119,ODU,2245,19,earth,It's in the middle.,mars,I just have a gut feeling about it.
120,ODU,2269,52,earth,"Felt like the obvious choice, can't say why.",venus,I choose Venus because it's a planet that I find interesting and I think it's a good choice to make.
121,ODU,2283,41,earth,"The most obvious answer, hopefully!",venus,Why not! Sounds like a good choice to me.
122,ODU,2306,44,earth,"I am biased towards our own planet. Without a way of communicating with the other person, I would hope that they also select the same option as it is the most logical.",venus,I picked randomly.
123,ODU,2313,10,earth,"We live on Earth, seems like the most obvious choice.",venus,Why not! It's as good as any other option.
124,ODU,2340,58,earth,"Middle option, plus it's the one we are living on, I think this will be chosen most.",earth,I'll pick earth as my choice.
125,ODU,2344,42,mars,It is my favourite planet.,venus,No problem. I choose Venus because I believe it will give me the best chance of earning money in this game.
126,ODU,2347,37,earth,"There's no justification, I picked at random since I don't know how or why the other person would make any choice.",venus,Why not! Venus sounds like a good option.
127,ODU,2349,38,earth,Seems a logical selection as it's where we both live.,venus,It's just a random choice.
128,ODU,2399,25,earth,Guess as I don't know what he will choose.,venus,I choose Venus as it seems like a good option to maximize potential earnings.
129,ODU,2416,46,earth,Even and in the middle so it's the natural pick.,earth,Why not? It's a safe choice and has a chance of getting 5 ECU.
130,ODU,2421,52,saturn,The planet fascinates me and sounds and looks very ethereal.,venus,I choose Venus because it's a planet that I find interesting and I think it's a good choice to make.
131,ODU,2427,4,earth,"Hopefully, they will pick the same.",earth,"No justification, just answer."
132,ODU,2449,30,mars,I love mars bars.,saturn,"I choose randomly, doesn't matter which one."
133,ODU,2462,45,earth,It's the planet that others will most likely choose.,mars,I just went with my gut feeling.
134,ODU,2477,22,earth,Hope they chose home.,earth,I choose Earth as it seems like a safe and familiar choice.
135,ODU,2503,32,mercury,"Hopefully, the other person would pick first out of the same list.",mars,I choose Mars to maximize my expected earnings.
136,ODU,2566,55,saturn,"Not sure, random choice.",venus,Just going with my gut feeling.
137,ODU,2570,20,saturn,The most interesting option as it has obvious rings.,mars,I like the sound of Mars.
138,ODU,2577,5,earth,It is where I live.,earth,"I choose the option that is most recognizable and commonly known to increase the likelihood of the other person choosing a different option, thus earning 2 ECU instead of 5."
139,ODU,2586,46,saturn,This is a good choice as any.,earth,Why not? It's a safe choice and has a chance of getting 5 ECU.
140,ODU,2637,46,mars,It's just a random choice.,earth,Why not? It's a safe choice and has a chance of getting 5 ECU.
141,ODU,2659,32,earth,It's the logical choice as it is the planet where we live.,mars,I choose Mars to maximize my expected earnings.
142,ODU,2667,14,earth,I think most people would choose earth as it is the planet we live on.,earth,I choose earth because it's a safe choice with a decent payout.
143,ODU,2672,7,earth,Know more about earth than other planets.,mars,I choose Mars because it sounds like a good option.
144,ODU,2684,24,mars,Probability suggests we will choose different planets.,venus,I randomly selected Venus.
145,ODU,2688,51,earth,It's the middle option and our planet.,venus,I choose Venus because it sounds like a good option.
146,ODU,2730,45,earth,It's where we live so I think the most likely option.,mars,I just went with my gut feeling.
147,ODU,2736,39,earth,"The most likely unspoken strategies without communication are ""pick the first one"" and ""pick the odd one out"". I have little reason to prefer one over the other so I hope opponent will make same thought.",venus,I just feel like it.
148,ODU,2802,44,earth,I think Earth is the most likely pick as it is the planet we live on.,venus,I picked randomly.
149,ODU,2828,44,mercury,It's random but I guessed they might start at the top.,venus,I picked randomly.
150,ODU,2830,43,earth,I just went with the planet we live on.,venus,Seems like a good choice!
151,ODU,2850,49,earth,It's the most familiar planet to us.,venus,"Why not, sounds good!"
152,ODU,2854,19,mercury,I'm hoping it will be the obvious choice for my counterpart.,mars,I just have a gut feeling about it.
153,ODU,2878,38,mars,Random and I like Mars bars.,venus,It's just a random choice.
154,ODU,2898,44,earth,As I feel it would provide the best outcome and likely to earn more.,venus,I picked randomly.
155,ODU,2912,5,earth,"I figure that the other will select the planet which has intelligent life, i.e. humans.",earth,"I choose the option that is most recognizable and commonly known to increase the likelihood of the other person choosing a different option, thus earning 2 ECU instead of 5."
156,ODU,2938,24,mercury,I have nothing to lose. I am just guessing.,venus,I randomly selected Venus.
157,ODU,2943,32,earth,Only because I think the other person might go for this.,mars,I choose Mars to maximize my expected earnings.
158,ODU,2950,63,mars,Just made me think of the chocolate bar as was hungry.,venus,I choose Venus because I think it has a nice ring to it.
159,ODU,2975,36,venus,1/5 chance so chose randomly.,venus,"Why not, seems like a good pick."
160,ODU,2981,25,earth,"It's more familiar than others, hopefully other will choose the same.",venus,I choose Venus as it seems like a good option to maximize potential earnings.
