StatementID,TreatmentCode,SubjectID,ID,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,ID2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
11,ODU,206,55,No,"I like to make my decisions, there's a good chance receiver doesn't transfer me anything back.",Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,11,160,18,2,As keeping it a little fair.,2,I'm maximizing my own earnings.
12,ODU,232,20,Yes,It's nice to give to people.,Yes,"It's a win-win situation, either the receiver returns the amount or they don't, either way I will be making more money.",12,163,55,3,It is the fair thing to do.,2,Returning 2 ECU to the sender is a fair move as it balances out the total ECU each player has at the end of the game. Both the receiver and the sender end up with 5 ECU each.
13,ODU,236,13,Yes,Wanted to do this.,Yes,I choose to trust the receiver to return a fair amount.,13,194,13,3,Half of the 6.,2,To maximize my own payout and to follow the strategy of reciprocating the sender's transfer.
14,ODU,242,55,No,Unaware of whether receiver will send back money.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,14,204,32,4,We both end up with more so all is good.,2,To maximize mutual benefit and adhere to the fairness norm.
15,ODU,269,52,Yes,To have it tripled to 6 ECU.,Yes,"I trust the receiver to return some ECU, even if it's not the full amount.",15,206,59,0,"I like making my own decision and I want to get the most bonus I can, I don't know the other person.",3,I return 3 ECU to the sender to be fair and reciprocate their trust in me. It is a win-win situation where both of us end up with a slightly higher amount of ECU than our initial endowment.
16,ODU,288,14,Yes,I think it is worth a punt.,Yes,I trust the receiver to do the right thing.,16,232,30,3,I've sent half the amount.,2,It's an equal split.
17,ODU,298,48,Yes,I would hope that I would receive at least 2ECU back or maybe 3ECU if the other person is playing fair.,Yes,I believe in the principle of reciprocity and hope that the receiver will return some of the ECU back to me.,17,242,54,3,Seems like a fair compensation.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
18,ODU,303,12,Yes,If it is tripled they get 6 and I keep 3 so if they return 1 then we both have 4.,Yes,I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,18,298,18,3,We would both receive an equal amount.,2,I'm maximizing my own earnings.
19,ODU,321,39,Yes,It's only a minority portion of my endowment and providing the receiver gives them a chance to earn more - I hope they will transfer some back and reciprocate in good faith.,Yes,I want to trust the receiver and believe that they will return some of the money.,19,303,25,1,I think since it's not tripled if they have 5 and send 2 I will send back 1 so we have almost equal amounts to be fair.,3,I aim to maximize my own payoff and also maintain fairness to some extent. Returning 3 ECU to the sender is a compromise between these two objectives.
20,ODU,322,62,Yes,I just wanted to!,Yes,"I believe in the concept of reciprocity and trust, and by transferring 2 ECU to the receiver, I am hoping to establish a mutual trust that will result in a positive outcome for both of us.",20,317,36,3,So we split the return evenly.,2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
21,ODU,326,12,Yes,I have chosen to give 2  ECU since we are a team.,Yes,I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,21,321,24,3,Even split - seems fair.,0,I keep all 6 ECU.
22,ODU,334,51,No,I don't trust the receiver.,Yes,I trust the receiver to return some ECU to me.,22,333,47,3,I would refund the original 2 plus an extra 1 as a thank you for trusting me.,2,It's a fair and equal split of the tripled amount.
23,ODU,373,16,Yes,I like to be giving.,Yes,It's a potentially profitable move.,23,334,55,0,I want to keep all the money for myself.,2,Returning 2 ECU to the sender is a fair move as it balances out the total ECU each player has at the end of the game. Both the receiver and the sender end up with 5 ECU each.
24,ODU,383,18,Yes,"I want the other person to receive ECU, it makes no difference to me.",yes,"I trust the receiver to return some of the money, thus increasing my final payment.",24,348,48,3,We receive half each.,3,"In the spirit of fairness, I return half of what was given to me."
25,ODU,417,16,Yes,"Hopefully, I can receive more back.",Yes,It's a potentially profitable move.,25,417,36,3,It is fair and means we both are in a profit.,2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
26,ODU,448,10,Yes,I might receive more back.,Yes,I trust the receiver to return some ECU back to me.,26,429,4,3,We both receive an equal amount and therefore benefit equally.,3,"This decision is based on the concept of fairness and reciprocity, commonly referred to as the Golden Rule or Tit for Tat strategy in game theory. By returning half of the amount received, the receiver demonstrates fairness and creates a positive outcome for both players, incentivizing future cooperation."
27,ODU,451,40,Yes,In this way we both can earn more.,Yes,I trust the receiver to return some of the tripled amount.,27,451,7,3,I think that's the fairest and wiser solution.,2,"This is the minimum amount that can be returned, leaving the receiver with the maximum amount of ECU."
28,ODU,458,52,No,I'm a bit selfish.,Yes,"I trust the receiver to return some ECU, even if it's not the full amount.",28,493,9,2,4 for me is fair.,2,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received."
29,ODU,471,62,Yes,"I believe it is good to transfer some rather than keep it all and hopefully, the receiver will respond in kind later.",Yes,"I believe in the concept of reciprocity and trust, and by transferring 2 ECU to the receiver, I am hoping to establish a mutual trust that will result in a positive outcome for both of us.",29,551,59,4,This will equalise the amount we finish with (7 each) and be a fair outcome for both.,3,I return 3 ECU to the sender to be fair and reciprocate their trust in me. It is a win-win situation where both of us end up with a slightly higher amount of ECU than our initial endowment.
30,ODU,478,39,Yes,I also keep some ECU.,Yes,I want to trust the receiver and believe that they will return some of the money.,30,574,57,2,They haven't gained or lost from their start point.,2,I'm playing it safe and trying to maintain a balance in the relationship by returning a portion of the tripled amount. This shows that I'm grateful for the transfer and also leaves me with some extra money.
31,ODU,493,47,Yes,Expecting them to accept.,Yes,I choose to trust the receiver and hope for a positive outcome.,31,590,47,3,Seems a fair and right thing to do.,2,It's a fair and equal split of the tripled amount.
32,ODU,551,57,Yes,"I would like them to receive the best possible reward for their time. This mechanism is a good way to achieve that. I hope they may also choose the same for me, but the risk for me isn't high if they don't.",Yes,It seems like a good opportunity to potentially earn more money.,32,602,7,3,We each get the same amount.  Fair.,2,"This is the minimum amount that can be returned, leaving the receiver with the maximum amount of ECU."
33,ODU,581,31,Yes,I want the opportunity to earn more back.,Yes,It's a risk worth taking.,33,604,39,2,The sender gets their original money back.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
34,ODU,602,57,Yes,See no need to hook them up.,Yes,It seems like a good opportunity to potentially earn more money.,34,619,36,3,This will maximise return for both of us.,2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
35,ODU,604,63,Yes,I'd still have some left.,Yes,I want to transfer 2 ECU because it can potentially result in a higher payout for both me and the receiver.,35,636,6,3,Only fair to split what I was given.,2,Maximizing personal gain.
36,ODU,636,45,Yes,I'm very trusting so I hope they help me out.,Yes,It seems like a good opportunity to potentially increase my final payment.,36,640,31,2,Seems a fair amount.,0,I'm keeping all of it.
37,ODU,644,7,Yes,"Even if they don't return my ECU, it's worth the gamble. 2 ECU is not much and if they decide to return it, I could get even more in theory.",Yes,I stand to potentially gain more ECU by making the transfer and relying on the receiver's generosity in their return amount.,37,644,6,0,I'd rather keep tripled ECU to myself.,2,Maximizing personal gain.
38,ODU,656,15,No,I may not get a fair amount.,Yes,I'm a cooperative person.,38,654,12,3,They were good enough to send so I'll split the difference with them.,2,"It's a fair move that benefits both parties, maximizing each person's earnings while also showing trust and cooperation."
39,ODU,695,40,Yes,It pays to transfer with a 6x lift.,Yes,I trust the receiver to return some of the tripled amount.,39,655,54,2,Would be fair as he sent me 2.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
40,ODU,723,30,Yes,It would allow for the greatest all round benefit.,Yes,I'll trust the receiver to do the right thing.,40,671,32,2,Don't want to give 0.,2,To maximize mutual benefit and adhere to the fairness norm.
41,ODU,736,61,Yes,I still get to keep 3.,Yes,"I want to demonstrate trust and hope for a positive outcome, which could lead to a reciprocal act of kindness.",41,703,48,0,I felt like keeping it.,3,"In the spirit of fairness, I return half of what was given to me."
42,ODU,776,38,Yes,Why not. He may just do the same for me.,Yes,I'm feeling generous today.,42,717,25,3,The highest outcome for both players.,3,I aim to maximize my own payoff and also maintain fairness to some extent. Returning 3 ECU to the sender is a compromise between these two objectives.
43,ODU,803,55,Yes,I want to help the other person.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,43,768,4,0,Looking out for myself.,3,"This decision is based on the concept of fairness and reciprocity, commonly referred to as the Golden Rule or Tit for Tat strategy in game theory. By returning half of the amount received, the receiver demonstrates fairness and creates a positive outcome for both players, incentivizing future cooperation."
44,ODU,813,31,Yes,I expect the same towards me.,Yes,It's a risk worth taking.,44,776,30,3,To keep a balance.,2,It's an equal split.
45,ODU,855,37,No,Because I don't know this person and don't trust them to send me some back.,Yes,I choose to transfer 2 ECU to the receiver as it is a way to cooperate and potentially receive some ECU in return.,45,803,49,6,I want to help the other person.,2,It's a fair and equal split of the total amount received.
46,ODU,856,16,No,The receiver may not return any money.,Yes,It's a potentially profitable move.,46,809,48,0,I want to keep as much as possible.,3,"In the spirit of fairness, I return half of what was given to me."
47,ODU,881,50,No,I don't know what the receiver will decide.,Yes,I trust the receiver to return a fair amount.,47,821,36,3,50/50 is fair.,2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
48,ODU,882,6,Yes,I feel it's my obligation to send more than 2 as this should benefit both parties.,Yes,I am following the trust game theory that suggests cooperation leads to mutual benefit.,48,855,14,0,Because I want to maximise my ECU and I don't know this person.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
49,ODU,892,9,Yes,"It will be tripled for the next person, therefore more valuable for them.",Yes,I choose to trust the receiver and believe they will return some of the money.,49,856,46,1,"If they sent money, they should receive some back.",3,"Returning 3 ECU is a fair compromise, as it allows both the sender and the receiver to end up with a decent amount of money, while also acknowledging the sender's initial transfer."
50,ODU,901,19,Yes,It would be better because the total amount would be higher.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,50,882,6,3,I feel for the common good I should send back half so we both benefit.,2,Maximizing personal gain.
51,ODU,917,32,Yes,May get more money than if not.,Yes,I believe that the receiver may return a portion of the tripled amount and it will still result in an overall increase in my total payment.,51,892,20,4,Makes sense as both parties benefit by 2.,2,"This decision is based on the principle of reciprocity, where one returns the same amount they received."
52,ODU,960,7,Yes,It seems a fair amount to transfer.,Yes,I stand to potentially gain more ECU by making the transfer and relying on the receiver's generosity in their return amount.,52,909,16,2,I would not send the maximum as any return is not guaranteed.,0,I'm keeping all of the 6 ECU.
53,ODU,971,55,No,I am looking out for my own gains in this one.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,53,916,7,2,This would be because then the returned amount if the persons sends 2 would be equal and we would both be happy. Trusting the person to send that amount.,2,"This is the minimum amount that can be returned, leaving the receiver with the maximum amount of ECU."
54,ODU,975,42,Yes,We both get ECU if the sender sends ECU back.,Yes,"I think it's a generous move and it might encourage the receiver to return some of the amount, which would increase my final payment.",54,917,33,3,Fair for them maximising the money.,2,"The amount of the sender's transfer is tripled, so the receiver will get 6 ECU if the sender transfers 2 ECU. By returning 2 ECU to the sender, both parties will have the same amount they started with: 5 ECU."
55,ODU,979,20,Yes,I prefer to give something with the chance of getting more back (I got 3 anyway).,Yes,"It's a win-win situation, either the receiver returns the amount or they don't, either way I will be making more money.",55,968,47,3,So we each have 3.,2,It's a fair and equal split of the tripled amount.
56,ODU,984,31,Yes,"By transferring a portion of my endowment, I can contribute to increasing the overall resources available to both of us.",Yes,It's a risk worth taking.,56,971,6,0,I don't think I will get sent anything so I prefer to keep mine.,2,Maximizing personal gain.
57,ODU,994,4,Yes,It's in our best interest to work together to maximize our outcome.,Yes,I trust that the receiver will return some of the money and that the transfer will result in a larger payout for both of us.,57,975,51,0,I have the power so will keep the ECU.,2,"I would return 2 ECU to the sender because it seems like a fair and equal split of the amount that was tripled. This way, both the sender and receiver end up with the same amount of ECU."
58,ODU,998,33,Yes,Seems a fair scenario.,Yes,I trust the receiver to return some of the ECU.,58,984,31,4,"By returning 4 ECU to the sender, I am keeping 2 ECU for myself. This decision allows me to retain a significant portion of the transfer while still providing some benefit to the sender.",0,I'm keeping all of it.
59,ODU,1025,19,Yes,People with more money are generally more likely to show generosity.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,59,987,10,3,This way we both earn money.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
60,ODU,1034,49,Yes,It seems the right decision.,Yes,I trust the receiver to return a fair amount.,60,994,14,4,This seems a fair option as we both end up having the same money.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
61,ODU,1043,19,Yes,I have faith in humanity.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,61,998,31,3,Trying to make this fair.,0,I'm keeping all of it.
62,ODU,1059,56,No,I would be worse off.,Yes,I want to cooperate.,62,1025,19,3,Then we both have 8.,0,I would keep the full amount because it was tripled before being received and there's no obligation to return any of it.
63,ODU,1084,19,Yes,It's good to be generous.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,63,1034,6,6,It seems the right decision.,2,Maximizing personal gain.
64,ODU,1097,18,Yes,Just earns more overall and I would hope the other person would at least give two back.,yes,"I trust the receiver to return some of the money, thus increasing my final payment.",64,1059,61,0,I don't think anyone would give any of the money back.,0,I keep all 6 ECU.
65,ODU,1105,32,Yes,I want to see if anything will come back to me.,Yes,I believe that the receiver may return a portion of the tripled amount and it will still result in an overall increase in my total payment.,65,1084,32,3,It feels right to transfer half.,2,To maximize mutual benefit and adhere to the fairness norm.
66,ODU,1109,20,Yes,Sending 2 is worth the risk of not receiving any back in opposition to increasing my reward.,Yes,"It's a win-win situation, either the receiver returns the amount or they don't, either way I will be making more money.",66,1097,4,4,This will give us both a plus 2 on what we'd get if they weren't generous.,3,"This decision is based on the concept of fairness and reciprocity, commonly referred to as the Golden Rule or Tit for Tat strategy in game theory. By returning half of the amount received, the receiver demonstrates fairness and creates a positive outcome for both players, incentivizing future cooperation."
67,ODU,1110,44,No,No guarantee of the other person reciprocating.,Yes,I want to build trust and increase my chances of getting a positive return.,67,1105,60,3,Just to be fair.,2,"This is the minimum amount that can be returned, ensuring that the receiver receives the maximum amount of ECU possible."
68,ODU,1122,54,No,Other side likely to keep it all.,Yes,"I believe transferring 2 ECU to the receiver is a fair and generous move. With the tripled amount, the receiver will receive 6 ECU, which is more than their initial endowment. By doing so, I also have a chance of receiving a larger return from the receiver, which could potentially increase my final payment.",68,1109,10,4,This would ensure we both get an equal share.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
69,ODU,1130,4,No,No benefit for the other person to send money back.,Yes,I trust that the receiver will return some of the money and that the transfer will result in a larger payout for both of us.,69,1110,43,3,"It's fair, so that we both end up benefitting.",2,It's a fair and equal split of the tripled amount.
70,ODU,1141,57,Yes,"It is only 2, and the receiver gets 3 x more.",Yes,It seems like a good opportunity to potentially earn more money.,70,1130,54,4,Would send money back but keep some as a form of payment.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
71,ODU,1151,55,Yes,Good chance of getting a larger return.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,71,1135,33,3,Half of total made.,2,"The amount of the sender's transfer is tripled, so the receiver will get 6 ECU if the sender transfers 2 ECU. By returning 2 ECU to the sender, both parties will have the same amount they started with: 5 ECU."
72,ODU,1161,54,Yes,"Hopefully, the other person will send back half - can't gain here with taking a risk.",Yes,"I believe transferring 2 ECU to the receiver is a fair and generous move. With the tripled amount, the receiver will receive 6 ECU, which is more than their initial endowment. By doing so, I also have a chance of receiving a larger return from the receiver, which could potentially increase my final payment.",72,1141,36,2,2 is fair as it is not tripled.,2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
73,ODU,1168,60,Yes,"I hope that in being generous, the other person will too.",Yes,I trust the receiver to make a fair decision.,73,1161,54,3,This is how much I would want to receive back in this position.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
74,ODU,1173,47,No,That way I still get 5 ECU.,Yes,I choose to trust the receiver and hope for a positive outcome.,74,1167,18,0,I think this is the optimal choice.,2,I'm maximizing my own earnings.
75,ODU,1180,60,Yes,Trying to be fair.,Yes,I trust the receiver to make a fair decision.,75,1168,33,2,That way they get back what they sent.,2,"The amount of the sender's transfer is tripled, so the receiver will get 6 ECU if the sender transfers 2 ECU. By returning 2 ECU to the sender, both parties will have the same amount they started with: 5 ECU."
76,ODU,1218,54,Yes,Might get it back.,Yes,"I believe transferring 2 ECU to the receiver is a fair and generous move. With the tripled amount, the receiver will receive 6 ECU, which is more than their initial endowment. By doing so, I also have a chance of receiving a larger return from the receiver, which could potentially increase my final payment.",76,1173,45,0,Keep what I get.,2,"In the spirit of the Tit for Tat strategy, I would return 2 ECU to the sender as a fair response to their 2 ECU transfer. This creates an atmosphere of trust and cooperation, and sets the stage for future positive interactions."
77,ODU,1239,36,Yes,We can both profit.,Yes,I trust the receiver to return a fair amount.,77,1180,57,3,Send them back 3 so we both get the same.,2,I'm playing it safe and trying to maintain a balance in the relationship by returning a portion of the tripled amount. This shows that I'm grateful for the transfer and also leaves me with some extra money.
78,ODU,1280,36,Yes,"If I give 2 ECU now, the other person may do the same for me.",Yes,I trust the receiver to return a fair amount.,78,1193,13,5,I will learn on it more.,2,To maximize my own payout and to follow the strategy of reciprocating the sender's transfer.
79,ODU,1340,58,Yes,I want the receiver to get a share of our bonus.,Yes,I want to help the receiver and trust that they will return some of the amount to me.,79,1212,27,2,So the responder gets a fair share.,3,This maximizes my own payout while still being fair to the sender.
80,ODU,1341,53,Yes,"If tripled, there's a greater chance of a higher return.",Yes,I want to be cooperative and give the receiver an opportunity to increase their endowment.,80,1221,33,4,We would earn an equal amount.,2,"The amount of the sender's transfer is tripled, so the receiver will get 6 ECU if the sender transfers 2 ECU. By returning 2 ECU to the sender, both parties will have the same amount they started with: 5 ECU."
81,ODU,1345,43,No,I wanted the best return and I would get this by not using 2 ECU.,Yes,I choose to trust the receiver to return some of the tripled amount.,81,1223,54,2,It's fair to return an amount.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
82,ODU,1360,53,Yes,Best outcome for both.,Yes,I want to be cooperative and give the receiver an opportunity to increase their endowment.,82,1232,9,3,Only fair to split. Both up.,2,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received."
83,ODU,1381,61,No,I'd rather just keep the ECU.,Yes,"I want to demonstrate trust and hope for a positive outcome, which could lead to a reciprocal act of kindness.",83,1239,14,3,Profit for both of us.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
84,ODU,1382,55,Yes,2 makes 6 for them which is worth it.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,84,1249,52,3,We both win if I send back 3.,0,I'll keep all the money.
85,ODU,1385,63,Yes,Chance of receiving 3 back.,Yes,I want to transfer 2 ECU because it can potentially result in a higher payout for both me and the receiver.,85,1280,34,3,Seems logical to me.,3,To maximize my own payoff while being fair to the sender.
86,ODU,1402,5,No,It's a dog eat dog world.,Yes,"I trust that the receiver will return some of the tripled amount, resulting in a higher overall payout for both of us.",86,1313,39,0,I prefer to keep the amount.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
87,ODU,1423,27,Yes,"Hopefully, this action will yield the best return for both of us.",Yes,Trust and reciprocity.,87,1360,4,4,Best outcome for both.,3,"This decision is based on the concept of fairness and reciprocity, commonly referred to as the Golden Rule or Tit for Tat strategy in game theory. By returning half of the amount received, the receiver demonstrates fairness and creates a positive outcome for both players, incentivizing future cooperation."
88,ODU,1426,37,Yes,I believe that this provides the best overall earnings for both parties.,Yes,I choose to transfer 2 ECU to the receiver as it is a way to cooperate and potentially receive some ECU in return.,88,1381,50,0,I'm just going to keep it all and be greedy.,3,"This is a classic example of the prisoner's dilemma game. If the sender does not transfer any money, then it is in the receiver's best interest to not transfer any money back. If the sender does transfer money, then it is in the receiver's best interest to transfer some money back, but not all of it. Returning 3 ECU strikes a balance between mutual cooperation and selfishness."
89,ODU,1437,45,No,I’d like the most ECU.,Yes,It seems like a good opportunity to potentially increase my final payment.,89,1385,38,3,Seems fair to share.,2,"I'm trying to maximize my own payout while also being fair to the sender. If I return 2 ECU, then we both end up with the same amount we started with (5 ECU). This seems like a fair outcome."
90,ODU,1463,18,Yes,Just hope it works.,yes,"I trust the receiver to return some of the money, thus increasing my final payment.",90,1423,46,4,If I've done the maths right we both end up with 7. That seems fair to me.,3,"Returning 3 ECU is a fair compromise, as it allows both the sender and the receiver to end up with a decent amount of money, while also acknowledging the sender's initial transfer."
91,ODU,1488,55,Yes,I feel that my generosity will be reciprocated at least as a match by the receiver.,Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,91,1426,63,4,If I have understood the rules correctly this will give the fairest high outcome for both parties.,3,"I would return 3 ECU to the sender because it's a fair and balanced choice that benefits both parties. The sender will receive 3 ECU back, while I still get to keep 3 ECU as well."
92,ODU,1492,59,Yes,Trust myself more than the ai.,Yes,I choose to trust the receiver and believe they will return some of the tripled amount.,92,1459,49,2,I would prefer to take my chances and keep some myself.,2,It's a fair and equal split of the total amount received.
93,ODU,1496,54,Yes,I think it is better to give than to receive.,Yes,"I believe transferring 2 ECU to the receiver is a fair and generous move. With the tripled amount, the receiver will receive 6 ECU, which is more than their initial endowment. By doing so, I also have a chance of receiving a larger return from the receiver, which could potentially increase my final payment.",93,1464,9,2,Return the amount they might have sent.,2,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received."
94,ODU,1512,45,Yes,Because I get triple.,Yes,It seems like a good opportunity to potentially increase my final payment.,94,1488,42,3,"In this situation we've both gained, although I have gained more.",3,"This decision is based on the concept of fairness and reciprocity in social exchange, where returning half of the received amount is seen as a fair and equal division of resources."
95,ODU,1520,51,Yes,Seems a fair choice.,Yes,I trust the receiver to return some ECU to me.,95,1492,24,4,Their original 2 plus half of the rest.,0,I keep all 6 ECU.
96,ODU,1546,44,Yes,It's likely that they would do the same due to the increased return.,Yes,I want to build trust and increase my chances of getting a positive return.,96,1496,27,2,As I transferred 2 ECU before I will stick with that figure.,3,This maximizes my own payout while still being fair to the sender.
97,ODU,1552,60,No,I'm frugal.,Yes,I trust the receiver to make a fair decision.,97,1500,32,1,I am trying to build up my number of ECU.,2,To maximize mutual benefit and adhere to the fairness norm.
98,ODU,1581,39,Yes,"Because there is the likelihood I will receive the same amount back, 6 ECU.",Yes,I want to trust the receiver and believe that they will return some of the money.,98,1506,6,3,I split it down the middle.,2,Maximizing personal gain.
99,ODU,1610,39,Yes,"If I send 2, they get six, which means if they can do math, then should send back 3 so we both end up with more than we started with.",Yes,I want to trust the receiver and believe that they will return some of the money.,99,1546,34,3,Both of us would make a profit.,3,To maximize my own payoff while being fair to the sender.
100,ODU,1613,19,No,Because it would be tripled for them and not me.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,100,1552,32,0,I'm greedy.,2,To maximize mutual benefit and adhere to the fairness norm.
101,ODU,1622,44,No,If I was the receiver I wouldn't send back any of the ECU.,Yes,I want to build trust and increase my chances of getting a positive return.,101,1576,6,3,If I do this we both gain.,2,Maximizing personal gain.
102,ODU,1633,12,No,I don't see why I should.,Yes,I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,102,1581,52,2,Because I am aware that it has been tripled already.,0,I'll keep all the money.
