StatementID,TreatmentCode,SubjectID,ID,PD,PD_JUS,AI_PD,AI_PD_JUS
98,ODU,1280,56,A,The best outcome for us both.,A,"I would choose option A because it gives a higher average payout, regardless of the other person's choice."
99,ODU,1313,39,A,Hoping the other person will do the same and we will both gain.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
100,ODU,1340,5,A,I want it to be fair and both of us to get the same.,A,Maximize expected payout.
101,ODU,1341,62,B,I believe the other will choose A.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
102,ODU,1367,16,A,Is the most fair and equal.,A,"I want to maximize my payout regardless of the other person's choice. If I choose A, I'm guaranteed at least 1 ECU, and I have the potential to earn 5 ECU if the other person also chooses A."
103,ODU,1381,24,B,I get either 3 or 8 and don't risk getting only 1.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
104,ODU,1382,4,A,Best way for both to win.,A,"Choosing A provides a higher payout on average compared to choosing B, regardless of the other person's choice."
105,ODU,1385,60,B,Feel the effort put in justifies this decision.,A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
106,ODU,1423,9,A,Odds are we will both choose A.,A,"I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B."
107,ODU,1431,20,B,Just took a random choice.,A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
108,ODU,1437,42,A,To get the most ECU.,A,"Sure. Option A is the dominant strategy because it leads to the highest minimum payoff, regardless of the other person's choice. If the other person chooses A, both receive 5 ECU. If the other person chooses B, I receive 1 ECU. So no matter what, I will receive at least 1 ECU."
109,ODU,1440,40,A,Both parties may get 5.,A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
110,ODU,1445,9,B,Better gain in both situations.,A,"I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B."
111,ODU,1459,64,B,It has the most likelihood of a higher amount.,A,"The expected payout for choosing A is 4 ECU, which is higher than the expected payout for choosing B (3 ECU)."
112,ODU,1492,19,A,Fairest option for both.,A,I maximize my expected payout by choosing option A.
113,ODU,1512,19,A,It’s a 50/50 chance.,A,I maximize my expected payout by choosing option A.
114,ODU,1513,39,A,Better option for everybody.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
115,ODU,1520,47,A,A is in my name.,A,I'd choose option A because I think it gives me a better chance of getting a higher payout.
116,ODU,1533,61,A,Fairest option for both parties.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU as well."
117,ODU,1546,12,A,I chose the highest paying option.,A,Because option A has higher expected value.
118,ODU,1548,5,A,I just thought I would choose the first letter which is A no other real reason.,A,Maximize expected payout.
119,ODU,1552,32,A,It's logically best for both of us to choose A.,A,I choose option A because I would rather have a guaranteed payout of 5 ECU rather than a potential payout of 3 ECU.
120,ODU,1562,15,B,I am guaranteed at least 3 ECU which is a good amount.,A,"Choosing option A is the dominant strategy in this situation, as it guarantees a positive payout no matter what the other person chooses. If the other person also chooses A, both of you get 5 ECU. If the other person chooses B, I still get a payout of 1 ECU, which is better than getting 0 ECU for choosing option B."
121,ODU,1563,5,B,This seems like the fairer deal for both of us.,A,Maximize expected payout.
122,ODU,1576,46,A,It seems a logical choice as we both gain.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
123,ODU,1581,48,A,I would rather be in control of my decision.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
124,ODU,1589,43,B,"It's the best decision for me, we both get something or I get the most.",A,"Choosing A maximizes the payout in the worst-case scenario, where the other person chooses B, resulting in a payout of 1 ECU."
125,ODU,1601,20,B,"Guaranteed minimum of 3 ECU, with the possibility of more.",A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
126,ODU,1605,53,A,We are both certain to receive 5 ECU which is a good result.,A,The expected value of A is greater than B.
127,ODU,1622,59,B,Gives me the best chance at the highest earnings.,A,5 ECU is the highest mutual payout.
128,ODU,1635,12,A,Better to split the pot for a potential to get something instead of nothing.,A,Because option A has higher expected value.
129,ODU,1641,52,B,"Honestly, at this point I fancied the gamble.",A,I'd rather have 5 ECU than 3 ECU.
130,ODU,1646,62,A,We will both be well rewarded.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
131,ODU,1655,19,A,I'm working on a sharing scheme.,A,I maximize my expected payout by choosing option A.
132,ODU,1677,41,A,More return for less risk than some other options (for my reward potentially it feels).,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
133,ODU,1688,62,B,I like making my own decisions. It gives us both the chance to earn a decent amount.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
134,ODU,1701,54,A,We both walk away happy.,A,"Choosing option A ensures that I receive a positive payoff regardless of the other person's choice. Additionally, it maximizes the likelihood of a positive payoff for both parties, since we both receive 5 ECU if we both choose A."
135,ODU,1702,27,A,I am happy to split the money with the other person and also to take my chances on them doing the same.,A,Choosing A results in the highest average payout.
136,ODU,1703,35,B,Risk is worth the reward.,A,"Option A provides a better outcome if the other person chooses A as well, earning both 5 ECU, and a less severe loss if they choose B, earning 1 ECU instead of 3 ECU."
137,ODU,1704,55,B,"I don't want to risk only getting 1 ECU if the other person chooses B, so it'll be either 8 or 3 ECU which is either very good or just OK.",A,I'd rather receive 5 ECU than 3 ECU.
138,ODU,1718,59,A,It's considerably better for me to choose A.,A,5 ECU is the highest mutual payout.
139,ODU,1719,2,A,I want to enable both of us to get the amount.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
140,ODU,1724,16,B,My maiden name began with B.,A,"I want to maximize my payout regardless of the other person's choice. If I choose A, I'm guaranteed at least 1 ECU, and I have the potential to earn 5 ECU if the other person also chooses A."
141,ODU,1728,41,A,I am hoping to share. I think choosing B is a safer bet but I am hoping for a fair split.,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
142,ODU,1734,41,A,"It's fairest for us both to get the same amount, or at least for me to try to.",A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
143,ODU,1740,40,B,Best outcome for me.,A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
144,ODU,1747,51,A,This is the best situation for both of us.,A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
145,ODU,1748,25,A,This seems fair because there is a chance we both win 5 if the other person chooses A.,A,I choose option A because it gives me the best expected payout regardless of what the other person chooses.
146,ODU,1750,44,A,Win-win situation for both without gambling..,A,"Sure, if both of us choose A, we'll get 5 ECU each which is the most equitable outcome. And even if the other person chooses B, I'll still get 1 ECU, which is better than getting 3 ECU if we both choose B."
147,ODU,1762,63,B,I don’t know why.,A,I'll choose option A because it gives me a higher expected payout than option B regardless of the other person's choice.
148,ODU,1765,12,A,I like to make my own decisions in a luck based game.,A,Because option A has higher expected value.
149,ODU,1775,14,B,There is a better chance that I will receive more ECU than by choosing A.,A,"I choose A because it guarantees that I earn at least 1 ECU, regardless of the other person's choice."
150,ODU,1796,24,A,Want both parties to get as much ECU.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
151,ODU,1801,46,B,I have 8 or 3 to win.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
152,ODU,1809,42,B,I prefer the chance for both of us to benefit.,A,"Sure. Option A is the dominant strategy because it leads to the highest minimum payoff, regardless of the other person's choice. If the other person chooses A, both receive 5 ECU. If the other person chooses B, I receive 1 ECU. So no matter what, I will receive at least 1 ECU."
153,ODU,1812,14,A,It means we both get a minimum of 5.,A,"I choose A because it guarantees that I earn at least 1 ECU, regardless of the other person's choice."
154,ODU,1841,53,B,"I decided to choose B, because the minimum I would earn is 3 as opposed to 1.",A,The expected value of A is greater than B.
155,ODU,1854,33,A,This is the most likely option for both of us to earn more than 1 ECU each.,A,I prefer option A because it has the highest expected value.
156,ODU,1860,34,A,Maximum return for both.,A,5 ECU is the maximum I can earn.
157,ODU,1867,53,B,I believe this will maximise profit and has a lower risk.,A,The expected value of A is greater than B.
158,ODU,1909,15,A,Best case scenario given the conditions.,A,"Choosing option A is the dominant strategy in this situation, as it guarantees a positive payout no matter what the other person chooses. If the other person also chooses A, both of you get 5 ECU. If the other person chooses B, I still get a payout of 1 ECU, which is better than getting 0 ECU for choosing option B."
159,ODU,1916,48,A,I want us both to win 5 ECU's.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
160,ODU,1920,53,B,Fair for both involved.,A,The expected value of A is greater than B.
161,ODU,1932,37,B,I'm using a gamble situation to see how it turns out.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
162,ODU,1961,7,B,I feel this gives me an acceptable return with a possibility of the 8.,A,I choose option A to maximize my expected payout.
163,ODU,1966,49,A,Had to make a decision and assume the other person would go A also.,A,"I think option A is the better choice because it results in a higher payout in two of the possible combinations of choices, compared to option B."
164,ODU,1978,57,B,"Win-Win situation. If other person selects B then we both get same amount, if it selects A, then I get more.",A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
165,ODU,2011,39,A,"Beneficial overall to both of us if we both have A, unfortunate if they choose to betray me.",A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
166,ODU,2013,2,A,There is a fairly safe chance we both earn a good amount between us if we both pick A.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
167,ODU,2030,57,A,I might end up with more money.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
168,ODU,2034,33,A,The obvious decision to earn a safe 5 ECU.,A,I prefer option A because it has the highest expected value.
169,ODU,2041,24,B,I believe in the initial choice that both will choose to get the maximum amount possible.,A,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.
170,ODU,2042,62,A,"Hopefully, we both get 5.",A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
171,ODU,2049,51,B,"Decided that B might give me a good chance of a good bonus, the minimum I can get is 3.",A,"I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B."
172,ODU,2138,27,A,I think this is an option based on chance response.,A,Choosing A results in the highest average payout.
173,ODU,2142,27,B,I feel this offers the best outcome of either 8 or 3 points.,A,Choosing A results in the highest average payout.
174,ODU,2151,34,B,Because the minimum is lower with this option.,A,5 ECU is the maximum I can earn.
175,ODU,2153,57,B,Either way I would get 3 or 8.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
176,ODU,2155,10,B,The opportunity to earn 8 ECU in bonus.,A,The expected payout for choosing A is higher than for choosing B.
177,ODU,2180,36,B,Fairest on both if we choose the same.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
178,ODU,2198,48,A,"I am hoping the other person will think the same as me, and opt for the option which results in the larger combined payout.",A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
179,ODU,2199,60,A,I prefer to share in half and  hope for the best.,A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
180,ODU,2239,18,A,It seems to be the most fair choice.,A,Choosing option A minimizes the risk of getting the lowest reward.
181,ODU,2269,57,B,Felt that I can't lose either way.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
182,ODU,2287,31,A,Best outcome for me.,A,Choosing A yields a higher expected payout compared to choosing B.
183,ODU,2305,20,A,Fairer for both of us.,A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
184,ODU,2306,62,A,I hope that the other person also chooses A as that gives both of us the best outcome.,A,"The expected value of choosing A is 4 ECU, while the expected value of choosing B is 4 ECU. Therefore, I don't have a preference for either option, but I'll choose A because it's easier to type."
185,ODU,2313,60,A,"Hopefully, the other person will pick the same, and it's the fairest way for us both to earn most ECU.",A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
186,ODU,2322,19,A,I wanted us to both have an equal amount.,A,I maximize my expected payout by choosing option A.
187,ODU,2347,57,B,I think choosing B should optimise my earnings.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
188,ODU,2349,57,A,I wish for both of us to get a good bonus.,A,"Sure, I choose A because it gives me a better chance of earning at least 5 ECU, even if the other person chooses B."
189,ODU,2372,20,A,Fairest scenario as both will get equal ECU.,A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
