treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.3,0.3,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_send_if_act,5.96,5.04,0.9199999999999999,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_send_if_no_act,4.04,5.52,1.4799999999999995,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_action_premium,1.92,-0.48,2.4,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_act_without_check,7.02,4.92,2.0999999999999996,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_act_after_check,7.1,5.04,2.0599999999999996,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,3.34,5.74,2.4000000000000004,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,2.62,5.12,2.5,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_action_premium_without_check,3.68,-0.82,4.5,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_action_premium_after_check,4.48,-0.08,4.5600000000000005,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_process_premium_if_act,-0.08,-0.12,0.039999999999999994,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_process_premium_if_no_act,0.72,0.62,0.09999999999999998,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,fast_rate,0.86,0.48,0.38,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,act_rate,1.0,0.36,0.64,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,mean_return_pct,53.4,37.38,16.019999999999996,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,pattern_fast_act,0.86,0.16,0.7,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,pattern_fast_no_act,0.0,0.32,0.32,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,pattern_slow_act,0.14,0.2,0.06,50,50
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,pattern_slow_no_act,0.0,0.32,0.32,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,fast_rate,0.94,0.52,0.41999999999999993,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,act_rate,0.96,0.38,0.58,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,mean_return_pct,52.0,43.1,8.899999999999999,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,pattern_fast_act,0.92,0.18,0.74,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,pattern_fast_no_act,0.02,0.34,0.32,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,pattern_slow_act,0.04,0.2,0.16,50,50
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,pattern_slow_no_act,0.02,0.28,0.26,50,50
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,mean_send_if_act,6.1,5.1,1.0,50,50
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,mean_send_if_no_act,4.06,5.32,1.2600000000000007,50,50
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,mean_action_premium,2.04,-0.22,2.2600000000000002,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_send_if_act_fast,7.36,5.22,2.1400000000000006,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_send_if_no_act_fast,3.3,4.54,1.2400000000000002,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_send_if_act_slow,6.28,4.36,1.92,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_send_if_no_act_slow,3.48,4.3,0.8199999999999998,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_action_premium_fast,4.06,0.68,3.3799999999999994,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_action_premium_slow,2.8,0.06,2.7399999999999998,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_fast_premium_if_act,1.08,0.86,0.22000000000000008,50,50
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,mean_fast_premium_if_no_act,-0.18,0.24,0.42,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,check_rate,0.78,0.86,0.07999999999999996,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,act_rate,1.0,0.88,0.12,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,mean_return_pct,49.8,45.8,4.0,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,pattern_checked_act,0.78,0.8,0.020000000000000018,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.06,0.06,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,pattern_unchecked_act,0.22,0.08,0.14,50,50
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.06,0.06,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,check_rate,0.74,0.78,0.040000000000000036,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,act_rate,1.0,0.88,0.12,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,mean_return_pct,50.4,37.08,13.32,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,pattern_checked_act,0.74,0.72,0.020000000000000018,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,pattern_checked_no_act,0.0,0.06,0.06,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,pattern_unchecked_act,0.26,0.16,0.1,50,50
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.06,0.06,50,50
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,mean_send_if_act,6.2,6.46,0.2599999999999998,50,50
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,mean_send_if_no_act,3.58,3.36,0.2200000000000002,50,50
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,mean_action_premium,2.62,3.1,0.48,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_send_if_act_without_check,6.74,6.92,0.17999999999999972,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_send_if_act_after_check,6.74,6.58,0.16000000000000014,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,2.76,2.7,0.05999999999999961,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,1.38,2.1,0.7200000000000002,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_action_premium_without_check,3.98,4.22,0.23999999999999977,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_action_premium_after_check,5.36,4.48,0.8799999999999999,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_process_premium_if_act,0.0,0.34,0.34,50,50
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,mean_process_premium_if_no_act,1.38,0.6,0.7799999999999999,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,check_rate,0.86,0.82,0.040000000000000036,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,act_rate,1.0,0.26,0.74,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,mean_return_pct,50.6,41.4,9.200000000000003,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,pattern_checked_act,0.86,0.24,0.62,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.58,0.58,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,pattern_unchecked_act,0.14,0.02,0.12000000000000001,50,50
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.16,0.16,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,check_rate,0.92,0.7,0.22000000000000008,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,act_rate,1.0,0.36,0.64,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,mean_return_pct,52.8,35.36,17.439999999999998,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,pattern_checked_act,0.92,0.32,0.6000000000000001,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,pattern_checked_no_act,0.0,0.38,0.38,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,pattern_unchecked_act,0.08,0.04,0.04,50,50
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.26,0.26,50,50
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,mean_send_if_act,6.0,3.9,2.1,50,50
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,mean_send_if_no_act,4.1,5.78,1.6800000000000006,50,50
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,mean_action_premium,1.9,-1.88,3.78,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_send_if_act_without_check,5.78,5.04,0.7400000000000002,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_send_if_act_after_check,7.1,5.86,1.2399999999999993,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,3.36,5.12,1.7600000000000002,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,4.12,5.06,0.9399999999999995,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_action_premium_without_check,2.42,-0.08,2.5,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_action_premium_after_check,2.98,0.8,2.1799999999999997,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_process_premium_if_act,-1.32,-0.82,0.5000000000000001,50,50
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,mean_process_premium_if_no_act,-0.76,0.06,0.8200000000000001,50,50
