custom_id,source_custom_id,scenario_hash,global_count,global_stay_count,global_swerve_count,global_stay_share,global_swerve_share,option_a_action,option_b_action,observed_a_count,observed_b_count,observed_a_share,observed_b_share,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,response_format
mm_global_distribution_0011_vprob,mm_global_distribution_0011,8438349e35ea65069625edddd52af96a,17282,7003,10279,0.40521930332137485,0.5947806966786252,stay,swerve,7003,10279,0.40521930332137485,0.5947806966786252,Random,Fitness,Rand,0,720,180,206,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.
(B) Swerve into a concrete barrier. The following passengers die: 1 woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0012_vprob,mm_global_distribution_0012,fa5312d6d4d9ab53fe9f933029c58b67,17226,11071,6155,0.6426912806223151,0.3573087193776849,stay,swerve,11071,6155,0.6426912806223151,0.3573087193776849,Age,Age,Old,0,719,180,206,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0013_vprob,mm_global_distribution_0013,68f34fdd904338799cc82431fcf5c4ad,17224,5148,12076,0.29888527635856943,0.7011147236414306,stay,swerve,5148,12076,0.29888527635856943,0.7011147236414306,Age,Age,Young,0,715,179,205,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve into a concrete barrier. The following passengers die: 1 elderly man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0014_vprob,mm_global_distribution_0014,178a4ad0eb24ebd1b5a266880d24c47d,17210,7736,9474,0.4495061011040093,0.5504938988959907,stay,swerve,7736,9474,0.4495061011040093,0.5504938988959907,Fitness,Fitness,Fat,0,720,180,206,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 female athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0015_vprob,mm_global_distribution_0015,c5bcd476c5b67c94730a4ac29600565b,17199,7228,9971,0.42025699168556313,0.5797430083144369,stay,swerve,7228,9971,0.42025699168556313,0.5797430083144369,Random,Fitness,Rand,0,716,179,205,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve into a concrete barrier. The following passengers die: 1 man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0016_vprob,mm_global_distribution_0016,be7cb3cd5a62c89f928ef2c6247e6063,17198,14349,2849,0.834341202465403,0.16565879753459706,stay,swerve,14349,2849,0.834341202465403,0.16565879753459706,Random,Fitness,Rand,1,775,194,222,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0017_vprob,mm_global_distribution_0017,09d1fe9f0da9b572a91e67f492369538,17136,10623,6513,0.6199229691876751,0.3800770308123249,stay,swerve,10623,6513,0.6199229691876751,0.3800770308123249,Age,Age,Old,0,715,179,205,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve into a concrete barrier. The following passengers die: 1 man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0018_vprob,mm_global_distribution_0018,77a76c25e1470b915257b9dc879cda26,17132,9821,7311,0.5732547279943965,0.4267452720056035,stay,swerve,9821,7311,0.5732547279943965,0.4267452720056035,Age,Age,Young,1,778,195,223,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0019_vprob,mm_global_distribution_0019,f7a0546a2fa54119593dec3e4406e135,17106,10332,6774,0.6039985969835145,0.39600140301648545,stay,swerve,10332,6774,0.6039985969835145,0.39600140301648545,Age,Age,Young,1,774,194,222,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0020_vprob,mm_global_distribution_0020,2925106b8d39a2daf4ac9515d7e6302a,17101,7687,9414,0.44950587684930704,0.5504941231506929,stay,swerve,7687,9414,0.44950587684930704,0.5504941231506929,Fitness,Fitness,Fat,0,716,179,205,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve into a concrete barrier. The following passengers die: 1 male athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0021_vprob,mm_global_distribution_0021,dc392be2ef2f0e0306cf39324f2f372f,17062,15457,1605,0.9059313093423983,0.09406869065760169,stay,swerve,15457,1605,0.9059313093423983,0.09406869065760169,Age,Age,Old,1,778,195,223,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0022_vprob,mm_global_distribution_0022,2f2c7f336ec11a8cefc39f15069c4fd5,17047,14641,2406,0.8588607966211064,0.14113920337889366,stay,swerve,14641,2406,0.8588607966211064,0.14113920337889366,Fitness,Fitness,Fat,1,775,194,222,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0023_vprob,mm_global_distribution_0023,0ca24cd58cdf0faeec82c043821094dc,17011,13754,3257,0.8085356534007407,0.19146434659925932,stay,swerve,13754,3257,0.8085356534007407,0.19146434659925932,Random,Fitness,Rand,1,779,195,223,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete crossing on a red light.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 woman crossing on a green light.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0024_vprob,mm_global_distribution_0024,a6d1ea9ffa14fb945cbfb1987b9ea8ca,16962,4180,12782,0.24643320363164722,0.7535667963683528,stay,swerve,4180,12782,0.24643320363164722,0.7535667963683528,Age,Age,Young,0,719,180,206,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve into a concrete barrier. The following passengers die: 1 elderly woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0025_vprob,mm_global_distribution_0025,290aaba99e16d4041861909647e6ff4e,14995,11556,3439,0.7706568856285428,0.22934311437145716,stay,swerve,11556,3439,0.7706568856285428,0.22934311437145716,Gender,Gender,Male,1,717,180,205,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 boy.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 girl.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0026_vprob,mm_global_distribution_0026,57f2f3f1620ea7cadb3a45a62c948db0,14983,7571,7412,0.5053060134819463,0.4946939865180538,stay,swerve,7571,7412,0.5053060134819463,0.4946939865180538,Gender,Gender,Female,1,736,184,211,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0027_vprob,mm_global_distribution_0027,0205c1ee69c9f923c1b7a1e71b3e5963,14824,11970,2854,0.8074743658931463,0.19252563410685375,stay,swerve,11970,2854,0.8074743658931463,0.19252563410685375,Gender,Gender,Male,1,730,183,209,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 large man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 large woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0028_vprob,mm_global_distribution_0028,ea2b354634993cdac66fa6f859c0068e,14807,11639,3168,0.7860471398662795,0.21395286013372053,stay,swerve,11639,3168,0.7860471398662795,0.21395286013372053,Gender,Gender,Male,1,740,185,212,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male executive.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female executive.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0029_vprob,mm_global_distribution_0029,7c5eb9f0e9c6bb257050569d1264ea4a,14790,8364,6426,0.5655172413793104,0.43448275862068964,stay,swerve,8364,6426,0.5655172413793104,0.43448275862068964,Gender,Gender,Female,1,734,184,210,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0030_vprob,mm_global_distribution_0030,0b95430cf4c222adf9f5a842d0a6546f,14769,11235,3534,0.7607150111720495,0.23928498882795043,stay,swerve,11235,3534,0.7607150111720495,0.23928498882795043,Gender,Gender,Male,1,734,184,210,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0031_vprob,mm_global_distribution_0031,3b93b24d35338bb577169344973e079e,14760,7255,7505,0.49153116531165314,0.5084688346883469,stay,swerve,7255,7505,0.49153116531165314,0.5084688346883469,Gender,Gender,Female,1,730,183,209,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 large woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 large man.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
mm_global_distribution_0032_vprob,mm_global_distribution_0032,658ada3062c37295a6befb570d209548,14760,11784,2976,0.7983739837398374,0.2016260162601626,stay,swerve,11784,2976,0.7983739837398374,0.2016260162601626,Gender,Gender,Male,1,736,184,211,"A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.

Estimate what percentage of respondents would choose each option if asked this dilemma once.
Return JSON only.
Output contract:
- Use exactly two keys: ""A"" and ""B"".
- Use integer percentages from 0 to 100.
- A and B must sum to exactly 100.
- Do not include explanations, markdown, or extra keys.
- Example: {""A"": 55, ""B"": 45}
Answer:",mm_global_distribution_scenario_only_n_gt_10000_gpt_5_mini,verbalized_probability_json_v1,json_object
