custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_T__h8kYzB9zLiEGyJaS7__k0__rep1,h8kYzB9zLiEGyJaS7,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,1.0,0.0,0.0,0.0,0.0,60,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,6,0.0,0.0,0.180153700675438,0.18213876749925803
trajectory_completion_compact__VALIDATION_0_T__ud4ZZqSEuLCbTJhY5__k0__rep1,ud4ZZqSEuLCbTJhY5,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.0,60,0.9333333333333332,0.07453559924999298,1.0,0.9336538461538462,1.0,0.05666666666666667,5.0,1.0,6,0.11428571428571425,0.11510989010989009,0.13648514707919013,0.14020627784428158
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep1,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9,0.1,0.0,0.1,0.0,60,0.9,0.11547005383792516,1.0,0.8967948717948717,1.0,0.07666666666666667,3.0,1.0,6,0.2571428571428572,0.254945054945055,0.13648514707919016,0.13621263323219374
trajectory_completion_compact__VALIDATION_0_T__24hqfcDGXxLrMr7JY__k0__rep1,24hqfcDGXxLrMr7JY,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9,0.06666666666666667,0.0,0.06666666666666667,0.0,60,0.9,0.05773502691896256,0.9,0.8996794871794872,0.9,0.08666666666666667,3.0,1.0,6,0.0857142857142857,0.08598901098901097,0.10020096012646387,0.09631156284742556
trajectory_completion_compact__VALIDATION_0_T__RGrXtztJwJyh5AzfS__k0__rep1,RGrXtztJwJyh5AzfS,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.75,0.11666666666666667,0.0,0.18333333333333332,0.0,60,0.75,0.09574271077563384,0.8,0.742948717948718,0.7942307692307692,0.17833333333333334,4.666666666666667,1.0,6,0.24285714285714297,0.23956043956043957,0.11440311148058015,0.11576723856493282
trajectory_completion_compact__VALIDATION_0_T__hvxgwX3y76vGYtkqS__k0__rep1,hvxgwX3y76vGYtkqS,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9166666666666666,0.11666666666666667,0.0,0.16666666666666666,0.0,60,0.9166666666666666,0.10671873729054748,1.0,0.9118589743589745,1.0,0.065,4.333333333333333,1.0,6,0.18571428571428578,0.19752747252747252,0.1451429191458076,0.14862292288025236
trajectory_completion_compact__VALIDATION_0_T__9aygFvfvCRquDLWYn__k0__rep1,9aygFvfvCRquDLWYn,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.7833333333333333,0.1,0.0,0.11666666666666667,0.0,60,0.7833333333333333,0.1572330188676101,0.9,0.7791666666666667,0.8961538461538462,0.145,5.0,1.0,6,0.41428571428571437,0.4200549450549451,0.1515662600175161,0.15353220003371248
trajectory_completion_compact__VALIDATION_0_T__ediANmka55Hjf459P__k0__rep1,ediANmka55Hjf459P,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9333333333333333,0.05,0.0,0.05,0.0,60,0.9333333333333332,0.07453559924999298,1.0,0.930448717948718,1.0,0.05666666666666668,3.6666666666666665,1.0,6,0.14285714285714282,0.14093406593406588,0.134434518698408,0.13532199337331874
trajectory_completion_compact__VALIDATION_0_T__voynRJGavKc9Wag58__k0__rep1,voynRJGavKc9Wag58,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9833333333333333,0.0,0.0,0.0,0.0,60,0.9833333333333334,0.03726779962499649,0.9,0.983974358974359,0.9038461538461539,0.015000000000000001,5.5,1.0,6,-0.07142857142857141,-0.06868131868131867,0.17053868266996908,0.16802977747432638
trajectory_completion_compact__VALIDATION_0_T__5bJPLPSiwHm63WZS4__k0__rep1,5bJPLPSiwHm63WZS4,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8166666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,60,0.8166666666666668,0.19507833184532708,0.5,0.8147435897435896,0.5,0.11166666666666668,4.666666666666667,1.0,6,-0.042857142857142816,-0.039010989010988976,0.20602825004759087,0.1850668476378394
trajectory_completion_compact__VALIDATION_10_C__6B7rSLCwjDoRiGG4z__k0__rep1,6B7rSLCwjDoRiGG4z,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7055555555555555,0.0,0.0,0.0,0.0,18,0.7055555555555556,0.07556372504853023,0.55,0.6960049937578027,0.5617977528089887,0.003703703703703704,4.166666666666667,1.0,6,-0.13333333333333328,-0.11503477795612628,0.03410563654946847,0.17891216910853933
trajectory_completion_compact__VALIDATION_10_C__9Ne4CP89dteYMyNu8__k0__rep1,9Ne4CP89dteYMyNu8,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.6888888888888889,0.0,0.0,0.0,0.0,18,0.6888888888888888,0.06983225049986962,0.55,0.6960049937578027,0.5617977528089887,0.01972222222222222,2.8333333333333335,1.0,6,-0.17142857142857135,-0.16853932584269662,0.04874584502711386,0.20784344146106581
trajectory_completion_compact__VALIDATION_10_C__b52dPhHFrRzgZqsk3__k0__rep1,b52dPhHFrRzgZqsk3,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.8027777777777777,0.0,0.0,0.0,0.0,18,0.8027777777777777,0.0572653559113564,0.8333333333333334,0.8021223470661673,0.8239700374531834,0.004907407407407407,4.5,1.0,6,0.13095238095238096,0.10433386837881219,0.14063760231597094,0.14380684216247536
trajectory_completion_compact__VALIDATION_10_C__WF93PRN6HTPJosFzH__k0__rep1,WF93PRN6HTPJosFzH,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.9444444444444444,0.0,0.0,0.0,0.0,18,0.9444444444444445,0.05665577237325315,0.8333333333333334,0.9519350811485641,0.8614232209737827,0.007037037037037037,6.0,1.0,6,-0.09523809523809522,-0.06153023006955589,0.2525540829501967,0.20285262112263247
trajectory_completion_compact__VALIDATION_10_C__LxjaP3tPxRDSZivpX__k0__rep1,LxjaP3tPxRDSZivpX,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.8888888888888888,0.0,0.0,0.0,0.0,18,0.8888888888888888,0.14958791130929178,0.5833333333333334,0.9019975031210986,0.5805243445692884,0.027777777777777776,4.333333333333333,1.0,6,-0.35714285714285715,-0.3611556982343498,0.223485126690462,0.218212868031531
trajectory_completion_compact__VALIDATION_10_C__CERwfEBrZtGF9Y7LH__k0__rep1,CERwfEBrZtGF9Y7LH,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7361111111111112,0.0,0.0,0.0,0.0,18,0.7361111111111112,0.09785508307671409,0.55,0.739700374531835,0.5617977528089887,0.00787037037037037,3.3333333333333335,1.0,6,-0.10238095238095239,-0.11503477795612627,0.05722154800034299,0.1400731387447958
trajectory_completion_compact__VALIDATION_10_C__RDZjX7FMTaatuhQxb__k0__rep1,RDZjX7FMTaatuhQxb,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.8694444444444445,0.0,0.0,0.0,0.0,18,0.8694444444444445,0.07841996785273946,0.7166666666666667,0.867665418227216,0.7116104868913857,0.011944444444444443,5.666666666666667,1.0,6,-0.12619047619047616,-0.13911182450508291,0.17538647800405444,0.14844280644598226
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep1,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7111111111111111,0.0,0.0,0.0,0.0,18,0.7111111111111111,0.09460770203292446,0.5,0.6991260923845193,0.5056179775280898,9.259259259259278e-05,6.0,1.0,6,-0.19047619047619052,-0.18726591760299624,0.07287895850375872,0.20408395613378463
trajectory_completion_compact__VALIDATION_10_C__FaKf3DcY6DanqG8kw__k0__rep1,FaKf3DcY6DanqG8kw,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.5166666666666667,0.0,0.0,0.0,0.0,18,0.5166666666666667,0.04614791034954486,0.43333333333333335,0.5149812734082396,0.4119850187265917,0.0025925925925925925,2.8333333333333335,1.0,6,-0.019047619047619053,-0.03477795612627077,0.18861397477780234,0.33395152435449804
trajectory_completion_compact__VALIDATION_10_C__65crAkEscRbHNJXbW__k0__rep1,65crAkEscRbHNJXbW,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.44999999999999996,0.0,0.0,0.0,0.0,18,0.45,0.20457725155024412,0.1,0.4588014981273408,0.11235955056179774,0.008703703703703703,6.0,1.0,6,-0.5428571428571429,-0.537720706260032,0.2908420883750671,0.43845247440461715
trajectory_completion_compact__VALIDATION_10_T__iES9Gw5pax3HKCdHt__k0__rep1,iES9Gw5pax3HKCdHt,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.8555555555555556,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.8555555555555556,0.03142696805273544,0.8666666666666667,0.8146067415730336,0.8801498127340823,0.004537037037037037,5.666666666666667,1.0,6,-0.038095238095238085,-0.17388978063135363,0.16897704205228808,0.2693974729476179
trajectory_completion_compact__VALIDATION_10_T__3EG5RaDj4z7hkT2JD__k0__rep1,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.6972222222222223,0.0,0.0,0.0,0.0,18,0.6972222222222223,0.08244901155364351,0.5666666666666667,0.7053682896379526,0.5430711610486891,0.003888888888888889,3.8333333333333335,1.0,6,-0.09285714285714285,-0.12841091492776885,0.1016416180435874,0.21996570297639162
trajectory_completion_compact__VALIDATION_10_T__NFohGRRpskiw4QiC6__k0__rep1,NFohGRRpskiw4QiC6,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7666666666666667,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.7666666666666666,0.043033148291193556,0.7,0.7116104868913857,0.6741573033707865,0.007037037037037037,3.5,1.0,6,-0.06666666666666671,-0.1284109149277688,0.10008098572508019,0.249945125917354
trajectory_completion_compact__VALIDATION_10_T__LWWqAADdcBeuLGk38__k0__rep1,LWWqAADdcBeuLGk38,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7472222222222222,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.7472222222222222,0.06626033578820313,0.6333333333333333,0.7022471910112359,0.6367041198501872,0.021851851851851855,3.0,1.0,6,-0.05000000000000001,-0.013376136971642683,0.09573062128625222,0.13977804694039017
trajectory_completion_compact__VALIDATION_10_T__XcwKJ8eiRs6TmysXX__k0__rep1,XcwKJ8eiRs6TmysXX,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7555555555555555,0.0,0.0,0.0,0.0,18,0.7555555555555555,0.06849348892187751,0.65,0.7615480649188514,0.6741573033707865,0.009166666666666668,2.6666666666666665,1.0,6,-0.06190476190476187,-0.026752273943285197,0.10696789064775288,0.2176995652147572
trajectory_completion_compact__VALIDATION_10_T__79kveGWTa4seiDX6H__k0__rep1,79kveGWTa4seiDX6H,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7972222222222222,0.0,0.0,0.0,0.0,18,0.7972222222222222,0.04656404059511172,0.7333333333333333,0.8021223470661673,0.749063670411985,0.0026851851851851863,2.5,1.0,6,-0.0023809523809524163,0.013376136971642593,0.12113468170227346,0.23582519452554837
trajectory_completion_compact__VALIDATION_10_T__52QdMhd96PFYubPFc__k0__rep1,52QdMhd96PFYubPFc,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7805555555555556,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.7805555555555556,0.04015786748555822,0.7333333333333333,0.7303370786516853,0.749063670411985,0.014537037037037038,3.0,1.0,6,-0.011904761904761987,-0.05350454788657026,0.10957620382384325,0.2684696376869071
trajectory_completion_compact__VALIDATION_10_T__cpr2J9YgrWEKvGzbH__k0__rep1,cpr2J9YgrWEKvGzbH,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.9611111111111111,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.9611111111111111,0.036851386559504436,1.0,0.9113607990012483,1.0112359550561796,0.002685185185185185,3.0,1.0,6,0.04761904761904765,0.032102728731942115,0.26927113555753507,0.3597664047413604
trajectory_completion_compact__VALIDATION_10_T__NtGt92nYGEjWzrKCe__k0__rep1,NtGt92nYGEjWzrKCe,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7027777777777778,0.0,0.0,0.0,0.0,18,0.7027777777777778,0.09350018155392686,0.5333333333333333,0.6991260923845193,0.5243445692883895,0.009444444444444445,3.0,1.0,6,-0.14523809523809525,-0.14981273408239698,0.12044477757231502,0.23144925506904912
trajectory_completion_compact__VALIDATION_10_T__mgm7iMjdkkZB8tkhY__k0__rep1,mgm7iMjdkkZB8tkhY,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7583333333333333,0.0,0.0,0.0,0.0,18,0.7583333333333334,0.018633899812498265,0.7166666666666667,0.7584269662921347,0.7116104868913857,0.001666666666666668,2.1666666666666665,1.0,6,-0.03571428571428575,-0.04012841091492771,0.0883359538395366,0.19892240267801348
trajectory_completion_compact__VALIDATION_11_C__WCmwZHJibant7PcCz__k0__rep1,WCmwZHJibant7PcCz,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.7243589743589743,0.0,0.16025641025641027,0.0,0.16346153846153846,312,0.7243589743589743,0.10783720411064567,0.5,0.721494817239498,0.5053191489361701,0.18803418803418806,5.115384615384615,1.0,26,-0.274928774928775,-0.27247378311208104,0.12671829161220705,0.20845698665190007
trajectory_completion_compact__VALIDATION_11_C__Y5BvaaimsGSJ9ihD2__k0__rep1,Y5BvaaimsGSJ9ihD2,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.0,0.0,0.08653846153846154,0.0,0.17307692307692307,312,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,26,0.0,0.0,0.7718897210323067,0.8595500155096564
trajectory_completion_compact__VALIDATION_11_C__bZeQW3cPKFvjmGLAb__k0__rep1,bZeQW3cPKFvjmGLAb,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.14743589743589744,0.0,0.016025641025641024,0.0,0.02564102564102564,312,0.14743589743589744,0.2545606365598048,0.0,0.14764048008728858,0.0,0.0608974358974359,3.3846153846153846,1.0,26,-0.653846153846154,-0.6526186579378068,0.6801555167629811,0.7727404805436338
trajectory_completion_compact__VALIDATION_11_C__PdbAdMZstpx5oFGsp__k0__rep1,PdbAdMZstpx5oFGsp,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.3782051282051282,0.0,0.11538461538461539,0.0,0.11538461538461539,312,0.37820512820512825,0.36119960479437974,0.0,0.37779596290234585,0.0,0.1047008547008547,2.6153846153846154,1.0,26,-1.1581196581196582,-1.1597563193307874,0.5465730171840301,0.6419533315936229
trajectory_completion_compact__VALIDATION_11_C__NbmZpmM63fRp778Yh__k0__rep1,NbmZpmM63fRp778Yh,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.6891025641025641,0.0,0.03205128205128205,0.0,0.05448717948717949,312,0.6891025641025641,0.11910836010296184,0.4166666666666667,0.6850109110747409,0.41666666666666663,0.20005341880341881,3.0,1.0,26,-0.31125356125356124,-0.30725283384857854,0.15427358222304,0.24278488595262257
trajectory_completion_compact__VALIDATION_11_C__PmcxhmDRj2tN3cECC__k0__rep1,PmcxhmDRj2tN3cECC,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.7532051282051282,0.0,0.11217948717948718,0.0,0.11858974358974358,312,0.7532051282051283,0.22465639626762895,0.0,0.7532051282051282,0.0,0.13541666666666666,4.076923076923077,1.0,26,-0.35113960113960113,-0.3469570224889374,0.22392111225218453,0.2696814997587061
trajectory_completion_compact__VALIDATION_11_C__JN3dDQAwB9DcPf23L__k0__rep1,JN3dDQAwB9DcPf23L,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.38461538461538464,0.0,0.09935897435897435,0.0,0.09935897435897435,312,0.38461538461538464,0.14447984191775184,0.16666666666666666,0.382569558101473,0.17730496453900707,0.21581196581196582,3.0,1.0,26,-0.433048433048433,-0.4293204825119718,0.4188646318551743,0.5159635781036254
trajectory_completion_compact__VALIDATION_11_C__qqdGcErMMiFvQuwur__k0__rep1,qqdGcErMMiFvQuwur,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.6923076923076923,0.0,0.0,0.0,0.0,312,0.6923076923076923,0.23657233445187098,0.0,0.6904664484451717,0.0,0.15705128205128205,3.1923076923076925,1.0,26,-0.4971509971509972,-0.4941049887858398,0.2539104199163403,0.3205280795434497
trajectory_completion_compact__VALIDATION_11_C__uuFnNSL3pd89FQDzh__k0__rep1,uuFnNSL3pd89FQDzh,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.48717948717948717,0.0,0.0,0.0,0.0,312,0.48717948717948717,0.30548083480625265,0.0,0.49065739225313687,0.0,0.15651709401709402,3.0,1.0,26,-0.9971509971509971,-1.003288476692732,0.4289266570168705,0.5201986707045838
trajectory_completion_compact__VALIDATION_11_C__GqAf4oMK2S8jxx46u__k0__rep1,GqAf4oMK2S8jxx46u,VALIDATION_11_C,True,False,True,12,26,gpt_5_1_k0,0.9262820512820513,0.0,0.04807692307692308,0.0,0.04807692307692308,312,0.9262820512820512,0.1314102564102564,1.0,0.9332378614293506,1.0106382978723403,0.051014957264957264,3.0,1.0,26,0.32977207977207984,0.3455931381463296,0.1963334960429131,0.12849854165234234
trajectory_completion_compact__VALIDATION_11_T__KMCzN6AwYEhG8ET4M__k0__rep1,KMCzN6AwYEhG8ET4M,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.266025641025641,0.009615384615384616,0.0,0.022435897435897436,0.0,312,0.266025641025641,0.27251130178205096,0.0,0.2648492907801418,0.0,0.12099358974358974,2.730769230769231,1.0,26,-0.844017094017094,-0.8362315875613746,0.6652910270426228,0.7271176135293524
trajectory_completion_compact__VALIDATION_11_T__M5nb4WYwnnXKPa72q__k0__rep1,M5nb4WYwnnXKPa72q,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.1794871794871795,0.05128205128205128,0.0,0.07692307692307693,0.0,312,0.17948717948717946,0.2528600374784105,1.0,0.17074127114020732,1.0106382978723403,0.08333333333333333,3.6538461538461537,1.0,26,0.4017094017094017,0.40694899072558643,0.720316453639887,0.7908077845257472
trajectory_completion_compact__VALIDATION_11_T__he2AChYcnGZZFjgmL__k0__rep1,he2AChYcnGZZFjgmL,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.9903846153846154,0.016025641025641024,0.0,0.016025641025641024,0.0,312,0.9903846153846154,0.026623794432429737,1.0,0.9986190671031095,1.0106382978723403,0.008814102564102562,1.8461538461538463,1.0,26,0.009259259259259264,0.009452476207795362,0.15186968240521045,0.13089495839989923
trajectory_completion_compact__VALIDATION_11_T__cQiRidaNG8FaXiePW__k0__rep1,cQiRidaNG8FaXiePW,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.8621794871794872,0.016025641025641024,0.0,0.016025641025641024,0.0,312,0.8621794871794872,0.2456266054864862,1.0,0.8676009274413529,1.0106382978723403,0.058493589743589744,1.2692307692307692,1.0,26,0.534900284900285,0.5540401285082135,0.20299380685478863,0.19511249733934358
trajectory_completion_compact__VALIDATION_11_T__yaQyBxNTDTxL5kGEf__k0__rep1,yaQyBxNTDTxL5kGEf,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.8846153846153846,0.022435897435897436,0.0,0.02564102564102564,0.0,312,0.8846153846153846,0.25848519427764044,0.0,0.8909574468085105,0.0,0.035256410256410256,1.7692307692307692,1.0,26,-0.45014245014245013,-0.45614354124992423,0.2695380043994713,0.2750286326984256
trajectory_completion_compact__VALIDATION_11_T__xW5htd9A3FkNWRsJb__k0__rep1,xW5htd9A3FkNWRsJb,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.02564102564102564,0.0,0.0,0.0,0.0,312,0.025641025641025644,0.09178090425177156,0.0,0.025231860338243317,0.0,0.01655982905982906,0.9615384615384616,0.6153846153846154,26,-0.13817663817663822,-0.1360853488513063,0.8358155008883195,0.9004438255037703
trajectory_completion_compact__VALIDATION_11_T__jhp4bSLQXoeqJXPiv__k0__rep1,jhp4bSLQXoeqJXPiv,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,1.0,0.0,0.0,0.0,0.0,312,1.0,0.0,1.0,1.0106382978723403,1.0106382978723403,0.0,3.1538461538461537,1.0,26,0.0,0.0,0.15946043596453255,0.13651024210481585
trajectory_completion_compact__VALIDATION_11_T__925LF9k9CXpz8KjQm__k0__rep1,925LF9k9CXpz8KjQm,VALIDATION_11_T,True,True,True,12,26,gpt_5_1_k0,0.7403846153846154,0.041666666666666664,0.0,0.041666666666666664,0.0,312,0.7403846153846154,0.32384485961127585,0.0,0.7403334697217675,0.0,0.08733974358974358,4.1923076923076925,1.0,26,-0.7585470085470085,-0.7661052009456264,0.3564284383763703,0.38770225009898307
