text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"They consistently observe others’ payoffs and punishment patterns but remain behaviorally steady: full contribution and almost no punishment, regardless of how earnings or sanctions are distributed. Visible punishment of others does not induce them to change their own cooperation or to join in sanctioning. They express general appreciation for the “nice” cooperative state of the group, but do not comment directly on specific payoff differences or sanction magnitudes. This indicates a focus on the collective good and stable norms, with relatively little emotional or strategic reaction to short-term inequality or to other players’ use (or non-use) of punishment. Their primary “response” to others’ outcomes is to continue being reliably cooperative.",0.4128235,1.5718498,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"They consistently maintain their strategy regardless of the distribution of others’ payoffs, punishment expenditures, or deductions. When another player uses costly punishment to hit a low contributor, they do not respond by adjusting contributions or joining in punishment. When some players free-ride and earn more than them in a given round, they do not reduce their contributions, nor do they punish those free-riders. When their own payoff is significantly reduced by their single use of punishment against a cooperative player, they do not continue that pattern or attempt to rebalance earnings later. There is no observable sensitivity to relative earnings, inequality, or to who “deserves” more or less based on contributions, beyond that one ambiguous punishment decision. Overall, they appear payoff-insensitive in their contribution behavior and mostly passive with respect to others’ outcomes, aside from a single, isolated punishment that is not clearly aligned with standard fairness norms.",0.60356086,1.0624902,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"This player pays steady attention to others’ contribution levels and apparent payoff patterns and adapts their own behavior at the aggregate level rather than tracking individuals in detail. Early in the game, seeing that others often contribute less than full but that there is some pattern of sanctioning low contributors, they persist in full contribution and occasionally add mild, norm-aligned punishment. This shows they respond to the perceived presence of some cooperative core and enforcement structure. As the game progresses and they observe increasingly large and sometimes self-destructive punishment expenditures, widespread antisocial sanctions, and erratic cooperation, they update toward a more pessimistic view of the group: contributing fully no longer seems tied to better outcomes, and high contributors are not reliably protected. In response, they withdraw from enforcement and transition to keeping their endowment, even when others still contribute substantially. Their later choices suggest they infer that outcomes are driven more by chaotic punishment than by orderly reciprocity, undermining the value of personal cooperation. They do not chase the highest individual earners or mimic the behavior of any single apparently successful player. Instead, they respond to the overall pattern: when the group looks relatively ordered and at least somewhat cooperative, they cooperate and occasionally enforce; when the group’s outcomes become dominated by severe punishment and erratic payoffs, they protect themselves by ceasing contributions and not spending on punishment. This pattern suggests a player who is observant, responsive to collective dynamics, and willing to revise from pro-social to self-regarding strategies when cooperation appears unsustainable.",0.31359237,0.78727233,6,Punishment / Reward / Contributions,"This cluster groups personas with related strategy patterns around punishment, reward, contributions, contribution, payoffs.",123
"This player is highly responsive to the broader pattern of others’ contributions, payoffs, and sanctioning, but in a coarse, affect-driven rather than fine-tuned way. They appear to infer “climate” from others’ outcomes: when others’ contributions and payouts reveal a relatively cooperative environment, they are willing to keep contributing fully, even when doing so is individually costly relative to free-riding. When they see strong evidence of chaos—heavy mutual punishment, extreme payoffs, and turbulent sanctioning—they are more likely to switch into punishing mode or occasionally into non-contribution, indicating frustration or moral outrage at perceived unfairness or disorder. They seem particularly triggered by players who obtain very high payoffs under low contribution or benefit from others’ cooperation while not matching it. In such contexts they expend large punishment resources, even at considerable self-cost, suggesting an aversion to others “getting away with” advantageous outcomes. They also sometimes punish when many others are already engaged in aggressive sanctioning, hinting at a tendency to join or amplify punitive norms once a punishment spiral is underway. However, they do not simply mirror the average: there are cooperative peers they do not bother to “protect” with counter-punishment, and there are defectors they sometimes ignore. Their reactions to others’ outcomes are therefore selective and likely governed by internal, partly emotional evaluations of who “deserves” what, rather than a stable enforcement policy. In summary, they track others’ contributions and payoffs and are strongly motivated by perceived unfair advantages and breakdowns of cooperation, using punishment and stubborn contributions to express and enforce their personal norms, even when this sharply lowers their own earnings.",0.66415364,0.9165504,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"This player observes detailed end-of-round outcomes, including others’ payoffs, punishment expenditures, and received deductions, yet their subsequent behavior does not seem systematically guided by these outcomes. They do not clearly reward players who sacrifice payoff to enforce cooperation, nor do they consistently ally with, imitate, or avoid heavy punishers. Similarly, they do not preferentially protect high contributors from punishment; they repeatedly allow or participate in environments where cooperators are heavily punished without adjusting their own contribution or punishment strategy to stabilize the group. They appear largely unconcerned with the efficiency of group outcomes. They sometimes choose actions (especially heavy punishment combined with contribution) that drive total welfare down and harm themselves, even when others are already incurring large costs. There is no sign that they shift toward more restrained behavior when they see others generating very low or negative payoffs through aggressive punishment, nor that they exploit this chaos in a reliably payoff-maximizing way. Their reaction to others’ extreme punishments is thus best characterized as indifferent or opportunistic rather than coordinated or norm-driven. They do not emulate high-earning strategies consistently, nor do they react to others’ misfortunes with protection or restraint. If anything, they sometimes contribute nothing and avoid punishment, letting others bear the cost of chaotic sanctioning while they collect high free-rider payoffs. In summary, this player processes others’ outcomes in a way that does not translate into stable reciprocity, coalition-building, or efficiency-seeking. Their type is a volatile, opportunistic free-rider with a strong antisocial punishment streak, low responsiveness to sanctions, and minimal regard for group welfare or coherent norm enforcement.",0.66193527,1.603616,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"The player observes others’ payoffs and punishment patterns but reacts in a complex, nonmonotonic way. They sometimes respond to widespread low contributions and heavy sanctioning by continuing to cooperate, absorbing personal losses while others fight; at other times, in similarly conflictual environments, they free‑ride. This suggests they do not anchor strongly on group payoff efficiency, nor do they purely imitate the financially successful: they occasionally adopt the payoff‑dominated cooperative action, and occasionally exploit cooperative groups. They appear somewhat sensitive to extreme behavior: when some players spend very large amounts punishing or are heavily punished, the focal player is more likely to use punishment themselves, though not predictably against those specific high‑spenders. This points to an awareness that the social environment is tense or norm‑contested, and a willingness to participate in that contest even at a loss. There is no stable tendency to align with the “majority strategy”: they contribute fully when others are split or mostly defecting and also defect when others are mostly cooperating. Likewise, players who obtain very high or very low payoffs are not treated in a consistently favorable or hostile way. This indicates that the focal player tracks others’ outcomes but does not use a simple rule like “punish the richest” or “punish those hurting the group most.” In sum, this player behaves like a conflicted cooperator: they value contributing and occasionally enforcing norms, yet alternate between principled cooperation, opportunistic defection, and sporadic costly punishment without a clearly stable, payoff‑based rule. Their type is best modeled as a high‑variance, emotionally responsive cooperator rather than a strict conditional cooperator or a pure egoist.",0.054129798,0.9662093,6,Punishment / Reward / Contributions,"This cluster groups personas with related strategy patterns around punishment, reward, contributions, contribution, payoffs.",123
"This player closely uses the punishment stage to respond to how others are doing, but not in a way that clearly supports reciprocity or joint welfare. They frequently direct punishment toward players who earn high payoffs or who avoid punishment themselves, regardless of those players’ contribution levels, suggesting some mix of outcome-based envy, competitive leveling, or aversion to others getting ahead. They do not reward high contributors by protecting them from punishment; instead, they sometimes attack high earners even when those players cooperate. Conversely, they sometimes refrain from punishing low contributors, and at other times include them in broader sanctioning, indicating that others’ payoffs and conflict dynamics matter more than a clean contribution norm. They also do not appear to condition strongly on others’ own punishment costs (for example, punishing those who punish a lot, or sparing those who self-sacrifice); any such pattern is weak or inconsistent. Overall, they treat others’ outcomes as a field on which to impose losses and shape relative standings, rather than as feedback to coordinate on efficient cooperation.",0.59479594,1.2406938,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"This player observes others repeatedly spending heavily to punish and sometimes driving their own or others’ payoffs very low, yet they continue to pursue primarily self-interested contributions and rarely join the enforcement efforts. High costs borne by others for norm enforcement do not lead them to adopt those same norms or to emulate that role. They also do not seem to reward cooperators indirectly (e.g., by aligning their contributions with cooperative clusters); instead, they often free-ride exactly when others are most cooperative. They do not systematically avoid punishing those who are already heavily penalized, nor do they visibly “protect” victims of severe punishment; in practice, they mostly remain a bystander. Group-level payoff patterns—such as the presence of very high contributors who get attacked, or chaotic punishment cascades—do not induce them to shift into a stabilizing or coordinating role. In sum, they react to others’ outcomes largely by continuing their own opportunistic strategy rather than by norm alignment, coalition-building, or payoff-smoothing behavior.",-0.04442862,0.91700554,6,Punishment / Reward / Contributions,"This cluster groups personas with related strategy patterns around punishment, reward, contributions, contribution, payoffs.",123
"The player appears sensitive to the overall conflict and payoff landscape rather than to specific individual outcomes. They continue to play and sometimes cooperate even as other players burn large amounts of coins on punishment and drive their own and others’ payoffs very low, which suggests a tolerance for chaotic or hostile environments and an interest in remaining engaged rather than withdrawing or purely exploiting. They do not systematically align with “victims” or “aggressors”: they sometimes join the general punitive atmosphere and sometimes sit out of punishment even when others are being heavily targeted. They observe that some players repeatedly spend extreme amounts on punishment and that some end up with strongly negative or very low round payoffs, yet this does not push them into a consistent stabilizing or exploitative role. Instead, they oscillate: sometimes joining the sanctioning crowd, sometimes quietly taking advantage of high contributions by others. Overall, they react to others’ outcomes in a way that indicates curiosity and situational experimentation rather than a fixed empathy norm or a strict payoff-comparison rule. Their type is best described as a reactive, emotionally willing punisher and opportunistic contributor who learns slowly and locally, without converging on a stable, norm-driven strategy.",0.025983088,1.7133805,5,Punishment / Payoffs / Outcomes,"This cluster groups personas with related strategy patterns around punishment, payoffs, outcomes, contributions, behavior.",116
"This player closely observes others’ contributions and the punishment structure, and appears sensitive to the collective payoff environment, but they do not track or match individual payoffs in a fine-grained way. They are willing to continue cooperating even while seeing some others gain from free-riding and from aggressive punishment use, which implies tolerance for unequal outcomes up to a point. However, when the environment becomes heavily punitive and others spend large amounts on harming each other, the player’s behavior shifts: they free-ride more and, in one episode, engage in very costly punishment themselves. This pattern suggests that high visible hostility and destruction of payoffs by others reduces their commitment to the public good and triggers a desire to impose losses back on the group, even at a net cost to themselves. There is no evidence that they try to align with the high-earning strategies in order to imitate success; instead, they pursue a personally meaningful notion of fairness or dignity, sometimes accepting lower payoffs rather than conforming to the most profitable but hostile patterns. They seem particularly affected by seeing cooperative players punished or by being punished themselves despite cooperative behavior, which likely leads them to infer that others are not trustworthy partners in sustaining fairness. Thus, their responses to others’ outcomes are driven more by perceived justice and aggression levels than by pure payoff comparisons or envy.",-0.120330706,-0.2947085,8,Contributions / Payoffs / High,"This cluster groups personas with related strategy patterns around contributions, payoffs, high, player, group.",119
"They observe others repeatedly spending heavily on punishment and sometimes driving their own or others’ payoffs negative, yet they do not join these extremes. This suggests they notice but do not imitate costly moralistic or spiteful behavior. They seem content to let others bear the cost of enforcing or attacking, while they maintain a relatively payoff-protective stance. Very high punishment expenditures by others do not trigger a clear change in their own contribution level; they neither become significantly more cooperative to avoid becoming a target nor start punishing in solidarity with other punishers. Likewise, they do not clearly favor or protect consistent cooperators; they neither reward nor materially defend those who contribute a lot or suffer high deductions. Their reaction to others’ payoffs and punishment patterns is largely passive: they adapt contributions only weakly and remain focused on individual gain rather than on shaping group outcomes. Their beliefs about others (inferred from behavior) likely include the expectation that others will keep contributing or keep punishing each other regardless of the focal player’s own actions, leading them to treat the social environment as something to exploit rather than something to stabilize.",0.57049364,1.4100271,9,Punishment / Payoffs / High,"This cluster groups personas with related strategy patterns around punishment, payoffs, high, outcomes, contribution.",138
"This player’s contribution pattern suggests they either accept or largely ignore payoff asymmetries created by free-riding. As some peers systematically earn higher payoffs by not contributing, the player does not adjust their own behavior to restore payoff equality. They neither reduce their own cooperation to close the gap nor attempt any kind of indirect “punishment by defection.” Instead, they persist in full cooperation even when it places them at a relative disadvantage. Because no explicit punishment or reward mechanisms are available and they never alter their contribution in response to others’ outcomes, their implicit response to observing others’ higher earnings for lower contributions appears to be non-retaliatory and non-competitive. They behave as if the priority is maintaining contribution to the public good, not managing fairness or reciprocity. There is no observable evidence of learning from outcome patterns across rounds; they do not pivot when others’ free-riding becomes more pronounced. Their default stance toward others’ outcomes is best described as tolerant and unreactive, with any emotional or evaluative component remaining unknown.",0.1762014,-1.9741135,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"This player consistently responds to others’ outcomes by maintaining their own free-riding strategy, regardless of how payoff patterns evolve. They observe that cooperative players earn less than they do and that they themselves repeatedly obtain higher payoffs by not contributing. They also see that some peers begin to defect or exit, and that average payoffs for cooperators decline over time while their own relative advantage persists. Despite these outcome shifts, they do not move toward cooperation or attempt to stabilize group returns; instead, they stay with the individually advantageous pattern. There is no evidence of altruistic concern, guilt, or a desire to equalize payoffs, as they do not forgo any earnings even when others’ generosity is clearly benefiting them. Because punishment and reward mechanisms are unavailable, they cannot directly react via sanctions or bonuses, but their inaction in the face of declining group contributions suggests they are willing to let cooperation erode if that is the consequence of their strategy. Overall, their reaction to others’ outcomes is to use them as confirmation that free riding remains profitable, not as a signal to adjust toward more cooperative or fair behavior.",-0.15392855,-1.4069448,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"This player does not use others’ realized payoffs as a cue to change behavior. Even when it becomes clear that non-contributors earn higher individual payoffs than contributors, the player does not shift toward self-protection or reciprocity and instead maintains full cooperation. There is no observable attempt to punish or reward (the mechanisms are unavailable), and the player does not engage in indirect, payoff-based “punishment” such as reducing contributions in response to free-riding. They tolerate repeated instances where defectors benefit more than cooperators without retaliating via contribution changes. This pattern indicates that others’ outcomes do not strongly update the player’s strategy; either they give priority to a personal cooperation standard over outcome-based reciprocity, or they maintain an expectation or hope that stable cooperation is still desirable regardless of current payoff inequalities. Overall, they respond to others’ behavior with steadfast continuation of their own cooperative rule rather than with contingent adaptation.",-0.0049489946,-1.8398044,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"The player shows no behavioral reaction to others’ differing payoffs; their contribution rule remains unchanged as some group members repeatedly earn more by contributing nothing. Despite clear, repeated instances where non-contributors are rewarded with higher individual payoffs than contributors, the player does not reduce their own contribution, does not alternate between contributing and not contributing, and does not attempt to exploit the pattern by joining the free riders. This lack of adjustment suggests either that they downplay or disregard relative payoff comparisons, or that they accept being outperformed by defectors as an acceptable cost of adhering to their cooperative standard. There is no sign of conditional cooperation based on observed free-riding, no emergent “protection” of self-payoff in response to exploitation, and no evidence of learning in the direction of self-interested defection. Because no punishment or reward mechanisms are available, we cannot observe their inclination to actively sanction or reward others; their stance toward peer regulation is therefore unknown. However, given that they do not even passively sanction defectors by reducing their own contributions, it is plausible (but not certain) that they are conflict-avoidant or reluctant to use negative reciprocity, preferring to maintain their cooperative behavior regardless of others’ outcomes. In summary, the player exhibits a non-retaliatory, non-responsive pattern with respect to others’ payoffs: they continue full cooperation even when free riders clearly benefit at their expense, indicating a stable, outcome-insensitive cooperative orientation rather than a payoff-comparative or reciprocity-driven type.",0.0582827,-1.8514158,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"The player clearly attends to others’ outcomes, at least implicitly, as shown by their behavior aligning with changes in the payoff structure between contributors and non-contributors. When free riders are earning more than cooperators, the player is willing to join the free riders; when the payoff gap narrows or reverses in a way that weakens the attraction of free riding, they are willing to return to contributing. This pattern implies that peer outcomes inform their strategy, even though there is no direct evidence of emotional reactions. They do not have access to punishment or reward tools in this environment, so there is no direct data on costly sanctions or positive reinforcement. As a result, their “response” to others’ outcomes manifests entirely through their own contribution level: they indirectly “reward” cooperative environments with occasional contributions and indirectly “punish” cooperative others by sometimes exploiting them through free riding. There is no evidence that they attempt to stabilize group behavior by consistently matching the group’s average contribution level; instead, they use a coarse-grained response—switching between full cooperation and full defection—with an apparent focus on their own relative payoff. How much they care about others’ absolute payoffs or welfare beyond this relative comparison is unknown. In terms of beliefs, their actions are consistent with expecting that at least some others will continue to contribute even when they themselves defect, and that group cooperation is reasonably robust in the short run. They seem to “ride along” with others’ generosity when it is profitable, but they are still willing to support the public good intermittently, suggesting they do not fully expect universal defection or complete collapse of cooperation. Because the player cannot communicate or target individuals, their social style in response to others’ outcomes remains largely inferential. What is observable is a pragmatic, outcome-sensitive adjustment of their own behavior rather than any principled enforcement or strong emotional stance toward high or low earners.",-0.080724515,-1.3501923,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"The player consistently responds to others’ high contributions and relatively lower payoffs by positioning themselves to benefit from those contributions rather than aligning with them. When others earn less than the player while contributing more, the player does not move toward more cooperative behavior; instead, they maintain or revert to free-riding. This indicates that others’ worse outcomes do not trigger compensatory behavior, guilt, or attempts to restore equity. Rather than being deterred by the evident exploitation of cooperators, the player appears to treat these outcomes as confirmation that free-riding is the best response to the group’s behavior. They also seem to treat others’ continuing contributions as a stable resource: as long as enough others keep contributing, the player is content to free-ride. There is no evidence that seeing some peers also free-ride leads them to increase their own contributions to protect the public good. Instead, observing that free-riders can do well or better appears to reinforce their own low-contribution strategy. Because there is no punishment or reward available, we cannot observe any direct costly reaction to others’ payoffs. However, the indirect behavioral adjustments strongly suggest that this player is not motivated by others’ welfare or by disapproval of inequality; they update their behavior solely in response to how others’ actions affect the profitability of free-riding versus contributing, and they choose the option that maximizes their own payoff even when it clearly leaves others worse off.",-0.38744727,-1.1511384,4,Contributions / Payoffs / High,"This cluster groups personas with related strategy patterns around contributions, payoffs, player, high, group.",126
"The player observes that free-riders can earn higher payoffs when many others contribute, and they are willing to occupy both roles at different times: sometimes sharing the fate of cooperators, sometimes sharing the gains of defectors. This indicates that they accept payoff inequality in both directions: they tolerate being slightly behind free-riders when they themselves contribute, and they also accept getting ahead of many cooperators when they defect. There is no evidence of punitive or rewarding behavior because such mechanisms are unavailable, so their response to others’ outcomes is expressed only via contributions. They do not simply reward high-contributing groups with consistent cooperation, nor do they systematically “punish” defectors by withdrawing their own contributions whenever free-riding appears. Instead, their adjustments are moderate and non-extreme: they never move to a fully self-protective stance of always defecting despite evidence that this yields high payoffs, and they never commit to unconditional cooperation despite observing persistent partial free-riding. This pattern is consistent with a player who tracks relative earnings but does not rigidly chase being the top earner. They are willing to exploit the cooperative environment occasionally, but they also at times bear personal cost to help provision the public good even when that choice is not strictly payoff-maximizing given others’ actions. Their learning and adaptation appear present but noisy: they react to the payoff structure by sometimes imitating the more lucrative free-rider position, yet they revert back to cooperation later, suggesting either ongoing experimentation, mixed preferences over equity and efficiency, or uncertainty about how the group will evolve.",-0.017841186,-1.5613668,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
"The player shows no behavioral response to variation in others’ payoffs; their contribution choice remains unchanged despite clear and repeated evidence that free-riders earn strictly higher payoffs than contributors. They do not use others’ earnings as a signal to adjust their own strategy, indicating either low sensitivity to payoff inequality or a willingness to accept disadvantageous inequality in order to maintain cooperation. Since punishment and reward are unavailable and no other costly reactions are possible, there is no direct evidence of a desire to sanction or compensate others. Indirectly, their continued cooperation in the face of exploitative payoff patterns suggests they do not adopt an envious or competitive stance; higher earnings by defectors do not trigger observable withdrawal or defensive behavior. Their learning and adaptation to outcome information appear minimal: they observe that the cooperative strategy is systematically individually dominated by defection yet persist with it. This is consistent with either a payoff-insensitive moral/identity-based motivation to cooperate or a belief that sustained cooperation may eventually stabilize group behavior, though the latter is speculative and thus unknown. Overall, their response to others’ outcomes is characterized by steadfastness and non-retaliation rather than strategic adjustment.",-0.016507193,-1.9813002,7,Payoff / Payoffs / Free,"This cluster groups personas with related strategy patterns around payoff, payoffs, free, cooperation, outcomes.",149
