custom_id,persona_pid,persona_source,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players,model,max_persona_chars,top_k,match_rank,player,probability,is_top1
persona_chip_match__pid_1199__record_chip3__cohort_03_m8aiq8__game_1__p002__g003,1199,twin_direct_persona_summary,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]",gpt-5-mini,0,3,2,squid-yellow-9545,0.25,False
persona_chip_match__pid_1199__record_chip3__cohort_03_m8aiq8__game_1__p002__g003,1199,twin_direct_persona_summary,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]",gpt-5-mini,0,3,3,badger-red-5032,0.1,False
persona_chip_match__pid_1199__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g004,1199,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,1,bear-purple-7271,0.55,True
persona_chip_match__pid_1199__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g004,1199,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,2,swan-purple-1670,0.3,False
persona_chip_match__pid_1199__record_chip3__g12_m5wp8p__game_2_alt_profile__p002__g004,1199,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,3,peacock-red-7768,0.15,False
persona_chip_match__pid_1199__record_chip4__cohort_02_m7xl5i__game_1__p002__g005,1199,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,1,peacock-red-7894,0.6,True
persona_chip_match__pid_1199__record_chip4__cohort_02_m7xl5i__game_1__p002__g005,1199,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,2,squid-pink-8454,0.3,False
persona_chip_match__pid_1199__record_chip4__cohort_02_m7xl5i__game_1__p002__g005,1199,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,3,otter-orange-7286,0.1,False
persona_chip_match__pid_1199__record_chip4__cohort_05_m898xg__game_2_alt_profile__p002__g006,1199,twin_direct_persona_summary,chip4__cohort_05_m898xg__game_2_alt_profile,chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,chip4,4-Chip Bargaining,Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟣 4p3,"[""butterfly-purple-4350"", ""owl-yellow-8687"", ""ram-green-9746""]",gpt-5-mini,0,3,1,owl-yellow-8687,0.65,True
persona_chip_match__pid_1199__record_chip4__cohort_05_m898xg__game_2_alt_profile__p002__g006,1199,twin_direct_persona_summary,chip4__cohort_05_m898xg__game_2_alt_profile,chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,chip4,4-Chip Bargaining,Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟣 4p3,"[""butterfly-purple-4350"", ""owl-yellow-8687"", ""ram-green-9746""]",gpt-5-mini,0,3,2,ram-green-9746,0.2,False
persona_chip_match__pid_1199__record_chip4__cohort_05_m898xg__game_2_alt_profile__p002__g006,1199,twin_direct_persona_summary,chip4__cohort_05_m898xg__game_2_alt_profile,chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,chip4,4-Chip Bargaining,Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟣 4p3,"[""butterfly-purple-4350"", ""owl-yellow-8687"", ""ram-green-9746""]",gpt-5-mini,0,3,3,butterfly-purple-4350,0.15,False
persona_chip_match__pid_836__record_chip2__cohort_03_m8aexq__game_1__p003__g001,836,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,1,owl-orange-1045,0.55,True
persona_chip_match__pid_836__record_chip2__cohort_03_m8aexq__game_1__p003__g001,836,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,2,dog-purple-778,0.3,False
persona_chip_match__pid_836__record_chip2__cohort_03_m8aexq__game_1__p003__g001,836,twin_direct_persona_summary,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,0,3,3,peacock-purple-2249,0.15,False
persona_chip_match__pid_836__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p003__g002,836,twin_direct_persona_summary,chip2__cohort_15_m8agmu__game_2_alt_profile,chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 15-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,"[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]",gpt-5-mini,0,3,1,camel-pink-767,0.75,True
persona_chip_match__pid_836__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p003__g002,836,twin_direct_persona_summary,chip2__cohort_15_m8agmu__game_2_alt_profile,chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 15-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,"[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]",gpt-5-mini,0,3,2,alligator-orange-9612,0.15,False
persona_chip_match__pid_836__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p003__g002,836,twin_direct_persona_summary,chip2__cohort_15_m8agmu__game_2_alt_profile,chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 15-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,"[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]",gpt-5-mini,0,3,3,butterfly-yellow-2139,0.1,False
persona_chip_match__pid_836__record_chip3__cohort_03_m8aiq8__game_1__p003__g003,836,twin_direct_persona_summary,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]",gpt-5-mini,0,3,1,badger-red-5032,0.6,True
persona_chip_match__pid_836__record_chip3__cohort_03_m8aiq8__game_1__p003__g003,836,twin_direct_persona_summary,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]",gpt-5-mini,0,3,2,squid-yellow-9545,0.25,False
persona_chip_match__pid_836__record_chip3__cohort_03_m8aiq8__game_1__p003__g003,836,twin_direct_persona_summary,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]",gpt-5-mini,0,3,3,camel-yellow-5577,0.15,False
persona_chip_match__pid_836__record_chip3__g12_m5wp8p__game_2_alt_profile__p003__g004,836,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,1,bear-purple-7271,0.6,True
persona_chip_match__pid_836__record_chip3__g12_m5wp8p__game_2_alt_profile__p003__g004,836,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,2,peacock-red-7768,0.3,False
persona_chip_match__pid_836__record_chip3__g12_m5wp8p__game_2_alt_profile__p003__g004,836,twin_direct_persona_summary,chip3__g12_m5wp8p__game_2_alt_profile,chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,chip3,3-Chip Bargaining,g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]",gpt-5-mini,0,3,3,swan-purple-1670,0.1,False
persona_chip_match__pid_836__record_chip4__cohort_02_m7xl5i__game_1__p003__g005,836,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,1,otter-orange-7286,0.6,True
persona_chip_match__pid_836__record_chip4__cohort_02_m7xl5i__game_1__p003__g005,836,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,2,squid-pink-8454,0.3,False
persona_chip_match__pid_836__record_chip4__cohort_02_m7xl5i__game_1__p003__g005,836,twin_direct_persona_summary,chip4__cohort_02_m7xl5i__game_1,chip4__cohort_02_m7xl5i__game_1,CHIP4__GAME_1,chip4,4-Chip Bargaining,Cohort 02-m7xl5i,First negotiation game-negotiation1,GAME_1,🟣 4p1 (n=20),"[""peacock-red-7894"", ""squid-pink-8454"", ""otter-orange-7286""]",gpt-5-mini,0,3,3,peacock-red-7894,0.1,False
persona_chip_match__pid_836__record_chip4__cohort_05_m898xg__game_2_alt_profile__p003__g006,836,twin_direct_persona_summary,chip4__cohort_05_m898xg__game_2_alt_profile,chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,chip4,4-Chip Bargaining,Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟣 4p3,"[""butterfly-purple-4350"", ""owl-yellow-8687"", ""ram-green-9746""]",gpt-5-mini,0,3,1,butterfly-purple-4350,0.65,True
persona_chip_match__pid_836__record_chip4__cohort_05_m898xg__game_2_alt_profile__p003__g006,836,twin_direct_persona_summary,chip4__cohort_05_m898xg__game_2_alt_profile,chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,chip4,4-Chip Bargaining,Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟣 4p3,"[""butterfly-purple-4350"", ""owl-yellow-8687"", ""ram-green-9746""]",gpt-5-mini,0,3,2,ram-green-9746,0.25,False
