StatementID,TreatmentCode,SubjectID,personality_string,UGProposer,UGResponder,TGSender,TGReceiver,PD,SH,C,UGProposer_JUS,UGResponder_JUS,TGSender_JUS,TGReceiver_JUS,PD_JUS,SH_JUS,C_JUS,ID,AI_UGProposer,AI_UGResponder,AI_TGSender,AI_TGReceiver,AI_PD,AI_SH,AI_C,AI_UGProposer_JUS,AI_UGResponder_JUS,AI_TGSender_JUS,AI_TGReceiver_JUS,AI_PD_JUS,AI_SH_JUS,AI_C_JUS
11,TRP,452,2111221,5,5,Yes,3,B,Y,mars,"The fairest way of splitting, we each get half.",The lowest I would go when sharing between two people is half.,Might as well be just luck I suppose.,Because this doesn't make sense and I have to pick one.,Hoping that the other person picks A and even if they don't I would still get some.,No chance to get 1.,There's too many options to try to work out what the other will pick so just go with any.,71,5,1,Yes,3,A,X,venus,I believe this is a fair and balanced offer.,I believe in fairness and believe that everyone should get at least a fair share.,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",Returning half of the received ECU is a fair and balanced decision.,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice.","Choosing option X maximizes the payout for both parties, which could be seen as more fair.",I just have a good feeling about Venus today.
12,TRP,486,2112211,5,5,No,0,B,Y,earth,Better half of something than nothing of everything.,The proposer is unlikely to offer more than 50% while I will not accept anything below that. It is a balanced point.,Better to keep what you have than gamble for more and risk losing.,The other side gambled their guaranteed ECU. Their loss.,Either way I will get more than 1 ECU: either 3 at least or 8 at most.,Guarantees at least 4 ECU.,Chosen at random.,77,5,1,Yes,2,A,X,venus,"I want to make a fair and reasonable offer to the responder, ensuring that both of us benefit. An offer of 5 ECU is a fair division of the endowment, taking into consideration that I have 10 ECU and the responder has 0 ECU.",I accept any positive amount as receiving something is better than nothing.,I believe that helping others can lead to positive outcomes for both parties.,I return 2 ECU to sender as a sign of gratitude for their generosity and to maintain a fair balance in the exchange.,"Choosing A maximizes the total payout for both players, leading to a fairer outcome.","The highest payout for both options is when both choose X, which results in 8 ECU for both parties. It's the most fair outcome for both parties.",I'll choose Venus because it seems like a safe bet that won't conflict with other options and I'll still earn some reward.
13,TRP,487,2112221,5,5,No,6,A,X,earth,Half is fair to split between us.,Half would be fair between us.,The other person gets a lot more.,It’s their money.,It would be fair to get equal amounts.,We both get the best outcome.,It’s the one we live on.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
14,TRP,496,1111212,5,4,No,0,B,X,earth,It will be fair.,"I don't know if I can trust the proposer, but less than 4 would be unfair.",Keeping the 5 ECU seems more beneficial.,Keeping the 6 ECU seems more beneficial.,It could give me higher ECU.,It will benefit us the most.,It's where we habit.,6,5,2,No,2,A,X,mars,Half seems fair and the responder may be more likely to accept.,Just want a fair share.,Just don't feel like it.,"It's a good balance, showing gratitude for the transfer while also keeping some for oneself.","I choose option A because it benefits both parties equally, promoting fairness and promoting harmony.","Option X seems to result in a better outcome overall, regardless of the other player's choice.",Going with the flow and trying something new.
15,TRP,532,2121222,5,5,Yes,3,A,X,earth,An equal split to make it fair.,An equal split to make it fair.,I want us both to be rewarded.,To try to make it an equal share.,If we both choose A we both get an equal and fair reward.,"If we both choose X we both get equal rewards, it is fair.",It is where we live.,88,5,1,Yes,3,A,X,mars,"I am offering half of my endowment to ensure that the responder accepts the offer and both of us receive something, rather than both receiving nothing.","Sure, I'll take anything offered to me since I have 0 ECU, and 1 ECU is better than nothing.",Maximizing final payment.,Returning half of the received amount is a balanced and stable solution that creates a sense of harmony in the interaction.,I choose A because it's the safer option with a better average payout.,"Choosing option X results in a higher average payout regardless of the other person's choice, making it the more profitable option.",I choose Mars because it is a safe option that has a chance of yielding a moderate payout.
16,TRP,567,2212221,5,3,Yes,3,A,X,earth,To ensure a fair and non-spiteful response.,Personal limit before denying for being unfair.,I'm hopeful they are fair and we both get 3 back.,To encourage fair profit for both.,To ensure fairest highest-paying outcome.,If the other is smart they would also choose X to max profit.,I’d hope they're smart and choose where we live as a common match.,111,5,1,Yes,3,A,X,venus,"I believe it's reasonable to offer half of the endowment to the responder, as this could result in both parties getting some reward and avoiding the possibility of both getting nothing.","I believe that every person deserves to receive something, even if it's just a little. Rejecting the offer and getting nothing seems unfair to me.","I believe in fairness and helping others, so I choose to transfer 2 ECU.","I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange.","Choosing option A is a cooperative choice that leads to mutual benefit, while choosing option B is more selfish and leads to a winner-takes-all outcome.",I choose X because it gives me the opportunity to earn more money regardless of the other person's choice.,It just felt like the best choice.
17,TRP,609,2112221,5,5,Yes,3,A,Y,mars,Because it's an equal split.,Because I deserve 50%.,Because it was never mine to begin with.,"Because it's more than they sent me, but I won't lose too much.",Because it would be fair.,Because I believe in being fair.,Because it's where we're wanting to go and it's full of mystery.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
18,TRP,669,2111221,5,5,Yes,2,A,X,earth,It feels fair.,It is fair.,I feel they will keep half so I will make profit.,I make a profit but they will not loose out.,"If we both choose A, will we both benefit equally.",I assume we both want the best for each other.,I feel they are most likely to choose earth.,71,5,1,Yes,3,A,X,venus,I believe this is a fair and balanced offer.,I believe in fairness and believe that everyone should get at least a fair share.,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",Returning half of the received ECU is a fair and balanced decision.,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice.","Choosing option X maximizes the payout for both parties, which could be seen as more fair.",I just have a good feeling about Venus today.
19,TRP,692,2122122,5,5,Yes,2,B,X,mercury,Split even to get the best chance of acceptance and my own reward.,Split even to get the best chance of acceptance and my own reward.,There is a good benefit to sharing and it's worthwhile to risk it.,To keep some benefit over not sending and reward the other person.,The best outcome is to choose B and rely on the other person to share.,The best outcome is to both choose X and there is no benefit to choosing the other option.,People will choose the first in a list.,92,5,1,Yes,0,A,X,venus,I want to offer the responder 5 ECU so that both of us receive a portion of the endowment and we can both walk away with something. This seems like a reasonable balance between keeping some for myself and sharing some with the responder.,"I would like to receive at least something, even if it's just a small amount. Any amount is better than nothing, so I would be willing to accept 1 ECU.",I am transferring 2 ECU to the receiver because I believe it will increase my chances of receiving a higher total payout at the end of the experiment.,I am choosing to keep the full amount of 6 ECU for myself because I am maximizing my own personal earnings and not considering the sender's transfer.,"To maximize personal gain, option A is the better choice as it results in 5 ECU in the best-case scenario and only 1 ECU in the worst-case scenario.","I choose option X because it results in the highest possible payout, regardless of what the other person chooses. By choosing X, I maximize my own potential earnings.","Because I think it's a safe choice that maximizes the chances of getting 2 ECU, which is the next best outcome if I don't choose the same option as the other person."
20,TRP,699,2111221,5,5,Yes,0,A,X,venus,To be fair.,This is my limit.,I feel I would get something back like 3 ECU.,I would keep all the money.,To make it fair.,So we can both get money.,I like Venus.,71,5,1,Yes,3,A,X,venus,I believe this is a fair and balanced offer.,I believe in fairness and believe that everyone should get at least a fair share.,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",Returning half of the received ECU is a fair and balanced decision.,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice.","Choosing option X maximizes the payout for both parties, which could be seen as more fair.",I just have a good feeling about Venus today.
21,TRP,814,1111221,5,5,No,2,B,X,earth,"This seems fair, I would hope the other person feels the same.",I hope the other person would split it equally.,The logical outcome would be for the receiver to keep the transfer.,This gives me a reasonable gain while making sure the sender is not out of pocket.,To maximise the likelihood of getting a bonus myself.,This maximises payment to both of us and is logical.,It is a random choice as I cannot predict what the other person will choose.,7,5,2,No,2,A,X,venus,I think it's fair to split the endowment down the middle.,"I want to ensure I receive some amount, even if small, rather than nothing.",I don't want to take the risk.,Returning half seems fair and balanced.,"Choosing option A supports fairness and altruism, which are values that align with the traits described.",I choose option X as it is the option that is most beneficial for both parties and has the highest reward if both parties choose it.,Sounds good to me.
22,TRP,819,2112222,0,1,No,0,A,X,earth,I would rather keep it.,It would be nice to get at least 1.,I would like to just keep my ECU and not risk not getting any back.,I would rather just keep it for myself.,"5 ECU each, the best output, guaranteed.",X gives me the highest payout so I may as well just select it.,"Both live on earth, just hoping that they choose the same so we can get a higher payout.",80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
23,TRP,879,2112221,5,5,Yes,3,A,X,venus,It divides the amount equally between us.,It would split the ECU between us evenly.,It seems like a fair amount.,It is half the amount and gives us both the same.,It maximises the reward amount.,It gives us the same reward.,It is the planet closest to the sun.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
24,TRP,926,2211221,4,5,Yes,3,B,X,earth,It will be a good starting point.,"It will be a good starting point, it is fair as it is a half split.",I feel this will be reciprocated.,"It is half of the amount, it is greater than what they sent but half as it has been tripled.","If we both choose the same we get 3, if I choose this alone I receive a higher amount.",It is the highest return for both of us.,"It is the planet I am on, feels like the right choice.",103,5,5,Yes,2,A,X,mars,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",Half is a fair and reasonable minimum offer.,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",It seems like a fair and balanced move to return half of the amount received back to the sender.,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness.",Choosing option X maximizes the payout for both parties in case the other person also chooses X.,I chose Mars because it just seemed like a good option.
25,TRP,931,2121221,5,5,Yes,3,A,X,earth,I think this is the least they would accept.,This seems like a fair offer.,I think they might send back half.,They will have slightly more than they started with so gain.,I would hope they choose A as well.,I would choose X in the hope that the other does and we get the maximum.,I think they will pick the home planet.,87,5,1,No,2,A,X,venus,"Offering 5 ECU balances the potential reward for both parties, with a higher chance of the offer being accepted.",I prefer a small guaranteed gain over no gain.,I prefer to keep my own funds rather than transfer them to someone I don't know.,"Returning 2 ECU ensures that both parties receive the same amount, 5 ECU, as if no transfer had taken place, avoiding any potential conflict or misunderstanding.",Choosing option A maximizes the outcome in two out of four possible scenarios.,Maximizing the outcome regardless of the other person's choice.,"I choose Venus because it's a safe and neutral choice, which increases the likelihood of getting 2 ECU instead of 5 ECU and helps to minimize risk."
26,TRP,936,2211222,5,4,Yes,3,A,X,mars,I think 5 is a reasonable number that most people would accept.,"Nobody has done anything to earn the ECU, so splitting close to 50/50 seems fair.",I think another person would be generous enough to transfer some back.,I think a person would transfer the 2.,I think they would go for the option which offers the most mutual gain.,I hope that two people would both try to maximise the joint gain.,"I don't know if there is any strategy to this round, so I would just choose a planet I like.",104,5,5,Yes,2,A,X,earth,I believe that offering half of the endowment is a fair and balanced proposal. It also shows goodwill and a willingness to share with the responder.,"I believe it's only fair for both parties to receive an equal amount of the endowment. So, half should go to me and half should go to the proposer.",I believe in helping others and creating a positive outcome for both parties involved.,"Returning 2 ECU to the sender seems like a fair decision, as it allows both parties to keep an equal amount of money (5 ECU each). Additionally, it acknowledges the sender's initial generosity and may encourage future cooperation.","Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice.","Choosing X gives a better chance of getting 8 ECU, which is more money.",I choose Earth because it is the only planet that we currently know of that can support human life.
27,TRP,947,1112222,5,3,Yes,1,A,X,venus,"I would trust that they would not be greedy, and wish to share with me equally.",Anything less would be unfair.,I would like to see whether the receiver reciprocates.,I’d like to keep a larger portion.,I think we should share equally.,I think it would be great if we both received this amount.,Because it is the planet of love.,16,5,3,Yes,4,A,X,venus,"Seems like a fair and balanced offer, aiming for mutual benefit and avoiding a situation where one party gets nothing.",Fair split is 5 ECU each.,Sounds like a good move.,Returning 4 ECU is a fair balance between keeping some for myself and showing gratitude for the sender's transfer.,It's the option that leads to mutual benefit.,"Option X results in a better outcome for both players, regardless of the other player's choice, compared to option Y.",It felt like the right choice.
28,TRP,957,2112222,4,5,No,3,B,X,earth,It's a reasonable starting offer.,I want at least half.,I'd rather keep what I have.,It seems a fair figure.,I might make more.,I want to get 8.,Seems the most obvious.,80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
29,TRP,1052,2111221,5,5,Yes,4,B,X,mercury,They should anticipate that being offered.,Then it’s fair.,Risking that the person will be kind and return some.,Then they should hopefully be on just below myself.,Can possibly come out with more.,There is still a better chance of bigger payment selecting X.,"No logic, just a guess.",71,5,1,Yes,3,A,X,venus,I believe this is a fair and balanced offer.,I believe in fairness and believe that everyone should get at least a fair share.,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",Returning half of the received ECU is a fair and balanced decision.,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice.","Choosing option X maximizes the payout for both parties, which could be seen as more fair.",I just have a good feeling about Venus today.
30,TRP,1054,2112221,5,5,Yes,0,A,X,earth,I'm hoping for some altruism from the responder.,It's a fair share of the reward.,Trust other respondent to return some ECU.,I want to keep them all.,Guessing respondent will be altruistic.,Hoping for respondent to choose the option that best rewards both of us.,It’s a beautiful place.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
31,TRP,1160,1112221,5,4,Yes,2,A,X,earth,I feel it is fair to try and even the allowance as much as possible.,I feel it is fair to try and even the allowance as much as possible.,"As before, I feel it is fair to try and even the allowance as much as possible.",I feel it is fair to try and even the allowance as much as possible.,Went with my gut.,Went with my gut.,I like Earth.,15,5,1,No,3,A,X,earth,Offering half seems fair.,I believe in fairness and would not like to leave empty-handed.,I prefer to keep what I have rather than take a risk with it.,Split the difference.,To earn a fair outcome for both parties.,"I choose option X because it results in a fairer outcome for both parties, even though the other person's choice is unknown.",Just a hunch.
32,TRP,1202,2111111,4,4,No,0,A,Y,mercury,I could be offering them nothing but I choose to have mercy.,It feels like a good number to stick with and they end up having more.,I wanted to pick this answer.,I wish to keep everything I can.,I think they choose A.,I went with my instinct.,I went with my instinct here.,65,4,2,No,2,A,X,mars,I believe it's a fair balance between being selfish and being generous. I get to keep a decent amount of the money while still leaving some for the other person.,"I want some money, so I will accept a reasonable offer.",I don't trust the receiver to return the amount.,It seems like a fair and balanced approach.,"My decision is based on maximizing the outcome for both myself and the other person in the exchange, as choosing A results in a higher average payout than choosing B.",I think that choosing X gives a better outcome regardless of the other person's choice.,I just have a gut feeling about this one.
33,TRP,1236,2122212,5,4,No,4,A,X,earth,We both come out with an equal amount.,4 ECU is the minimum as anything below would be insulting.,The ideal amount would be 4 ECU being sent back which would mean we both earned 1 ECU each.  The chances of this are slim as I am relying on the other person doing no less than that.,4 ECU being sent back would mean we both earned 2 ECU each.,"If both of you choose A, you both get 5 ECU.","If both of you choose X, you both get 8 ECU.","Earth as they may choose the same, with it being our home planet.",94,5,3,Yes,2,A,X,venus,"This offer provides a mutually beneficial outcome, with both parties receiving a non-zero payout. It strikes a balance between being fair and efficient.",I believe that accepting an offer of 3 ECU would be reasonable because it's better to receive something rather than nothing.,It seems like a good choice for both parties.,"Returning 2 ECU back to the sender maintains a balance between what was given to me and what I return, preserving stability in the interaction.","Choosing A leads to the best average payout in the long run, regardless of the other person's choice.","The option X provides the highest payout if both players choose it, and even if one player chooses Y, the payouts are still better than if both players choose Y.",I'll choose Venus as my option because I think it has a nice ring to it and I like the sound of it.
34,TRP,1259,2211222,5,5,Yes,3,A,X,saturn,5 ECU is the fair and desirable outcome.,5 ECU is the fair and desirable outcome.,Most desirable outcome is for both to end up with 8 ECU.,Both ending with 8 ECU is most desirable outcome.,A is the most desirable outcome.,X is the most desirable outcome.,Most interesting planet of the five.,104,5,5,Yes,2,A,X,earth,I believe that offering half of the endowment is a fair and balanced proposal. It also shows goodwill and a willingness to share with the responder.,"I believe it's only fair for both parties to receive an equal amount of the endowment. So, half should go to me and half should go to the proposer.",I believe in helping others and creating a positive outcome for both parties involved.,"Returning 2 ECU to the sender seems like a fair decision, as it allows both parties to keep an equal amount of money (5 ECU each). Additionally, it acknowledges the sender's initial generosity and may encourage future cooperation.","Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice.","Choosing X gives a better chance of getting 8 ECU, which is more money.",I choose Earth because it is the only planet that we currently know of that can support human life.
