StatementID,TreatmentCode,SubjectID,personality_string,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,personality_string2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
29,ODP,414,2212221,Yes,Hoping the other person sends some back.,Yes,"I believe in fairness and helping others, so I choose to transfer 2 ECU.",29,324,2111221,4,Everybody wins the same.,3,Returning half of the received ECU is a fair and balanced decision.
30,ODP,432,2122222,Yes,Possibility of more returned.,Yes,"I believe that it is a good decision to show trust and make a gesture of kindness, which could lead to a positive outcome for both parties.",30,330,1112121,2,It’s what they sent and I’m in profit.,0,Keep it all.
31,ODP,479,1111221,Yes,Maximises overall total even if I don't get it.,No,I don't want to take the risk.,31,335,1122221,6,Best option for both people to send 6 each.,3,I want to maintain a balance in the exchange and not seem too greedy or ungrateful.
32,ODP,494,1121221,No,I will not benefit.,No,Not worth the risk.,32,347,2112121,3,It's half of the 6 and one more than they sent across so we both get a little.,0,"The sender made a decision to not transfer any money, therefore, I return 0 ECU to the sender."
33,ODP,509,1121122,Yes,They can triple the ECU from my 2 ECU.,No,I'll keep my endowment.,33,358,2111221,3,They get their 2 back plus and additional point.,3,Returning half of the received ECU is a fair and balanced decision.
34,ODP,512,2211121,Yes,Feel like the other person has morals and may return money.,Yes,"It seems like a fair move to make in this situation, as the amount transferred will be tripled and there is potential for a positive outcome for both parties.",34,384,2122121,4,We are both better off.,0,I keep all of the 6 ECU to maximize my own earnings.
35,ODP,534,1122221,Yes,I hope they will split it fairly.,Yes,"I trust that the receiver will return some of the ECUs, making my final payment higher.",35,388,2111122,2,I would give back what they had lost in sending the 2 to me.,4,Seems like a fair compromise.
36,ODP,563,1111221,Yes,I hope the other will reciprocate.,No,I don't want to take the risk.,36,390,2211221,2,It will have a bearing on my credibility that I have shared.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
37,ODP,586,2111221,Yes,Think it's most fair.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",37,403,1211122,0,I was generous first time round.,0,Returning 0 ECU maximizes my own payment and aligns with my nature to prioritize self-interest.
38,ODP,591,2111222,No,"No guarantee of any return if I send, and they will be better off than me right from the start.",Yes,Seems like a fair move to make.,38,413,2112221,0,I want more ECU.,3,Returning half of the received amount seems like a fair and balanced action.
39,ODP,598,2111222,Yes,Seems logical and fair plus it would only cost me 2 ECU max if it goes against me so it is worth the risk.,Yes,Seems like a fair move to make.,39,419,2111222,3,To give them more than they had before.,2,It seems like a fair and balanced decision that benefits both parties equally.
40,ODP,620,2112221,Yes,"I’m hoping they do the same and if not, they can have a couple of quid.",Yes,Because it aligns with the principles of fairness and altruism.,40,440,2112212,4,Allows even returns to both parties.,3,Returning half of the sender's tripled transfer amount is a fair and balanced decision.
41,ODP,635,1112212,No,I want to keep it for myself.,Yes,Because it feels right.,41,441,1111211,3,"This puts them in a better position than they started, which reflects my position, too.",0,"Returning 0 ECU shows fairness, as the sender doesn't get any extra benefit from the transfer they made."
42,ODP,657,1211212,No,I don't want to rely on someone sending money to me.,Yes,It just feels right.,42,455,2212221,3,Good amount for both.,3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
43,ODP,663,2112221,Yes,"Be smart and have more, send 2 back.",Yes,Because it aligns with the principles of fairness and altruism.,43,479,1111221,3,"Any less and they stand to be out of pocket for their generosity. 6 isn't an option if I only have 5 and may not get any more, 5 may leave me with nothing, 4 leaves me potentially with almost nothing.",2,Returning half seems fair and balanced.
44,ODP,675,2221221,Yes,Hoping receiver will send at least 3 ECU.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,44,509,1121122,1,They can receive some ECU back.,0,Keep it all.
45,ODP,678,2222222,Yes,I might get something back from it.,Yes,There is potential for a positive outcome.,45,512,2211121,0,Want most amount of profit.,0,I don't feel the need to return anything since I didn't do anything to earn it. The sender made the decision to transfer the funds and I am simply keeping what was given to me.
46,ODP,697,2111221,Yes,"This would give a balance to them if 11 and me 3. Meaning if they send 4 back, we would both have 7. Or 3 back and I would still have 6 rather than the original 5, and we would both earn from tripling the 2 ECU.",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",46,515,2221221,3,Half each seems fair.,0,"I keep all 6 ECU. The sender made the choice to transfer 2 ECU, so they took the risk and I benefit from the tripled amount. The sender has no right to expect any of it back."
47,ODP,700,1222121,No,"I'm not a risk taker, I'd rather keep what I know I have.",No,I'm not giving any money.,47,533,2111211,4,"The sender remains with 3 after sending me 6, so I return 4 - sender makes a profit and so do I.",3,I believe returning half of what I received is a fair and balanced decision.
48,ODP,702,2112221,Yes,Sharing is caring.,Yes,Because it aligns with the principles of fairness and altruism.,48,563,1111221,4,I have shared equally.,2,Returning half seems fair and balanced.
49,ODP,726,2112221,Yes,I’d like to give two ECU to the receiver by my own decision.,Yes,Because it aligns with the principles of fairness and altruism.,49,591,2111222,0,Best result for me.,2,It seems like a fair and balanced decision that benefits both parties equally.
50,ODP,730,2221212,No,No way of knowing the likely outcome and I could just lose the 2 ECU.,Yes,It could potentially lead to a positive outcome for both parties.,50,593,2212221,3,Because I want to be fair and return 3 ECU to the sender.,3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
51,ODP,732,2111221,Yes,I would like to make as much money as possible.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",51,598,2111222,4,It equals out the gain so we both end up with 7 ECU.,2,It seems like a fair and balanced decision that benefits both parties equally.
52,ODP,785,1111211,Yes,I like to hope people are good and would even send me 2 ECU back.,No,I don't feel like sharing.,52,613,1111211,2,I did the same.,0,"Returning 0 ECU shows fairness, as the sender doesn't get any extra benefit from the transfer they made."
53,ODP,801,2121221,Yes,He will probably send 3 back.,No,I prefer to keep my own funds rather than transfer them to someone I don't know.,53,620,2112221,4,This would make the whole thing fair. I hope they are on the same page as me.,3,Returning half of the received amount seems like a fair and balanced action.
54,ODP,817,2211111,Yes,I’m hoping they return half.,Yes,"I believe in taking a chance on generosity, who knows what the receiver might do with the money I transfer. Maybe they'll return more than I expect, making us both better off.",54,623,1121212,4,I'll get 2 bonus ones overall and they can have 4 back for their kindness.,3,Returning 3 ECU strikes a balance between keeping some of the sender's transfer while also returning some to show gratitude.
55,ODP,839,1211222,No,I want to keep the bonus.,Yes,I feel like being generous.,55,635,1112212,1,I want to keep most for myself.,3,Returning half of the amount shows a balance of fairness and mutual respect.
56,ODP,853,2222222,Yes,"I hope that my partner will return a few points to me, if I send them 2 ECU.",Yes,There is potential for a positive outcome.,56,657,1211212,0,I want to keep it all.,3,Returning half shows a balance of fairness and sharing while still keeping some for myself.
57,ODP,872,2212221,Yes,It will triple and be worth much more which can then be fairly shared.,Yes,"I believe in fairness and helping others, so I choose to transfer 2 ECU.",57,663,2112221,2,So we keep 4 each.,3,Returning half of the received amount seems like a fair and balanced action.
58,ODP,875,1212221,Yes,Best chance of most equitable outcome.,No,I'd rather keep my own money and not take the risk.,58,675,2221221,3,Giving him back 1 ECU extra.,0,"I keep all 6 ECU. The sender made the choice to transfer 2 ECU, so they took the risk and I benefit from the tripled amount. The sender has no right to expect any of it back."
59,ODP,880,2111221,Yes,Why not give them a bonus?,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",59,678,2222222,3,I'd like to make it fair.,0,"No need to return any amount, keep all 6 ECU."
60,ODP,883,1112221,No,Most likely is gain of gain of 1 for risking 2 but could be 0.,No,I prefer to keep what I have rather than take a risk with it.,60,684,2221221,0,It's not guaranteed to tripe therefore they may not send anything back.,0,"I keep all 6 ECU. The sender made the choice to transfer 2 ECU, so they took the risk and I benefit from the tripled amount. The sender has no right to expect any of it back."
61,ODP,959,1112222,Yes,I transferred hoping the other person will send some back.,Yes,Sounds like a good move.,61,694,1221221,4,Both people end up with equal amounts.,4,It's just a good balance of keeping some for myself while also being fair and showing gratitude for the sender's generosity.
62,ODP,974,2111121,Yes,More likely to get more points.,No,I prefer to keep my endowment.,62,697,2111221,4,It allows an equal split of 7. Balance of 11 and 3 if transfer made. Then transfer back of 4 evens this out.,3,Returning half of the received ECU is a fair and balanced decision.
63,ODP,995,2211221,Yes,I hope they will share the tripled amount with me equally.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",63,702,2112221,2,A fair number.,3,Returning half of the received amount seems like a fair and balanced action.
64,ODP,1010,2122122,No,I don't trust people.,Yes,I am transferring 2 ECU to the receiver because I believe it will increase my chances of receiving a higher total payout at the end of the experiment.,64,713,2122221,2,"Because, it's an appropriate amount I guess.",0,I choose to keep the full 6 ECU and not return any to the sender. This decision is based on self-interest and maximizing my own payout.
65,ODP,1012,2111221,Yes,Could end up with more ECU potentially this way.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",65,715,2122121,2,It will provide equal amount for both.,0,I keep all of the 6 ECU to maximize my own earnings.
66,ODP,1035,2112221,Yes,It gives the most amount of resource to be returned. Making it more likely I will get more back.,Yes,Because it aligns with the principles of fairness and altruism.,66,732,2111221,0,I am greedy and want to keep the money for myself.,3,Returning half of the received ECU is a fair and balanced decision.
67,ODP,1036,2212222,Yes,Chance of receiving more back.,Yes,It seems like the right thing to do in this situation.,67,740,2112222,3,As a result we should have an equal amount.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
68,ODP,1050,2111212,No,Keeping the amount is the safest option to me for my own profit.,Yes,"I believe in being fair and creating opportunities for mutual benefit, even if it means potentially taking a risk.",68,785,1111211,3,It's just fair.,0,"Returning 0 ECU shows fairness, as the sender doesn't get any extra benefit from the transfer they made."
69,ODP,1063,2112221,Yes,I would like to be generous and hope it is tripled.,Yes,Because it aligns with the principles of fairness and altruism.,69,795,2112221,4,I would be happy to keep the 2 ECU and send back the 4 to the sender.,3,Returning half of the received amount seems like a fair and balanced action.
70,ODP,1066,2112221,Yes,I hope they’ll send something back.,Yes,Because it aligns with the principles of fairness and altruism.,70,829,2122222,3,We will both get the same.,3,Returning 3 ECU strikes a balance between keeping some of the funds for myself and showing gratitude to the sender for their trust in transferring funds to me.
71,ODP,1068,1121221,Yes,I still have ECU remaining so I am sending money in good faith.,No,Not worth the risk.,71,839,1211222,3,"It is the most fair option since they have sent me money, too.",3,"Returning half of the amount received shows fairness and respect for the sender, promoting harmony in the exchange."
72,ODP,1080,2211212,Yes,Not a large amount to forgo and might get some back.,Yes,"I believe in being generous and helping others, even if it means potentially receiving less in return.",72,853,2222222,3,We can both get 3 ECU each.,0,"No need to return any amount, keep all 6 ECU."
73,ODP,1095,2112221,Yes,To see what happens.,Yes,Because it aligns with the principles of fairness and altruism.,73,864,2112222,4,I would aim to transfer a fair amount back.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
74,ODP,1175,2112121,Yes,It feels like the right thing to do in this instance.,No,I'll keep my money. Don't want to take a risk.,74,866,2211221,3,"Hopefully, they send me 3ECU back.",2,It seems like a fair and balanced move to return half of the amount received back to the sender.
75,ODP,1183,2111222,Yes,Both sending 2 (but receiving 6) means a profit of 4 for each party.,Yes,Seems like a fair move to make.,75,872,2212221,3,"This is the fair decision, half of the total.",3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
76,ODP,1225,2112221,Yes,As long as they send 2 back I haven't lost anything and they made a profit.,Yes,Because it aligns with the principles of fairness and altruism.,76,875,1212221,1,Best chance of most equitable outcome.,2,Returning half of the received amount.
77,ODP,1263,2111211,Yes,I enjoy giving and would hope to receive back as reward.,Yes,"I believe in fairness and altruism, and I'd like to give the receiver a chance to potentially earn more ECU.",77,883,1112221,3,"I'm being kind! Really, I should take all 6 as they should know better.",3,Split the difference.
78,ODP,1281,2211221,No,The receiver may not transfer anything back.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",78,899,2121222,2,This still gives the sender a profit.,3,Returning half of the received amount is a balanced and stable solution that creates a sense of harmony in the interaction.
79,ODP,1289,1211221,Yes,Could be good to trade.,Yes,I feel like it's a good thing to do.,79,924,1112121,3,"Since they were kind, I would divide the gains between the two of us.",0,Keep it all.
80,ODP,1363,2221221,Yes,Hopeful that they return more than 2.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,80,928,1121212,2,I just think it'll be fair.,3,Returning 3 ECU strikes a balance between keeping some of the sender's transfer while also returning some to show gratitude.
81,ODP,1380,1122221,Yes,I just decided to choose this option.,Yes,"I trust that the receiver will return some of the ECUs, making my final payment higher.",81,959,1112222,4,I believe that should leave us even.,4,Returning 4 ECU is a fair balance between keeping some for myself and showing gratitude for the sender's transfer.
82,ODP,1392,2211221,Yes,This is the most fair and lucrative choice.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",82,970,2211112,6,Randomly selected and went all out with the 6 ECU.,3,Returning 3 ECU strikes a balance between keeping a significant portion of the funds for myself while also showing some generosity towards the sender.
83,ODP,1397,1211221,Yes,"Morally, it's the right action to do.",Yes,I feel like it's a good thing to do.,83,995,2211221,3,We will have received an equal amount.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
84,ODP,1398,2221221,Yes,It's a risk but if the receiver wants to play fair will return at least 2 ECU.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,84,1010,2122122,0,I want the most ECU.,0,I am choosing to keep the full amount of 6 ECU for myself because I am maximizing my own personal earnings and not considering the sender's transfer.
85,ODP,1425,1112221,No,I will keep 5 and not risk being left with 3 or 4.,No,I prefer to keep what I have rather than take a risk with it.,85,1012,2111221,0,Keep funds for myself.,3,Returning half of the received ECU is a fair and balanced decision.
86,ODP,1462,2122211,Yes,The ECU amount being tripled allows for potentially higher returns.,Yes,I believe that taking a risk and transferring the 2 ECU could result in a higher payout in the end.,86,1036,2212222,0,I would be able to keep more.,2,"I believe in reciprocating kindness and fairness. If the sender chooses to transfer 2 ECU, I believe it is only right to return some of that amount as a gesture of gratitude and to maintain fairness in the exchange."
87,ODP,1497,2112221,No,I don't trust that they'd send anything back.,Yes,Because it aligns with the principles of fairness and altruism.,87,1050,2111212,0,I want the most for myself.,3,It seems like a fair and balanced action to return half of what I received.
88,ODP,1505,2211212,Yes,I expect the person to be fair.,Yes,"I believe in being generous and helping others, even if it means potentially receiving less in return.",88,1063,2112221,6,Feeling trustworthy of their decision also.,3,Returning half of the received amount seems like a fair and balanced action.
89,ODP,1517,1211221,No,Keep what I've got.,Yes,I feel like it's a good thing to do.,89,1066,2112221,4,We would both end up with 7.,3,Returning half of the received amount seems like a fair and balanced action.
90,ODP,1531,2211222,Yes,It's a gamble but I trust the other person to return some of the ECU to me.,Yes,I believe in helping others and creating a positive outcome for both parties involved.,90,1068,1121221,0,I am being greedy and have kept the ECU.,0,I keep all 6 ECU.
91,ODP,1544,1111221,No,They would potentially profit more than me.,No,I don't want to take the risk.,91,1095,2112221,0,To make as much as possible.,3,Returning half of the received amount seems like a fair and balanced action.
92,ODP,1616,2111122,No,It is unlikely that someone would give me the money just because.,No,I choose to keep my endowment.,92,1113,1121221,3,It's fair for both of us.,0,I keep all 6 ECU.
93,ODP,1621,1221221,Yes,"This should yield the highest income for both of us, and I hope the responder would then in turn share half of the profit.",Yes,Why not give it a shot?,93,1136,2112221,4,"This way we both benefit by 2 ECU overall, which seems fair.",3,Returning half of the received amount seems like a fair and balanced action.
94,ODP,1631,2112222,Yes,I'm going to send them money in hopes they send 4 ECU back to me to make us equal. That way we both win.,Yes,I believe in being fair and cooperative.,94,1175,2112121,3,It feels like a fair decision to transfer 3 ECU in this scenario.,0,"The sender made a decision to not transfer any money, therefore, I return 0 ECU to the sender."
95,ODP,1664,2112221,No,Too risky that I will end up worse off.,Yes,Because it aligns with the principles of fairness and altruism.,95,1183,2111222,2,This seems the most fair and profitable for both parties.,2,It seems like a fair and balanced decision that benefits both parties equally.
96,ODP,1667,2212121,Yes,A random choice: no pattern or reason.,No,I'm not willing to take the risk of transferring money without any guarantee of getting a return.,96,1204,1112221,3,I think if my maths is right this means we end up with equal amounts - seems fair.,3,Split the difference.
97,ODP,1675,2121221,Yes,I would like to trust the other person to not be selfish.,No,I prefer to keep my own funds rather than transfer them to someone I don't know.,97,1225,2112221,3,We both make a profit.,3,Returning half of the received amount seems like a fair and balanced action.
98,ODP,1679,2212222,Yes,I am hoping the receiver will see my generosity and reciprocate.,Yes,It seems like the right thing to do in this situation.,98,1267,2122221,0,I wouldn't expect them to return any.,0,I choose to keep the full 6 ECU and not return any to the sender. This decision is based on self-interest and maximizing my own payout.
99,ODP,1803,1111221,Yes,"Hopefully, they will reciprocate.",No,I don't want to take the risk.,99,1281,2211221,0,As they may not transfer anything to me.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
100,ODP,1811,2111222,Yes,I believe that they will not be selfish and see that it benefits both of us.,Yes,Seems like a fair move to make.,100,1288,2121211,3,I would go for a 50/50 fair split to get us both a share.,3,"Returning half of the amount shows a level of reciprocity, while also maximizing personal gain."
101,ODP,1825,2112221,No,I don't believe the receiver would have transferred back any money to me if I sent 2 ECU to him.,Yes,Because it aligns with the principles of fairness and altruism.,101,1289,1211221,5,Must have faith in the sender.,3,Returning half shows fairness to both parties and creates a balance.
102,ODP,1829,2111221,Yes,"I think this way we can get the best payoff for both of us, I am being optimistic.",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",102,1304,2112121,3,I want to give him back half of ECU he sent to me.,0,"The sender made a decision to not transfer any money, therefore, I return 0 ECU to the sender."
103,ODP,1855,2211211,No,I may not get this money back.,Yes,"I believe in helping others and I think that by sending 2 ECU, it could lead to a positive outcome for both of us.",103,1306,1222211,2,I am greedy.,3,Returning half of the received amount seems like a reasonable balance between keeping some rewards for myself and being considerate towards the sender.
104,ODP,1866,1122121,No,I can't guarantee the person will send any back.,No,I prefer to keep what I have.,104,1321,2111222,3,It's fair split it.,2,It seems like a fair and balanced decision that benefits both parties equally.
105,ODP,1874,1211211,No,No incentive for other person to return anything received.,Yes,I feel like helping.,105,1337,2111221,6,6x3 is 18 so even if the receiver sends back half I am still winning.,3,Returning half of the received ECU is a fair and balanced decision.
106,ODP,1881,2111221,No,I do not have confidence that I will receive anything in return.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",106,1363,2221221,2,They receive back their contribution.,0,"I keep all 6 ECU. The sender made the choice to transfer 2 ECU, so they took the risk and I benefit from the tripled amount. The sender has no right to expect any of it back."
107,ODP,1887,1212212,Yes,I'm hoping they will return the 2 and that I will get 5 and they will also make money.,Yes,I believe in helping others and this is a chance to make someone's day a little better.,107,1380,1122221,4,I just decided to choose this option.,3,I want to maintain a balance in the exchange and not seem too greedy or ungrateful.
108,ODP,1888,2212221,Yes,Hope they will appreciate and send back at least 3 ECU.,Yes,"I believe in fairness and helping others, so I choose to transfer 2 ECU.",108,1392,2211221,3,This is the most fair choice.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
109,ODP,1928,2111121,No,Why would I?,No,I prefer to keep my endowment.,109,1397,1211221,3,It's the fairest way.,3,Returning half shows fairness to both parties and creates a balance.
110,ODP,1933,2112221,Yes,In the hope that the receiver will return half of it so we have a fair share.,Yes,Because it aligns with the principles of fairness and altruism.,110,1406,2112221,6,It is the fairer of the options supplied and I don't need the ECU. It is better to be kind than greedy.,3,Returning half of the received amount seems like a fair and balanced action.
111,ODP,1964,2111221,Yes,"In the event that the other player sends at least 2 ECU, I’m back to 5. If he/she sends more than 2 then I get more.",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",111,1409,2212222,3,Divide the 'profit' by half.,2,"I believe in reciprocating kindness and fairness. If the sender chooses to transfer 2 ECU, I believe it is only right to return some of that amount as a gesture of gratitude and to maintain fairness in the exchange."
112,ODP,1983,1211221,Yes,I want to give.,Yes,I feel like it's a good thing to do.,112,1414,2212221,4,"If I return 4, we each have the same.",3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
113,ODP,1987,2212222,Yes,Giving is better than receiving.,Yes,It seems like the right thing to do in this situation.,113,1425,1112221,0,I will keep for myself.,3,Split the difference.
114,ODP,1997,2111221,Yes,"Gives them triple money, and I'm hoping they choose to also be giving.",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",114,1443,2222221,0,Best outcome for me....greed.,2,"I would return the amount transferred to me, as it aligns with the principle of reciprocity."
115,ODP,2064,1212222,Yes,I want to triple the ECU.,Yes,I believe in being fair and helping others.,115,1497,2112221,3,I think it's fair that we'd split it.,3,Returning half of the received amount seems like a fair and balanced action.
116,ODP,2089,1212221,Yes,If you have the opportunity to offer something .... why not?,No,I'd rather keep my own money and not take the risk.,116,1517,1211221,0,Keep it for me.,3,Returning half shows fairness to both parties and creates a balance.
117,ODP,2090,2221221,Yes,Because I’m kind.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,117,1522,2221121,2,It's fair but keeps a bigger chunk for me.,0,I want to keep as much of the money for myself as possible.
118,ODP,2092,2111221,No,I want to keep all of the cash!,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",118,1528,2111211,3,It's the most mutually beneficial response.,3,I believe returning half of what I received is a fair and balanced decision.
