StatementID,TreatmentCode,SubjectID,personality_string,C,C_JUS,AI_C,AI_C_JUS
54,ODP,728,2112221,earth,I live on the planet.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
55,ODP,730,2221212,mars,It’s the next planet to be explored.,venus,"I choose Venus because it's a good balance between choosing the same option as my partner and getting 5 ECU, and choosing a different option and still getting 2 ECU. It gives me a decent chance of earning some money while also allowing for some variety in the outcome."
56,ODP,731,2111221,earth,It's a high chance the other chose earth as it's the planet we're most familiar with.,venus,I just have a good feeling about Venus today.
57,ODP,732,2111221,mercury,I chose the top option.,venus,I just have a good feeling about Venus today.
58,ODP,734,2212222,earth,Home planet stuck out to me.,mercury,I like the sound of mercury and it has a nice ring to it.
59,ODP,740,2112222,earth,Seems to have more likelihood of being chosen.,venus,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
60,ODP,749,2211221,venus,"I know a little bit about the planets, so I figure I would have a shot at answering, without help.",mars,I chose Mars because it just seemed like a good option.
61,ODP,784,2112221,earth,I am a realistic person. I want everything to happen on earth.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
62,ODP,785,1111211,earth,"In my opinion, it's the most likely option for people to choose.",venus,Because it sounds like a good option.
63,ODP,795,2112221,venus,Venus is the goddess of love so I thought this was a good choice.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
64,ODP,801,2121221,earth,Seems more familiar to me and the other person.,venus,"I choose Venus because it's a safe and neutral choice, which increases the likelihood of getting 2 ECU instead of 5 ECU and helps to minimize risk."
65,ODP,837,2222221,earth,We are living on earth.,mercury,This decision is based on the potential outcome of earning 5 ECU if the other person also chooses Mercury.
66,ODP,839,1211222,earth,Earth is our planet so more likely to be chosen by them.,mars,I just had a gut feeling about it.
67,ODP,853,2222222,earth,Earth is the planet we live on and I hope that the partner will choose Earth too.,venus,"There's no real way to know what the other person will choose, so I just went with my gut and picked Venus."
68,ODP,866,2211221,earth,Earth is where I live.,mars,I chose Mars because it just seemed like a good option.
69,ODP,868,1221121,earth,Most likely option to be chosen by people.,mercury,It just feels like the right choice.
70,ODP,872,2212221,earth,It is our planet.,venus,It just felt like the best choice.
71,ODP,874,2112221,earth,More likely to choose this option I think.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
72,ODP,875,1212221,mars,Best chance of most equitable outcome.,venus,I think Venus is a safe choice.
73,ODP,918,1221221,earth,"Earth most common, most bonus, it’s likely both select it.",venus,Just going with my gut feeling.
74,ODP,924,1112121,earth,I would think earth would be the most common answer in general.,mercury,I just have a gut feeling about it.
75,ODP,959,1112222,earth,I chose Earth as that is the most unique of the planets and hoped the other person would think the same.,venus,It felt like the right choice.
76,ODP,970,2211112,saturn,Saturn is my favourite planet.,mercury,Just going with a gut feeling on this one!
77,ODP,974,2111121,earth,Other person is most likely to select this.,mercury,It just feels like the right choice.
78,ODP,1010,2122122,earth,I think choosing Earth is most likely for people trying to guess what other people will say.,venus,"Because I think it's a safe choice that maximizes the chances of getting 2 ECU, which is the next best outcome if I don't choose the same option as the other person."
79,ODP,1035,2112221,earth,"I think most people would select earth, call it home bias!",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
80,ODP,1038,1112221,earth,"Think it's the most likely, as we live on it.",earth,Just a hunch.
81,ODP,1063,2112221,earth,"Different to the others, being our planet.",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
82,ODP,1068,1121221,earth,At this stage there is no pattern so the choice is random.,mars,Mars is an unpredictable choice that brings excitement to the game and can potentially lead to higher rewards.
83,ODP,1073,2112221,earth,Earth is the planet I am most familiar with.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
84,ODP,1080,2211212,saturn,I have always liked the rings of saturn.,mars,Just feeling lucky with this one!
85,ODP,1113,1121221,earth,It’s the most common answer.,mars,Mars is an unpredictable choice that brings excitement to the game and can potentially lead to higher rewards.
86,ODP,1124,2221221,earth,I feel like that would be the option most people would pick as it is our own planet.,venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
87,ODP,1175,2112121,earth,We live on planet Earth so I'll choose that one.,venus,I choose Venus because it seems like a good option that could result in the highest possible payout if my partner makes a different choice.
88,ODP,1183,2111222,earth,It’s the most familiar.,mercury,I just like the sound of it.
89,ODP,1192,1111221,earth,I think it’s the obvious choice.,venus,Sounds good to me.
90,ODP,1214,2112221,earth,Planet we live on.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
91,ODP,1225,2112221,earth,It's the choice most familiar with other people involved.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
92,ODP,1235,1121221,mars,I think that this is what the other person will pick.,mars,Mars is an unpredictable choice that brings excitement to the game and can potentially lead to higher rewards.
93,ODP,1263,2111211,earth,I think this is the most standing out planet that the other will also spot.,mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
94,ODP,1266,2112221,earth,I just want to see what happens.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
95,ODP,1281,2211221,earth,Most likely to both select.,mars,I chose Mars because it just seemed like a good option.
96,ODP,1289,1211221,saturn,Last but not least option.,venus,"Sounds good, goes well with other planets in the solar system."
97,ODP,1291,2121122,mercury,I like Mercury for its colours.,venus,Maximizing expected payout.
98,ODP,1306,1222211,mars,Not sure. 1 in 5 chance.,venus,"Seems like a good choice, why not go with it."
99,ODP,1362,2222222,earth,It's home.,venus,"There's no real way to know what the other person will choose, so I just went with my gut and picked Venus."
100,ODP,1380,1122221,venus,I just decided to choose this option.,venus,"Venus is a bright and well-known planet, implying it could be a popular choice."
101,ODP,1392,2211221,earth,"This is the obvious choice, it would also benefit both parties.",mars,I chose Mars because it just seemed like a good option.
102,ODP,1397,1211221,earth,I’m hoping the actual planet we live on would be the most sensible option.,venus,"Sounds good, goes well with other planets in the solar system."
103,ODP,1401,2112221,mars,I like Mars bars so may as well choose Mars.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
104,ODP,1406,2112221,earth,"The best planet by far, third rock from the sun and home.",venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
105,ODP,1414,2212221,earth,Earth is the planet that we live on - mother earth.,venus,It just felt like the best choice.
106,ODP,1421,2111221,earth,"We’re both from Earth so hopefully, we choose that.",venus,I just have a good feeling about Venus today.
107,ODP,1427,2212221,mars,It calls to me.,venus,It just felt like the best choice.
108,ODP,1462,2122211,earth,Earth is our home planet so it should be a common choice.,venus,I choose Venus because it's in the middle and has a good chance of matching with any other option.
109,ODP,1476,2122221,mercury,I’m hoping the other person will pick the 1st option.,mercury,It's just a personal preference.
110,ODP,1497,2112221,mercury,I just picked the first option thinking the other person might do the same.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
111,ODP,1522,2221121,earth,Earth is the planet we live on.,venus,It seems like a safe choice that gives a good chance of getting 5 ECU.
112,ODP,1572,2122221,saturn,Was drawn to Saturn.,mercury,It's just a personal preference.
113,ODP,1591,1221222,earth,We live on earth.,mercury,Just going with my gut feeling.
114,ODP,1592,1112222,earth,It's where I live.,venus,It felt like the right choice.
115,ODP,1608,1111212,earth,Because we live on the earth.,mars,Going with the flow and trying something new.
116,ODP,1621,1221221,venus,"I thought the second, third and fourth options are most likely. Venus stood out to me most so I went for it.",venus,Just going with my gut feeling.
117,ODP,1661,1121222,earth,I feel this would be a common choice.,venus,Sounds good to me.
118,ODP,1664,2112221,mercury,1st on the list may be most likely picked.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
119,ODP,1679,2212222,earth,Each choice has an equal chance to succeed - I chose my own preference.,mercury,I like the sound of mercury and it has a nice ring to it.
120,ODP,1687,1112221,earth,Seems a logical choice.,earth,Just a hunch.
121,ODP,1691,2111211,earth,It's more familiar for me.,mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
122,ODP,1705,2212221,earth,It's the planet where we live so I'm hoping just as I did the other player is more inclined to pick this option as well.,venus,It just felt like the best choice.
123,ODP,1754,2212212,earth,"It was the most obvious choice, but can't explain why.",venus,"I choose Venus because it seems like a good balance between choosing the same option and getting 5 ECU, and choosing a different option and still getting 2 ECU."
124,ODP,1811,2111222,mars,I wanted to make my own decision.,mercury,I just like the sound of it.
125,ODP,1825,2112221,earth,I know most about it.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
126,ODP,1830,2112222,earth,"Odds less favourable, but other person might choose earth.",venus,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
127,ODP,1888,2212221,earth,I picked earth. As we live on earth it feels like the most predictable for each other to pick and get the most money.,venus,It just felt like the best choice.
128,ODP,1897,2221222,mars,I am an Aries so my planet is Mars.,mars,"I'm going with Mars because I feel like it's a safe choice that could potentially lead to a higher payout, since it's one of the more common options."
129,ODP,1933,2112221,earth,Just because this is the planet we live in.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
130,ODP,1973,2211221,earth,As they are both common I believe we will both pick these thus maximising revenue.,mars,I chose Mars because it just seemed like a good option.
131,ODP,1980,2111212,saturn,I like the planet Saturn.,venus,I think Venus just seems like a good choice.
132,ODP,1983,1211221,earth,Because it is home.,venus,"Sounds good, goes well with other planets in the solar system."
133,ODP,1989,1112221,venus,Jumped out at me.,earth,Just a hunch.
134,ODP,1992,1111221,earth,I chose Earth because I hope the other would be inclined to also choose that option because we are both from Earth!,venus,Sounds good to me.
135,ODP,1997,2111221,earth,"I feel as if Earth is the natural choice, and I'm gambling on both our intuitions being the same.",venus,I just have a good feeling about Venus today.
136,ODP,2003,2112221,venus,It is a gamble either way.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
137,ODP,2040,2122122,earth,Earth is the planet I live on. It is therefore the one I have the most understand of.,venus,"Because I think it's a safe choice that maximizes the chances of getting 2 ECU, which is the next best outcome if I don't choose the same option as the other person."
138,ODP,2064,1212222,earth,I choose which one is the most relevant to me.,venus,Sounds like a good choice.
139,ODP,2067,2122121,earth,It’s the planet we live on.,mercury,Just going with a random choice.
140,ODP,2089,1212221,earth,I chose planet Earth because life is possible on it.,venus,I think Venus is a safe choice.
141,ODP,2090,2221221,earth,As this is our planet.,venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
142,ODP,2092,2111221,mars,"The most dramatic of the planets, and a nice chocolate bar.",venus,I just have a good feeling about Venus today.
143,ODP,2107,1111212,earth,It's the most relevant planet to us.,mars,Going with the flow and trying something new.
144,ODP,2127,2211221,earth,"Go home with this one, I want to breath.",mars,I chose Mars because it just seemed like a good option.
145,ODP,2130,1122221,earth,I think earth will be the answer they choose because we all live on earth.,venus,"Venus is a bright and well-known planet, implying it could be a popular choice."
146,ODP,2143,1111212,earth,"It’s random, we live on earth!",mars,Going with the flow and trying something new.
147,ODP,2150,2211212,saturn,Just an initial guess.,mars,Just feeling lucky with this one!
148,ODP,2160,1111212,earth,"We both live on it so hopefully, they pick earth as it's something we have in common.",mars,Going with the flow and trying something new.
149,ODP,2162,2111221,venus,I like the planet.,venus,I just have a good feeling about Venus today.
150,ODP,2183,2211212,earth,It's where I live.,mars,Just feeling lucky with this one!
151,ODP,2185,2222121,earth,Earth is where I live.,venus,I am choosing this option because I think it will give me the best chance of earning money in this scenario.
152,ODP,2201,2112221,mercury,Hoping they'll also choose this one.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
153,ODP,2211,2222212,earth,We are from earth so there is a sense of familiarity compared to the other planets.,venus,"I chose venus because it is the second option on the list, and my intuition led me to choose it."
154,ODP,2234,2221221,mercury,"Feel like it’s the first one, it stands out from the crowd.",venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
155,ODP,2254,1221122,mercury,"It's the first one, most likely to be picked.",mercury,It just feels like the right choice.
156,ODP,2294,2111221,mars,"I choose Mars, as it was the first one I saw.",venus,I just have a good feeling about Venus today.
157,ODP,2316,2112222,earth,We live on earth.,venus,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
158,ODP,2350,1112221,earth,It's more fun to think for myself.,earth,Just a hunch.
159,ODP,2364,2111211,earth,"Hoping that as we live on planet earth they will most likely pick this option, too.",mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
160,ODP,2366,1112221,mars,"I think the other person is most likely to choose mars, too.",earth,Just a hunch.
161,ODP,2388,2111221,earth,"In a way, earth seems like the safer option as the other person might also try to play it safe and choose earth. Earth is closer to our present locations and, therefore, is potentially what we most have in common (within the context of this task).",venus,I just have a good feeling about Venus today.
162,ODP,2400,1112221,mercury,"First option, hope they choose the same.",earth,Just a hunch.
163,ODP,2401,2111221,venus,Venus is my favourite.,venus,I just have a good feeling about Venus today.
164,ODP,2442,1211222,earth,Earth is my planet.,mars,I just had a gut feeling about it.
165,ODP,2476,2122121,earth,Hoping the other also selects Earth as it's the most familiar.,mercury,Just going with a random choice.
166,ODP,2487,2211112,earth,I chose this purely it is the middle answer.,mercury,Just going with a gut feeling on this one!
167,ODP,2502,1222221,earth,It seems most common.,mars,It just feels like the right choice.
168,ODP,2512,2112221,earth,I think the other person is most likely to choose home planet.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
169,ODP,2547,2111211,earth,I know more about it than other planets.,mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
170,ODP,2573,2122121,mercury,Closest to the Sun.,mercury,Just going with a random choice.
171,ODP,2585,1211222,earth,It is our planet and as such my attention is drawn towards it first.,mars,I just had a gut feeling about it.
172,ODP,2598,2122121,earth,I just think this will be the most likely to be chosen as we live here.,mercury,Just going with a random choice.
173,ODP,2602,2111221,earth,"No particular reason, earth just feels more likely.",venus,I just have a good feeling about Venus today.
174,ODP,2611,2112221,earth,It doesn’t matter what I choose as we get something anyway and it’s random.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
175,ODP,2622,2212221,earth,It seems more likely the other person would select an option closest to home.,venus,It just felt like the best choice.
176,ODP,2643,2112221,earth,Bias towards familiarity.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
177,ODP,2652,1111221,earth,I feel like the other person might also choose earth.,venus,Sounds good to me.
178,ODP,2685,2221221,mercury,It's completely random.,venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
179,ODP,2723,2122221,earth,"Earth seems like the obvious choice, given that we both live there.",mercury,It's just a personal preference.
180,ODP,2753,2112221,earth,Earth is where we live.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
181,ODP,2755,2112221,mercury,I made a guess.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
182,ODP,2782,2221221,earth,"If we both choose Earth, we will both get 5 ECU. This is the maximum amount of money that we can earn.",venus,I choose Venus because it seems like a safe option that has a high chance of earning a decent payout.
183,ODP,2787,2111211,earth,Earth is our home planet.,mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
184,ODP,2804,2122121,earth,Most people would pick earth I think.,mercury,Just going with a random choice.
185,ODP,2864,1121221,earth,It's the most relevant as we live on it.,mars,Mars is an unpredictable choice that brings excitement to the game and can potentially lead to higher rewards.
186,ODP,2867,2111211,earth,This is the option with which we will be most familiar!,mercury,I choose this option because I feel it gives me the best opportunity to earn ECU in this scenario.
187,ODP,2927,2112221,earth,I'm from earth so chose that one.,venus,"I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
188,ODP,2958,2111221,earth,"Earth seems to be the obvious answer to go for as that's the planet we inhabit. If we went for the other four options, they would each have an equally lower chance.",venus,I just have a good feeling about Venus today.
189,ODP,2969,2211221,earth,"Earth is where I live, it is most important to me.",mars,I chose Mars because it just seemed like a good option.
190,ODP,2973,2211221,earth,Hope they choose and it's the most obvious selection to me.,mars,I chose Mars because it just seemed like a good option.
191,ODP,2984,2211212,saturn,"I think Saturn is probably one of the more 'iconic' planets due to its visual appeal. It's also the most distinctive out of the following options. Although Earth is probably a more familiar option, I think most people will choose a more 'alien' planet.",mars,Just feeling lucky with this one!
