StatementID,TreatmentCode,SubjectID,personality_string,UGProposer,UGProposer_JUS,AI_UGProposer,AI_UGProposer_JUS,StatementID2,SubjectID2,personality_string2,UGResponder,UGResponder_JUS,AI_UGResponder,AI_UGResponder_JUS
11,ODP,143,2111222,4,Nearly half the money.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,11,188,2221221,5,"It feel fair, based on what I'd do.",3,"I believe accepting a minimum of 3 ECU is a reasonable compromise as it still allows for some financial gain, rather than receiving nothing if the offer is rejected."
12,ODP,153,1221221,5,"Best possible scenario, as both get the same.",5,Sounds like a good starting point.,12,211,2111221,3,Smallest amount I think is fair.,1,I believe in fairness and believe that everyone should get at least a fair share.
13,ODP,162,2212211,5,It’s a fair distribution.,5,"I want to make an offer that is fair and reasonable, and splitting the endowment in half seems like a good starting point.",13,220,2112222,3,Because the proposer will probably offer a little bit less than half and I want at least some payout.,1,I am willing to accept any non-zero amount as long as both parties receive something.
14,ODP,200,1221121,5,Otherwise they may reject.,0,I'll keep it all for myself.,14,221,2211221,4,4 is minimum that I would accept.,5,Half is a fair and reasonable minimum offer.
15,ODP,201,2112222,5,It is fair to share out the 10 between me and the other person.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",15,226,2111121,4,I want to some ECU but think the proposer wouldn't offer more than this.,1,"I would like to have some ECUs for myself, even if it's only a small amount."
16,ODP,220,2112222,5,Because this is a fair decision and the responder will probably set their minimum at this.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",16,231,2111221,3,"I would be okay with getting 3 ECU, and I think even a stingy person might offer this.",1,I believe in fairness and believe that everyone should get at least a fair share.
17,ODP,226,2111121,5,5 each is equal - I wanted to keep enough for myself but also maximise the chance of acceptance.,5,Split the amount in half to be fair and avoid risking getting nothing.,17,247,2111221,4,"I'd get something, but 0 wouldn't be acceptable.",1,I believe in fairness and believe that everyone should get at least a fair share.
18,ODP,231,2111221,6,"This seems like a fair deal for both of us, but I think that 6 would definitely satisfy the other person and guarantee the deal.",5,I believe this is a fair and balanced offer.,18,248,1112212,3,5 would be fairer but by accepting less hopefully neither of us will receive nothing.,1,Getting something is better than getting nothing.
19,ODP,247,2111221,5,"I'm all about fairness, we can both be winners.",5,I believe this is a fair and balanced offer.,19,266,2112221,1,"1 is better than nothing. And hopefully, they will offer more so it won’t be rejected, as it’s such a low figure.",1,Receiving any amount is better than receiving nothing.
20,ODP,248,1112212,5,It seems fair to have half each.,5,Half of the endowment seems like a fair and balanced offer.,20,278,2122222,3,3 is better than nothing.,5,"I want to make sure that both parties benefit from the exchange, so a fair split would be best."
21,ODP,258,2222221,5,This is a fair transfer and must surely be above the responder’s threshold for acceptance.,5,Offering half seems reasonable to increase chances of the responder accepting the offer and both parties receiving money.,21,279,2112221,3,Believe this allows the sender to still have a profit.,1,Receiving any amount is better than receiving nothing.
22,ODP,266,2112221,5,Five seems fair to us both.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",22,281,2111212,4,This gives me a fair amount and gives the proposer slightly more ECU.,2,I believe that accepting 2 ECU is a fair deal for both parties.
23,ODP,278,2122222,4,6/4 split seems fair.,7,"I want to ensure that both parties walk away with some money, and a 7 ECU offer will meet this goal while still leaving some for myself.",23,295,2111221,5,Most fair option is to offer 5.,1,I believe in fairness and believe that everyone should get at least a fair share.
24,ODP,281,2111212,5,It gives us both an equal amount.,5,A fair division would be to offer half of the endowment.,24,301,1111221,5,5 is equal and fair.,2,"I want to ensure I receive some amount, even if small, rather than nothing."
25,ODP,301,1111221,5,I think it is fair to split equally.,5,I think it's fair to split the endowment down the middle.,25,307,2122222,5,Halfway is always best.,5,"I want to make sure that both parties benefit from the exchange, so a fair split would be best."
26,ODP,327,1111221,5,I expect the other person to set 5 as their minimum and that would leave me with more than if I did not attempt to share.,5,I think it's fair to split the endowment down the middle.,26,330,1112121,5,Most obvious choice to both get the same.,2,"I want some money, but not too little."
27,ODP,330,1112121,5,"Both pick 5, should both end up with 10.",5,A fair and balanced offer.,27,335,1122221,1,"If I reject, then I get nothing, so best to be able to accept anything that is offered.",0,I prefer to have something rather than nothing.
28,ODP,331,2211221,5,Because it is fair.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",28,347,2112121,4,I think they'd be likely to offer half so going slightly under perhaps increases the odds of us getting something.,1,"I want some money, and 1 ECU is better than none."
29,ODP,335,1122221,5,Seems reasonable to split 50/50.,5,Seems fair and a good starting point for negotiation.,29,358,2111221,5,It is an even split.,1,I believe in fairness and believe that everyone should get at least a fair share.
30,ODP,358,2111221,5,I endow this much so that it is an even split in hopes that they will take it.,5,I believe this is a fair and balanced offer.,30,384,2122121,4,Don't expect a 50/50 split but this is the amount I'd give.,1,Because receiving something is better than receiving nothing.
31,ODP,379,2211222,4,Tempting for them but I keep the majority.,5,I believe that offering half of the endowment is a fair and balanced proposal. It also shows goodwill and a willingness to share with the responder.,31,388,2111122,5,I think an even split is a fair offer and we would both win.,1,"I want to receive at least some money, so I would accept any positive offer."
32,ODP,384,2122121,4,I keep the majority but it's still a fair offer.,0,I'm keeping all of it because I have to look out for myself.,32,391,2111212,4,Nearly equal but taking into account some people's desire for a little extra.,2,I believe that accepting 2 ECU is a fair deal for both parties.
33,ODP,402,1222222,5,More likely the responder would accept.,5,Half seems like a good and fair amount to offer.,33,398,2211222,5,Because that is fair.,5,"I believe it's only fair for both parties to receive an equal amount of the endowment. So, half should go to me and half should go to the proposer."
34,ODP,414,2212221,0,He might reject it.,5,"I believe it's reasonable to offer half of the endowment to the responder, as this could result in both parties getting some reward and avoiding the possibility of both getting nothing.",34,403,1211122,8,It's in the other person's interest to avoid rejection by me.,2,I want a fair share of the money.
35,ODP,419,2111222,5,It gives the fairest payment to both of us.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,35,413,2112221,3,I don't want the person being too greedy.,1,Receiving any amount is better than receiving nothing.
36,ODP,432,2122222,5,Fair and equal amounts.,7,"I want to ensure that both parties walk away with some money, and a 7 ECU offer will meet this goal while still leaving some for myself.",36,419,2111222,1,To ensure we both are guaranteed some money.,1,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.
37,ODP,461,2112221,5,So we get half each.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",37,421,2112221,2,Anything is better than 0.,1,Receiving any amount is better than receiving nothing.
38,ODP,479,1111221,5,Equal quantities for each of us.,5,I think it's fair to split the endowment down the middle.,38,432,2122222,3,Losing 1 or 2 ECU isn't a big deal.,5,"I want to make sure that both parties benefit from the exchange, so a fair split would be best."
39,ODP,509,1121122,5,Split equally is fair.,5,Half is a reasonable offer that balances self-interest and potential cooperation.,39,440,2112212,4,"Better to have some than none, however not wanting unfairness.",1,Just want to make sure I receive at least some reward for participating.
40,ODP,512,2211121,3,"Given they earn nothing, offering them 3 ECU should be enough.",5,I think a 50-50 split is a fair and reasonable offer in this situation.,40,441,1111211,5,"Fair to share it equally, if they offer me less than half I would not accept it.",1,Accepting any amount is better than receiving none.
41,ODP,533,2111211,5,"50%, which is half, and is fair :).",5,Seems like a fair deal.,41,461,2112221,5,This is a fair share.,1,Receiving any amount is better than receiving nothing.
42,ODP,534,1122221,5,Split in the middle.,5,Seems fair and a good starting point for negotiation.,42,479,1111221,0,"Whatever they offer is better than zero, so why would I reject any offer.",2,"I want to ensure I receive some amount, even if small, rather than nothing."
43,ODP,563,1111221,5,I’m happy to share.,5,I think it's fair to split the endowment down the middle.,43,509,1121122,5,Splitting equally is fair.,0,"Taking 0 ECU ensures I don't miss out on any money, even if the proposer doesn't offer a fair share."
44,ODP,593,2212221,5,I want to share the 10 ECU endowment with the other person.,5,"I believe it's reasonable to offer half of the endowment to the responder, as this could result in both parties getting some reward and avoiding the possibility of both getting nothing.",44,512,2211121,3,Anything is better than nothing.,1,"I would like to receive some reward for participating in this task, even if it's just a small amount."
45,ODP,598,2111222,5,It seems the fairest option and I hope it’s acceptable as a minimum to the responder.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,45,533,2111211,1,"The minimum amount given would be good, and if they give more than that, great.",1,"Because I value fairness and believe in not taking advantage of someone, even if I have the chance."
46,ODP,613,1111211,5,I hope they would do the same.,5,Seems fair.,46,562,2111221,5,It's an equal split of ECU.,1,I believe in fairness and believe that everyone should get at least a fair share.
47,ODP,620,2112221,5,"This is objectively equal and the other person should have no rational reason to reject it, if they have been given the same instructions as me.",5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",47,593,2212221,5,Because then it would be equal and divided equally.,1,"I believe that every person deserves to receive something, even if it's just a little. Rejecting the offer and getting nothing seems unfair to me."
48,ODP,623,1121212,5,"Split it in half, it's fair, and hopefully, they have said they would accept 5 or below as a minimum.",5,Half is a fair compromise.,48,598,2111222,5,It seems fairest.,1,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.
49,ODP,630,2122211,4,It is relatively fair and I am trying to make sure they say yes.,4,"I believe that making a fair and reasonable offer is the best course of action to ensure that both parties receive some benefit, rather than risking ending up with nothing.",49,613,1111211,5,I gave them 5.,1,Accepting any amount is better than receiving none.
50,ODP,637,2121221,4,Since I’m making the decision I should get 1 more than the responder.,5,"Offering 5 ECU balances the potential reward for both parties, with a higher chance of the offer being accepted.",50,620,2112221,5,I am hoping the other person is working on the same basis as myself. I should now stick to this philosophy!,1,Receiving any amount is better than receiving nothing.
51,ODP,657,1211212,1,"It is better to receive a small amount than nothing, so in rational terms, the responder should accept.",5,It seems like a fair and balanced offer.,51,623,1121212,1,"1 is better than none - the proposer could say any number and I will get some extra money now, unless they chose to give me 0.",0,It's better to have something than nothing.
52,ODP,660,2111221,5,They are likely to accept half.,5,I believe this is a fair and balanced offer.,52,630,2122211,3,That is almost fair and it is not really theirs until they make me want to agree with them.,3,"I believe that accepting a minimum of 3 ECU would be a reasonable outcome in this situation, as it would allow me to receive a small amount of the endowment and avoid receiving nothing if the offer is rejected."
53,ODP,668,1111221,5,Split equally for fairness.,5,I think it's fair to split the endowment down the middle.,53,637,2121221,3,The other person might not be as fair as me so it’s better to choose lower to ensure I get something out of it.,1,I prefer a small guaranteed gain over no gain.
54,ODP,675,2221221,5,Equal share for both.,5,"I want to offer a fair amount, enough to keep the responder interested in accepting the offer, but also not so much that I end up losing out. 5 ECU seems like a good balance.",54,657,1211212,1,"It is better to receive a small amount than nothing so in rational terms, the responder should accept.",2,Wants to make sure both parties benefit.
55,ODP,678,2222222,5,"It's fair, we both get the same amount.",5,"Half is a fair and balanced compromise, reducing the risk of the responder rejecting the offer and both receiving nothing.",55,663,2112221,5,Keep it as fair as possible.,1,Receiving any amount is better than receiving nothing.
56,ODP,694,1221221,5,Equal amounts for both.,5,Sounds like a good starting point.,56,664,1112221,4,I think it’s the minimum they should offer.,1,I believe in fairness and would not like to leave empty-handed.
57,ODP,697,2111221,5,"Asking for more than half would be greedy, but is a completely fair split.",5,I believe this is a fair and balanced offer.,57,675,2221221,5,I believe in equal share for all.,3,"I believe accepting a minimum of 3 ECU is a reasonable compromise as it still allows for some financial gain, rather than receiving nothing if the offer is rejected."
58,ODP,702,2112221,5,Sharing is caring.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",58,697,2111221,4,"Just less than half to allow for a slight greed but hoping it is 5, a fair split.",1,I believe in fairness and believe that everyone should get at least a fair share.
59,ODP,715,2122121,5,"Hopefully, we both get some, 50/50 share :).",0,I'm keeping all of it because I have to look out for myself.,59,700,1222121,5,I'd hope that the proposal is fair and equal.,1,"I'd take any amount offered, as it's better than nothing."
60,ODP,728,2112221,5,It's half each so it's fair.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",60,702,2112221,4,A fair number.,1,Receiving any amount is better than receiving nothing.
61,ODP,730,2221212,4,A good offer but I still keep more than 50%.,5,"I believe that offering 5 ECU is a reasonable compromise that balances my own interests with those of the responder. This way, both of us will end up with some money, which is better than ending up with nothing.",61,713,2122221,4,Because that is only a fair amount.,1,"I believe it is reasonable to ask for at least some compensation for participating in the exchange, even if it is a small amount."
62,ODP,731,2111221,10,"The higher the offer, the more likely they will accept and we will both be rewarded.",5,I believe this is a fair and balanced offer.,62,715,2122121,3,"I hope I’ll get 5, we’re both working as a team I hope.",1,Because receiving something is better than receiving nothing.
63,ODP,732,2111221,4,"Fair, but slightly balanced in my favour.",5,I believe this is a fair and balanced offer.,63,731,2111221,3,"I am unsure how generous the other would be, so I went lower just in case.",1,I believe in fairness and believe that everyone should get at least a fair share.
64,ODP,734,2212222,0,"I do not know the other person, so I want to keep the money for myself.",5,"I think it's important to split the money fairly, and offering half seems like a good starting point.",64,732,2111221,3,I hope for more but people are greedy.,1,I believe in fairness and believe that everyone should get at least a fair share.
65,ODP,740,2112222,5,A fair midway point as a selection should guarantee chances of gaining ECU endowment.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",65,740,2112222,5,I think this is a fair amount.,1,I am willing to accept any non-zero amount as long as both parties receive something.
66,ODP,750,2112222,5,I think it's the most fair option.,5,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",66,748,1211211,4,Still fairish but leaves more for them.,1,I would accept anything because I get to have some money and not have 0 ECU.
67,ODP,784,2112221,5,It's a fair offer.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",67,749,2211221,5,Half seems fair!,5,Half is a fair and reasonable minimum offer.
68,ODP,785,1111211,5,Safest option as it's half.,5,Seems fair.,68,781,2112221,5,I want to leave this to the concept of fairness.,1,Receiving any amount is better than receiving nothing.
69,ODP,833,2212222,4,"They deserve something, but less than half.",5,"I think it's important to split the money fairly, and offering half seems like a good starting point.",69,785,1111211,1,"It's the safest option, even if they give me the lowest amount, I'll still be getting something.",1,Accepting any amount is better than receiving none.
70,ODP,839,1211222,5,It is the fair choice.,5,I'm feeling generous today.,70,837,2222221,2,I hope to get something.,1,Accepting any amount is better than nothing.
71,ODP,866,2211221,5,Equal amounts for both seems like the best answer due to fairness.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",72,853,2222222,5,It's fair to divide the endowment in half so that each of us gets to keep half of it.,3,"Accepting 3 ECU is a better outcome than receiving 0 ECU, so it's worth accepting a proposal that offers at least that much."
72,ODP,868,1221121,5,Have to go for an equal share in case they're greedy like me.,0,I'll keep it all for myself.,73,866,2211221,2,The other person may not be as kind as I am. At least going low means I have a chance of getting any ECU.,5,Half is a fair and reasonable minimum offer.
73,ODP,872,2212221,5,This is the fair choice.,5,"I believe it's reasonable to offer half of the endowment to the responder, as this could result in both parties getting some reward and avoiding the possibility of both getting nothing.",74,872,2212221,4,This is the lowest answer that I believe is still mainly fair.,1,"I believe that every person deserves to receive something, even if it's just a little. Rejecting the offer and getting nothing seems unfair to me."
74,ODP,880,2111221,5,We both get half.,5,I believe this is a fair and balanced offer.,75,875,1212221,5,Best chance of most equitable outcome.,1,Any amount is better than nothing.
75,ODP,883,1112221,4,They shouldn't be likely to reject this.,5,Offering half seems fair.,76,880,2111221,2,Would still be a bonus but less than I'd like because I'd prefer half.,1,I believe in fairness and believe that everyone should get at least a fair share.
76,ODP,899,2121222,5,I would like both of us to come out with an even amount.,5,"I am offering half of my endowment to ensure that the responder accepts the offer and both of us receive something, rather than both receiving nothing.",77,899,2121222,5,It is the fairest outcome.,1,"Sure, I'll take anything offered to me since I have 0 ECU, and 1 ECU is better than nothing."
77,ODP,918,1221221,5,Likely that's their minimum to accept.,5,Sounds like a good starting point.,78,911,2112221,4,They might want 1 extra rather than having equal.,1,Receiving any amount is better than receiving nothing.
78,ODP,959,1112222,5,Just doing what's fair.,5,"Seems like a fair and balanced offer, aiming for mutual benefit and avoiding a situation where one party gets nothing.",79,924,1112121,5,It is the fair thing to do.,2,"I want some money, but not too little."
79,ODP,995,2211221,5,So we will have equal amounts.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",80,959,1112222,5,Hoping the other person will be decent and split evenly.,3,Fair split is 5 ECU each.
80,ODP,1010,2122122,5,"This seems reasonable and if they deny a fair split, they deserve to not get anything.",5,I want to offer the responder 5 ECU so that both of us receive a portion of the endowment and we can both walk away with something. This seems like a reasonable balance between keeping some for myself and sharing some with the responder.,81,970,2211112,3,I want to make my own decision.,3,"I believe receiving some ECU is better than receiving none, so I want to make sure I receive at least a minimum amount."
81,ODP,1036,2212222,1,I have the chance of receiving more.,5,"I think it's important to split the money fairly, and offering half seems like a good starting point.",82,995,2211221,5,Most likely to split 50/50.,5,Half is a fair and reasonable minimum offer.
82,ODP,1038,1112221,5,I would hope it's obvious to the responder that that is fair.,5,Offering half seems fair.,83,1010,2122122,1,There's no downside.,1,"I would like to receive at least something, even if it's just a small amount. Any amount is better than nothing, so I would be willing to accept 1 ECU."
83,ODP,1050,2111212,5,It's fairest to give 50% to the other person.,5,A fair division would be to offer half of the endowment.,84,1035,2112221,4,"I would prefer more, but this is how I expected the other party to think based on the power dynamics.",1,Receiving any amount is better than receiving nothing.
84,ODP,1063,2112221,5,Meeting halfway in hope of agreement.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",85,1036,2212222,10,I would receive more hopefully.,3,"I believe that a fair distribution of resources is important, and a minimum of 3 ECU would ensure that both parties receive a fair share of the endowment."
85,ODP,1066,2112221,5,It makes the division fair.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",86,1038,1112221,5,That is the fair amount.,1,I believe in fairness and would not like to leave empty-handed.
86,ODP,1068,1121221,5,This makes 5 ECU each so is a totally fair offer.,5,"I want to keep 5 and offer 5 to maximize the chances of the responder accepting the offer, while also keeping some for myself.",87,1050,2111212,1,It's still money if it's the lowest amount other than 0.,2,I believe that accepting 2 ECU is a fair deal for both parties.
87,ODP,1073,2112221,0,"In real life, I would keep it all.",5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",88,1063,2112221,5,"This is the midway point, so I believe it is a fair choice.",1,Receiving any amount is better than receiving nothing.
88,ODP,1087,1221211,5,To seem like a fair player.,9,Sounds like a good deal for both.,89,1066,2112221,1,I’d rather get anything than nothing.,1,Receiving any amount is better than receiving nothing.
89,ODP,1095,2112221,3,Small enough amount I can lose.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",90,1068,1121221,5,"This makes 5 ECU each, so is a totally fair offer.",1,Any amount is better than nothing.
90,ODP,1113,1121221,5,It's fair for both of us.,5,"I want to keep 5 and offer 5 to maximize the chances of the responder accepting the offer, while also keeping some for myself.",91,1080,2211212,1,Then at least I am getting something.,3,"As a person who values fairness, I believe that dividing the endowment equally between the proposer and myself would be a fair solution. Therefore, I would accept an offer of 5 ECU."
91,ODP,1136,2112221,5,This seems fair to split equally and hopefully they agree.,5,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",92,1095,2112221,2,Would assume other is cautious and doesn’t want to risk losing much.,1,Receiving any amount is better than receiving nothing.
92,ODP,1175,2112121,10,I just want to be generous in this scenario and give away the 10 ECU.,5,"To maintain a balance between what I keep and what I offer, while ensuring that both parties can benefit from the outcome of the offer.",93,1113,1121221,4,It's enough for me to feel like I got something valuable.,1,Any amount is better than nothing.
93,ODP,1183,2111222,4,I would be accepting of this if the roles were reversed.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,94,1124,2221221,3,Because it is better than 0.,3,"I believe accepting a minimum of 3 ECU is a reasonable compromise as it still allows for some financial gain, rather than receiving nothing if the offer is rejected."
94,ODP,1204,1112221,5,I feel it’s right to share the ECU.,5,Offering half seems fair.,95,1136,2112221,1,This is better than nothing for both of us though I really think they should offer more!,1,Receiving any amount is better than receiving nothing.
95,ODP,1207,1111221,5,It is only fair to share.,5,I think it's fair to split the endowment down the middle.,96,1175,2112121,1,I'm happy for them to keep the majority of the 10 ECU.,1,"I want some money, and 1 ECU is better than none."
96,ODP,1262,2111221,5,50/50 split seems fair.,5,I believe this is a fair and balanced offer.,97,1183,2111222,3,I'd hope they offer more but have gone lower as a kind of insurance policy.,1,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.
97,ODP,1263,2111211,5,I like equality. I would offer half of my own.,5,Seems like a fair deal.,98,1204,1112221,5,I think it's right to share - we both win that way.,1,I believe in fairness and would not like to leave empty-handed.
98,ODP,1269,1112221,0,I would like the higher figure.,5,Offering half seems fair.,99,1207,1111221,3,I would like the proposer to offer at least a portion of what they have.,2,"I want to ensure I receive some amount, even if small, rather than nothing."
99,ODP,1281,2211221,5,I felt it was fair to share the endowment equally.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",100,1225,2112221,5,Half seems fair.,1,Receiving any amount is better than receiving nothing.
100,ODP,1289,1211221,4,Think this is the right choice.,5,I want to give half to show that I am fair and willing to share.,101,1267,2122221,5,It's equal and I proposed 5 for them.,1,"I believe it is reasonable to ask for at least some compensation for participating in the exchange, even if it is a small amount."
101,ODP,1291,2121122,5,50/50 is fair.,10,"To avoid receiving nothing, the minimum amount should be offered to ensure acceptance.",102,1281,2211221,5,Felt fair to get an equal share.,5,Half is a fair and reasonable minimum offer.
102,ODP,1321,2111222,5,I am a fair person and want to share.,5,I believe offering half of my endowment is fair and shows mutual respect and cooperation.,103,1304,2112121,3,I hope he will send me at least 3 ECU.,1,"I want some money, and 1 ECU is better than none."
103,ODP,1327,2221212,5,It's fair and should be accepted.,5,"I believe that offering 5 ECU is a reasonable compromise that balances my own interests with those of the responder. This way, both of us will end up with some money, which is better than ending up with nothing.",104,1310,1112221,5,"Hopefully, it’ll be fair.",1,I believe in fairness and would not like to leave empty-handed.
104,ODP,1329,1121122,5,This is half of my 10 ECU so I have shared it equally.,5,Half is a reasonable offer that balances self-interest and potential cooperation.,105,1321,2111222,4,"I would hope they are fair, so going just under would make sense to me.",1,I want to ensure I receive some reward for participating in this exchange. 1 ECU is a reasonable minimum to accept.
105,ODP,1337,2111221,5,I think anything below this will be rejected if the other person negotiates in good faith.,5,I believe this is a fair and balanced offer.,106,1337,2111221,3,"Want to maximise the chance of a reasonably fair payout, assume other person is greedy.",1,I believe in fairness and believe that everyone should get at least a fair share.
106,ODP,1353,2211221,5,Seems fair! Half half.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",107,1351,2211222,4,"I expect to receive at least 5, so this way the proposal would be accepted.",5,"I believe it's only fair for both parties to receive an equal amount of the endowment. So, half should go to me and half should go to the proposer."
107,ODP,1362,2222222,5,Sharing it seems right.,5,"Half is a fair and balanced compromise, reducing the risk of the responder rejecting the offer and both receiving nothing.",108,1353,2211221,1,Better something than nothing!,5,Half is a fair and reasonable minimum offer.
108,ODP,1363,2221221,5,Most likely be accepted if equal.,5,"I want to offer a fair amount, enough to keep the responder interested in accepting the offer, but also not so much that I end up losing out. 5 ECU seems like a good balance.",109,1362,2222222,5,Sharing it seems right.,3,"Accepting 3 ECU is a better outcome than receiving 0 ECU, so it's worth accepting a proposal that offers at least that much."
109,ODP,1391,1111222,5,"Safe bet, half each.",5,It seems like a fair amount to offer while still keeping some for myself.,110,1392,2211221,4,I feel this would be reasonable for both parties.,5,Half is a fair and reasonable minimum offer.
110,ODP,1392,2211221,4,This offers a good amount whilst benefitting myself.,5,"I want to offer a fair and reasonable amount to the responder, considering that they have nothing at the moment and I have the entire endowment. Offering half seems like a good starting point for negotiation.",111,1397,1211221,5,Things must be fair.,2,"I want to ensure that I receive a fair share, so I will accept an offer of 2 ECU or more."
111,ODP,1397,1211221,5,I believe in fairness.,5,I want to give half to show that I am fair and willing to share.,112,1398,2221221,4,"I think a 50/50 situation will be fair, but in case the proposal is a bit greedy I'll accept 40%.",3,"I believe accepting a minimum of 3 ECU is a reasonable compromise as it still allows for some financial gain, rather than receiving nothing if the offer is rejected."
