tag,cluster_id,cluster_title,outcome_4class,n_player_game_rows,share_within_cluster
REWARD,0,Generous Rewarding for Cooperative Engagement,always_zero,8,0.026058631921824105
REWARD,1,Selective Rewarding for Cooperative Behavior,always_full,77,0.39487179487179486
REWARD,1,Selective Rewarding for Cooperative Behavior,other,61,0.3128205128205128
REWARD,1,Selective Rewarding for Cooperative Behavior,binary_0_20,53,0.2717948717948718
REWARD,1,Selective Rewarding for Cooperative Behavior,always_zero,4,0.020512820512820513
REWARD,2,Selective Rewarding for Strategic Cooperation,other,79,0.47878787878787876
REWARD,2,Selective Rewarding for Strategic Cooperation,binary_0_20,50,0.30303030303030304
REWARD,2,Selective Rewarding for Strategic Cooperation,always_full,35,0.21212121212121213
REWARD,2,Selective Rewarding for Strategic Cooperation,always_zero,1,0.006060606060606061
REWARD,3,Negative Reinforcement Over Positive Incentives,always_full,59,0.4609375
REWARD,3,Negative Reinforcement Over Positive Incentives,other,38,0.296875
REWARD,3,Negative Reinforcement Over Positive Incentives,binary_0_20,31,0.2421875
REWARD,4,Passive Observers of Reward Dynamics,other,136,0.39080459770114945
REWARD,4,Passive Observers of Reward Dynamics,binary_0_20,104,0.2988505747126437
REWARD,4,Passive Observers of Reward Dynamics,always_full,97,0.27873563218390807
REWARD,4,Passive Observers of Reward Dynamics,always_zero,11,0.031609195402298854
REWARD,5,Disengaged from Reward Dynamics,always_full,149,0.43823529411764706
REWARD,5,Disengaged from Reward Dynamics,other,106,0.31176470588235294
REWARD,5,Disengaged from Reward Dynamics,binary_0_20,74,0.21764705882352942
REWARD,5,Disengaged from Reward Dynamics,always_zero,11,0.03235294117647059
REWARD,6,Reluctant Non-Participants in Reward Systems,binary_0_20,67,0.3435897435897436
REWARD,6,Reluctant Non-Participants in Reward Systems,other,63,0.3230769230769231
REWARD,6,Reluctant Non-Participants in Reward Systems,always_full,56,0.28717948717948716
REWARD,6,Reluctant Non-Participants in Reward Systems,always_zero,9,0.046153846153846156
RESPONSE_TO_END_GAME,0,Unyielding Commitment to Cooperation,always_full,192,0.5630498533724341
RESPONSE_TO_END_GAME,0,Unyielding Commitment to Cooperation,binary_0_20,83,0.2434017595307918
RESPONSE_TO_END_GAME,0,Unyielding Commitment to Cooperation,other,66,0.1935483870967742
RESPONSE_TO_END_GAME,1,Dynamic Cooperation in Final Phases,other,190,0.5993690851735016
RESPONSE_TO_END_GAME,1,Dynamic Cooperation in Final Phases,binary_0_20,126,0.39747634069400634
RESPONSE_TO_END_GAME,1,Dynamic Cooperation in Final Phases,always_full,1,0.0031545741324921135
RESPONSE_TO_END_GAME,2,Unyielding Cooperation in Final Stages,always_full,218,0.6546546546546547
RESPONSE_TO_END_GAME,2,Unyielding Cooperation in Final Stages,other,59,0.17717717717717718
RESPONSE_TO_END_GAME,2,Unyielding Cooperation in Final Stages,binary_0_20,50,0.15015015015015015
RESPONSE_TO_END_GAME,2,Unyielding Cooperation in Final Stages,always_zero,6,0.018018018018018018
RESPONSE_TO_END_GAME,3,Consistent Cooperation in Final Phases,other,68,0.425
RESPONSE_TO_END_GAME,3,Consistent Cooperation in Final Phases,binary_0_20,54,0.3375
RESPONSE_TO_END_GAME,3,Consistent Cooperation in Final Phases,always_full,37,0.23125
RESPONSE_TO_END_GAME,3,Consistent Cooperation in Final Phases,always_zero,1,0.00625
RESPONSE_TO_END_GAME,4,Consistent Contributions Near Game's End,other,147,0.5675675675675675
RESPONSE_TO_END_GAME,4,Consistent Contributions Near Game's End,binary_0_20,109,0.42084942084942084
RESPONSE_TO_END_GAME,4,Consistent Contributions Near Game's End,always_zero,2,0.007722007722007722
RESPONSE_TO_END_GAME,4,Consistent Contributions Near Game's End,always_full,1,0.003861003861003861
RESPONSE_TO_END_GAME,5,Consistent Defection in Final Game Phases,binary_0_20,106,0.48847926267281105
RESPONSE_TO_END_GAME,5,Consistent Defection in Final Game Phases,other,70,0.3225806451612903
RESPONSE_TO_END_GAME,5,Consistent Defection in Final Game Phases,always_zero,40,0.18433179723502305
RESPONSE_TO_END_GAME,5,Consistent Defection in Final Game Phases,always_full,1,0.004608294930875576
RESPONSE_TO_END_GAME,6,Unwavering Commitment to Collective Success,always_full,96,0.5079365079365079
RESPONSE_TO_END_GAME,6,Unwavering Commitment to Collective Success,other,51,0.2698412698412698
RESPONSE_TO_END_GAME,6,Unwavering Commitment to Collective Success,binary_0_20,39,0.20634920634920634
RESPONSE_TO_END_GAME,6,Unwavering Commitment to Collective Success,always_zero,3,0.015873015873015872
RESPONSE_TO_OTHERS_OUTCOME,0,Strategic Observers of Contribution Dynamics,other,98,0.48514851485148514
RESPONSE_TO_OTHERS_OUTCOME,0,Strategic Observers of Contribution Dynamics,binary_0_20,63,0.3118811881188119
RESPONSE_TO_OTHERS_OUTCOME,0,Strategic Observers of Contribution Dynamics,always_full,40,0.19801980198019803
RESPONSE_TO_OTHERS_OUTCOME,0,Strategic Observers of Contribution Dynamics,always_zero,1,0.0049504950495049506
RESPONSE_TO_OTHERS_OUTCOME,1,Detached Observers of Contribution Patterns,other,97,0.33448275862068966
RESPONSE_TO_OTHERS_OUTCOME,1,Detached Observers of Contribution Patterns,binary_0_20,97,0.33448275862068966
RESPONSE_TO_OTHERS_OUTCOME,1,Detached Observers of Contribution Patterns,always_full,91,0.3137931034482759
RESPONSE_TO_OTHERS_OUTCOME,1,Detached Observers of Contribution Patterns,always_zero,5,0.017241379310344827
RESPONSE_TO_OTHERS_OUTCOME,2,Incentive Architects of Group Dynamics,always_full,94,0.4177777777777778
RESPONSE_TO_OTHERS_OUTCOME,2,Incentive Architects of Group Dynamics,other,72,0.32
RESPONSE_TO_OTHERS_OUTCOME,2,Incentive Architects of Group Dynamics,binary_0_20,59,0.26222222222222225
RESPONSE_TO_OTHERS_OUTCOME,3,Attentive Contributors to Reward Dynamics,other,145,0.5870445344129555
RESPONSE_TO_OTHERS_OUTCOME,3,Attentive Contributors to Reward Dynamics,binary_0_20,58,0.23481781376518218
RESPONSE_TO_OTHERS_OUTCOME,3,Attentive Contributors to Reward Dynamics,always_full,41,0.1659919028340081
RESPONSE_TO_OTHERS_OUTCOME,3,Attentive Contributors to Reward Dynamics,always_zero,3,0.012145748987854251
RESPONSE_TO_OTHERS_OUTCOME,4,Indifferent Contributors to Reward Dynamics,always_full,147,0.5404411764705882
RESPONSE_TO_OTHERS_OUTCOME,4,Indifferent Contributors to Reward Dynamics,other,69,0.2536764705882353
RESPONSE_TO_OTHERS_OUTCOME,4,Indifferent Contributors to Reward Dynamics,binary_0_20,44,0.16176470588235295
RESPONSE_TO_OTHERS_OUTCOME,4,Indifferent Contributors to Reward Dynamics,always_zero,12,0.04411764705882353
RESPONSE_TO_OTHERS_OUTCOME,5,Passive Observers of Reward Dynamics,other,101,0.3494809688581315
RESPONSE_TO_OTHERS_OUTCOME,5,Passive Observers of Reward Dynamics,always_full,96,0.33217993079584773
RESPONSE_TO_OTHERS_OUTCOME,5,Passive Observers of Reward Dynamics,binary_0_20,79,0.27335640138408307
RESPONSE_TO_OTHERS_OUTCOME,5,Passive Observers of Reward Dynamics,always_zero,13,0.04498269896193772
RESPONSE_TO_OTHERS_OUTCOME,6,Opportunistic Players in Contribution Dynamics,binary_0_20,123,0.4979757085020243
RESPONSE_TO_OTHERS_OUTCOME,6,Opportunistic Players in Contribution Dynamics,other,111,0.4493927125506073
RESPONSE_TO_OTHERS_OUTCOME,6,Opportunistic Players in Contribution Dynamics,always_zero,12,0.048582995951417005
RESPONSE_TO_OTHERS_OUTCOME,6,Opportunistic Players in Contribution Dynamics,always_full,1,0.004048582995951417
RESPONSE_TO_PUNISHER,0,Unobserved Responses to Punishment,always_full,67,0.6568627450980392
RESPONSE_TO_PUNISHER,0,Unobserved Responses to Punishment,other,24,0.23529411764705882
RESPONSE_TO_PUNISHER,0,Unobserved Responses to Punishment,binary_0_20,11,0.10784313725490197
RESPONSE_TO_PUNISHER,1,Responses to Unpunished Players,always_full,46,0.6388888888888888
RESPONSE_TO_PUNISHER,1,Responses to Unpunished Players,other,23,0.3194444444444444
RESPONSE_TO_PUNISHER,1,Responses to Unpunished Players,binary_0_20,3,0.041666666666666664
RESPONSE_TO_PUNISHER,2,Unobserved Reactions to Punishment Dynamics,always_full,81,0.6044776119402985
RESPONSE_TO_PUNISHER,2,Unobserved Reactions to Punishment Dynamics,other,40,0.29850746268656714
RESPONSE_TO_PUNISHER,2,Unobserved Reactions to Punishment Dynamics,binary_0_20,13,0.09701492537313433
RESPONSE_TO_PUNISHER,3,Complex Reactions to Punishment Dynamics,binary_0_20,79,0.5766423357664233
RESPONSE_TO_PUNISHER,3,Complex Reactions to Punishment Dynamics,other,45,0.3284671532846715
RESPONSE_TO_PUNISHER,3,Complex Reactions to Punishment Dynamics,always_zero,10,0.072992700729927
RESPONSE_TO_PUNISHER,3,Complex Reactions to Punishment Dynamics,always_full,3,0.021897810218978103
RESPONSE_TO_PUNISHER,4,Resilient Cooperation Post-Punishment,always_full,84,0.4375
RESPONSE_TO_PUNISHER,4,Resilient Cooperation Post-Punishment,other,59,0.3072916666666667
RESPONSE_TO_PUNISHER,4,Resilient Cooperation Post-Punishment,binary_0_20,47,0.24479166666666666
RESPONSE_TO_PUNISHER,4,Resilient Cooperation Post-Punishment,always_zero,2,0.010416666666666666
RESPONSE_TO_PUNISHER,5,Ambiguous Responses to Punishment,other,51,0.5795454545454546
RESPONSE_TO_PUNISHER,5,Ambiguous Responses to Punishment,binary_0_20,29,0.32954545454545453
RESPONSE_TO_PUNISHER,5,Ambiguous Responses to Punishment,always_full,5,0.056818181818181816
RESPONSE_TO_PUNISHER,5,Ambiguous Responses to Punishment,always_zero,3,0.03409090909090909
RESPONSE_TO_PUNISHER,6,Non-Retaliatory Contributors in Punishment Scenarios,other,71,0.5071428571428571
RESPONSE_TO_PUNISHER,6,Non-Retaliatory Contributors in Punishment Scenarios,binary_0_20,50,0.35714285714285715
RESPONSE_TO_PUNISHER,6,Non-Retaliatory Contributors in Punishment Scenarios,always_full,18,0.12857142857142856
RESPONSE_TO_PUNISHER,6,Non-Retaliatory Contributors in Punishment Scenarios,always_zero,1,0.007142857142857143
RESPONSE_TO_REWARDER,0,Unrewarded Players: Behavioral Insights,other,41,0.6833333333333333
RESPONSE_TO_REWARDER,0,Unrewarded Players: Behavioral Insights,always_full,11,0.18333333333333332
RESPONSE_TO_REWARDER,0,Unrewarded Players: Behavioral Insights,binary_0_20,7,0.11666666666666667
RESPONSE_TO_REWARDER,0,Unrewarded Players: Behavioral Insights,always_zero,1,0.016666666666666666
RESPONSE_TO_REWARDER,1,Unrewarded Observers: Behavioral Dynamics,always_full,51,0.46788990825688076
RESPONSE_TO_REWARDER,1,Unrewarded Observers: Behavioral Dynamics,other,47,0.43119266055045874
RESPONSE_TO_REWARDER,1,Unrewarded Observers: Behavioral Dynamics,binary_0_20,9,0.08256880733944955
RESPONSE_TO_REWARDER,1,Unrewarded Observers: Behavioral Dynamics,always_zero,2,0.01834862385321101
RESPONSE_TO_REWARDER,2,Indirect Reward Seekers: Cooperative Dynamics,binary_0_20,51,0.38345864661654133
RESPONSE_TO_REWARDER,2,Indirect Reward Seekers: Cooperative Dynamics,always_full,42,0.3157894736842105
RESPONSE_TO_REWARDER,2,Indirect Reward Seekers: Cooperative Dynamics,other,39,0.2932330827067669
RESPONSE_TO_REWARDER,2,Indirect Reward Seekers: Cooperative Dynamics,always_zero,1,0.007518796992481203
RESPONSE_TO_REWARDER,3,Consistent Contributors: Reward Dynamics,always_full,75,0.5
RESPONSE_TO_REWARDER,3,Consistent Contributors: Reward Dynamics,other,40,0.26666666666666666
RESPONSE_TO_REWARDER,3,Consistent Contributors: Reward Dynamics,binary_0_20,33,0.22
RESPONSE_TO_REWARDER,3,Consistent Contributors: Reward Dynamics,always_zero,2,0.013333333333333334
RESPONSE_TO_REWARDER,4,Non-Reciprocating Reward Recipients,other,47,0.3197278911564626
RESPONSE_TO_REWARDER,4,Non-Reciprocating Reward Recipients,binary_0_20,47,0.3197278911564626
RESPONSE_TO_REWARDER,4,Non-Reciprocating Reward Recipients,always_full,46,0.3129251700680272
RESPONSE_TO_REWARDER,4,Non-Reciprocating Reward Recipients,always_zero,7,0.047619047619047616
RESPONSE_TO_REWARDER,5,Generous Rewarders: Cooperative Engagement Patterns,other,40,0.34782608695652173
RESPONSE_TO_REWARDER,5,Generous Rewarders: Cooperative Engagement Patterns,always_full,40,0.34782608695652173
RESPONSE_TO_REWARDER,5,Generous Rewarders: Cooperative Engagement Patterns,binary_0_20,34,0.2956521739130435
RESPONSE_TO_REWARDER,5,Generous Rewarders: Cooperative Engagement Patterns,always_zero,1,0.008695652173913044
RESPONSE_TO_REWARDER,6,Passive Reward Recipients: Engagement Patterns,other,62,0.4161073825503356
RESPONSE_TO_REWARDER,6,Passive Reward Recipients: Engagement Patterns,binary_0_20,48,0.3221476510067114
RESPONSE_TO_REWARDER,6,Passive Reward Recipients: Engagement Patterns,always_full,33,0.2214765100671141
RESPONSE_TO_REWARDER,6,Passive Reward Recipients: Engagement Patterns,always_zero,6,0.040268456375838924
