custom_id,estimated_input_chars,estimated_input_tokens_char4
concordia_pgg_match__pid_concordia_8332c4928663__game_2TquMDieEiixty8AN__p002__g002,9989,2497
concordia_pgg_match__pid_concordia_8332c4928663__game_65crAkEscRbHNJXbW__p002__g003,6769,1692
concordia_pgg_match__pid_concordia_8332c4928663__game_3EG5RaDj4z7hkT2JD__p002__g004,7402,1850
concordia_pgg_match__pid_concordia_8332c4928663__game_PmcxhmDRj2tN3cECC__p002__g005,18173,4543
concordia_pgg_match__pid_concordia_8332c4928663__game_925LF9k9CXpz8KjQm__p002__g006,23642,5910
concordia_pgg_match__pid_concordia_8332c4928663__game_ASQtYBWx6cGN27KxL__p002__g007,8629,2157
concordia_pgg_match__pid_concordia_8332c4928663__game_DYFJDsdGg8bppBJ7P__p002__g008,9458,2364
concordia_pgg_match__pid_concordia_8332c4928663__game_CbDvrXGkphmfGtH3G__p002__g009,15664,3916
concordia_pgg_match__pid_concordia_8332c4928663__game_FvbM5EM5aB5pcjLpA__p002__g010,12586,3146
concordia_pgg_match__pid_concordia_8332c4928663__game_C5Cd8Yq5dDbdycXKB__p002__g011,10219,2555
concordia_pgg_match__pid_concordia_8332c4928663__game_AyQkFs97hRTki5zWR__p002__g012,11326,2832
concordia_pgg_match__pid_concordia_8332c4928663__game_7oRFMBwqmesGX7t3H__p002__g013,18486,4622
concordia_pgg_match__pid_concordia_8332c4928663__game_fMhhGrfpZH9ign2AK__p002__g014,12136,3034
concordia_pgg_match__pid_concordia_8332c4928663__game_i7C4Y4NiesraiSwwb__p002__g015,10420,2605
concordia_pgg_match__pid_concordia_8332c4928663__game_7tfDsTHHnxsgrhE3d__p002__g016,12813,3203
concordia_pgg_match__pid_concordia_8332c4928663__game_r7Bk7fEwX3HSRrXMZ__p002__g017,8037,2009
concordia_pgg_match__pid_concordia_8332c4928663__game_7FQezekfKk3zctLN8__p002__g018,14192,3548
concordia_pgg_match__pid_concordia_8332c4928663__game_2khRAszouj8vP8ZfP__p002__g019,9564,2391
concordia_pgg_match__pid_concordia_8332c4928663__game_CoHyYysb84APn5gDE__p002__g020,9568,2392
concordia_pgg_match__pid_concordia_8332c4928663__game_2KKC9nMd8nRXfgH5G__p002__g021,10702,2676
concordia_pgg_match__pid_concordia_8332c4928663__game_PrfKWppTZdvPhe4oN__p002__g022,12035,3009
concordia_pgg_match__pid_concordia_8332c4928663__game_6Pxb9DsQpyk22cJNr__p002__g023,7670,1918
concordia_pgg_match__pid_concordia_8332c4928663__game_Fm7uYc98E2b6kcoDE__p002__g024,8511,2128
concordia_pgg_match__pid_concordia_8332c4928663__game_9oyspxPncwXdAkruR__p002__g025,7940,1985
concordia_pgg_match__pid_concordia_8332c4928663__game_2TDnnb4wn9rwy3CYZ__p002__g026,8880,2220
concordia_pgg_match__pid_concordia_8332c4928663__game_7ywewvEuctuz4Rq8j__p002__g027,11303,2826
concordia_pgg_match__pid_concordia_8332c4928663__game_AJ4ikZuWJeJcEXhgZ__p002__g028,10781,2695
concordia_pgg_match__pid_concordia_8332c4928663__game_3v9ji6wNY7sXHe8cM__p002__g029,10037,2509
concordia_pgg_match__pid_concordia_8332c4928663__game_8GneB6qmtDLSnbcJT__p002__g030,8924,2231
concordia_pgg_match__pid_concordia_8332c4928663__game_6sSM4xSyZQkaxyHav__p002__g031,8127,2032
concordia_pgg_match__pid_concordia_8332c4928663__game_3EQGxadfbmAKaACgZ__p002__g032,7959,1990
concordia_pgg_match__pid_concordia_8332c4928663__game_Aj2G7CTuhLZ7Z2SPK__p002__g033,8455,2114
concordia_pgg_match__pid_concordia_8332c4928663__game_FAuuG8S2iw8wkGRnA__p002__g034,10792,2698
concordia_pgg_match__pid_concordia_8332c4928663__game_SFohXkBYvScM7Y7rC__p002__g035,9920,2480
concordia_pgg_match__pid_concordia_8332c4928663__game_5R7YRmti4R5GiJKpi__p002__g036,11153,2788
concordia_pgg_match__pid_concordia_8332c4928663__game_6BxRfLcBtXYodAS8h__p002__g037,7101,1775
concordia_pgg_match__pid_concordia_8332c4928663__game_7Y6PBvgZNqtriKzaZ__p002__g038,7586,1896
concordia_pgg_match__pid_concordia_8332c4928663__game_HmA52oSS75D5Z2W8a__p002__g039,11328,2832
concordia_pgg_match__pid_concordia_8332c4928663__game_6pQRuemJv5faRcZft__p002__g040,11274,2818
concordia_pgg_match__pid_concordia_2171af84730e__game_5mhtM66ewYHNxSp4q__p003__g001,7455,1864
concordia_pgg_match__pid_concordia_2171af84730e__game_2TquMDieEiixty8AN__p003__g002,10383,2596
concordia_pgg_match__pid_concordia_2171af84730e__game_65crAkEscRbHNJXbW__p003__g003,7163,1791
concordia_pgg_match__pid_concordia_2171af84730e__game_3EG5RaDj4z7hkT2JD__p003__g004,7796,1949
concordia_pgg_match__pid_concordia_2171af84730e__game_PmcxhmDRj2tN3cECC__p003__g005,18567,4642
concordia_pgg_match__pid_concordia_2171af84730e__game_925LF9k9CXpz8KjQm__p003__g006,24036,6009
concordia_pgg_match__pid_concordia_2171af84730e__game_ASQtYBWx6cGN27KxL__p003__g007,9023,2256
concordia_pgg_match__pid_concordia_2171af84730e__game_DYFJDsdGg8bppBJ7P__p003__g008,9852,2463
concordia_pgg_match__pid_concordia_2171af84730e__game_CbDvrXGkphmfGtH3G__p003__g009,16058,4014
concordia_pgg_match__pid_concordia_2171af84730e__game_FvbM5EM5aB5pcjLpA__p003__g010,12980,3245
concordia_pgg_match__pid_concordia_2171af84730e__game_C5Cd8Yq5dDbdycXKB__p003__g011,10613,2653
concordia_pgg_match__pid_concordia_2171af84730e__game_AyQkFs97hRTki5zWR__p003__g012,11720,2930
concordia_pgg_match__pid_concordia_2171af84730e__game_7oRFMBwqmesGX7t3H__p003__g013,18880,4720
concordia_pgg_match__pid_concordia_2171af84730e__game_fMhhGrfpZH9ign2AK__p003__g014,12530,3132
concordia_pgg_match__pid_concordia_2171af84730e__game_i7C4Y4NiesraiSwwb__p003__g015,10814,2704
concordia_pgg_match__pid_concordia_2171af84730e__game_7tfDsTHHnxsgrhE3d__p003__g016,13207,3302
concordia_pgg_match__pid_concordia_2171af84730e__game_r7Bk7fEwX3HSRrXMZ__p003__g017,8431,2108
concordia_pgg_match__pid_concordia_2171af84730e__game_7FQezekfKk3zctLN8__p003__g018,14586,3646
concordia_pgg_match__pid_concordia_2171af84730e__game_2khRAszouj8vP8ZfP__p003__g019,9958,2490
concordia_pgg_match__pid_concordia_2171af84730e__game_CoHyYysb84APn5gDE__p003__g020,9962,2490
concordia_pgg_match__pid_concordia_2171af84730e__game_2KKC9nMd8nRXfgH5G__p003__g021,11096,2774
concordia_pgg_match__pid_concordia_2171af84730e__game_PrfKWppTZdvPhe4oN__p003__g022,12429,3107
concordia_pgg_match__pid_concordia_2171af84730e__game_6Pxb9DsQpyk22cJNr__p003__g023,8064,2016
concordia_pgg_match__pid_concordia_2171af84730e__game_Fm7uYc98E2b6kcoDE__p003__g024,8905,2226
concordia_pgg_match__pid_concordia_2171af84730e__game_9oyspxPncwXdAkruR__p003__g025,8334,2084
concordia_pgg_match__pid_concordia_2171af84730e__game_2TDnnb4wn9rwy3CYZ__p003__g026,9274,2318
concordia_pgg_match__pid_concordia_2171af84730e__game_7ywewvEuctuz4Rq8j__p003__g027,11697,2924
concordia_pgg_match__pid_concordia_2171af84730e__game_AJ4ikZuWJeJcEXhgZ__p003__g028,11175,2794
concordia_pgg_match__pid_concordia_2171af84730e__game_3v9ji6wNY7sXHe8cM__p003__g029,10431,2608
concordia_pgg_match__pid_concordia_2171af84730e__game_8GneB6qmtDLSnbcJT__p003__g030,9318,2330
concordia_pgg_match__pid_concordia_2171af84730e__game_6sSM4xSyZQkaxyHav__p003__g031,8521,2130
concordia_pgg_match__pid_concordia_2171af84730e__game_3EQGxadfbmAKaACgZ__p003__g032,8353,2088
concordia_pgg_match__pid_concordia_2171af84730e__game_Aj2G7CTuhLZ7Z2SPK__p003__g033,8849,2212
concordia_pgg_match__pid_concordia_2171af84730e__game_FAuuG8S2iw8wkGRnA__p003__g034,11186,2796
concordia_pgg_match__pid_concordia_2171af84730e__game_SFohXkBYvScM7Y7rC__p003__g035,10314,2578
concordia_pgg_match__pid_concordia_2171af84730e__game_5R7YRmti4R5GiJKpi__p003__g036,11547,2887
concordia_pgg_match__pid_concordia_2171af84730e__game_6BxRfLcBtXYodAS8h__p003__g037,7495,1874
concordia_pgg_match__pid_concordia_2171af84730e__game_7Y6PBvgZNqtriKzaZ__p003__g038,7980,1995
concordia_pgg_match__pid_concordia_2171af84730e__game_HmA52oSS75D5Z2W8a__p003__g039,11722,2930
concordia_pgg_match__pid_concordia_2171af84730e__game_6pQRuemJv5faRcZft__p003__g040,11668,2917
concordia_pgg_match__pid_concordia_62bd752a003e__game_5mhtM66ewYHNxSp4q__p004__g001,7130,1782
concordia_pgg_match__pid_concordia_62bd752a003e__game_2TquMDieEiixty8AN__p004__g002,10058,2514
concordia_pgg_match__pid_concordia_62bd752a003e__game_65crAkEscRbHNJXbW__p004__g003,6838,1710
concordia_pgg_match__pid_concordia_62bd752a003e__game_3EG5RaDj4z7hkT2JD__p004__g004,7471,1868
concordia_pgg_match__pid_concordia_62bd752a003e__game_PmcxhmDRj2tN3cECC__p004__g005,18242,4560
concordia_pgg_match__pid_concordia_62bd752a003e__game_925LF9k9CXpz8KjQm__p004__g006,23711,5928
concordia_pgg_match__pid_concordia_62bd752a003e__game_ASQtYBWx6cGN27KxL__p004__g007,8698,2174
concordia_pgg_match__pid_concordia_62bd752a003e__game_DYFJDsdGg8bppBJ7P__p004__g008,9527,2382
concordia_pgg_match__pid_concordia_62bd752a003e__game_CbDvrXGkphmfGtH3G__p004__g009,15733,3933
concordia_pgg_match__pid_concordia_62bd752a003e__game_FvbM5EM5aB5pcjLpA__p004__g010,12655,3164
concordia_pgg_match__pid_concordia_62bd752a003e__game_C5Cd8Yq5dDbdycXKB__p004__g011,10288,2572
concordia_pgg_match__pid_concordia_62bd752a003e__game_AyQkFs97hRTki5zWR__p004__g012,11395,2849
concordia_pgg_match__pid_concordia_62bd752a003e__game_7oRFMBwqmesGX7t3H__p004__g013,18555,4639
concordia_pgg_match__pid_concordia_62bd752a003e__game_fMhhGrfpZH9ign2AK__p004__g014,12205,3051
concordia_pgg_match__pid_concordia_62bd752a003e__game_i7C4Y4NiesraiSwwb__p004__g015,10489,2622
concordia_pgg_match__pid_concordia_62bd752a003e__game_7tfDsTHHnxsgrhE3d__p004__g016,12882,3220
concordia_pgg_match__pid_concordia_62bd752a003e__game_r7Bk7fEwX3HSRrXMZ__p004__g017,8106,2026
concordia_pgg_match__pid_concordia_62bd752a003e__game_7FQezekfKk3zctLN8__p004__g018,14261,3565
concordia_pgg_match__pid_concordia_62bd752a003e__game_2khRAszouj8vP8ZfP__p004__g019,9633,2408
concordia_pgg_match__pid_concordia_62bd752a003e__game_CoHyYysb84APn5gDE__p004__g020,9637,2409
concordia_pgg_match__pid_concordia_62bd752a003e__game_2KKC9nMd8nRXfgH5G__p004__g021,10771,2693
concordia_pgg_match__pid_concordia_62bd752a003e__game_PrfKWppTZdvPhe4oN__p004__g022,12104,3026
concordia_pgg_match__pid_concordia_62bd752a003e__game_6Pxb9DsQpyk22cJNr__p004__g023,7739,1935
concordia_pgg_match__pid_concordia_62bd752a003e__game_Fm7uYc98E2b6kcoDE__p004__g024,8580,2145
concordia_pgg_match__pid_concordia_62bd752a003e__game_9oyspxPncwXdAkruR__p004__g025,8009,2002
concordia_pgg_match__pid_concordia_62bd752a003e__game_2TDnnb4wn9rwy3CYZ__p004__g026,8949,2237
concordia_pgg_match__pid_concordia_62bd752a003e__game_7ywewvEuctuz4Rq8j__p004__g027,11372,2843
concordia_pgg_match__pid_concordia_62bd752a003e__game_AJ4ikZuWJeJcEXhgZ__p004__g028,10850,2712
concordia_pgg_match__pid_concordia_62bd752a003e__game_3v9ji6wNY7sXHe8cM__p004__g029,10106,2526
concordia_pgg_match__pid_concordia_62bd752a003e__game_8GneB6qmtDLSnbcJT__p004__g030,8993,2248
concordia_pgg_match__pid_concordia_62bd752a003e__game_6sSM4xSyZQkaxyHav__p004__g031,8196,2049
concordia_pgg_match__pid_concordia_62bd752a003e__game_3EQGxadfbmAKaACgZ__p004__g032,8028,2007
concordia_pgg_match__pid_concordia_62bd752a003e__game_Aj2G7CTuhLZ7Z2SPK__p004__g033,8524,2131
concordia_pgg_match__pid_concordia_62bd752a003e__game_FAuuG8S2iw8wkGRnA__p004__g034,10861,2715
concordia_pgg_match__pid_concordia_62bd752a003e__game_SFohXkBYvScM7Y7rC__p004__g035,9989,2497
concordia_pgg_match__pid_concordia_62bd752a003e__game_5R7YRmti4R5GiJKpi__p004__g036,11222,2806
concordia_pgg_match__pid_concordia_62bd752a003e__game_6BxRfLcBtXYodAS8h__p004__g037,7170,1792
concordia_pgg_match__pid_concordia_62bd752a003e__game_7Y6PBvgZNqtriKzaZ__p004__g038,7655,1914
concordia_pgg_match__pid_concordia_62bd752a003e__game_HmA52oSS75D5Z2W8a__p004__g039,11397,2849
concordia_pgg_match__pid_concordia_62bd752a003e__game_6pQRuemJv5faRcZft__p004__g040,11343,2836
concordia_pgg_match__pid_concordia_72991c65d1ce__game_5mhtM66ewYHNxSp4q__p005__g001,7499,1875
concordia_pgg_match__pid_concordia_72991c65d1ce__game_2TquMDieEiixty8AN__p005__g002,10427,2607
concordia_pgg_match__pid_concordia_72991c65d1ce__game_65crAkEscRbHNJXbW__p005__g003,7207,1802
concordia_pgg_match__pid_concordia_72991c65d1ce__game_3EG5RaDj4z7hkT2JD__p005__g004,7840,1960
concordia_pgg_match__pid_concordia_72991c65d1ce__game_PmcxhmDRj2tN3cECC__p005__g005,18611,4653
concordia_pgg_match__pid_concordia_72991c65d1ce__game_925LF9k9CXpz8KjQm__p005__g006,24080,6020
concordia_pgg_match__pid_concordia_72991c65d1ce__game_ASQtYBWx6cGN27KxL__p005__g007,9067,2267
concordia_pgg_match__pid_concordia_72991c65d1ce__game_DYFJDsdGg8bppBJ7P__p005__g008,9896,2474
concordia_pgg_match__pid_concordia_72991c65d1ce__game_CbDvrXGkphmfGtH3G__p005__g009,16102,4026
concordia_pgg_match__pid_concordia_72991c65d1ce__game_FvbM5EM5aB5pcjLpA__p005__g010,13024,3256
concordia_pgg_match__pid_concordia_72991c65d1ce__game_C5Cd8Yq5dDbdycXKB__p005__g011,10657,2664
concordia_pgg_match__pid_concordia_72991c65d1ce__game_AyQkFs97hRTki5zWR__p005__g012,11764,2941
concordia_pgg_match__pid_concordia_72991c65d1ce__game_7oRFMBwqmesGX7t3H__p005__g013,18924,4731
concordia_pgg_match__pid_concordia_72991c65d1ce__game_fMhhGrfpZH9ign2AK__p005__g014,12574,3144
concordia_pgg_match__pid_concordia_72991c65d1ce__game_i7C4Y4NiesraiSwwb__p005__g015,10858,2714
concordia_pgg_match__pid_concordia_72991c65d1ce__game_7tfDsTHHnxsgrhE3d__p005__g016,13251,3313
concordia_pgg_match__pid_concordia_72991c65d1ce__game_r7Bk7fEwX3HSRrXMZ__p005__g017,8475,2119
concordia_pgg_match__pid_concordia_72991c65d1ce__game_7FQezekfKk3zctLN8__p005__g018,14630,3658
concordia_pgg_match__pid_concordia_72991c65d1ce__game_2khRAszouj8vP8ZfP__p005__g019,10002,2500
concordia_pgg_match__pid_concordia_72991c65d1ce__game_CoHyYysb84APn5gDE__p005__g020,10006,2502
concordia_pgg_match__pid_concordia_72991c65d1ce__game_2KKC9nMd8nRXfgH5G__p005__g021,11140,2785
concordia_pgg_match__pid_concordia_72991c65d1ce__game_PrfKWppTZdvPhe4oN__p005__g022,12473,3118
concordia_pgg_match__pid_concordia_72991c65d1ce__game_6Pxb9DsQpyk22cJNr__p005__g023,8108,2027
concordia_pgg_match__pid_concordia_72991c65d1ce__game_Fm7uYc98E2b6kcoDE__p005__g024,8949,2237
concordia_pgg_match__pid_concordia_72991c65d1ce__game_9oyspxPncwXdAkruR__p005__g025,8378,2094
concordia_pgg_match__pid_concordia_72991c65d1ce__game_2TDnnb4wn9rwy3CYZ__p005__g026,9318,2330
concordia_pgg_match__pid_concordia_72991c65d1ce__game_7ywewvEuctuz4Rq8j__p005__g027,11741,2935
concordia_pgg_match__pid_concordia_72991c65d1ce__game_AJ4ikZuWJeJcEXhgZ__p005__g028,11219,2805
concordia_pgg_match__pid_concordia_72991c65d1ce__game_3v9ji6wNY7sXHe8cM__p005__g029,10475,2619
concordia_pgg_match__pid_concordia_72991c65d1ce__game_8GneB6qmtDLSnbcJT__p005__g030,9362,2340
concordia_pgg_match__pid_concordia_72991c65d1ce__game_6sSM4xSyZQkaxyHav__p005__g031,8565,2141
concordia_pgg_match__pid_concordia_72991c65d1ce__game_3EQGxadfbmAKaACgZ__p005__g032,8397,2099
concordia_pgg_match__pid_concordia_72991c65d1ce__game_Aj2G7CTuhLZ7Z2SPK__p005__g033,8893,2223
concordia_pgg_match__pid_concordia_72991c65d1ce__game_FAuuG8S2iw8wkGRnA__p005__g034,11230,2808
concordia_pgg_match__pid_concordia_72991c65d1ce__game_SFohXkBYvScM7Y7rC__p005__g035,10358,2590
concordia_pgg_match__pid_concordia_72991c65d1ce__game_5R7YRmti4R5GiJKpi__p005__g036,11591,2898
concordia_pgg_match__pid_concordia_72991c65d1ce__game_6BxRfLcBtXYodAS8h__p005__g037,7539,1885
concordia_pgg_match__pid_concordia_72991c65d1ce__game_7Y6PBvgZNqtriKzaZ__p005__g038,8024,2006
concordia_pgg_match__pid_concordia_72991c65d1ce__game_HmA52oSS75D5Z2W8a__p005__g039,11766,2942
concordia_pgg_match__pid_concordia_72991c65d1ce__game_6pQRuemJv5faRcZft__p005__g040,11712,2928
concordia_pgg_match__pid_concordia_554a14ee09e6__game_5mhtM66ewYHNxSp4q__p006__g001,7839,1960
concordia_pgg_match__pid_concordia_554a14ee09e6__game_2TquMDieEiixty8AN__p006__g002,10767,2692
concordia_pgg_match__pid_concordia_554a14ee09e6__game_65crAkEscRbHNJXbW__p006__g003,7547,1887
concordia_pgg_match__pid_concordia_554a14ee09e6__game_3EG5RaDj4z7hkT2JD__p006__g004,8180,2045
concordia_pgg_match__pid_concordia_554a14ee09e6__game_PmcxhmDRj2tN3cECC__p006__g005,18951,4738
concordia_pgg_match__pid_concordia_554a14ee09e6__game_925LF9k9CXpz8KjQm__p006__g006,24420,6105
concordia_pgg_match__pid_concordia_554a14ee09e6__game_ASQtYBWx6cGN27KxL__p006__g007,9407,2352
concordia_pgg_match__pid_concordia_554a14ee09e6__game_DYFJDsdGg8bppBJ7P__p006__g008,10236,2559
concordia_pgg_match__pid_concordia_554a14ee09e6__game_CbDvrXGkphmfGtH3G__p006__g009,16442,4110
concordia_pgg_match__pid_concordia_554a14ee09e6__game_FvbM5EM5aB5pcjLpA__p006__g010,13364,3341
concordia_pgg_match__pid_concordia_554a14ee09e6__game_C5Cd8Yq5dDbdycXKB__p006__g011,10997,2749
concordia_pgg_match__pid_concordia_554a14ee09e6__game_AyQkFs97hRTki5zWR__p006__g012,12104,3026
concordia_pgg_match__pid_concordia_554a14ee09e6__game_7oRFMBwqmesGX7t3H__p006__g013,19264,4816
concordia_pgg_match__pid_concordia_554a14ee09e6__game_fMhhGrfpZH9ign2AK__p006__g014,12914,3228
concordia_pgg_match__pid_concordia_554a14ee09e6__game_i7C4Y4NiesraiSwwb__p006__g015,11198,2800
concordia_pgg_match__pid_concordia_554a14ee09e6__game_7tfDsTHHnxsgrhE3d__p006__g016,13591,3398
concordia_pgg_match__pid_concordia_554a14ee09e6__game_r7Bk7fEwX3HSRrXMZ__p006__g017,8815,2204
concordia_pgg_match__pid_concordia_554a14ee09e6__game_7FQezekfKk3zctLN8__p006__g018,14970,3742
concordia_pgg_match__pid_concordia_554a14ee09e6__game_2khRAszouj8vP8ZfP__p006__g019,10342,2586
concordia_pgg_match__pid_concordia_554a14ee09e6__game_CoHyYysb84APn5gDE__p006__g020,10346,2586
concordia_pgg_match__pid_concordia_554a14ee09e6__game_2KKC9nMd8nRXfgH5G__p006__g021,11480,2870
concordia_pgg_match__pid_concordia_554a14ee09e6__game_PrfKWppTZdvPhe4oN__p006__g022,12813,3203
concordia_pgg_match__pid_concordia_554a14ee09e6__game_6Pxb9DsQpyk22cJNr__p006__g023,8448,2112
concordia_pgg_match__pid_concordia_554a14ee09e6__game_Fm7uYc98E2b6kcoDE__p006__g024,9289,2322
concordia_pgg_match__pid_concordia_554a14ee09e6__game_9oyspxPncwXdAkruR__p006__g025,8718,2180
concordia_pgg_match__pid_concordia_554a14ee09e6__game_2TDnnb4wn9rwy3CYZ__p006__g026,9658,2414
concordia_pgg_match__pid_concordia_554a14ee09e6__game_7ywewvEuctuz4Rq8j__p006__g027,12081,3020
concordia_pgg_match__pid_concordia_554a14ee09e6__game_AJ4ikZuWJeJcEXhgZ__p006__g028,11559,2890
concordia_pgg_match__pid_concordia_554a14ee09e6__game_3v9ji6wNY7sXHe8cM__p006__g029,10815,2704
concordia_pgg_match__pid_concordia_554a14ee09e6__game_8GneB6qmtDLSnbcJT__p006__g030,9702,2426
concordia_pgg_match__pid_concordia_554a14ee09e6__game_6sSM4xSyZQkaxyHav__p006__g031,8905,2226
concordia_pgg_match__pid_concordia_554a14ee09e6__game_3EQGxadfbmAKaACgZ__p006__g032,8737,2184
concordia_pgg_match__pid_concordia_554a14ee09e6__game_Aj2G7CTuhLZ7Z2SPK__p006__g033,9233,2308
concordia_pgg_match__pid_concordia_554a14ee09e6__game_FAuuG8S2iw8wkGRnA__p006__g034,11570,2892
concordia_pgg_match__pid_concordia_554a14ee09e6__game_SFohXkBYvScM7Y7rC__p006__g035,10698,2674
concordia_pgg_match__pid_concordia_554a14ee09e6__game_5R7YRmti4R5GiJKpi__p006__g036,11931,2983
concordia_pgg_match__pid_concordia_554a14ee09e6__game_6BxRfLcBtXYodAS8h__p006__g037,7879,1970
concordia_pgg_match__pid_concordia_554a14ee09e6__game_7Y6PBvgZNqtriKzaZ__p006__g038,8364,2091
concordia_pgg_match__pid_concordia_554a14ee09e6__game_HmA52oSS75D5Z2W8a__p006__g039,12106,3026
concordia_pgg_match__pid_concordia_554a14ee09e6__game_6pQRuemJv5faRcZft__p006__g040,12052,3013
concordia_pgg_match__pid_concordia_847f9087b8d2__game_5mhtM66ewYHNxSp4q__p007__g001,7747,1937
concordia_pgg_match__pid_concordia_847f9087b8d2__game_2TquMDieEiixty8AN__p007__g002,10675,2669
concordia_pgg_match__pid_concordia_847f9087b8d2__game_65crAkEscRbHNJXbW__p007__g003,7455,1864
concordia_pgg_match__pid_concordia_847f9087b8d2__game_3EG5RaDj4z7hkT2JD__p007__g004,8088,2022
concordia_pgg_match__pid_concordia_847f9087b8d2__game_PmcxhmDRj2tN3cECC__p007__g005,18859,4715
concordia_pgg_match__pid_concordia_847f9087b8d2__game_925LF9k9CXpz8KjQm__p007__g006,24328,6082
concordia_pgg_match__pid_concordia_847f9087b8d2__game_ASQtYBWx6cGN27KxL__p007__g007,9315,2329
