custom_id,persona_pid,persona_source,condition,persona_index,source_key,name,raw_profile_chars,raw_profile_sha1,game_id,treatment_name,config_id,num_rounds,players,model,top_k
concordia_pgg_match__pid_concordia_c5fea4304e42__game_C5Cd8Yq5dDbdycXKB__p001__g011,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,14,19,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AyQkFs97hRTki5zWR__p001__g012,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,AyQkFs97hRTki5zWR,VALIDATION_14_T,14,19,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7oRFMBwqmesGX7t3H__p001__g013,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,7oRFMBwqmesGX7t3H,VALIDATION_15_C,15,14,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_fMhhGrfpZH9ign2AK__p001__g014,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,fMhhGrfpZH9ign2AK,VALIDATION_15_T,15,14,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_i7C4Y4NiesraiSwwb__p001__g015,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,i7C4Y4NiesraiSwwb,VALIDATION_16_C,16,15,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7tfDsTHHnxsgrhE3d__p001__g016,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,7tfDsTHHnxsgrhE3d,VALIDATION_16_T,16,15,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_r7Bk7fEwX3HSRrXMZ__p001__g017,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,r7Bk7fEwX3HSRrXMZ,VALIDATION_17_C,17,10,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG"", ""ELEPHANT"", ""WHALE"", ""HORSE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7FQezekfKk3zctLN8__p001__g018,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,7FQezekfKk3zctLN8,VALIDATION_17_T,17,10,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY"", ""FROG"", ""ELEPHANT"", ""WHALE"", ""HORSE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2khRAszouj8vP8ZfP__p001__g019,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,2khRAszouj8vP8ZfP,VALIDATION_18_C,18,23,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_CoHyYysb84APn5gDE__p001__g020,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,CoHyYysb84APn5gDE,VALIDATION_18_T,18,23,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2KKC9nMd8nRXfgH5G__p001__g021,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,19,29,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_PrfKWppTZdvPhe4oN__p001__g022,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,PrfKWppTZdvPhe4oN,VALIDATION_19_T,19,29,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6Pxb9DsQpyk22cJNr__p001__g023,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,1,16,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_Fm7uYc98E2b6kcoDE__p001__g024,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,Fm7uYc98E2b6kcoDE,VALIDATION_1_T,1,16,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_9oyspxPncwXdAkruR__p001__g025,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,9oyspxPncwXdAkruR,VALIDATION_2_C,2,10,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_2TDnnb4wn9rwy3CYZ__p001__g026,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,2,10,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7ywewvEuctuz4Rq8j__p001__g027,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,7ywewvEuctuz4Rq8j,VALIDATION_3_C,3,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_AJ4ikZuWJeJcEXhgZ__p001__g028,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,3,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3v9ji6wNY7sXHe8cM__p001__g029,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,4,8,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_8GneB6qmtDLSnbcJT__p001__g030,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,8GneB6qmtDLSnbcJT,VALIDATION_4_T,4,8,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6sSM4xSyZQkaxyHav__p001__g031,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_3EQGxadfbmAKaACgZ__p001__g032,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,3EQGxadfbmAKaACgZ,VALIDATION_5_T,5,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,6,16,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_FAuuG8S2iw8wkGRnA__p001__g034,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,FAuuG8S2iw8wkGRnA,VALIDATION_6_T,6,16,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_SFohXkBYvScM7Y7rC__p001__g035,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,SFohXkBYvScM7Y7rC,VALIDATION_7_C,7,19,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_5R7YRmti4R5GiJKpi__p001__g036,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,5R7YRmti4R5GiJKpi,VALIDATION_7_T,7,19,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6BxRfLcBtXYodAS8h__p001__g037,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,6BxRfLcBtXYodAS8h,VALIDATION_8_C,8,2,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_7Y6PBvgZNqtriKzaZ__p001__g038,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,8,2,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_HmA52oSS75D5Z2W8a__p001__g039,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,HmA52oSS75D5Z2W8a,VALIDATION_9_C,9,9,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_c5fea4304e42__game_6pQRuemJv5faRcZft__p001__g040,concordia_c5fea4304e42,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,1,concordia_pgg_game_grounded_alphaevolve_5:001:Evelyn the Altruist,Evelyn the Altruist,4555,0b69c40270d6dba8570ccb7596996f299409b67f,6pQRuemJv5faRcZft,VALIDATION_9_T,9,9,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE"", ""COW"", ""PINGUIN"", ""MONKEY""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_5mhtM66ewYHNxSp4q__p002__g001,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_2TquMDieEiixty8AN__p002__g002,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_65crAkEscRbHNJXbW__p002__g003,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_3EG5RaDj4z7hkT2JD__p002__g004,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_PmcxhmDRj2tN3cECC__p002__g005,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,PmcxhmDRj2tN3cECC,VALIDATION_11_C,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_925LF9k9CXpz8KjQm__p002__g006,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,925LF9k9CXpz8KjQm,VALIDATION_11_T,11,26,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK"", ""SNAKE"", ""CROCODILE""]",gpt-5-mini,3
concordia_pgg_match__pid_concordia_8332c4928663__game_ASQtYBWx6cGN27KxL__p002__g007,concordia_8332c4928663,concordia_persona_generator,concordia_pgg_game_grounded_alphaevolve_5,2,concordia_pgg_game_grounded_alphaevolve_5:002:Marcus the Rational Defector,Marcus the Rational Defector,4015,6b77c4f0f10a3f2d41c9fe81dbdbed3928995684,ASQtYBWx6cGN27KxL,VALIDATION_12_C,12,12,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT""]",gpt-5-mini,3
