question_id,block_name,question_type,source,wave_1_exists,wave_2_exists,wave_3_exists,wave_presence,wave_mapping_method,question_text_full,options_json,rows_json,csv_columns_json
QID51,Cognitive tests ,TE,wave1_3_persona_json,False,True,False,2,persona_block_order,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? Enter a number of days.",[],[],"[""QID51_TEXT""]"
QID52,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?,[],[],"[""QID52_TEXT""]"
QID53,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long? Enter a number of cubic feet.,[],[],"[""QID53_TEXT""]"
QID54,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,"If you’re running a race and you pass the person in second place, what place are you in? Enter a number.",[],[],"[""QID54_TEXT""]"
QID55,Cognitive tests ,TE,wave1_3_persona_json,True,False,False,1,persona_block_order,A farmer had 15 sheep and all but 8 died. How many are left? Enter a number,[],[],"[""QID55_TEXT""]"
QID56,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"Please indicate which is the best answer to solve the puzzle below. Puzzle Grid (3x3 Matrix) Each cell in a 3x3 matrix contains a circle with an arrow pointing in one of four directions (up, down, left, right) and sometimes includes a diagonal or horizontal/vertical line inside the circle. We'll label the grid as follows: Top row (Row 1): Cell 1-1: Plain circle with arrow pointing up. Cell 1-2: Plain circle with arrow pointing right. Cell 1-3: Plain circle with arrow pointing down. Middle row (Row 2): Cell 2-1: Circle with a horizontal line, arrow pointing left. Cell 2-2: Circle with a horizontal line, arrow pointing up. Cell 2-3: Circle with a horizontal line, arrow pointing right. Bottom row (Row 3): Cell 3-1: Circle with a diagonal line from top-left to bottom-right, arrow pointing down. Cell 3-2: Circle with a diagonal line from top-left to bottom-right, arrow pointing left. Cell 3-3: Missing (marked with a question mark – this is what we are trying to determine). Answer Choices (Labeled A to F): Each option consists of a circle, possibly with an internal line, and an arrow in a particular direction. A: Circle with horizontal line, arrow pointing up. B: Circle with diagonal line (top-left to bottom-right), arrow pointing left. C: Plain circle, arrow pointing left. D: Circle with diagonal line (top-left to bottom-right), arrow pointing right. E: Circle with diagonal line (top-left to bottom-right), arrow pointing down. F: Plain circle, arrow pointing up-right (diagonal).","[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",[],"[""QID56""]"
QID57,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"Please indicate which is the best answer to complete the figure below. STRUCTURE OF THE IMAGE: The image is a 3x3 grid of figures (3 rows, 3 columns), with a six-option answer key (A-F) shown below the grid. The bottom-right cell of the 3x3 grid has a question mark (?) indicating a missing figure that needs to be deduced. Each figure in the grid consists of a main geometric shape (e.g., circle, square, triangle, etc.) and often one or more smaller shapes (e.g., small circles, squares, or stars) placed beside or inside it. Shapes are typically split into black and white sections, often diagonally or horizontally. GRID CONTENT: First Row (Top Row): First Cell: A tall rectangle divided diagonally from top-left to bottom-right (left half black, right white). A small white circle sits above it. Second Cell: A square divided diagonally from bottom-left to top-right (bottom-left black, top-right white). A small black circle sits to the left of the square. Third Cell: A tall rectangle, identical to the first, with a small white circle below the rectangle. Second Row (Middle Row): First Cell: A circle split horizontally in half (top half black, bottom half white). A small white star is on the right side. Second Cell: A circle split vertically in half (left half black, right white). A small white star is above it. Third Cell: A circle, again split horizontally (same as first), with the white star now on the left side. Third Row (Bottom Row): First Cell: A vertical diamond shape split diagonally (top half white, bottom black). A small white square is to the left of the diamond. Second Cell: A right-pointing triangle split diagonally (left half black, right white). A small white square is below the triangle. Third Cell: A question mark (this is the missing figure to be deduced). ANSWER OPTIONS (A–F): Each option is a figure with a main shape and a small white square positioned around it: A: Diamond shape (top white, bottom black), with square to the left. B: Right-pointing triangle (top black, bottom white), square below. C: Diamond shape (top white, bottom black), square on right. D: Right-pointing triangle (top white, bottom black), square below. E: Diamond shape (top black, bottom white), no small square. F: Right-pointing triangle (top black, bottom white), square on left.","[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",[],"[""QID57""]"
QID58,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"Please indicate which is the best answer to complete the puzzle below. Puzzle Description: The puzzle is a 3x3 grid of black and white squares, each containing a distinct symbol or shape. The goal is to determine which symbol best completes the missing square (marked by a question mark ?) in the third column of the third row. Grid Layout: Each cell has a black or white background, and a central shape with a contrasting color (either black or white). Here's the layout of the 3x3 grid, row by row: Row 1: Cell 1: White circle with a black horizontal rectangle inside (centered). Cell 2: Black background with a white cross shape; inside the cross is a black diamond. Cell 3: White square with a black star in the center. Row 2: Cell 1: Black background with a white square outline; inside is a black diamond. Cell 2: White background with a black circle containing a white star. Cell 3: White background with a question mark ? indicating the missing piece. Row 3: Cell 1: Black background with a white cross shape; inside the cross is a black star. Cell 2: White square with a black square inside. Cell 3: Black background with a white diamond. Answer Choices (Labeled A–F): Each choice is a black or white square with a symbol inside. Here's a breakdown: A: Black background with a white cross; black diamond inside. B: White background with a black cross; white diamond inside. C: Black background with a white square; white star inside. D: White background with a black cross; black square inside. E: Black background with a white cross; black star inside. F: Black circle with a white square inside.","[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",[],"[""QID58""]"
QID59,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X Main Cube (X) Cube X shows three visible faces, each with a distinct symbol: Top face: A thick black plus sign with round ends on each arm (a sort of ""medical cross"" shape). Front-left face: A Y-shaped structure with three round nodes at the ends of each branch. Front-right face: A vertical line with rounded dots at both ends (like a thick vertical barbell). Options (A to H) Each of the options (A through H) shows a cube with three visible faces, each displaying a symbol. The goal is to determine which of these could be a rotation of Cube X — meaning it shows the same three symbols in any orientation, but without showing any new or different symbols. Option A Top: Same plus sign as X. Front-left: Same Y-shaped symbol as X. Front-right: An oval with an outline (not seen on X). Option B Top: A six-armed asterisk or snowflake shape (not seen on X). Front-left: Same vertical barbell symbol as X. Front-right: Oval (not on X). Option C Top: Six-armed asterisk (not on X). Front-left: Oval (not on X). Front-right: Y-shape (same as on X). Option D A box saying: ""None of the cubes could be a rotation."" Option E Top: Six-armed asterisk (not on X). Front-left: Vertical barbell (same as X). Front-right: An X shape with rounded ends (not on X). Option F Top: Same plus sign as X. Front-left: Vertical barbell (same as X). Front-right: Oval (not on X). Option G Top: Vertical barbell (same as X). Front-left: Y-shape (same as X). Front-right: X-shape with rounded ends (not on X). Option H A box saying: ""I do not know the solution.""","[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H""]",[],"[""QID59""]"
QID60,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X Description of Cube X: Cube X has three visible faces, each with a different image: Top face: a plus-shaped black symbol, with dots at the ends of each arm. Left face: a Y-shaped black symbol with rounded ends. Right face: a vertical bar with dots at both ends (like a dumbbell). Options: Each option (A to H) shows a cube with three visible faces. Only one may be a valid rotation of Cube X. Some options also include: D: A box with the text: ""None of the cubes could be a rotation."" H: A box with the text: ""I do not know the solution."" Here are the visible faces for each cube: Option A: Top: bar with rounded ends (not vertical) Left: Y-shaped figure Right: Asterisk-like starburst symbol Option B: Top: Y-shaped figure Left: Asterisk/starburst Right: Vertical bar with dots at ends (like Cube X) Option C: Top: Asterisk/starburst Left: Vertical bar with dots Right: X-shaped figure Option E: Top: Y-shaped figure Left: Hollow oval ring Right: X-shaped figure Option F: Top: Asterisk/starburst Left: Vertical bar with dots Right: Hollow oval ring Option G: Top: Asterisk/starburst Left: Hollow oval ring Right: Y-shaped figure","[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H""]",[],"[""QID60""]"
QID61,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,"All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X The Task: You are given a cube labeled X and asked to find which one of the other cubes (A–C, E–G) could be a rotation of cube X. This means that the cube has the same symbols on the same faces, just oriented differently. Cube X Description: Cube X shows three visible faces, each with a different symbol: A face with a plus-sign made of thick black bars, arranged diagonally (like an ""X""). A face with a Y-shaped symbol with thick dots at the ends. A face with a dumbbell-shaped symbol (a short line with dots at both ends). Answer Choices: Cube A: Shows: The dumbbell. The plus/X symbol. The Y-shape. Cube B: Shows: The plus/X symbol. The dumbbell. A thick circle or ring (not on Cube X). Cube C: Shows: A different, more complex starburst-like symbol (not on Cube X). The dumbbell. The circle/ring. Cube D: States: ""None of the cubes could be a rotation."" Cube E: Shows: A complex starburst. The plus/X symbol. The dumbbell. Cube F: Shows: A starburst symbol. The Y-shape. The circle/ring. Cube G: Shows: The dumbbell. A starburst. The plus/X symbol. Cube H: States: ""I do not know the solution.""","[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H""]",[],"[""QID61""]"
QID62,Cognitive tests ,DB,wave1_3_persona_json,True,False,False,1,persona_block_order,"Each of the 10 questions in the next task consists of a word in capital letters, followed by five words as the answer options. Please select the word that is most nearly the SAME in meaning as the word in capital letters (the synonym ). Some of the questions may be challenging. Please complete them to the best of your ability. If you have no idea, please take your best guess. Click &ldquo;Next&rdquo; to go on to the first question.",[],[],[]
QID63,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as CONCUR,"[""acquiesce"", ""extricate"", ""divulge"", ""concoct"", ""ransack""]",[],"[""QID63""]"
QID64,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as CONFISCATE,"[""harass"", ""repulse"", ""console"", ""appropriate"", ""congregate""]",[],"[""QID64""]"
QID65,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as SOLICIT,"[""purge"", ""spurn"", ""entrance"", ""exert"", ""beseech""]",[],"[""QID65""]"
QID66,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as FURTIVE,"[""ecstatic"", ""heinous"", ""stealthy"", ""flimsy"", ""facile""]",[],"[""QID66""]"
QID67,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as ASTUTE,"[""bizarre"", ""ascetic"", ""sagacious"", ""lineal"", ""irritable""]",[],"[""QID67""]"
QID68,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as COVET,"[""crave"", ""claim"", ""avenge"", ""clutch"", ""comply""]",[],"[""QID68""]"
QID69,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as OSCILLATE,"[""premeditate"", ""irradiate"", ""vacilate"", ""recapitulate"", ""furbish""]",[],"[""QID69""]"
QID70,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as INDOLENT,"[""contrite"", ""inexhaustible"", ""impervious"", ""arduous"", ""slothful""]",[],"[""QID70""]"
QID71,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as DISPARITY,"[""despondency"", ""mediocrity"", ""serenity"", ""incongruity"", ""assiduity""]",[],"[""QID71""]"
QID72,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Synonym: Select the word that is most nearly the same in meaning as INDIGENT,"[""refractory"", ""fiscal"", ""destitute"", ""tolerable"", ""diligent""]",[],"[""QID72""]"
QID73,Cognitive tests ,DB,wave1_3_persona_json,True,False,False,1,persona_block_order,"Each of the 10 questions in the next task consists of a word in capital letters, followed by five words as the answer options. Please select the word that is most nearly the OPPOSITE in meaning as the word in capital letters (the antonym ). Some of the questions may be challenging. Please complete them to the best of your ability. If you have no idea, please take your best guess. Click &ldquo;Next&rdquo; to go on to the first question.",[],[],[]
QID74,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to SATED,"[""famished"", ""finished"", ""finicky"", ""fulfilled"", ""fortunate""]",[],"[""QID74""]"
QID75,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to COMPLAISANT,"[""distasteful"", ""egoistical"", ""alone"", ""ugly"", ""recalcitrant""]",[],"[""QID75""]"
QID76,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to ALOOF,"[""happy"", ""deadly"", ""gregarious"", ""manly"", ""varied""]",[],"[""QID76""]"
QID77,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to ABOMINATE,"[""adore"", ""despair"", ""abate"", ""deplore"", ""attach""]",[],"[""QID77""]"
QID78,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to VERBOSE,"[""garrulous"", ""magnificent"", ""grandiloquent"", ""taciturn"", ""calculating""]",[],"[""QID78""]"
QID79,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to DEARTH,"[""birth"", ""brevity"", ""abundance"", ""splendor"", ""renaissance""]",[],"[""QID79""]"
QID80,Cognitive tests ,MC,wave1_3_persona_json,True,False,False,1,persona_block_order,Antonym: Select the word that is most nearly the opposite in meaning to SPORADIC,"[""germinal"", ""antiseptic"", ""incessant"", ""summery"", ""wintry""]",[],"[""QID80""]"
