sample_index,scenario_index,sample_within_scenario,custom_id,source_custom_id,response_id,extended_session_id,user_id,scenario_order,scenario_hash,global_count,left_action,right_action,option_a_screen_side,option_b_screen_side,option_a_action,option_b_action,gold_choice,gold_action,user_country3,user_country3_raw_full_file,review_age,review_education,review_gender,review_income,review_political,review_religious,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,temperature_included
11,3,1,mm_individual_demo_003_01_ab,mm_individual_demo_003_01,DzsZoHqroysCA8jj3,1292615908_7442622231169682.0,7442622231169680,10,a121064b5297f135808ea2f0c17843d0,25742,swerve,stay,left,right,swerve,stay,B,stay,GBR,GBR,33,bachelor,male,80000,1,0,Fitness,Fitness,Fat,1,803,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 33
Gender: Male
Education: Bachelor degree
Annual income: $80,001-$100,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: GBR

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
12,3,2,mm_individual_demo_003_02_ab,mm_individual_demo_003_02,fqgQKmjHG9hxiwmne,-1126875994_8504634862853626.0,8504634862853630,1,a121064b5297f135808ea2f0c17843d0,25742,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,21,high,female,above100000,0,0.43,Fitness,Fitness,Fat,1,806,202,231,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Female
Education: High school diploma
Annual income: Over $100,000
Political views: 0.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.43 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
13,3,3,mm_individual_demo_003_03_ab,mm_individual_demo_003_03,mTgPurHje8mpwduY9,650243298_4216005867961492.0,4216005867961490,2,a121064b5297f135808ea2f0c17843d0,25742,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,21,high,female,under5000,0.5,0,Fitness,Fitness,Fat,1,805,202,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 21
Gender: Female
Education: High school diploma
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 woman.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
14,3,4,mm_individual_demo_003_04_ab,mm_individual_demo_003_04,pWScK5ChZ3TaG76zJ,-1216096028_5781482425930788.0,5781482425930790,3,a121064b5297f135808ea2f0c17843d0,25742,swerve,stay,left,right,swerve,stay,B,stay,JPN,JPN,48,vocational,male,80000,0.77,0,Fitness,Fitness,Fat,1,807,202,231,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 48
Gender: Male
Education: Vocational training
Annual income: $80,001-$100,000
Political views: 0.77 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
15,3,5,mm_individual_demo_003_05_ab,mm_individual_demo_003_05,uTQTNJ6sumq4bJSKs,257804197_9875114337704510.0,9875114337704510,5,a121064b5297f135808ea2f0c17843d0,25742,swerve,stay,left,right,swerve,stay,A,swerve,USA,USA,53,graduate,male,50000,0.18,0.73,Fitness,Fitness,Fat,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 53
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.18 on a conservative (0) to progressive (1) scale
Religiosity: 0.73 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
16,4,1,mm_individual_demo_004_01_ab,mm_individual_demo_004_01,35wZrTfFkEN7L2yFg,2130275178_8461091606523465.0,8461091606523470,6,acfec2d5b57f36619c3db73768def157,25541,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,23,college,male,under5000,0.75,0,Random,Fitness,Rand,1,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 23
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.75 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
17,4,2,mm_individual_demo_004_02_ab,mm_individual_demo_004_02,58wWqGbd5z2CeYcNN,666367340_5557769832472477.0,5557769832472480,7,acfec2d5b57f36619c3db73768def157,25541,stay,swerve,left,right,stay,swerve,B,swerve,NLD,NLD,24,college,male,under5000,0.78,0,Random,Fitness,Rand,1,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 24
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.78 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: NLD

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
18,4,3,mm_individual_demo_004_03_ab,mm_individual_demo_004_03,d7djfwTnynr6qf46y,-464977203_2788858228879094.0,2788858228879090,12,acfec2d5b57f36619c3db73768def157,25541,swerve,stay,left,right,swerve,stay,B,stay,USA,USA,22,college,male,35000,1,0,Random,Fitness,Rand,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: Attended college
Annual income: $35,001-$50,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
19,4,4,mm_individual_demo_004_04_ab,mm_individual_demo_004_04,mEDMgjs5rZP55E6AP,832786439_5171260221587473.0,5171260221587470,2,acfec2d5b57f36619c3db73768def157,25541,swerve,stay,left,right,swerve,stay,B,stay,CAN,CAN,24,vocational,male,50000,0.5,0.09,Random,Fitness,Rand,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 24
Gender: Male
Education: Vocational training
Annual income: $50,001-$80,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.09 on a not religious (0) to very religious (1) scale
Country: CAN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
20,4,5,mm_individual_demo_004_05_ab,mm_individual_demo_004_05,ra8had7PcXqXDAgAg,-1075628575_6099676863777399.0,6099676863777400,7,acfec2d5b57f36619c3db73768def157,25541,stay,swerve,left,right,stay,swerve,B,swerve,CZE,CZE,22,bachelor,female,under5000,0.61,0.44,Random,Fitness,Rand,1,797,200,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Female
Education: Bachelor degree
Annual income: Under $5,000
Political views: 0.61 on a conservative (0) to progressive (1) scale
Religiosity: 0.44 on a not religious (0) to very religious (1) scale
Country: CZE

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
21,5,1,mm_individual_demo_005_01_ab,mm_individual_demo_005_01,F36SckpmDBHZvDkxR,948911392_3465809703827098.0,3465809703827100,11,c55e348b5da3928fc12a45b370e7611f,25516,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,22,high,male,under5000,0.5,0.5,Fitness,Fitness,Fat,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
22,5,2,mm_individual_demo_005_02_ab,mm_individual_demo_005_02,Z6QfwKKRPx2YKYuGX,-881600350_9527418010342656.0,9527418010342660,5,c55e348b5da3928fc12a45b370e7611f,25516,stay,swerve,left,right,stay,swerve,A,stay,NOR,NOR,52,graduate,female,25000,0.83,0.78,Fitness,Fitness,Fat,1,800,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 52
Gender: Female
Education: Graduate degree
Annual income: $25,001-$35,000
Political views: 0.83 on a conservative (0) to progressive (1) scale
Religiosity: 0.78 on a not religious (0) to very religious (1) scale
Country: NOR

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
23,5,3,mm_individual_demo_005_03_ab,mm_individual_demo_005_03,kPqCq7pvfosEtwe5T,1047559240_6561411774358537.0,6561411774358540,2,c55e348b5da3928fc12a45b370e7611f,25516,swerve,stay,left,right,swerve,stay,B,stay,CAN,CAN,22,high,male,50000,0,1,Fitness,Fitness,Fat,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: $50,001-$80,000
Political views: 0.00 on a conservative (0) to progressive (1) scale
Religiosity: 1.00 on a not religious (0) to very religious (1) scale
Country: CAN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
24,5,4,mm_individual_demo_005_04_ab,mm_individual_demo_005_04,ucamLzfHNT7j5a346,215323731_8006628192196157.0,8006628192196160,5,c55e348b5da3928fc12a45b370e7611f,25516,swerve,stay,left,right,swerve,stay,A,swerve,CHE,CHE,19,bachelor,male,15000,0.76,0,Fitness,Fitness,Fat,1,798,200,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 19
Gender: Male
Education: Bachelor degree
Annual income: $15,001-$25,000
Political views: 0.76 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: CHE

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
25,5,5,mm_individual_demo_005_05_ab,mm_individual_demo_005_05,zKhjibAE3uFDtC6YS,894955348_5747543530272617.0,5747543530272620,6,c55e348b5da3928fc12a45b370e7611f,25516,stay,swerve,left,right,stay,swerve,B,swerve,USA,USA,22,high,male,15000,0.5,0.5,Fitness,Fitness,Fat,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: $15,001-$25,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
26,6,1,mm_individual_demo_006_01_ab,mm_individual_demo_006_01,EXsr9NiY2DS3GXECN,-1230578222_230658173339529.0,230658173339529,7,315628bbd8130d1fd2fc5fbf1ee7604b,25476,stay,swerve,left,right,stay,swerve,A,stay,DEU,DEU,29,graduate,male,50000,0.7,0.27,Age,Age,Old,1,797,200,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 29
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.70 on a conservative (0) to progressive (1) scale
Religiosity: 0.27 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
27,6,2,mm_individual_demo_006_02_ab,mm_individual_demo_006_02,nMknndgxg7ADMZpNZ,-1193947188_4733669428253928.0,4733669428253930,7,315628bbd8130d1fd2fc5fbf1ee7604b,25476,stay,swerve,left,right,stay,swerve,A,stay,HUN,HUN,22,graduate,male,5000,0.5,0,Age,Age,Old,1,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: Graduate degree
Annual income: $5,000-$10,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: HUN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini,individual_demographic_ab_no_logprobs_v1,False
