game_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,1,6,1.0,1,1.0,0.16666666666666666,CHICKEN,1.0,1.0,0.16666666666666666,3,2.479816324104678,CHICKEN,0.62
CbDvrXGkphmfGtH3G,VALIDATION_13_C,1,16,1.0,1,1.0,0.0625,GORILLA,1.0,1.0,0.0625,3,2.5539392274300625,GORILLA,0.6
CoHyYysb84APn5gDE,VALIDATION_18_T,1,4,1.0,1,1.0,0.25,GORILLA,1.0,1.0,0.25,3,2.3557072363046703,GORILLA,0.65
DYFJDsdGg8bppBJ7P,VALIDATION_12_T,1,6,1.0,1,1.0,0.16666666666666666,PARROT,1.0,1.0,0.16666666666666666,3,2.454555595891148,PARROT,0.6000000000000001
FAuuG8S2iw8wkGRnA,VALIDATION_6_T,1,13,1.0,1,1.0,0.07692307692307693,MOOSE,1.0,1.0,0.07692307692307693,3,2.5539392274300625,MOOSE,0.6
Fm7uYc98E2b6kcoDE,VALIDATION_1_T,1,3,1.0,1,1.0,0.3333333333333333,GORILLA,1.0,1.0,0.3333333333333333,3,2.454555595891148,GORILLA,0.6000000000000001
FvbM5EM5aB5pcjLpA,VALIDATION_13_T,1,16,1.0,1,1.0,0.0625,MONKEY,1.0,1.0,0.0625,3,2.5539392274300625,MONKEY,0.6
HmA52oSS75D5Z2W8a,VALIDATION_9_C,1,15,1.0,1,1.0,0.06666666666666667,COW,1.0,1.0,0.06666666666666667,3,2.076301241290024,COW,0.75
PmcxhmDRj2tN3cECC,VALIDATION_11_C,1,12,1.0,1,1.0,0.08333333333333333,GORILLA,1.0,1.0,0.08333333333333333,3,2.205573025033198,GORILLA,0.65
PrfKWppTZdvPhe4oN,VALIDATION_19_T,1,4,1.0,1,1.0,0.25,DUCK,1.0,1.0,0.25,3,2.5539392274300625,DUCK,0.6
SFohXkBYvScM7Y7rC,VALIDATION_7_C,1,10,1.0,1,1.0,0.1,DOG,1.0,1.0,0.1,3,2.454555595891148,DOG,0.6000000000000001
fMhhGrfpZH9ign2AK,VALIDATION_15_T,1,13,1.0,1,1.0,0.07692307692307693,CROCODILE,1.0,1.0,0.07692307692307693,3,2.6500279561849878,CROCODILE,0.55
i7C4Y4NiesraiSwwb,VALIDATION_16_C,1,10,1.0,1,1.0,0.1,CHICK,1.0,1.0,0.1,3,2.5539392274300625,CHICK,0.6
r7Bk7fEwX3HSRrXMZ,VALIDATION_17_C,1,19,1.0,1,1.0,0.05263157894736842,DOG,1.0,1.0,0.05263157894736842,3,2.8000940728538315,DOG,0.5
