treatment_name,experiment_code,role,visibility,schema_type,generated_n,human_n,metric,distance_kind,score
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,50,50,return_pct,wasserstein_1d,3.7799999999999994
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,50,50,joint_pattern_distribution,total_variation,0.2
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,send_if_act,wasserstein_1d,1.94
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,send_if_no_act,wasserstein_1d,2.1
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,mean_send_field_distance,mean_wasserstein_1d,2.02
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_act_fast,wasserstein_1d,1.9000000000000001
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_no_act_fast,wasserstein_1d,1.7600000000000002
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_act_slow,wasserstein_1d,2.0
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_no_act_slow,wasserstein_1d,1.0999999999999999
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,mean_send_field_distance,mean_wasserstein_1d,1.69
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,6.820000000000002
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.12000000000000002
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,12.32
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.060000000000000026
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,1.86
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,1.62
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,1.7400000000000002
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,2.38
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,1.96
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,2.22
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,1.98
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.1350000000000002
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,3.160000000000001
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.21999999999999997
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,10.64
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.060000000000000005
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,1.7200000000000002
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,2.52
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.12
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,1.78
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,1.6600000000000001
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,1.56
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,1.3599999999999999
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,1.5899999999999999
