feature,prompt_usage,direction_in_feature,question_id,question_ref,block_name,question_text,item_index,item_text
big_five_conscientiousness,self_report_behavioral_stability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,33,Does things efficiently
big_five_conscientiousness,self_report_behavioral_stability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,38,Makes plans and follows through with them
big_five_conscientiousness,self_report_behavioral_stability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,8,Can be somewhat careless
big_five_conscientiousness,self_report_behavioral_stability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,18,Tends to be disorganized
big_five_conscientiousness,self_report_behavioral_stability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,23,Tends to be lazy
big_five_conscientiousness,self_report_behavioral_stability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,43,Is easily distracted
big_five_neuroticism,self_report_behavioral_stability (inverted),positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,4,"Is depressed, blue"
big_five_neuroticism,self_report_behavioral_stability (inverted),positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,14,Can be tense
big_five_neuroticism,self_report_behavioral_stability (inverted),positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,19,Worries a lot
big_five_neuroticism,self_report_behavioral_stability (inverted),positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,29,Can be moody
big_five_neuroticism,self_report_behavioral_stability (inverted),positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,39,Gets nervous easily
big_five_neuroticism,self_report_behavioral_stability (inverted),reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,9,"Is relaxed, handles stress well"
big_five_neuroticism,self_report_behavioral_stability (inverted),reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,24,"Is emotionally stable, not easily upset"
big_five_neuroticism,self_report_behavioral_stability (inverted),reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,34,Remains calm in tense situations
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",5,"TRUST (being true to one’s word, assuming good in others)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",7,"HUMILITY (appreciating others, being modest about oneself)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",9,ALTRUISM (helping others in need)
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",11,"LOYALTY (being faithful to friends, family, and group)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",12,"POLITENESS (courtesy, good manners)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",14,"HARMONY (good relations, balance, wholeness)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",16,"HONESTY (being genuine, sincere)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",17,"COMPASSION (caring for others, displaying kindness)"
prosocial_values,anchor + self_report_cooperation_orientation,positive,QID29,Personality::QID29,Personality ,"Below are 24 different values that people rate of different importance in their lives. FIRST READ THROUGH THE LIST to familiarize yourself with all the values. While reading over the list, consider which ones tend to be most important to you and which tend to be least important to you. After familiarizing yourself with the list, rate the relative importance of each value to you as “A GUIDING PRINCIPLE IN MY LIFE.” It is important to spread your ratings out as best you can—be sure to use some numbers in the lower range, some in the middle range, and some in the higher range. Avoid using too many similar numbers. Work fairly quickly.",21,EQUALITY (human rights and equal opportunity for all)
orderliness,self_report_behavioral_stability,positive,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,1,Organized
orderliness,self_report_behavioral_stability,positive,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,2,Efficient
orderliness,self_report_behavioral_stability,positive,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,3,Systematic
orderliness,self_report_behavioral_stability,positive,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,4,Practical
orderliness,self_report_behavioral_stability,reverse,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,5,Disorganized
orderliness,self_report_behavioral_stability,reverse,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,6,Sloppy
orderliness,self_report_behavioral_stability,reverse,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,7,Inefficient
orderliness,self_report_behavioral_stability,reverse,QID30,Personality::QID30,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement accurately or inaccurately describes you.,8,Careless
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,2,"After being with a friend who is sad about something, I usually feel sad."
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,3,I can understand my friend’s happiness when she/he does well at something.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,5,I get caught up in other people’s feelings easily.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,9,When someone is feeling down I can usually understand how they feel.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,10,I can usually work out when my friends are scared.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,11,I often become sad when watching sad things on TV or in films.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,12,I can often understand how people are feeling even before they tell me.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,14,I can usually work out when people are cheerful.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,15,I tend to feel scared when I am with friends who are afraid.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,16,I can usually realize quickly when a friend is angry.
empathy,anchor + self_report_empathy + self_report_social_adaptability,positive,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,17,I often get swept up in my friends’ feelings.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,1,My friends’ emotions don’t affect me much.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,6,I find it hard to know when my friends are frightened.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,7,I don’t become sad when I see other people crying.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,8,Other people’s feelings don’t bother me at all.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,13,Seeing a person who has been angered has no effect on my feelings.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,18,My friend’s unhappiness doesn’t make me feel anything.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,19,I am not usually aware of my friends’ feelings.
empathy,anchor + self_report_empathy + self_report_social_adaptability,reverse,QID232,Personality::QID232,Personality ,Please indicate your agreement with each of the following statements about yourself.,20,I have trouble figuring out when my friends are happy.
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,9,"If a co-worker gets a prize, I would feel proud"
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,10,The well-being of my coworkers is important to me
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,11,"To me, pleasure is spending time with others"
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,12,I feel good when I cooperate with others
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,13,Parents and children must stay together as much as possible
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,14,"It is my duty to take care of my family, even when I have to sacrifice what I want"
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,15,"Family members should stick together, no matter what sacrifices are required"
cooperation_orientation,anchor + self_report_cooperation_orientation,positive,QID233,Personality::QID233,Personality ,Following are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement.,16,It is important to me that I respect the decision made by my groups
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,1,"In social situations, I have the ability to alter my behavior if I feel that something else is called for."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,2,"I have the ability to control the way I come across to people, depending on the impression I wish to give them."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,3,"When I feel that the image I am portraying isn't working, I can readily change it to something that does."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,5,I have found that I can adjust my behavior to meet the requirements of any situation I find myself in.
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,7,"Once I know what the situation calls for, it's easy for me to regulate my actions accordingly."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,8,I am often able to read people's true emotions correctly through their eyes.
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,9,"In conversations, I am sensitive to even the slightest change in the facial expression of the person I'm conversing with."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,10,My powers of intuition are quite good when it comes to understanding others' emotions and motives.
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,11,"I can usually tell when others consider a joke to be in bad taste, even though they may laugh convincingly."
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,12,I can usually tell when I've said something inappropriate by reading it in the listener's eyes.
social_sensitivity,self_report_social_adaptability,positive,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,13,"If someone is lying to me, I usually know it at once from that person's manner of expression."
social_sensitivity,self_report_social_adaptability,reverse,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,4,I have trouble changing my behavior to suit different people and different situations.
social_sensitivity,self_report_social_adaptability,reverse,QID236,Personality::QID236,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which that statement is true or false.,6,"Even when it might be to my advantage, I have difficulty putting up a good front."
self_concept_clarity,self_report_behavioral_stability,positive,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,6,I seldom experience conflict between the different aspects of my personality.
self_concept_clarity,self_report_behavioral_stability,positive,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,11,"In general, I have a clear sense of who I am and what I am."
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,1,My beliefs about myself often conflict with one another.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,2,On one day I might have one opinion of myself and on another day I might have a different opinion.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,3,I spend a lot of time wondering about what kind of person I really am.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,4,Sometimes I feel that I am not really the person that I appear to be.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,5,"When I think about the kind of person I have been in the past, I'm not sure what I was really like."
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,7,Sometimes I think I know other people better than I know myself.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,8,My beliefs about myself seem to change very frequently.
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,9,"If I were asked to describe my personality, my description might end up being different from one day to another day."
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,10,"Even if I wanted to, I don't think I would tell someone what I'm really like."
self_concept_clarity,self_report_behavioral_stability,reverse,QID237,Personality::QID237,Personality ,Please indicate your agreement with each of the following statements about yourself.,12,It is often hard for me to make up my mind about things because I don't really know what I want.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,1,I don’t like situations that are uncertain.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,2,I dislike questions which could be answered in many different ways.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,3,I find that a well ordered life with regular hours suits my temperament.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,4,I feel uncomfortable when I don’t understand the reason why an event occurred in my life.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,5,I feel irritated when one person disagrees with what everyone else in a group believes.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,6,I don’t like to go into a situation without knowing what I can expect from it.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,7,"When I have made a decision, I feel relieved."
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,8,"When I am confronted with a problem, I’m dying to reach a solution very quickly."
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,9,I would quickly become impatient and irritated if I would not find a solution to a problem immediately.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,10,I don’t like to be with people who are capable of unexpected actions.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,11,I dislike it when a person’s statement could mean many different things.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,12,I find that establishing a consistent routine enables me to enjoy life more.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,13,I enjoy having a clear and structured mode of life.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,14,I do not usually consult many different opinions before forming my own view.
uncertainty_aversion,anchor + self_report_uncertainty_aversion,positive,QID238,Personality::QID238,Personality ,Please indicate your agreement with each of the following statements about yourself.,15,I dislike unpredictable situations.
