question_id,question_human,variable_code_human,variable_label_human,cond1_label_human,cond2_label_human,left_role_human,right_role_human,left_treatments_human,right_treatments_human,direction_human,cond1_mean_human,cond1_sd_human,cond1_n_human,cond2_mean_human,cond2_sd_human,cond2_n_human,effect_human,supports_direction_human,question_model,variable_code_model,variable_label_model,cond1_label_model,cond2_label_model,left_role_model,right_role_model,left_treatments_model,right_treatments_model,direction_model,cond1_mean_model,cond1_sd_model,cond1_n_model,cond2_mean_model,cond2_sd_model,cond2_n_model,effect_model,supports_direction_model,effect_abs_error,cond1_mean_abs_error,cond2_mean_abs_error,direction_match,run_name,run_label
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6865714285714286,0.1699664730804308,50,0.7092380952380951,0.1440681100846937,50,-0.0226666666666665,True,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.8008571428571429,0.1137649700739985,50,0.7900332225913622,0.1274868758888731,43,0.0108239202657807,False,0.0334905869324472,0.1142857142857143,0.0807951273532671,False,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.5107777777777777,0.1792716781677923,50,0.5436666666666666,0.1910507537974687,50,-0.0328888888888889,True,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.415,0.2099330119074562,50,0.3590439276485789,0.2081207848941541,43,0.055956072351421,False,0.08884496124031,0.0957777777777776,0.1846227390180877,False,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6461904761904762,0.1931906916573661,50,0.6442857142857144,0.1694417038368085,50,0.0019047619047618,True,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.3360119047619048,0.1805517514843224,48,0.3715393133997785,0.2281683150992214,43,-0.0355274086378737,False,0.0374321705426355,0.3101785714285714,0.2727464008859358,False,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3671428571428571,0.3074388653817655,100,0.4385714285714286,0.3081086530329832,100,-0.0714285714285715,False,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.4314285714285714,0.1598546030770547,100,0.3914285714285714,0.1753989474449341,100,0.0399999999999999,True,0.1114285714285714,0.0642857142857143,0.0471428571428571,False,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.707904761904762,0.1738347759123257,50,0.6865714285714286,0.1699664730804308,50,0.0213333333333334,True,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.8143809523809523,0.1019205186586693,50,0.8008571428571429,0.1137649700739985,50,0.0135238095238093,True,0.007809523809524,0.1064761904761902,0.1142857142857143,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.5411111111111111,0.2368326310653035,50,0.5107777777777777,0.1792716781677923,50,0.0303333333333334,True,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.4346666666666666,0.220633664493398,50,0.415,0.2099330119074562,50,0.0196666666666666,True,0.0106666666666668,0.1064444444444445,0.0957777777777776,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6442857142857144,0.1694417038368085,50,0.7092380952380951,0.1440681100846937,50,-0.0649523809523807,True,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6745039682539682,0.207539860119012,48,0.7532738095238095,0.1667221104768951,48,-0.0787698412698413,True,0.0138174603174605,0.0302182539682538,0.0440357142857144,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4328571428571429,0.3226200460041101,100,0.3728571428571429,0.2934697776777444,100,0.06,True,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.2485714285714285,0.2450247043695625,100,0.2142857142857142,0.2449237257110933,100,0.0342857142857143,True,0.0257142857142856,0.1842857142857143,0.1585714285714287,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6865714285714286,0.1699664730804308,50,0.7092380952380951,0.1440681100846937,50,-0.0226666666666665,True,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6958095238095237,0.202022812363499,50,0.7532738095238095,0.1667221104768951,48,-0.0574642857142858,True,0.0347976190476193,0.009238095238095,0.0440357142857144,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.5107777777777777,0.1792716781677923,50,0.5436666666666666,0.1910507537974687,50,-0.0328888888888889,True,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.6803333333333333,0.2061024470861162,50,0.6577546296296296,0.2198864823522988,48,0.0225787037037037,False,0.0554675925925927,0.1695555555555556,0.1140879629629629,False,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6461904761904762,0.1931906916573661,50,0.6442857142857144,0.1694417038368085,50,0.0019047619047618,True,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6101190476190476,0.2301189277209729,48,0.6745039682539682,0.207539860119012,48,-0.0643849206349206,False,0.0662896825396824,0.0360714285714286,0.0302182539682538,False,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3671428571428571,0.3074388653817655,100,0.4385714285714286,0.3081086530329832,100,-0.0714285714285715,False,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3014285714285714,0.254333701715854,100,0.1614285714285714,0.2145549054726525,100,0.1399999999999999,True,0.2114285714285715,0.0657142857142857,0.2771428571428572,False,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.707904761904762,0.1738347759123257,50,0.6865714285714286,0.1699664730804308,50,0.0213333333333334,True,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.7613333333333333,0.1688929198122859,50,0.6958095238095237,0.202022812363499,50,0.0655238095238096,True,0.0441904761904762,0.0534285714285712,0.009238095238095,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.5411111111111111,0.2368326310653035,50,0.5107777777777777,0.1792716781677923,50,0.0303333333333334,True,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.6762222222222224,0.2316917744704563,50,0.6803333333333333,0.2061024470861162,50,-0.0041111111111109,False,0.0344444444444443,0.1351111111111113,0.1695555555555556,False,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6442857142857144,0.1694417038368085,50,0.7092380952380951,0.1440681100846937,50,-0.0649523809523807,True,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.618095238095238,0.2333434930202683,45,0.7463492063492064,0.1956689365098715,45,-0.1282539682539684,True,0.0633015873015876,0.0261904761904763,0.0371111111111113,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4328571428571429,0.3226200460041101,100,0.3728571428571429,0.2934697776777444,100,0.06,True,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.2385714285714285,0.2261551578714705,100,0.2157142857142856,0.2389551570892899,100,0.0228571428571428,True,0.0371428571428571,0.1942857142857144,0.1571428571428572,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6865714285714286,0.1699664730804308,50,0.7092380952380951,0.1440681100846937,50,-0.0226666666666665,True,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.7204761904761905,0.2001925353969391,50,0.7463492063492064,0.1956689365098715,45,-0.0258730158730159,True,0.0032063492063494,0.0339047619047618,0.0371111111111113,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.5107777777777777,0.1792716781677923,50,0.5436666666666666,0.1910507537974687,50,-0.0328888888888889,True,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.6629999999999999,0.2508152743340289,50,0.6166666666666667,0.2363946604002907,45,0.0463333333333332,False,0.0792222222222222,0.1522222222222222,0.073,False,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6461904761904762,0.1931906916573661,50,0.6442857142857144,0.1694417038368085,50,0.0019047619047618,True,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6684903748733535,0.204544044127085,47,0.618095238095238,0.2333434930202683,45,0.0503951367781154,True,0.0484903748733536,0.0222998986828772,0.0261904761904763,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3671428571428571,0.3074388653817655,100,0.4385714285714286,0.3081086530329832,100,-0.0714285714285715,False,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.2571428571428571,0.2332847374079217,100,0.1971428571428571,0.2286255347216884,100,0.06,True,0.1314285714285715,0.1099999999999999,0.2414285714285715,False,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.707904761904762,0.1738347759123257,50,0.6865714285714286,0.1699664730804308,50,0.0213333333333334,True,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.7583809523809525,0.1733501257364172,50,0.7204761904761905,0.2001925353969391,50,0.037904761904762,True,0.0165714285714285,0.0504761904761904,0.0339047619047618,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.5411111111111111,0.2368326310653035,50,0.5107777777777777,0.1792716781677923,50,0.0303333333333334,True,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.7062222222222222,0.2101021359562623,50,0.6629999999999999,0.2508152743340289,50,0.0432222222222222,True,0.0128888888888888,0.1651111111111111,0.1522222222222222,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
