tag,q1_age,q3_age,cluster_id,cluster_title,share_young_q1,share_old_q4,old_minus_young_pp
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,14,Indifferent Players in Reward Dynamics,0.04585152838427948,0.07048458149779736,2.4633053113517884
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,6,Passive Observers in Cooperative Environments,0.08078602620087336,0.09691629955947137,1.6130273358598013
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,3,Observing Contributions and Group Dynamics,0.05458515283842795,0.06387665198237885,0.9291499143950901
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,5,Behavioral Patterns in Cooperative Groups,0.056768558951965066,0.06387665198237885,0.7108093030413786
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,13,Opportunistic Players in Contribution Dynamics,0.05458515283842795,0.06167400881057269,0.7088855972144738
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,11,Observing Without Reacting: A Behavioral Analysis,0.07205240174672489,0.07268722466960352,0.06348229228786278
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,10,Adaptive Players in Cooperative Environments,0.07423580786026202,0.07048458149779736,-0.3751226362464652
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,1,Behavioral Patterns in Contribution and Punishment,0.06986899563318777,0.06387665198237885,-0.5992343650808918
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,8,Cooperative Players and Reward Dynamics,0.08296943231441048,0.06828193832599119,-1.4687493988419287
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,0,Monitoring Contributions and Enforcing Fairness,0.07205240174672489,0.05066079295154185,-2.1391608795183044
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,12,Stable Cooperation Amid Payoff Disparities,0.0611353711790393,0.03524229074889868,-2.5893080430140616
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,4,Monitoring Contributions for Group Success,0.08951965065502183,0.05726872246696035,-3.2250928188061483
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,2,Observant Players in Cooperative Dynamics,0.07860262008733625,0.046255506607929514,-3.2347113479406735
RESPONSE_TO_PUNISHER,30.0,47.0,6,Responses to Punishment in Cooperative Settings,0.049586776859504134,0.12093023255813953,7.13434556986354
RESPONSE_TO_PUNISHER,30.0,47.0,8,Responses to Punishment: A Complex Landscape,0.04132231404958678,0.08837209302325581,4.704977897366904
RESPONSE_TO_PUNISHER,30.0,47.0,12,Resistance to Punishment in Cooperative Settings,0.03305785123966942,0.07906976744186046,4.6011916202191045
RESPONSE_TO_PUNISHER,30.0,47.0,3,Responses to Punishment Remain Unexplored,0.02066115702479339,0.04186046511627907,2.119930809148568
RESPONSE_TO_PUNISHER,30.0,47.0,13,Responses to Punishment in Cooperative Settings,0.05371900826446281,0.07441860465116279,2.0699596386699977
RESPONSE_TO_PUNISHER,30.0,47.0,7,Resilient Cooperation in Punitive Environments,0.0743801652892562,0.09302325581395349,1.8643090524697286
RESPONSE_TO_PUNISHER,30.0,47.0,11,Resilient Cooperation in Punitive Environments,0.05371900826446281,0.06511627906976744,1.139727080530463
RESPONSE_TO_PUNISHER,30.0,47.0,10,Non-Retaliatory Cooperation in Punitive Contexts,0.05785123966942149,0.06046511627906977,0.26138766096482774
RESPONSE_TO_PUNISHER,30.0,47.0,9,Resilient Cooperation in the Face of Punishment,0.09504132231404959,0.07906976744186046,-1.5971554872189127
RESPONSE_TO_PUNISHER,30.0,47.0,14,Resilient Non-Retaliators in Punishment Scenarios,0.08264462809917356,0.05581395348837209,-2.6830674610801464
RESPONSE_TO_PUNISHER,30.0,47.0,1,Understanding Responses to Punishment,0.08677685950413223,0.05581395348837209,-3.096290601576014
RESPONSE_TO_PUNISHER,30.0,47.0,5,Responses to Punishment Without Retaliation,0.08677685950413223,0.05116279069767442,-3.5614068806457815
RESPONSE_TO_PUNISHER,30.0,47.0,0,Understanding Responses to Punishment,0.09504132231404959,0.05581395348837209,-3.9227368825677496
RESPONSE_TO_PUNISHER,30.0,47.0,4,Understanding Responses to Punishment Dynamics,0.09504132231404959,0.05116279069767442,-4.387853161637517
RESPONSE_TO_PUNISHER,30.0,47.0,2,Understanding Unpunished Behavior Patterns,0.0743801652892562,0.027906976744186046,-4.647318854507016
