tag,education_level,n_level,cluster_id,cluster_title,share_level,share_overall_known_education,level_minus_overall_pp
COMMUNICATION,high_school,546,1,Cooperative Norms and Group Dynamics,0.045787545787545784,0.0630841121495327,-1.7296566361986918
COMMUNICATION,master,308,12,Silent Observers in Social Dynamics,0.11363636363636363,0.07067757009345794,4.295879354290569
COMMUNICATION,master,308,14,Silent Observers in Communication Dynamics,0.09090909090909091,0.07301401869158879,1.7895072217502126
COMMUNICATION,master,308,2,Engaging Cooperation in Group Settings,0.09090909090909091,0.0794392523364486,1.146983857264232
COMMUNICATION,master,308,13,Silent Cooperators in Group Dynamics,0.08766233766233766,0.08177570093457943,0.588663672775823
COMMUNICATION,master,308,10,Minimal Communicators in Group Dynamics,0.05194805194805195,0.04906542056074766,0.28826313873042897
COMMUNICATION,master,308,8,Cooperative Communication in Social Settings,0.05844155844155844,0.05782710280373832,0.0614455637820123
COMMUNICATION,master,308,5,Sociable Players Embrace Lighthearted Cooperation,0.05844155844155844,0.06074766355140187,-0.23061051098434288
COMMUNICATION,master,308,9,Sparsely Communicative Yet Cooperative Personas,0.06168831168831169,0.06483644859813084,-0.31481369098191536
COMMUNICATION,master,308,7,Cooperative Communication in Group Dynamics,0.07142857142857142,0.07651869158878505,-0.5090120160213624
COMMUNICATION,master,308,6,Affiliative Communicators in Cooperative Settings,0.06818181818181818,0.07359813084112149,-0.5416312659303313
COMMUNICATION,master,308,11,Low-Engagement Cooperative Players,0.06493506493506493,0.07067757009345794,-0.5742505158393016
COMMUNICATION,master,308,0,Engaging Social Dynamics in Cooperative Settings,0.045454545454545456,0.053154205607476634,-0.7699660152931178
COMMUNICATION,master,308,4,Cooperative Communication in Group Dynamics,0.05519480519480519,0.06658878504672897,-1.1393979851923772
COMMUNICATION,master,308,3,Playful Social Engagement in Group Dynamics,0.045454545454545456,0.05899532710280374,-1.3540781648258282
COMMUNICATION,master,308,1,Cooperative Norms and Group Dynamics,0.03571428571428571,0.0630841121495327,-2.736982643524699
COMMUNICATION,other,125,7,Cooperative Communication in Group Dynamics,0.152,0.07651869158878505,7.548130841121495
COMMUNICATION,other,125,0,Engaging Social Dynamics in Cooperative Settings,0.088,0.053154205607476634,3.484579439252336
COMMUNICATION,other,125,13,Silent Cooperators in Group Dynamics,0.112,0.08177570093457943,3.022429906542057
COMMUNICATION,other,125,12,Silent Observers in Social Dynamics,0.088,0.07067757009345794,1.732242990654205
COMMUNICATION,other,125,4,Cooperative Communication in Group Dynamics,0.08,0.06658878504672897,1.3411214953271036
COMMUNICATION,other,125,11,Low-Engagement Cooperative Players,0.08,0.07067757009345794,0.9322429906542057
COMMUNICATION,other,125,10,Minimal Communicators in Group Dynamics,0.056,0.04906542056074766,0.693457943925234
COMMUNICATION,other,125,6,Affiliative Communicators in Cooperative Settings,0.072,0.07359813084112149,-0.1598130841121495
COMMUNICATION,other,125,8,Cooperative Communication in Social Settings,0.04,0.05782710280373832,-1.7827102803738317
COMMUNICATION,other,125,1,Cooperative Norms and Group Dynamics,0.04,0.0630841121495327,-2.3084112149532703
COMMUNICATION,other,125,2,Engaging Cooperation in Group Settings,0.056,0.0794392523364486,-2.343925233644859
COMMUNICATION,other,125,3,Playful Social Engagement in Group Dynamics,0.032,0.05899532710280374,-2.6995327102803737
COMMUNICATION,other,125,5,Sociable Players Embrace Lighthearted Cooperation,0.032,0.06074766355140187,-2.8747663551401867
COMMUNICATION,other,125,9,Sparsely Communicative Yet Cooperative Personas,0.032,0.06483644859813084,-3.283644859813084
COMMUNICATION,other,125,14,Silent Observers in Communication Dynamics,0.04,0.07301401869158879,-3.3014018691588785
