custom_id,record_id,unit_id,treatment_name,variant,model,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension
two_stage_trust_punishment_y2hgu__e1_a_752,E1__A__752,E1__A__752,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_909,E1__A__909,E1__A__909,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_92,E1__A__92,E1__A__92,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_971,E1__A__971,E1__A__971,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_983,E1__A__983,E1__A__983,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1044,E1__A__1044,E1__A__1044,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1189,E1__A__1189,E1__A__1189,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1223,E1__A__1223,E1__A__1223,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1270,E1__A__1270,E1__A__1270,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1295,E1__A__1295,E1__A__1295,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1309,E1__A__1309,E1__A__1309,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1386,E1__A__1386,E1__A__1386,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1459,E1__A__1459,E1__A__1459,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1560,E1__A__1560,E1__A__1560,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1621,E1__A__1621,E1__A__1621,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1633,E1__A__1633,E1__A__1633,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1716,E1__A__1716,E1__A__1716,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1758,E1__A__1758,E1__A__1758,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1759,E1__A__1759,E1__A__1759,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1893,E1__A__1893,E1__A__1893,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1901,E1__A__1901,E1__A__1901,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1905,E1__A__1905,E1__A__1905,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2050,E1__A__2050,E1__A__2050,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2068,E1__A__2068,E1__A__2068,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2191,E1__A__2191,E1__A__2191,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2201,E1__A__2201,E1__A__2201,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2243,E1__A__2243,E1__A__2243,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2322,E1__A__2322,E1__A__2322,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_238,E1__A__238,E1__A__238,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2411,E1__A__2411,E1__A__2411,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2417,E1__A__2417,E1__A__2417,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2447,E1__A__2447,E1__A__2447,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2457,E1__A__2457,E1__A__2457,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_247,E1__A__247,E1__A__247,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2483,E1__A__2483,E1__A__2483,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2503,E1__A__2503,E1__A__2503,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2552,E1__A__2552,E1__A__2552,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2610,E1__A__2610,E1__A__2610,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_297,E1__A__297,E1__A__297,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_354,E1__A__354,E1__A__354,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_365,E1__A__365,E1__A__365,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_394,E1__A__394,E1__A__394,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_421,E1__A__421,E1__A__421,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_537,E1__A__537,E1__A__537,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_548,E1__A__548,E1__A__548,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_562,E1__A__562,E1__A__562,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_691,E1__A__691,E1__A__691,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_72,E1__A__72,E1__A__72,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_728,E1__A__728,E1__A__728,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_739,E1__A__739,E1__A__739,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_884,E1__A__884,E1__A__884,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_913,E1__A__913,E1__A__913,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_935,E1__A__935,E1__A__935,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_985,E1__A__985,E1__A__985,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_986,E1__A__986,E1__A__986,E1_ROLE_A_OBSERVABLE,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,observable,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1049,E1__B__1049,E1__B__1049,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1174,E1__B__1174,E1__B__1174,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1220,E1__B__1220,E1__B__1220,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1265,E1__B__1265,E1__B__1265,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1271,E1__B__1271,E1__B__1271,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1289,E1__B__1289,E1__B__1289,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1343,E1__B__1343,E1__B__1343,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1443,E1__B__1443,E1__B__1443,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1551,E1__B__1551,E1__B__1551,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1607,E1__B__1607,E1__B__1607,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1630,E1__B__1630,E1__B__1630,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1695,E1__B__1695,E1__B__1695,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1735,E1__B__1735,E1__B__1735,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1739,E1__B__1739,E1__B__1739,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1890,E1__B__1890,E1__B__1890,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_1899,E1__B__1899,E1__B__1899,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_190,E1__B__190,E1__B__190,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2065,E1__B__2065,E1__B__2065,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2083,E1__B__2083,E1__B__2083,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2187,E1__B__2187,E1__B__2187,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2193,E1__B__2193,E1__B__2193,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2227,E1__B__2227,E1__B__2227,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2304,E1__B__2304,E1__B__2304,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2351,E1__B__2351,E1__B__2351,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_239,E1__B__239,E1__B__239,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2390,E1__B__2390,E1__B__2390,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2409,E1__B__2409,E1__B__2409,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2429,E1__B__2429,E1__B__2429,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2437,E1__B__2437,E1__B__2437,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2449,E1__B__2449,E1__B__2449,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2475,E1__B__2475,E1__B__2475,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
two_stage_trust_punishment_y2hgu__e1_b_2520,E1__B__2520,E1__B__2520,E1_ROLE_B_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,B,hidden,role_b_hidden_check,help,cost
