custom_id,record_id,unit_id,treatment_name,gold_target,variant,model,TreatmentCode,Treatment,PersonalizedTreatment,num_scenarios,scenario_manifest_json,data_source,UGProposer_delegated,UGResponder_delegated,TGSender_delegated,TGReceiver_delegated,PD_delegated,SH_delegated,C_delegated
multi_game_llm_fvk2c__1608,1608,1608,ODP,"{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 2, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,1.0,1.0,1.0,1.0,1.0,0.0,0.0
multi_game_llm_fvk2c__1661,1661,1661,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 0, 'SH_delegated': 1, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': 'B', 'SH_decision': None, 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 6, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'B', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,1.0,1.0,1.0,0.0,1.0,0.0
multi_game_llm_fvk2c__1817,1817,1817,ODP,"{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 1, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'B', 'SH_decision': 'Y', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,1.0,1.0,1.0,1.0,1.0,1.0,1.0
multi_game_llm_fvk2c__1820,1820,1820,ODP,"{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Mercury'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,1.0,1.0,1.0,1.0,1.0,1.0,1.0
multi_game_llm_fvk2c__185,185,185,ODP,"{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGSender_decision': 'NO', 'TGReceiver_decision': None, 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'NO', 'TGReceiver_decision': 5, 'PD_decision': 'B', 'SH_decision': 'X', 'C_decision': 'Venus'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,1.0,1.0,0.0,1.0,1.0,1.0,1.0
multi_game_llm_fvk2c__1888,1888,1888,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 4, 'UGResponder_decision': 2, 'TGSender_decision': 'YES', 'TGReceiver_decision': 0, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 3, 'UGResponder_decision': 3, 'TGSender_decision': 'NO', 'TGReceiver_decision': 0, 'PD_decision': 'A', 'SH_decision': 'Y', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_game_llm_fvk2c__1910,1910,1910,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': 2, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 2, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,1.0,1.0,0.0,0.0,0.0
multi_game_llm_fvk2c__1980,1980,1980,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'B', 'SH_decision': 'Y', 'C_decision': 'Saturn'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'NO', 'TGReceiver_decision': 3, 'PD_decision': 'B', 'SH_decision': 'Y', 'C_decision': 'Saturn'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_game_llm_fvk2c__2050,2050,2050,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': None, 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 2, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,1.0,1.0,1.0,1.0,1.0,1.0
multi_game_llm_fvk2c__2089,2089,2089,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 4, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 5, 'TGSender_decision': 'YES', 'TGReceiver_decision': 4, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_game_llm_fvk2c__2108,2108,2108,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 4, 'UGResponder_decision': 5, 'TGSender_decision': 'NO', 'TGReceiver_decision': 2, 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Mars'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 5, 'TGSender_decision': 'NO', 'TGReceiver_decision': 2, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Mars'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,0.0,0.0,1.0,0.0,0.0
multi_game_llm_fvk2c__2123,2123,2123,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': 1, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 1, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_game_llm_fvk2c__2183,2183,2183,ODP,"{'UGProposer_delegated': 0, 'UGResponder_delegated': 1, 'TGSender_delegated': 1, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 1, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': 5, 'UGResponder_decision': None, 'TGSender_decision': None, 'TGReceiver_decision': 2, 'PD_decision': 'A', 'SH_decision': None, 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 4, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,0.0,1.0,1.0,0.0,0.0,1.0,0.0
multi_game_llm_fvk2c__2202,2202,2202,ODP,"{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 0, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 4, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 4, 'TGSender_decision': 'YES', 'TGReceiver_decision': 3, 'PD_decision': 'A', 'SH_decision': 'Y', 'C_decision': 'Mars'}]}",demographic_only_row_resampled_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",human,1.0,0.0,0.0,0.0,0.0,1.0,1.0
